Heatmap_Rank,term_id,term_name,p_value,term_size,intersection_size,intersection,Input_Order,Pathway_Gene_Source,Pathway_Gene_Count,Filtered,Versus,Versus Name,Result,Reciprocal pvalue,DEGs in Intersection,Is Reciprocal,GSEA_Rank,Neg_Log10_P,Pathway_Label_Clean,Pathway_Label,Heatmap_Cluster_Rank
1,GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP,GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP,1e-10,175,91,"MED13,NCAPD2,FCHSD2,CKAP5,TMEM94,KMT2B,DEPDC5,TTLL4,NCOR1,NPEPPS,MAP4K4,TICRR,BAZ1B,HERC1,GBF1,TNKS,ZBTB37,ARID1A,SMC1A,USP9X,DOCK8,ATP13A3,UTRN,TSC2,TLN1,THRB,ZFP36L2,SP1,PHACTR4,WNK1,NBEAL1,NUCKS1,ZNF106,RB1,KMT2C,USP37,TAOK1,RALGAPA2,ATF7IP,YEATS2,CHD7,PRCC,SBNO1,RIF1,PPP1R10,VPS13C,POLE,PKM,SUFU,TRIM33,NME2,PPP1R12B,MYO10,MYO9B,HCFC1,GTF3C1,ATAD2,FRYL,CNNM4,SIPA1L1,RALGAPA1,PRR14L,CNOT6L,TMEM245,MACF1,KLHL18,RHOBTB2,PRRC2C,FAM120A,NUP205,MAST2,ERC1,ZHX3,KIF21B,KDM2A,FNDC3A,FASN,BPTF,EP300,CELSR2,ASXL1,TTC7B,PWWP3B,CREBBP,ARAP2,BAZ2A,NFAT5,PRPF8,CORO2B,UBE4B,SPRY3",0,GMT,180,keep,itself,,1.0,0.0,0,True,1,10.0,GSE27241 WT VS RORGT KO TH17 POLARIZED CD4 TCELL TREATED WITH DIGOXIN UP,"GSE27241 WT VS RORGT KO TH17 POLARIZED CD4
TCELL TREATED WITH DIGOXIN UP",1
2,GSE7509_UNSTIM_VS_FCGRIIB_STIM_MONOCYTE_DN,GSE7509_UNSTIM_VS_FCGRIIB_STIM_MONOCYTE_DN,2.07102259105e-05,158,61,"NCAPD2,DEPDC5,CEP135,TTLL4,NCOR1,GTF2IRD1,LRRFIP1,HAP1,NAV2,CDC42BPA,ZBTB37,HMCN1,CHD9,CLMN,PARP8,PRDM2,VWF,TEAD1,STX3,WNK1,RAF1,EPS15L1,FHIP2A,TNRC6C,MICAL3,VARS2,REXO4,RSAD1,ASXL2,PANK4,INO80D,PMS2,SCAPER,ITGA9,FMN1,ACACB,ZDHHC1,GOLGA1,TNRC6A,AGO2,BRPF3,BOD1L1,BRWD3,CABIN1,R3HDM1,MACF1,BICD2,NUP210,FSTL4,TRAK1,MTF2,STXBP5,AASDH,FCHO2,BAZ2A,NFAT5,ZER1,TUBGCP3,GPHN,FRY,TROAP",20,GMT,166,keep,itself,,1.0,0.0,0,True,27,4.6838151637261305,GSE7509 UNSTIM VS FCGRIIB STIM MONOCYTE DN,GSE7509 UNSTIM VS FCGRIIB STIM MONOCYTE DN,2
3,GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_DN,GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_DN,3.4281827302e-06,195,74,"SNX20,MAML1,MARF1,IKBKE,NCOR1,KIF3B,KIAA2013,DCAF5,SRSF9,CBL,TNRC18,DHX16,ARID1A,TRIM8,NCOA4,PHAF1,ORAI2,TFEB,ZNF217,PTTG1IP,TNFAIP2,TGFBR2,TCF20,TAF5,ZFP36L2,NT5DC2,SMAP2,ZNF106,RPS6KA1,MRTFA,MAVS,APMAP,APOBR,PHIP,BCOR,POLR2B,KDM3B,CAB39,KLF13,GDE1,RTCB,CALHM2,RRM2B,ARRB1,NBR1,ZNF710,IFNAR1,GRB2,BCL9L,MAT2B,AMPD2,SIN3A,BOD1L1,DCAF12,RICTOR,PLXNB2,NUP62,PUM2,USP22,TBC1D2B,NCOA6,MLXIP,ATF5,FOXK1,PHC2,NAGS,CSK,TCEANC2,TNFAIP8L1,CMKLR1,FOXN3,CTCF,DCAF7,CTDSP2",15,GMT,200,keep,itself,,1.0,0.0,0,True,16,5.464936037214856,GSE9988 ANTI TREM1 VS CTRL TREATED MONOCYTES DN,"GSE9988 ANTI TREM1 VS CTRL TREATED MONOCYTES
DN",3
4,GSE19888_ADENOSINE_A3R_ACT_VS_TCELL_MEMBRANES_ACT_AND_A3R_INH_PRETREAT_IN_MAST_CELL_DN,GSE19888_ADENOSINE_A3R_ACT_VS_TCELL_MEMBRANES_ACT_AND_A3R_INH_PRETREAT_IN_MAST_CELL_DN,7.82948083164e-05,195,67,"TANC1,MICALL1,AJUBA,TNS4,PRRC2B,FZD6,KMT2D,REEP4,PHAF1,C3orf52,DDR1,TTC3,TFAP2A,KLF5,SPTAN1,SLC6A8,CDCP1,PERP,SDC1,RPS9,RPL28,UPF1,PTPRF,PTPN14,SH3RF1,RANBP10,ARID1B,BAIAP2L1,CDC42BPG,ANO1,ESRP1,ANKRD16,BCL11A,MTM1,ABCC1,MEF2D,LAD1,KRT5,ITPR2,ITGA3,FREM2,TFAP2E,H1-2,STRN4,GRB7,SACK1H,GOLGA4,SERBP1,RPAP1,SUN2,ARHGEF18,FGFR2,FAT1,ERBB3,ZBTB7C,CELSR2,AGO4,DSP,DAG1,LDLRAD3,CD109,SACK1F,RALBP1,TSPAN9,NFAT5,SPINT2,HUWE1",42,GMT,199,keep,itself,,1.0,0.0,0,True,36,4.106267034804026,GSE19888 ADENOSINE A3R ACT VS TCELL MEMBRANES ACT AND A3R INH PRETREAT IN MAST CELL DN,"GSE19888 ADENOSINE A3R ACT VS TCELL MEMBRANES
ACT AND A3R INH PRETREAT IN MAST CELL DN",4
5,GSE10147_IL3_VS_IL3_AND_HIVP17_STIM_PDC_UP,GSE10147_IL3_VS_IL3_AND_HIVP17_STIM_PDC_UP,3.325007831e-07,162,67,"UBE3C,CEP135,TAOK2,OTULIN,ARHGEF7,SYNJ1,MBTPS1,THOC5,NIPSNAP1,RELT,WDR73,COG3,DOCK8,KIAA0319L,SF1,FMNL1,VCL,SORL1,SORD,ZNF106,UPF1,RB1,RPTOR,RNPEPL1,PSAP,CCDC88A,TBC1D19,BCOR,VPS13C,CSNK1G1,PFKP,CTDSPL2,UBR5,DNAJC27,NFYC,MIPEP,PTAR1,KCNF1,KCNA2,ITPR2,IDS,HLCS,CXXC1,TNRC6A,NNT,R3HDM1,VPS8,CLEC16A,ATP11A,RPRD2,WDTC1,USP33,MLXIP,PPP6R1,FNDC3A,DENND6A,TTBK2,CSK,MPP7,ATF6B,CRAT,TNFAIP8L1,RNF157,AKAP11,DIDO1,PATJ,MED16",6,GMT,166,keep,itself,,1.0,0.0,0,True,7,6.478207327516942,GSE10147 IL3 VS IL3 AND HIVP17 STIM PDC UP,GSE10147 IL3 VS IL3 AND HIVP17 STIM PDC UP,5
6,GSE360_CTRL_VS_L_DONOVANI_DC_UP,GSE360_CTRL_VS_L_DONOVANI_DC_UP,2.3318430967e-06,191,74,"MED12,NCAPD2,PPP1R26,BLTP2,VGLL4,SDC3,MDC1,CD33,SLC7A7,EIF2B5,MCM3AP,ARHGEF7,KCNAB2,PIP4K2B,SYMPK,ISG20L2,ADIPOR2,USF2,TTC3,C3AR1,TNR,TMF1,SORL1,MPPE1,SLC1A4,SELENOP,RXRA,RPS6KA2,RPS6KA1,AASDHPPT,DDX28,PLCG2,PIP4K2A,NDUFV1,MYO7A,MTHFR,LTB,LSP1,LRP1,FADS1,KRT12,ITGA3,INPP5D,HLA-E,GPX3,EIF3K,PDCD4,GART,ANKRD17,FAM169A,HINFP,SGMS1,ZNF473,CBX5,TARDBP,DNAJC16,DNAJC9,TBC1D2B,ZBTB1,TRAPPC8,LMTK2,ANKRD26,FEN1,ALDH1B1,EIF4EBP1,AHCY,DPYD,DIAPH1,AP2A2,MTCL2,COL15A1,RASSF8,CDK5,ABCC5",16,GMT,199,keep,itself,,1.0,0.0,0,True,14,5.632300675409542,GSE360 CTRL VS L DONOVANI DC UP,GSE360 CTRL VS L DONOVANI DC UP,6
7,GSE22611_UNSTIM_VS_2H_MDP_STIM_MUTANT_NOD2_TRANSDUCED_HEK293T_CELL_DN,GSE22611_UNSTIM_VS_2H_MDP_STIM_MUTANT_NOD2_TRANSDUCED_HEK293T_CELL_DN,7.859157698e-06,183,72,"LILRB4,IP6K1,TATDN2,SETD1A,TGFBRAP1,MTDH,BAZ1B,SYNJ1,RIPK1,GBF1,RUVBL1,ACTL6A,THOC5,COPS3,ASCC2,LONP2,SNX27,CLPTM1L,VCPIP1,KIAA0319L,LPCAT1,TSC1,TMF1,TLE4,TK2,TCF12,ELOA,TAF2,INTS3,THOC2,AGPAT3,PLEKHB2,VPS13C,NDE1,PLCG2,RSF1,LIMA1,NSF,NOTCH2,MBNL1,KARS1,APP,HMGCR,FRYL,GNA12,EML4,GLG1,TUBGCP4,AKAP8L,UPF2,RNF144B,GABPA,TNPO3,CABIN1,NCAPD3,LARP4B,NCOA6,HIPK1,AHCY,DLAT,AP2B1,CUX1,CSNK1A1,NACC1,SEC23IP,CDC37,MAPRE2,ENOX2,UBE4B,CTDSP2,TSPAN5,SH2B3",24,GMT,186,keep,itself,,1.0,0.0,0,True,22,5.104623996799346,GSE22611 UNSTIM VS 2H MDP STIM MUTANT NOD2 TRANSDUCED HEK293T CELL DN,"GSE22611 UNSTIM VS 2H MDP STIM MUTANT NOD2
TRANSDUCED HEK293T CELL DN",7
8,GSE40493_BCL6_KO_VS_WT_TREG_UP,GSE40493_BCL6_KO_VS_WT_TREG_UP,2.43158826337e-05,174,67,"SETDB1,CEP170,URB2,LPIN2,HS2ST1,CTDP1,ARHGEF7,EIF3A,THOC5,USP45,CGNL1,UTP15,KATNAL1,TRRAP,USP9X,ZYG11B,RPAP3,DDX54,EZR,TUBB2A,TRIO,TMF1,SUPT6H,SOS2,DDX31,EXO5,PJA1,SEL1L,RREB1,PTPN11,RALGAPA2,CHMP1B,PSMD7,CTPS2,PKN2,N4BP2,UBA6,USP40,VPS13D,DYNC2I1,SAMD4B,PLS3,SUFU,PDE2A,UCHL5,RLIM,LMAN1,FADS1,SERTAD3,GOLGA4,GLG1,VPS41,BOD1L1,PRPF6,SIN3B,RCOR1,RRP1B,NCOA6,EXTL3,ECE1,DLD,ARAP1,NACC1,YME1L1,ADAM10,RAD50,SAE1",28,GMT,177,keep,itself,,1.0,0.0,0,True,30,4.614109961506525,GSE40493 BCL6 KO VS WT TREG UP,GSE40493 BCL6 KO VS WT TREG UP,8
9,GSE18281_PERIMEDULLARY_CORTICAL_REGION_VS_WHOLE_CORTEX_THYMUS_UP,GSE18281_PERIMEDULLARY_CORTICAL_REGION_VS_WHOLE_CORTEX_THYMUS_UP,2.5617038936e-06,187,73,"FCGR2A,EPHA7,KLHL21,PTDSS1,LRRC14,CELSR1,ADGRG1,SRSF9,NCOA1,RITA1,BAP1,MADCAM1,MAB21L4,ZNF142,VCL,UBA1,TSC2,TLN1,SPTBN2,PHACTR4,INTS3,NSD1,RXRA,BCL9,UPF1,RALGDS,POGK,PTMA,PSEN1,PRKCZ,PKN2,ADCY10,CHFR,FAM222B,POLR2A,GEMIN4,NOTCH1,MCM2,KRT19,JUP,ITGB4,INHBB,IMPDH2,CPSF1,ANAPC2,GLI3,R3HCC1L,TRMT2A,NKX2-8,ZNF500,AAR2,CADM1,PLXNB2,CBX5,PUM2,ERC1,ZNF609,KDM1A,ABCF1,BPTF,E2F2,COCH,DCTN1,FBXO41,CSK,CPT1A,PNKP,FOXN3,CARM1,IRF9,B3GNT3,SAE1,MED16",13,GMT,200,keep,itself,,1.0,0.0,0,True,15,5.591471071627847,GSE18281 PERIMEDULLARY CORTICAL REGION VS WHOLE CORTEX THYMUS UP,"GSE18281 PERIMEDULLARY CORTICAL REGION VS
WHOLE CORTEX THYMUS UP",9
10,GSE18281_SUBCAPSULAR_CORTICAL_REGION_VS_WHOLE_MEDULLA_THYMUS_UP,GSE18281_SUBCAPSULAR_CORTICAL_REGION_VS_WHOLE_MEDULLA_THYMUS_UP,5.74800625572e-05,187,68,"MED12,AREL1,CELSR1,ADGRG1,SRSF9,EIF3B,NCOA1,PIAS1,INHBE,TRRAP,RNF39,ALG9,PRRC2A,MOGS,ZNF177,UCP1,TSC2,TLN1,TESK1,TCOF1,TCF20,SUPT6H,INTS3,SIM2,NSD1,BCL9,POGK,PSEN1,SLC2A9,KLK10,PKN2,FAM222B,POLR3E,AMBRA1,NAT10,RNF216,KRT20,POLR2A,PLOD1,GEMIN4,NOTCH1,MGAT1,KRT12,KRT5,JUP,ITGB4,HSPG2,CPSF1,ANAPC2,AFF4,ZNF500,EHBP1L1,ZNF318,TFIP11,PLXNB2,SRRM2,ATP13A2,SIN3B,ZC3H4,ERC1,KDM1A,SCMH1,NLRP1,EP300,DCTN1,WIPF2,ADD1,PNKP",41,GMT,199,keep,itself,,1.0,0.0,0,True,34,4.240482767882419,GSE18281 SUBCAPSULAR CORTICAL REGION VS WHOLE MEDULLA THYMUS UP,"GSE18281 SUBCAPSULAR CORTICAL REGION VS WHOLE
MEDULLA THYMUS UP",10
