term_id	term_name	p_value	term_size	intersection_size	intersection
KEGG_PROTEIN_EXPORT	KEGG_PROTEIN_EXPORT	0.0005373580596732	23	22	SPCS2,SEC11C,IMMP2L,SEC62,SRPRA,SRP68,SRP54,SRP14,SRPRB,SEC61A2,HSPA5,IMMP1L,SEC63,SEC61B,SRP72,SRP19,SRP9,SPCS3,OXA1L,SPCS1,SEC61G,SEC11A
KEGG_AUTOIMMUNE_THYROID_DISEASE	KEGG_AUTOIMMUNE_THYROID_DISEASE	0.0010396112157419	31	12	TPO,IL5,IL4,HLA-F,HLA-E,HLA-DRB1,HLA-DQB1,HLA-DQA1,HLA-DOB,HLA-DMB,HLA-C,HLA-A
KEGG_HEDGEHOG_SIGNALING_PATHWAY	KEGG_HEDGEHOG_SIGNALING_PATHWAY	0.0009247902203913	53	33	WNT5B,WNT10A,WNT9B,WNT11,WNT10B,WNT1,SMO,BMP7,BMP4,HHIP,PRKACA,WNT4,DHH,BMP8A,GLI2,CSNK1G2,CSNK1E,CSNK1D,BTRC,WNT9A,WNT2B,WNT8B,WNT7B,WNT6,WNT3,BMP6,SHH,PTCH1,PRKX,CSNK1G1,RAB23,SUFU,WNT16
KEGG_ASTHMA	KEGG_ASTHMA	0.0023985305523887	22	9	EPX,PRG2,IL5,IL4,HLA-DRB1,HLA-DQB1,HLA-DQA1,HLA-DOB,HLA-DMB
KEGG_RIBOSOME	KEGG_RIBOSOME	0.0007898311645626	85	63	RPS29,RPS27A,RPS27,RPS26,RPS25,RPS24,RPS23,RPS21,RPS20,RPS19,RPS18,RPS15A,RPS13,RPS11,RPS10,RPS8,RPS7,RPS6,RPS4X,RPS3A,RPS2,RPL39,RPL38,RPL37A,RPL37,RPL36AL,RPL35A,RPL34,RPL32,RPL31,RPL29,RPL27A,RPL30,RPL27,RPL24,RPL23A,RPL21,RPL19,RPL18,RPL11,RPL9,RPL7A,RPL7,RPL6,RPL5,RPL4,RPL26L1,MRPL13,RPL13A,RPL22L1,RPS17,RPS12,RPL36A,RPL41,RPL26,RPL22,RPL15,RPL10,RPL3L,RSL24D1,RPS27L,RPL10A,RPSA
KEGG_BASAL_CELL_CARCINOMA	KEGG_BASAL_CELL_CARCINOMA	0.00131821047891	54	30	FZD4,FZD1,WNT5B,WNT10A,WNT9B,WNT11,WNT10B,WNT1,SMO,BMP4,HHIP,WNT4,APC,GLI2,FZD2,DVL2,DVL1,FZD9,FZD7,FZD6,AXIN2,AXIN1,FZD5,WNT9A,WNT2B,WNT8B,WNT7B,WNT6,WNT3,TP53
KEGG_VEGF_SIGNALING_PATHWAY	KEGG_VEGF_SIGNALING_PATHWAY	0.000750401384309	73	23	JMJD7-PLA2G4B,PLA2G10,PLA2G6,SRC,MAPK12,RAF1,RAC3,RAC2,PTK2,PTGS2,BAD,SPHK2,MAP2K2,MAPK13,MAPK11,PRKCG,PIK3CG,PLA2G3,NFATC1,PLA2G2C,HSPB1,HRAS,SHC2
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	0.0025381166832974	30	11	IL5,IL4,HLA-F,HLA-E,HLA-DRB1,HLA-DQB1,HLA-DQA1,HLA-DOB,HLA-DMB,HLA-C,HLA-A
KEGG_RNA_DEGRADATION	KEGG_RNA_DEGRADATION	0.0045951211841739	57	29	LSM3,LSM1,LSM4,EXOSC2,DIS3,ENO3,DCP1B,DCP2,LSM6,MPHOSPH6,CNOT8,CNOT9,SKIC8,CNOT6,EXOSC9,LSM8,EXOSC3,CNOT4,CNOT2,HSPA9,CNOT7,DCPS,CNOT10,LSM5,MTREX,PATL1,DDX6,EXOSC8,PAPOLA
KEGG_LEISHMANIA_INFECTION	KEGG_LEISHMANIA_INFECTION	0.0054261667391382	63	40	TRAF6,MAPK12,PTGS2,MAPK13,MAPK11,NFKBIB,NFKBIA,JUN,ITGB2,ITGAM,IL4,HLA-DRB1,HLA-DQB1,HLA-DQA1,HLA-DOB,HLA-DMB,FOS,ELK1,CYBA,TAB1,C3,TGFB3,TGFB1,STAT1,NCF1,RELA,PTPN6,MAPK3,PRKCB,IRAK4,NOS2,NFKB1,JAK1,ITGB1,ITGA4,IRAK1,IL12A,IFNGR2,HLA-DRA,HLA-DPA1
