Pathway,PROTEIN EXPORT,VEGF SIGNALING PATHWAY,MAPK SIGNALING PATHWAY,FC EPSILON RI SIGNALING PATHWAY,ERBB SIGNALING PATHWAY,CHRONIC MYELOID LEUKEMIA,AXON GUIDANCE,RIBOSOME,HEDGEHOG SIGNALING PATHWAY,BASAL CELL CARCINOMA,AUTOIMMUNE THYROID DISEASE,ALLOGRAFT REJECTION,GRAFT VERSUS HOST DISEASE,TYPE I DIABETES MELLITUS,CELL ADHESION MOLECULES CAMS,ASTHMA,LEISHMANIA INFECTION,OXIDATIVE PHOSPHORYLATION,PARKINSONS DISEASE,CITRATE CYCLE TCA CYCLE,NEUROACTIVE LIGAND RECEPTOR INTERACTION,ENDOCYTOSIS,SPLICEOSOME,RNA DEGRADATION,UBIQUITIN MEDIATED PROTEOLYSIS,CELL CYCLE,CYTOKINE CYTOKINE RECEPTOR INTERACTION,RIG I LIKE RECEPTOR SIGNALING PATHWAY,"GLYCOSAMINOGLYCAN BIOSYNTHESIS CHONDROITIN
SULFATE",NOTCH SIGNALING PATHWAY,BASAL TRANSCRIPTION FACTORS,CIRCADIAN RHYTHM MAMMAL,SNARE INTERACTIONS IN VESICULAR TRANSPORT
PROTEIN EXPORT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VEGF SIGNALING PATHWAY,0.0,1.0,0.6578947368421053,0.6052631578947368,0.3684210526315789,0.27631578947368424,0.2894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.013157894736842105,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.02631578947368421,0.05263157894736842,0.0,0.0,0.0,0.0,0.0
MAPK SIGNALING PATHWAY,0.0,0.18726591760299627,1.0,0.1760299625468165,0.1198501872659176,0.11235955056179775,0.07865168539325842,0.0,0.0149812734082397,0.003745318352059925,0.00749063670411985,0.011235955056179775,0.018726591760299626,0.018726591760299626,0.0,0.003745318352059925,0.08239700374531835,0.0,0.003745318352059925,0.0,0.0,0.06741573033707865,0.02247191011235955,0.0,0.00749063670411985,0.033707865168539325,0.07116104868913857,0.06367041198501873,0.0,0.0,0.0,0.0,0.0
FC EPSILON RI SIGNALING PATHWAY,0.0,0.5822784810126582,0.5949367088607594,1.0,0.3924050632911392,0.2911392405063291,0.11392405063291139,0.0,0.0,0.0,0.02531645569620253,0.0379746835443038,0.012658227848101266,0.012658227848101266,0.0,0.10126582278481013,0.11392405063291139,0.0,0.0,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0759493670886076,0.10126582278481013,0.0,0.0,0.0,0.0,0.0
ERBB SIGNALING PATHWAY,0.0,0.3218390804597701,0.367816091954023,0.3563218390804598,1.0,0.45977011494252873,0.1839080459770115,0.0,0.011494252873563218,0.011494252873563218,0.0,0.0,0.0,0.0,0.0,0.0,0.05747126436781609,0.0,0.0,0.0,0.0,0.10344827586206896,0.0,0.0,0.034482758620689655,0.05747126436781609,0.022988505747126436,0.034482758620689655,0.0,0.0,0.0,0.0,0.0
CHRONIC MYELOID LEUKEMIA,0.0,0.2876712328767123,0.410958904109589,0.3150684931506849,0.547945205479452,1.0,0.0821917808219178,0.0,0.0,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.1095890410958904,0.0,0.0,0.0,0.0,0.0684931506849315,0.0,0.0,0.0547945205479452,0.2876712328767123,0.0684931506849315,0.0821917808219178,0.0,0.0547945205479452,0.0,0.0,0.0
AXON GUIDANCE,0.0,0.17054263565891473,0.16279069767441862,0.06976744186046512,0.12403100775193798,0.046511627906976744,1.0,0.0,0.007751937984496124,0.007751937984496124,0.0,0.0,0.0,0.0,0.015503875968992248,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.031007751937984496,0.0,0.0,0.0,0.015503875968992248,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0
RIBOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEDGEHOG SIGNALING PATHWAY,0.0,0.0,0.07142857142857142,0.0,0.017857142857142856,0.0,0.017857142857142856,0.0,1.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.017857142857142856,0.03571428571428571,0.0,0.0,0.0,0.0,0.03571428571428571,0.0
BASAL CELL CARCINOMA,0.0,0.0,0.01818181818181818,0.0,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.0,0.5818181818181818,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.01818181818181818,0.0,0.0,0.05454545454545454,0.0,0.0,0.0
