Heatmap_Rank,term_id,term_name,p_value,term_size,intersection_size,intersection,Input_Order,Pathway_Gene_Source,Pathway_Gene_Count,Filtered,Versus,Versus Name,Result,Reciprocal pvalue,DEGs in Intersection,Is Reciprocal,GSEA_Rank,Neg_Log10_P,Pathway_Label_Clean,Pathway_Label,Heatmap_Cluster_Rank
1,GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT,GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT,3.911263962e-06,168,58,"COL23A1,COL27A1,FBN3,LTBP4,COL18A1,PODNL1,ZP3,COL14A1,TNXB,TECTA,VWA1,PRG2,PCOLCE,OGN,NID1,MUC4,MUC3A,MUC2,MFAP4,MFAP2,MATN2,MATN1,LAMB3,LAMB1,LAMA5,CCN1,TNC,LAMA1,OTOGL,FMOD,FGA,FBN2,FBN1,FBLN1,COL15A1,COL11A2,COL9A3,COL8A2,COL6A2,COL5A1,COL4A2,COL3A1,COL2A1,COL1A2,COL1A1,EMILIN1,POSTN,FBLN5,ADIPOQ,ASPN,MGP,AMELX,COL6A5,FGG,FGB,COL8A1,PRG3,ENAM",4,GMT,181,keep,itself,,1.0,0.0,0.0,True,1,5.407682873546298,EXTRACELLULAR MATRIX STRUCTURAL CONSTITUENT,EXTRACELLULAR MATRIX STRUCTURAL CONSTITUENT,1
2,GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH,GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH,0.0002136797582949,42,36,"COL23A1,COL27A1,COL18A1,COL14A1,COL15A1,COL11A2,COL9A3,COL8A2,COL6A2,COL5A1,COL4A2,COL3A1,COL2A1,COL1A2,COL1A1,COL6A5,COL8A1,COL21A1,COL5A3,COL28A1,COL24A1,COL22A1,COL17A1,COL16A1,COL13A1,COL12A1,COL10A1,COL9A2,COL7A1,COL6A3,COL6A1,COL4A6,COL4A5,COL4A4,COL4A3,COL4A1",2,GMT,42,keep,itself,,1.0,0.0,0.0,True,8,3.670236616241132,EXTRACELLULAR MATRIX STRUCTURAL CONSTITUENT CONFERRING TENSILE STRENGTH,"EXTRACELLULAR MATRIX STRUCTURAL CONSTITUENT
CONFERRING TENSILE STRENGTH",2
3,GOMF_PLATELET_DERIVED_GROWTH_FACTOR_BINDING,GOMF_PLATELET_DERIVED_GROWTH_FACTOR_BINDING,0.0020642901230055,11,7,"PDGFB,PDGFA,COL5A1,COL3A1,COL2A1,COL1A2,COL1A1",13,GMT,11,keep,GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT,GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT,0.4697,0.0353,5.0,True,28,2.685229265394741,PLATELET DERIVED GROWTH FACTOR BINDING,PLATELET DERIVED GROWTH FACTOR BINDING,3
4,GOMF_PROTEIN_TYROSINE_KINASE_ACTIVITY,GOMF_PROTEIN_TYROSINE_KINASE_ACTIVITY,2.94646746572e-05,142,45,"AATK,EIF2AK3,DYRK1B,PKDCC,STK16,DYRK2,DYRK3,WEE1,TYRO3,TYK2,TESK1,SYK,SRC,BCR,RET,PTK2,MAP2K3,MAP2K2,PDGFRL,ROR2,NTRK1,MST1R,MET,MATK,LTK,LCK,INSRR,HIPK2,ABL1,FRK,FGR,FGFR4,ERBB4,ERBB3,EPHB6,EPHB4,EPHB3,EPHB2,EPHA4,EPHA3,EPHA1,EPHA2,EFNB3,CLK3,CLK2",11,GMT,144,keep,itself,,1.0,0.0,0.0,True,2,4.530698349931562,PROTEIN TYROSINE KINASE ACTIVITY,PROTEIN TYROSINE KINASE ACTIVITY,4
5,GOMF_EPHRIN_RECEPTOR_ACTIVITY,GOMF_EPHRIN_RECEPTOR_ACTIVITY,0.0011307254924967,18,10,"NTRK1,EPHB6,EPHB4,EPHB3,EPHB2,EPHA4,EPHA3,EPHA1,EPHA2,EFNB3",9,GMT,19,keep,itself,,1.0,0.0,0.0,True,22,2.9466428164396974,EPHRIN RECEPTOR ACTIVITY,EPHRIN RECEPTOR ACTIVITY,5
6,GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY,GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY,0.001499798214697,60,20,"TYRO3,RET,PDGFRL,ROR2,NTRK1,MST1R,MET,LTK,INSRR,FGFR4,ERBB4,EPHB6,EPHB4,EPHB3,EPHB2,EPHA4,EPHA3,EPHA1,EPHA2,EFNB3",19,GMT,62,exclude,GOMF_EPHRIN_RECEPTOR_ACTIVITY,GOMF_EPHRIN_RECEPTOR_ACTIVITY,0.0248,1.0,10.0,False,23,2.8239671677033753,TRANSMEMBRANE RECEPTOR PROTEIN TYROSINE KINASE ACTIVITY,"TRANSMEMBRANE RECEPTOR PROTEIN TYROSINE
KINASE ACTIVITY",6
7,GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_KINASE_ACTIVITY,GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_KINASE_ACTIVITY,0.0004510834323352,78,25,"ACVRL1,ACVR2A,LTBP4,TYRO3,BMPR1B,RET,PDGFRL,ROR2,NTRK1,MST1R,MET,LTK,INSRR,FGFR4,ERBB4,EPHB6,EPHB4,EPHB3,EPHB2,EPHA4,EPHA3,EPHA1,EPHA2,EFNB3,HJV",18,GMT,80,keep,GOMF_PROTEIN_TYROSINE_KINASE_ACTIVITY,GOMF_PROTEIN_TYROSINE_KINASE_ACTIVITY,0.4795,0.4806,20.0,False,11,3.3457431236394535,TRANSMEMBRANE RECEPTOR PROTEIN KINASE ACTIVITY,"TRANSMEMBRANE RECEPTOR PROTEIN KINASE
ACTIVITY",7
8,GOMF_UBIQUITIN_LIKE_PROTEIN_CONJUGATING_ENZYME_ACTIVITY,GOMF_UBIQUITIN_LIKE_PROTEIN_CONJUGATING_ENZYME_ACTIVITY,8.03912565157e-05,43,19,"UBE2N,UBE2G2,UBE2G1,UBE2E2,UBE2D3,UBE2D2,UBE2B,UBE2A,TSG101,ATG3,AKTIP,UBE2W,UBE2J1,UBE2NL,UBE2K,UBE2T,UBE2L5,UBE2U,UBE2E3",0,GMT,43,keep,itself,,1.0,0.0,0.0,True,3,4.0947911832599315,UBIQUITIN LIKE PROTEIN CONJUGATING ENZYME ACTIVITY,"UBIQUITIN LIKE PROTEIN CONJUGATING ENZYME
ACTIVITY",8
9,GOMF_DNA_BINDING_TRANSCRIPTION_ACTIVATOR_ACTIVITY,GOMF_DNA_BINDING_TRANSCRIPTION_ACTIVATOR_ACTIVITY,8.58780025048e-05,416,111,"ARNT2,ZEB2,CLOCK,LHX2,KLF4,ZBED1,ZNF341,GLIS2,SOX14,GFI1B,CSRNP2,LHX3,NR4A3,CSRNP3,ZNF750,TFEB,IRX3,ZBTB17,ZNF143,ZNF76,MZF1,ZFX,USF2,NR1H2,TFAP4,TCF3,HNF1A,TBX5,STAT5B,CSRNP1,PRDM15,PRDM16,RXRB,RREB1,RPS3,RORB,RFX4,RFX2,ZNF71,ZFAT,TBX20,MEIS3,MESP1,FEV,POU4F3,MLXIPL,ZBTB7B,FOXP3,PBX2,NR4A2,NKX6-1,NFKB2,NFATC1,ATF3,MEOX1,BORCS8-MEF2B,MAFA,JUND,JUNB,JUN,IRF5,IRF3,IRF1,FOXK2,TFAP2E,HOXC13,HOXA13,HOXA9,TLX1,FOXA2,NR4A1,HLF,GRHL1,NPAS4,HEYL,GATA3,MAFF,FOSB,FOS,FOXO3,FOXJ1,FOXF1,ATF5,TFEC,ETV2,ESRRG,ESRRA,ELK1,ELF4,ELF3,EGR4,EGR3,EGR2,EGR1,E4F1,E2F1,DLX2,GLIS1,NKX2-5,SIX5,KLF6,HSF5,OSR2,PRDM4,SIX2,CEBPA,CREB3,HDAC5,ZIC1,NR2E1,POU1F1",76,GMT,452,keep,itself,,1.0,0.0,0.0,True,4,4.066118065670719,DNA BINDING TRANSCRIPTION ACTIVATOR ACTIVITY,DNA BINDING TRANSCRIPTION ACTIVATOR ACTIVITY,9
10,GOMF_ATPASE_ACTIVATOR_ACTIVITY,GOMF_ATPASE_ACTIVATOR_ACTIVITY,0.0017860275705969,26,19,"DNAJC10,FXYD2,ATP1B2,MYBPC3,DNAJC15,DNAJC2,DNAJC19,DNAJC24,AHSA1,DNAJA2,DNAJB6,NKRF,DNAJA4,ATP1B3,DNAJA1,TOR1AIP1,TOR1AIP2,HSCB,DNAJB4",27,GMT,27,keep,itself,,1.0,0.0,0.0,True,26,2.7481118412673617,ATPASE ACTIVATOR ACTIVITY,ATPASE ACTIVATOR ACTIVITY,10
11,GOMF_SULFOTRANSFERASE_ACTIVITY,GOMF_SULFOTRANSFERASE_ACTIVITY,0.0001071337282165,50,25,"HS3ST1,GAL3ST1,CHST10,CHST2,HS6ST1,CHST1,GAL3ST4,SULT1A3,HS3ST6,NDST4,GAL3ST2,CHST7,CHST15,SULT1C3,CHST6,SULT1C4,WSCD1,CHST13,CHST14,CHST4,GAL3ST3,SULT1E1,HS3ST2,HS3ST4,CHST3",3,GMT,53,keep,itself,,1.0,0.0,0.0,True,5,3.9700737815275806,SULFOTRANSFERASE ACTIVITY,SULFOTRANSFERASE ACTIVITY,11
