Data_Type,Dataset_ID,Plot_Category,Analysis_Name,GeneSet_Name,GSEA_Result_File,Pathway ID,Name,pvalue,DEG number,DEG Density,Intersecton size,DEGs in Intersection,Result,Reciprocal pvalue,Filtered,Versus,Versus Name,Is Reciprocal,Top Genes
ngs,GSE282081,ATF3_correlation,3D_organoid_J2_hepatocyte,IMMUNESIGDB,results/ngs/GSE282081/tables/ATF3_function/3D_organoid_J2_hepatocyte/GSEA/IMMUNESIGDB/gsea_result.csv,GSE13485_DAY1_VS_DAY21_YF17D_VACCINE_PBMC_DN,GSE13485_DAY1_VS_DAY21_YF17D_VACCINE_PBMC_DN,1e-10,136,0.6939,0,0,1.0,0.0,keep,itself,,True,"SURF2,STYX,SNRPG,SUMO2,SKP1,MARCHF7,MRPS14,RPL38,CCDC90B,RFC5,RFC4,UBL5,ABHD10,UFSP2,CENPQ,PPP2R3C,PARPBP,HPF1,PPID,MRPL50"
ngs,GSE282081,ATF3_correlation,3D_organoid_J2_hepatocyte,IMMUNESIGDB,results/ngs/GSE282081/tables/ATF3_function/3D_organoid_J2_hepatocyte/GSEA/IMMUNESIGDB/gsea_result.csv,GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_UP,GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_UP,6.33e-10,72,0.36,0,0,1.0,0.0,keep,itself,,True,"CCS,SAFB2,TMEM259,MTA1,SART1,AIP,GADD45GIP1,DCAF15,TNFRSF14,DGKZ,TSPAN14,LIMD2,NAA60,THOC6,RBM42,ZBTB17,TKT,SNRNP70,ANTKMT,SIPA1"
ngs,GSE282081,ATF3_correlation,3D_organoid_J2_hepatocyte,IMMUNESIGDB,results/ngs/GSE282081/tables/ATF3_function/3D_organoid_J2_hepatocyte/GSEA/IMMUNESIGDB/gsea_result.csv,GSE36891_UNSTIM_VS_POLYIC_TLR3_STIM_PERITONEAL_MACROPHAGE_UP,GSE36891_UNSTIM_VS_POLYIC_TLR3_STIM_PERITONEAL_MACROPHAGE_UP,2.13e-09,55,0.3691,0,0,1.0,0.0,keep,itself,,True,"SV2A,IER2,NEURL3,MYOZ3,IER3,KRT36,HSD17B6,DYRK3,RND2,ADAM12,TRIM45,NR4A3,BTG2,ZFP36,WNT11,TNFAIP3,TNFAIP2,BTN1A1,CHTF18,SDC4"
ngs,GSE282081,ATF3_correlation,3D_organoid_J2_hepatocyte,IMMUNESIGDB,results/ngs/GSE282081/tables/ATF3_function/3D_organoid_J2_hepatocyte/GSEA/IMMUNESIGDB/gsea_result.csv,GSE5099_UNSTIM_VS_MCSF_TREATED_MONOCYTE_DAY7_UP,GSE5099_UNSTIM_VS_MCSF_TREATED_MONOCYTE_DAY7_UP,8.28e-09,139,0.695,0,0,1.0,0.0,keep,itself,,True,"NUP37,ZNF157,CNBP,UBE2L3,SURF1,SQLE,SHMT1,TMEM168,RPL24,RPL23A,RNASE6,RLF,RHD,SENP7,BAG1,PSMC2,FEM1C,ERO1B,NSFL1C,PBK"
ngs,GSE282081,ATF3_correlation,3D_organoid_J2_hepatocyte,IMMUNESIGDB,results/ngs/GSE282081/tables/ATF3_function/3D_organoid_J2_hepatocyte/GSEA/IMMUNESIGDB/gsea_result.csv,GSE28237_FOLLICULAR_VS_EARLY_GC_BCELL_DN,GSE28237_FOLLICULAR_VS_EARLY_GC_BCELL_DN,1.23e-08,77,0.385,0,0,1.0,0.0,keep,itself,,True,"BRD8,NUP50,NUDC,NSA2,DNAJA2,BCAS2,SPRY3,RELN,PUM3,KIF14,CDC6,CDC5L,CDA,PCLAF,CD44,KIF20B,VAMP3,SRSF11,EOLA1,CNOT9"
ngs,GSE282081,ATF3_correlation,3D_organoid_J2_hepatocyte,IMMUNESIGDB,results/ngs/GSE282081/tables/ATF3_function/3D_organoid_J2_hepatocyte/GSEA/IMMUNESIGDB/gsea_result.csv,GSE32986_CURDLAN_HIGHDOSE_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_DN,GSE32986_CURDLAN_HIGHDOSE_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_DN,3.28e-08,65,0.325,0,0,1.0,0.0,keep,itself,,True,"HERPUD1,ZNF516,ISG15,CD83,DLGAP2,SOCS3,CFLAR,TNFSF9,ZC3H12C,HES7,DYRK2,LIMD2,PLEKHO2,ZC3H12A,NR4A3,SEMA6D,ZFP36,VASP,TNFAIP3,TNFAIP2"
ngs,GSE282081,ATF3_correlation,3D_organoid_J2_hepatocyte,IMMUNESIGDB,results/ngs/GSE282081/tables/ATF3_function/3D_organoid_J2_hepatocyte/GSEA/IMMUNESIGDB/gsea_result.csv,GSE13485_DAY1_VS_DAY3_YF17D_VACCINE_PBMC_DN,GSE13485_DAY1_VS_DAY3_YF17D_VACCINE_PBMC_DN,3.37e-08,127,0.6382,0,0,1.0,0.0,keep,itself,,True,"AZI2,LMBR1,SETMAR,IFIH1,CCDC90B,RFC5,RBBP8,ZNF410,ABHD6,PSME2,FERRY3,RNF20,EIF2AK2,FAR2,MRGBP,FANCL,SLFN12,PPP2R3C,PARPBP,PIGX"
ngs,GSE282081,ATF3_correlation,3D_organoid_J2_hepatocyte,IMMUNESIGDB,results/ngs/GSE282081/tables/ATF3_function/3D_organoid_J2_hepatocyte/GSEA/IMMUNESIGDB/gsea_result.csv,GSE9006_TYPE_1_DIABETES_AT_DX_VS_4MONTH_POST_DX_PBMC_UP,GSE9006_TYPE_1_DIABETES_AT_DX_VS_4MONTH_POST_DX_PBMC_UP,4.77e-08,67,0.335,0,0,1.0,0.0,keep,itself,,True,"HERPUD1,SAFB2,IER2,CD83,SART1,SOCS3,MGAM,TNFRSF14,BHLHE40,CDT1,TSPAN14,PLEKHO2,THOC6,LAPTM5,ZBTB17,ZFP36,VASP,UQCRC1,UPP1,TNFAIP3"
ngs,GSE282081,ATF3_correlation,3D_organoid_J2_hepatocyte,IMMUNESIGDB,results/ngs/GSE282081/tables/ATF3_function/3D_organoid_J2_hepatocyte/GSEA/IMMUNESIGDB/gsea_result.csv,GSE9006_HEALTHY_VS_TYPE_2_DIABETES_PBMC_AT_DX_UP,GSE9006_HEALTHY_VS_TYPE_2_DIABETES_PBMC_AT_DX_UP,5.24e-08,69,0.345,99,36,0.3445,0.5164,keep,GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_UP,GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_UP,False,"MVP,FAM53B,SAFB2,MTA1,SART1,DOK2,TNFRSF14,EIF3F,CBX4,DGKZ,LTBP4,TSPAN14,PABPN1,LIMD2,NAA60,THOC6,FBXL15,TKT,CAPN15,SFPQ"
ngs,GSE282081,ATF3_correlation,3D_organoid_J2_hepatocyte,IMMUNESIGDB,results/ngs/GSE282081/tables/ATF3_function/3D_organoid_J2_hepatocyte/GSEA/IMMUNESIGDB/gsea_result.csv,GSE22886_CD8_VS_CD4_NAIVE_TCELL_UP,GSE22886_CD8_VS_CD4_NAIVE_TCELL_UP,5.84e-08,81,0.405,0,0,1.0,0.0,keep,itself,,True,"CISH,GABARAPL2,GPN1,PARK7,MED8,PDCD10,HPS5,SUPT16H,FAM114A2,NPRL2,ATP8A1,SNAPC5,MRPS31,STX6,ZNF443,NME6,PDCD6,GGPS1,TNFSF14,MKNK1"
