Heatmap_Rank,term_id,term_name,p_value,term_size,intersection_size,intersection,Input_Order,Pathway_Gene_Source,Pathway_Gene_Count,Filtered,Versus,Versus Name,Result,Reciprocal pvalue,DEGs in Intersection,Is Reciprocal,GSEA_Rank,Neg_Log10_P,Pathway_Label_Clean,Pathway_Label,Heatmap_Cluster_Rank
1,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,1e-10,90,63,"RPL23,RPL14,UBA52,RPS29,RPS28,RPS27A,RPS27,RPS25,RPS24,RPS23,RPS21,RPS20,RPS19,RPS18,RPS16,RPS15A,RPS15,RPS14,RPS12,RPS8,RPS6,RPS3A,RPS3,RPLP2,RPLP1,RPLP0,RPL41,RPL39,RPL38,RPL37A,RPL37,RPL36AL,RPL35A,RPL34,RPL32,RPL31,RPL29,RPL27A,RPL30,RPL27,RPL24,RPL23A,RPL21,RPL19,RPL18A,RPL18,RPL13,RPL12,RPL10,RPL9,RPL8,RPL7A,RPL5,RPL3L,RPL3,RPSA,RPL36,FAU,EEF2,EEF1G,EEF1B2,EEF1A1,RPL35",0,GMT,94,keep,itself,,1.0,0.0,0.0,True,1,10.0,EUKARYOTIC TRANSLATION ELONGATION,EUKARYOTIC TRANSLATION ELONGATION,1
2,REACTOME_TRANSLATION,REACTOME_TRANSLATION,1e-10,351,112,"MRPL53,RBX1,SPCS2,MRPL33,RPL23,RPL14,EIF2B2,EIF3I,EIF3H,EIF3F,GFM2,TARS2,MRPL24,MRPL57,MRPL49,UBA52,TUFM,ELOB,SRP54,SRP14,MRPS34,MRPL11,MRPL34,MRPL41,MRPS15,MRPS24,MRPS14,MRPL17,RPS29,RPS28,RPS27A,RPS27,RPS25,RPS24,RPS23,RPS21,RPS20,RPS19,RPS18,RPS16,RPS15A,RPS15,RPS14,RPS12,RPS8,RPS6,RPS3A,RPS3,MRPS12,MRPL12,RPLP2,RPLP1,RPLP0,RPL41,RPL39,RPL38,RPL37A,RPL37,RPL36AL,RPL35A,RPL34,RPL32,RPL31,RPL29,RPL27A,RPL30,RPL27,RPL24,RPL23A,RPL21,RPL19,RPL18A,RPL18,RPL13,RPL12,RPL10,RPL9,RPL8,RPL7A,RPL5,RPL3L,RPL3,MRPL47,PSMC5,PSMC3,PSMB7,MRPS22,PSMB5,PSMB3,PSMA7,MTRF1L,MRPL39,TRMT112,MRPL27,MRPL51,MRPL37,RPSA,MRPL18,ERAL1,RPL36,FAU,EEF2,EEF1G,EEF1B2,EEF1A1,EARS2,MRPL52,MRPL54,RPL35,ADRM1,SEC61B,MRPL28",18,GMT,371,exclude,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,2.97e-18,1.0,63.0,False,18,10.0,TRANSLATION,TRANSLATION,2
3,REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,1e-10,109,63,"SPCS2,RPL23,RPL14,UBA52,SRP54,SRP14,RPS29,RPS28,RPS27A,RPS27,RPS25,RPS24,RPS23,RPS21,RPS20,RPS19,RPS18,RPS16,RPS15A,RPS15,RPS14,RPS12,RPS8,RPS6,RPS3A,RPS3,RPLP2,RPLP1,RPLP0,RPL41,RPL39,RPL38,RPL37A,RPL37,RPL36AL,RPL35A,RPL34,RPL32,RPL31,RPL29,RPL27A,RPL30,RPL27,RPL24,RPL23A,RPL21,RPL19,RPL18A,RPL18,RPL13,RPL12,RPL10,RPL9,RPL8,RPL7A,RPL5,RPL3L,RPL3,RPSA,RPL36,FAU,RPL35,SEC61B",2,GMT,113,exclude,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,5.65e-06,0.6489,59.0,False,3,10.0,SRP DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE,"SRP DEPENDENT COTRANSLATIONAL PROTEIN
TARGETING TO MEMBRANE",3
4,REACTOME_NONSENSE_MEDIATED_DECAY_NMD,REACTOME_NONSENSE_MEDIATED_DECAY_NMD,1e-10,111,58,"RPS29,RPS28,RPS27A,RPS27,RPS25,RPS24,RPS23,RPS21,RPS20,RPS19,RPS18,RPS16,RPS15A,RPS15,RPS14,RPS12,RPS8,RPS6,RPS3A,RPS3,RPLP2,RPLP1,RPLP0,RPL41,RPL39,RPL38,RPL37A,RPL37,RPL36AL,RPL35A,RPL34,RPL32,RPL31,RPL29,RPL27A,RPL30,RPL27,RPL24,RPL23A,RPL21,RPL19,RPL18A,RPL18,RPL13,RPL12,RPL10,RPL9,RPL8,RPL7A,RPL5,RPL3L,RPL3,PPP2R1A,RPSA,RPL36,SMG1,FAU,RPL35",5,GMT,116,exclude,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,6.36e-08,1.0,56.0,False,6,10.0,NONSENSE MEDIATED DECAY NMD,NONSENSE MEDIATED DECAY NMD,4
5,REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,1e-10,154,72,"RBX1,LHX2,RPL23,RPL14,UBA52,ELOB,RPS29,RPS28,RPS27A,RPS27,RPS25,RPS24,RPS23,RPS21,RPS20,RPS19,RPS18,RPS16,RPS15A,RPS15,RPS14,RPS12,RPS8,RPS6,RPS3A,RPS3,RPLP2,RPLP1,RPLP0,RPL41,RPL39,RPL38,RPL37A,RPL37,RPL36AL,RPL35A,RPL34,RPL32,RPL31,RPL29,RPL27A,RPL30,RPL27,RPL24,RPL23A,RPL21,RPL19,RPL18A,RPL18,RPL13,RPL12,RPL10,RPL9,RPL8,RPL7A,RPL5,RPL3L,RPL3,PSMC5,PSMC3,PSMB7,PSMB5,PSMB3,PSMA7,RPSA,ISL1,RPL36,ZSWIM8,FAU,DAG1,RPL35,ADRM1",9,GMT,159,exclude,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,4.3e-10,0.6489,59.0,False,10,10.0,REGULATION OF EXPRESSION OF SLITS AND ROBOS,REGULATION OF EXPRESSION OF SLITS AND ROBOS,5
6,REACTOME_SIGNALING_BY_ROBO_RECEPTORS,REACTOME_SIGNALING_BY_ROBO_RECEPTORS,1e-10,198,82,"RBX1,NTN1,LHX2,RPL23,RPL14,NCK2,CXCR4,UBA52,ELOB,SRC,RPS29,RPS28,RPS27A,RPS27,RPS25,RPS24,RPS23,RPS21,RPS20,RPS19,RPS18,RPS16,RPS15A,RPS15,RPS14,RPS12,RPS8,RPS6,RPS3A,RPS3,RPLP2,RPLP1,RPLP0,RPL41,RPL39,RPL38,RPL37A,RPL37,RPL36AL,RPL35A,RPL34,RPL32,RPL31,RPL29,RPL27A,RPL30,RPL27,RPL24,RPL23A,RPL21,RPL19,RPL18A,RPL18,RPL13,RPL12,RPL10,RPL9,RPL8,RPL7A,RPL5,RPL3L,RPL3,SRGAP1,PSMC5,PSMC3,PSMB7,PSMB5,PSMB3,PSMA7,RPSA,ISL1,GPC1,RPL36,ZSWIM8,FAU,DCC,DAG1,RPL35,ADRM1,CAP1,CAP2,PAK4",13,GMT,205,exclude,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,5.13e-12,0.6489,59.0,False,14,10.0,SIGNALING BY ROBO RECEPTORS,SIGNALING BY ROBO RECEPTORS,6
7,REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,1e-10,98,57,"UBA52,RPS29,RPS28,RPS27A,RPS27,RPS25,RPS24,RPS23,RPS21,RPS20,RPS19,RPS18,RPS16,RPS15A,RPS15,RPS14,RPS12,RPS8,RPS6,RPS3A,RPS3,RPLP2,RPLP1,RPLP0,RPL41,RPL39,RPL38,RPL37A,RPL37,RPL36AL,RPL35A,RPL34,RPL32,RPL31,RPL29,RPL27A,RPL30,RPL27,RPL24,RPL23A,RPL21,RPL19,RPL18A,RPL18,RPL13,RPL12,RPL10,RPL9,RPL8,RPL7A,RPL5,RPL3L,RPL3,RPSA,RPL36,FAU,RPL35",1,GMT,102,exclude,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,2.81e-06,1.0,57.0,False,2,10.0,RESPONSE OF EIF2AK4 GCN2 TO AMINO ACID DEFICIENCY,"RESPONSE OF EIF2AK4 GCN2 TO AMINO ACID
DEFICIENCY",7
8,REACTOME_CELLULAR_RESPONSE_TO_STARVATION,REACTOME_CELLULAR_RESPONSE_TO_STARVATION,1e-10,153,73,"ATP6V0D2,ATP6V1G3,ATP6V1G1,RPL23,ATP6V1F,RPL14,ATP6V0E1,NPRL3,UBA52,MLST8,RRAGC,RPS29,RPS28,RPS27A,RPS27,RPS25,RPS24,RPS23,RPS21,RPS20,RPS19,RPS18,RPS16,RPS15A,RPS15,RPS14,RPS12,RPS8,RPS6,RPS3A,RPS3,RPLP2,RPLP1,RPLP0,RPL41,RPL39,RPL38,RPL37A,RPL37,RPL36AL,RPL35A,RPL34,RPL32,RPL31,RPL29,RPL27A,RPL30,RPL27,RPL24,RPL23A,RPL21,RPL19,RPL18A,RPL18,RPL13,RPL12,RPL10,RPL9,RPL8,RPL7A,RPL5,RPL3L,RPL3,LAMTOR1,ATP6V0B,ATP6V1E1,ATP6V1B2,RPSA,RPL36,SH3BP4,FAU,RPL35,TCIRG1",10,GMT,157,exclude,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,3.35e-09,0.6489,59.0,False,11,10.0,CELLULAR RESPONSE TO STARVATION,CELLULAR RESPONSE TO STARVATION,8
9,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,1e-10,116,63,"RPL23,RPL14,EIF2B2,EIF3I,EIF3H,EIF3F,UBA52,RPS29,RPS28,RPS27A,RPS27,RPS25,RPS24,RPS23,RPS21,RPS20,RPS19,RPS18,RPS16,RPS15A,RPS15,RPS14,RPS12,RPS8,RPS6,RPS3A,RPS3,RPLP2,RPLP1,RPLP0,RPL41,RPL39,RPL38,RPL37A,RPL37,RPL36AL,RPL35A,RPL34,RPL32,RPL31,RPL29,RPL27A,RPL30,RPL27,RPL24,RPL23A,RPL21,RPL19,RPL18A,RPL18,RPL13,RPL12,RPL10,RPL9,RPL8,RPL7A,RPL5,RPL3L,RPL3,RPSA,RPL36,FAU,RPL35",3,GMT,120,exclude,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,6.99e-08,0.6489,59.0,False,4,10.0,EUKARYOTIC TRANSLATION INITIATION,EUKARYOTIC TRANSLATION INITIATION,9
10,REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,3.301381528e-07,58,25,"EIF3I,EIF3H,EIF3F,RPS29,RPS28,RPS27A,RPS27,RPS25,RPS24,RPS23,RPS21,RPS20,RPS19,RPS18,RPS16,RPS15A,RPS15,RPS14,RPS12,RPS8,RPS6,RPS3A,RPS3,RPSA,FAU",16,GMT,60,exclude,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,7.04e-05,0.8131,22.0,False,20,6.481304283021907,ACTIVATION OF THE MRNA UPON BINDING OF THE CAP BINDING COMPLEX AND EIFS AND SUBSEQUENT BINDING TO 43S,"ACTIVATION OF THE MRNA UPON BINDING OF THE
CAP BINDING COMPLEX AND EIFS AND SUBSEQUENT
BINDING TO 43S",10
