Heatmap_Rank,term_id,term_name,p_value,term_size,intersection_size,intersection,Input_Order,Pathway_Gene_Source,Pathway_Gene_Count,Filtered,Versus,Versus Name,Result,Reciprocal pvalue,DEGs in Intersection,Is Reciprocal,GSEA_Rank,Neg_Log10_P,Pathway_Label_Clean,Pathway_Label,Heatmap_Cluster_Rank
1,GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,1e-10,52,38,"RPL23,RPL14,UBA52,RPLP2,RPLP1,RPLP0,RPL41,RPL39,RPL38,RPL37A,RPL37,RPL36AL,RPL35A,RPL34,RPL32,RPL31,RPL29,RPL27A,RPL30,RPL27,RPL24,RPL23A,RPL21,RPL19,RPL18A,RPL18,RPL13,RPL12,RPL10,RPL9,RPL8,RPL7A,RPL5,RPL3L,RPL3,ZCCHC17,RPL36,RPL35",0,GMT,58,keep,itself,,1.0,0.0,0.0,True,1,10.0,CYTOSOLIC LARGE RIBOSOMAL SUBUNIT,CYTOSOLIC LARGE RIBOSOMAL SUBUNIT,1
2,GOCC_CYTOSOLIC_RIBOSOME,GOCC_CYTOSOLIC_RIBOSOME,1e-10,112,61,"RPS29,RPS28,RPS27A,RPS27,RPS25,RPS24,RPS23,RPS21,RPS20,RPS19,RPS18,RPS16,RPS15A,RPS15,RPS14,RPS12,RPS8,RPS6,RPS3A,RPS3,RPLP2,RPLP1,RPLP0,RPL41,RPL39,RPL38,RPL37A,RPL37,RPL36AL,RPL35A,RPL34,RPL32,RPL31,RPL29,RPL27A,RPL30,RPL27,RPL24,RPL23A,RPL21,RPL19,RPL18A,RPL18,RPL13,RPL12,RPL10,RPL9,RPL8,RPL7A,RPL5,RPL3L,RPL3,ZCCHC17,RPSA,RPSA2,APOD,RPL36,FAU,EEF1A1,RPL35,RACK1",1,GMT,121,exclude,GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,0.0275,1.0,35.0,False,2,10.0,CYTOSOLIC RIBOSOME,CYTOSOLIC RIBOSOME,2
3,GOCC_RIBOSOME,GOCC_RIBOSOME,1e-10,220,94,"MRPL53,MRPL33,RPL23,RPL14,FUBP3,CALR,MRPL24,MRPL57,MRPL49,UBA52,MRPS34,MRPL11,MRPL34,MRPL41,MRPS15,MRPS24,MRPS14,MRPL17,RRBP1,RPS29,RPS28,RPS27A,RPS27,RPS25,RPS24,RPS23,RPS21,RPS20,RPS19,RPS18,RPS16,RPS15A,RPS15,RPS14,RPS12,RPS8,RPS6,RPS3A,RPS3,MRPS12,MRPL12,RPLP2,RPLP1,RPLP0,RPL41,RPL39,RPL38,RPL37A,RPL37,RPL36AL,RPL35A,RPL34,RPL32,RPL31,RPL29,RPL27A,RPL30,RPL27,RPL24,RPL23A,RPL21,RPL19,RPL18A,RPL18,RPL13,RPL12,RPL10,RPL9,RPL8,RPL7A,RPL5,RPL3L,RPL3,MRPL47,MRPS22,MRPL39,ZCCHC17,MRPL27,MRPL51,MRPL37,OAS1,RPSA,RPSA2,APOD,MRPL18,RPL36,FAU,EEF2,EEF1A1,MRPL52,MRPL54,RPL35,MRPL28,RACK1",4,GMT,236,exclude,GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,4.95e-06,1.0,38.0,False,5,10.0,RIBOSOME,RIBOSOME,3
4,GOCC_RIBOSOMAL_SUBUNIT,GOCC_RIBOSOMAL_SUBUNIT,1e-10,174,87,"MRPL53,MRPL33,RPL23,RPL14,MRPL24,MRPL57,MRPL49,UBA52,MRPS34,MRPL11,MRPL34,MRPL41,MRPS15,MRPS24,MRPS14,MRPL17,RPS29,RPS28,RPS27A,RPS27,RPS25,RPS24,RPS23,RPS21,RPS20,RPS19,RPS18,RPS16,RPS15A,RPS15,RPS14,RPS12,RPS8,RPS6,RPS3A,RPS3,MRPS12,MRPL12,RPLP2,RPLP1,RPLP0,RPL41,RPL39,RPL38,RPL37A,RPL37,RPL36AL,RPL35A,RPL34,RPL32,RPL31,RPL29,RPL27A,RPL30,RPL27,RPL24,RPL23A,RPL21,RPL19,RPL18A,RPL18,RPL13,RPL12,RPL10,RPL9,RPL8,RPL7A,RPL5,RPL3L,RPL3,MRPL47,MRPS22,MRPL39,ZCCHC17,MRPL27,MRPL51,MRPL37,RPSA,RPSA2,MRPL18,RPL36,FAU,MRPL52,MRPL54,RPL35,MRPL28,RACK1",2,GMT,183,exclude,GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,0.000761,1.0,38.0,False,3,10.0,RIBOSOMAL SUBUNIT,RIBOSOMAL SUBUNIT,4
5,GOCC_LARGE_RIBOSOMAL_SUBUNIT,GOCC_LARGE_RIBOSOMAL_SUBUNIT,1e-10,106,57,"MRPL53,MRPL33,RPL23,RPL14,MRPL24,MRPL57,MRPL49,UBA52,MRPL11,MRPL34,MRPL41,MRPL17,MRPL12,RPLP2,RPLP1,RPLP0,RPL41,RPL39,RPL38,RPL37A,RPL37,RPL36AL,RPL35A,RPL34,RPL32,RPL31,RPL29,RPL27A,RPL30,RPL27,RPL24,RPL23A,RPL21,RPL19,RPL18A,RPL18,RPL13,RPL12,RPL10,RPL9,RPL8,RPL7A,RPL5,RPL3L,RPL3,MRPL47,MRPL39,ZCCHC17,MRPL27,MRPL51,MRPL37,MRPL18,RPL36,MRPL52,MRPL54,RPL35,MRPL28",3,GMT,112,exclude,GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,0.0012,1.0,38.0,False,4,10.0,LARGE RIBOSOMAL SUBUNIT,LARGE RIBOSOMAL SUBUNIT,5
6,GOCC_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT,GOCC_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT,5.95180663754e-05,52,19,"MRPL53,MRPL33,MRPL24,MRPL57,MRPL49,MRPL11,MRPL34,MRPL41,MRPL17,MRPL12,MRPL47,MRPL39,MRPL27,MRPL51,MRPL37,MRPL18,MRPL52,MRPL54,MRPL28",12,GMT,52,keep,itself,,1.0,0.0,0.0,True,15,4.225351186604228,MITOCHONDRIAL LARGE RIBOSOMAL SUBUNIT,MITOCHONDRIAL LARGE RIBOSOMAL SUBUNIT,6
7,GOCC_ORGANELLAR_RIBOSOME,GOCC_ORGANELLAR_RIBOSOME,4.6902553033e-06,84,50,"MRPL1,MRPL9,MRPL36,MRPS9,MRPS11,MRPS26,MRPL23,AURKAIP1,MRPL16,MRPS33,MRPS23,MRPL48,MRPS2,MRPS7,MRPL4,MRPS18C,MRPL58,MRPL22,MRPL13,MRPS18B,MRPS28,MRPS27,MRPL21,MRPL55,MRPS31,MRPL53,MRPL33,MRPL24,MRPL57,MRPL49,MRPS34,MRPL11,MRPL34,MRPL41,MRPS15,MRPS24,MRPS14,MRPL17,MRPS12,MRPL12,MRPL47,MRPS22,MRPL39,MRPL27,MRPL51,MRPL37,MRPL18,MRPL52,MRPL54,MRPL28",10,GMT,84,keep,itself,,1.0,0.0,0.0,True,10,5.32880351681654,ORGANELLAR RIBOSOME,ORGANELLAR RIBOSOME,7
8,GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX,GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX,5.573379273e-06,182,98,"MRPL1,MRPL9,MRPL36,MRPS9,MRPS11,MRPS26,MRPL23,LYRM4,TOMM22,TMEM126B,AURKAIP1,MRPL16,POLRMT,MRPS33,MRPS23,MRPL48,MRPS2,MRPS7,MRPL4,MRPS18C,NDUFAB1,MTX1,CHCHD10,MPC1L,MRPL58,HADHB,HADHA,TIMM22,DNAJC15,SLC25A4,MRPL22,MRPL13,MRPS18B,MRPS28,TIMM8B,TMEM186,SAMM50,PDSS1,MRPS27,MICU2,MRPL21,DNAJC19,MRPL55,ISCA2,PHB2,IMMT,MTX2,MICU1,MRPS31,TIMM23B,TOMM6,MRPL53,MRPL33,CHCHD6,TOMM40L,MRPL24,MRPL57,VDAC1,MRPL49,UQCRC1,MRPS34,MRPL11,MRPL34,MRPL41,MRPS15,MRPS24,MRPS14,MRPL17,MRPS12,MRPL12,BAX,MRPL47,MRPS22,CHCHD3,TOMM7,MRPL39,PHB1,ECSIT,MRPL27,MRPL51,MRPL37,HSD17B10,SLC25A5,MRPL18,ACAD9,TIMM9,TIMM10,TIMM13,MPC2,FXN,PMPCA,ROMO1,MICOS13,MRPL52,MRPL54,MRPL28,TIMM44,TIMM17B",18,GMT,182,keep,GOCC_ORGANELLAR_RIBOSOME,GOCC_ORGANELLAR_RIBOSOME,0.0549,0.1609,50.0,False,11,5.253881401844863,MITOCHONDRIAL PROTEIN CONTAINING COMPLEX,MITOCHONDRIAL PROTEIN CONTAINING COMPLEX,8
9,GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,1e-10,38,24,"RPS29,RPS28,RPS27A,RPS27,RPS25,RPS24,RPS23,RPS21,RPS20,RPS19,RPS18,RPS16,RPS15A,RPS15,RPS14,RPS12,RPS8,RPS6,RPS3A,RPS3,RPSA,RPSA2,FAU,RACK1",5,GMT,41,keep,itself,,1.0,0.0,0.0,True,6,10.0,CYTOSOLIC SMALL RIBOSOMAL SUBUNIT,CYTOSOLIC SMALL RIBOSOMAL SUBUNIT,9
10,GOCC_SMALL_RIBOSOMAL_SUBUNIT,GOCC_SMALL_RIBOSOMAL_SUBUNIT,1.3882126e-09,71,30,"MRPS34,MRPS15,MRPS24,MRPS14,RPS29,RPS28,RPS27A,RPS27,RPS25,RPS24,RPS23,RPS21,RPS20,RPS19,RPS18,RPS16,RPS15A,RPS15,RPS14,RPS12,RPS8,RPS6,RPS3A,RPS3,MRPS12,MRPS22,RPSA,RPSA2,FAU,RACK1",6,GMT,74,exclude,GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,0.000416,1.0,24.0,False,8,8.857544018076839,SMALL RIBOSOMAL SUBUNIT,SMALL RIBOSOMAL SUBUNIT,10
