term_id	term_name	p_value	term_size	intersection_size	intersection
BIOCARTA_NUCLEARRS_PATHWAY	BIOCARTA_NUCLEARRS_PATHWAY	0.0004071311143308	20	9	PPARG,RARB,PPARD,RARG,VDR,CYP26A1,ABCA1,ABCG1,CYP24A1
BIOCARTA_RARRXR_PATHWAY	BIOCARTA_RARRXR_PATHWAY	0.0006599255115157	7	2	RXRA,NCOR2
BIOCARTA_EGFR_SMRTE_PATHWAY	BIOCARTA_EGFR_SMRTE_PATHWAY	0.0021665065951291	9	6	MAP2K1,MAP3K1,THRA,RXRA,EGFR,NCOR2
BIOCARTA_CARDIACEGF_PATHWAY	BIOCARTA_CARDIACEGF_PATHWAY	0.0047779843711599	14	4	FOS,JUN,EGFR,MYC
BIOCARTA_PLATELETAPP_PATHWAY	BIOCARTA_PLATELETAPP_PATHWAY	0.0028631628916836	10	6	COL4A4,APP,PLAT,PLAU,COL4A1,SERPINE1
BIOCARTA_MALATEX_PATHWAY	BIOCARTA_MALATEX_PATHWAY	0.0039585243590944	8	5	PDHA1,CS,SLC25A1,ACLY,PC
BIOCARTA_RANMS_PATHWAY	BIOCARTA_RANMS_PATHWAY	0.0034396307120303	10	6	RCC1,NUMA1,RANGAP1,KPNA2,TPX2,AURKA
BIOCARTA_ETS_PATHWAY	BIOCARTA_ETS_PATHWAY	0.0075428512602935	17	6	ETS1,HDAC5,SIN3A,FOS,JUN,NCOR2
BIOCARTA_MCALPAIN_PATHWAY	BIOCARTA_MCALPAIN_PATHWAY	0.0140895669034024	14	8	MYL2,CAPNS1,EZR,PRKAR2A,CAPN1,TLN1,CAPN2,EGFR
BIOCARTA_CBL_PATHWAY	BIOCARTA_CBL_PATHWAY	0.0079520475311955	9	5	PRKCA,GRB2,SH3KBP1,MET,EGFR
BIOCARTA_NPC_PATHWAY	BIOCARTA_NPC_PATHWAY	0.0091823174062433	11	5	RCC1,RANBP2,RANGAP1,KPNA2,NUP210
BIOCARTA_FIBRINOLYSIS_PATHWAY	BIOCARTA_FIBRINOLYSIS_PATHWAY	0.0065631806338846	6	4	PLAT,PLAU,SERPINE1,F13A1
BIOCARTA_HIF_PATHWAY	BIOCARTA_HIF_PATHWAY	0.0277684341638486	14	5	LDHA,HSP90AA1,ASPH,JUN,VEGFA
BIOCARTA_CDMAC_PATHWAY	BIOCARTA_CDMAC_PATHWAY	0.0247391360923468	13	5	PRKCA,MAP2K1,FOS,JUN,MYC
BIOCARTA_EEA1_PATHWAY	BIOCARTA_EEA1_PATHWAY	0.0126837404195877	5	2	TFRC,EGFR
BIOCARTA_VDR_PATHWAY	BIOCARTA_VDR_PATHWAY	0.0126316466046371	24	8	BAZ1B,CHAF1A,CARM1,PRMT1,NCOR1,VDR,SMARCA4,RXRA
BIOCARTA_CARM_ER_PATHWAY	BIOCARTA_CARM_ER_PATHWAY	0.0168286423994464	23	9	GRIP1,CREBBP,HDAC4,NRIP1,PHB2,HDAC5,CARM1,SPEN,NCOR2
BIOCARTA_FXR_PATHWAY	BIOCARTA_FXR_PATHWAY	0.0292456891696366	5	2	ABCA1,RXRA
BIOCARTA_ERK_PATHWAY	BIOCARTA_ERK_PATHWAY	0.0197052684780671	23	10	GNAS,GRB2,NGFR,MAP2K1,RPS6KA1,RPS6KA5,MKNK2,MAP2K2,EGFR,MYC
BIOCARTA_PLCD_PATHWAY	BIOCARTA_PLCD_PATHWAY	0.0148321159707746	4	1	TGM2
BIOCARTA_MSP_PATHWAY	BIOCARTA_MSP_PATHWAY	0.0330622612334737	4	3	MST1R,MST1,CCL2
BIOCARTA_PPARA_PATHWAY	BIOCARTA_PPARA_PATHWAY	0.0401938512909314	43	15	SP1,CREBBP,PRKCA,NOS2,NRIP1,DUSP1,STAT5B,HSP90AA1,NCOR1,PRKAR2A,JUN,RXRA,CITED2,NCOR2,MYC
BIOCARTA_PRION_PATHWAY	BIOCARTA_PRION_PATHWAY	0.0477941176470588	11	6	LAMB1,DNAJB6,PRNP,LAMC1,APLP1,RPSA
