term_id	term_name	p_value	term_size	intersection_size	intersection
KEGG_RIBOSOME	KEGG_RIBOSOME	1e-10	85	51	RPS24,RPL27,RPS29,RPL23A,RPL28,RPS21,RPS3A,RPL37A,RPL39,RPL18,RPS15,RPL23,RPL30,UBA52,RPL36,RPLP1,RPL32,RPL38,RPS7,FAU,RPS4X,RPL27A,RPS9,RPLP2,RPL35,RPS23,RPLP0,RPS18,RPS8,RPL12,RPL29,RPL14,RPL10A,RPL10,RPS5,RPL13,RPL8,RPL7A,RPL5,RSL24D1,RPS16,RPS2,RPL19,RPL18A,RPS11,RPS19,RPL3,RPS3,RPSA,RPL4,RPL13A
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	9.746787596e-07	41	18	NARS2,QARS1,VARS1,TARS2,LARS2,LARS1,DARS2,TARS1,NARS1,WARS1,CARS1,IARS1,EPRS1,MARS1,SARS1,AARS1,YARS1,GARS1
KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG_CITRATE_CYCLE_TCA_CYCLE	0.0010745570544801	29	13	SUCLG2,SUCLG1,PDHA1,DLAT,ACO1,SDHB,MDH2,OGDH,CS,ACLY,PC,IDH1,PCK2
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.0009210590281274	42	18	ALDH1B1,ALDH1A3,LDHA,LDHB,ACSS2,TPI1,PDHA1,GALM,ALDH3B1,DLAT,PGK1,HK1,PKM,GPI,GAPDH,PFKM,ENO1,PCK2
KEGG_PYRUVATE_METABOLISM	KEGG_PYRUVATE_METABOLISM	0.0029115289784675	34	17	GLO1,ALDH2,ME2,ACAT2,ACAT1,ALDH1B1,ME3,LDHA,LDHB,ACSS2,PDHA1,DLAT,MDH2,PKM,PC,ACACA,PCK2
KEGG_SPLICEOSOME	KEGG_SPLICEOSOME	4.82577194182e-05	125	28	HSPA8,DDX5,SRSF5,SRSF6,SRSF10,SRSF7,SRSF1,RBM25,DDX39B,TRA2A,SRSF2,TRA2B,NCBP2,RBM8A,SRSF3,PRPF38A,PRPF38B,SNRPD3,DDX42,PRPF40A,SNRNP70,THOC1,RBM22,RBMX,HNRNPU,HNRNPA3,HNRNPK,LSM8
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	9.6156199328e-05	175	70	GNA13,DIAPH3,ARHGEF1,KRAS,MRAS,WASF2,APC2,FGF9,ACTN1,PTK2,CYFIP2,F2R,PDGFRB,BCAR1,TIAM2,PIP5K1C,PAK4,MYL2,PFN1,GIT1,FGFR4,CD14,VCL,PXN,PPP1CB,PIK3CD,DIAPH2,DOCK1,FGF21,ACTB,ROCK2,GNA12,PIKFYVE,MAP2K1,PIP4K2A,RRAS2,CHRM3,IQGAP1,LIMK2,CFL1,ACTN4,BDKRB2,PIP5K1B,RAC2,EZR,CYFIP1,MYLK,SSH1,FGFR3,ITGA2,GNG12,ARHGAP35,MAP2K2,ITGB7,ARHGEF4,LIMK1,SSH2,MYH10,EGFR,MYH14,ITGA1,ITGB5,TMSB4X,MYH9,ENAH,TIAM1,IQGAP2,ITGA3,MSN,FN1
KEGG_ONE_CARBON_POOL_BY_FOLATE	KEGG_ONE_CARBON_POOL_BY_FOLATE	0.0086136755479727	16	7	MTHFD1,MTR,GART,ATIC,MTHFD1L,MTHFD2,SHMT2
KEGG_INSULIN_SIGNALING_PATHWAY	KEGG_INSULIN_SIGNALING_PATHWAY	0.0007467941159129	121	37	RPS6,RPS6KB1,SLC2A4,BAD,RHOQ,PRKCZ,PPP1CB,PRKCI,PIK3CD,PHKA1,SOCS3,RHEB,PRKAG2,GRB2,MAP2K1,GYS1,PRKX,MTOR,RAPGEF1,MKNK2,MAPK9,MAP2K2,HK1,PRKAR2A,PYGL,RPTOR,TRIP10,INPP5D,FASN,IRS1,PYGB,SORBS1,ACACA,EIF4EBP1,SREBF1,PCK2,PTPRF
KEGG_DORSO_VENTRAL_AXIS_FORMATION	KEGG_DORSO_VENTRAL_AXIS_FORMATION	0.0071832200724141	21	9	PIWIL1,GRB2,MAP2K1,ETS1,NOTCH3,ETV6,SPIRE1,EGFR,NOTCH2
KEGG_MTOR_SIGNALING_PATHWAY	KEGG_MTOR_SIGNALING_PATHWAY	0.0045694514798239	46	17	RPS6,RPS6KB1,ULK1,PIK3CD,RICTOR,PGF,RHEB,RPS6KA3,RPS6KA1,VEGFB,MTOR,RPTOR,RPS6KA2,EIF4B,EIF4EBP1,VEGFA,DDIT4
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	0.0040893834149966	23	6	CBS,CTH,PSPH,SHMT2,PSAT1,PHGDH
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	0.0071469971116526	24	14	PIGP,PIGW,PIGG,PIGV,PIGT,DPM2,PIGU,PIGS,PIGZ,PIGM,PIGX,PIGO,PIGA,PIGC
KEGG_INOSITOL_PHOSPHATE_METABOLISM	KEGG_INOSITOL_PHOSPHATE_METABOLISM	0.0031808557360543	50	22	PLCB3,PLCB2,PIP5K1C,PLCD1,IMPA2,INPP4A,PI4KA,INPP5A,PIK3CD,PIK3C2A,PIKFYVE,INPPL1,IPMK,PIP4K2A,TPI1,INPP4B,ITPK1,PIP5K1B,PLCD3,PIK3C2B,ISYNA1,ITPKB
