Pathway,RIBOSOME,AMINOACYL TRNA BIOSYNTHESIS,SPLICEOSOME,REGULATION OF ACTIN CYTOSKELETON,"ARRHYTHMOGENIC RIGHT VENTRICULAR
CARDIOMYOPATHY ARVC",TIGHT JUNCTION,LEUKOCYTE TRANSENDOTHELIAL MIGRATION,ADHERENS JUNCTION,SYSTEMIC LUPUS ERYTHEMATOSUS,INSULIN SIGNALING PATHWAY,MTOR SIGNALING PATHWAY,PROGESTERONE MEDIATED OOCYTE MATURATION,B CELL RECEPTOR SIGNALING PATHWAY,ACUTE MYELOID LEUKEMIA,INOSITOL PHOSPHATE METABOLISM,PHOSPHATIDYLINOSITOL SIGNALING SYSTEM,GLYCOLYSIS GLUCONEOGENESIS,PYRUVATE METABOLISM,PROPANOATE METABOLISM,ADIPOCYTOKINE SIGNALING PATHWAY,PPAR SIGNALING PATHWAY,CITRATE CYCLE TCA CYCLE,GLYOXYLATE AND DICARBOXYLATE METABOLISM,NEUROACTIVE LIGAND RECEPTOR INTERACTION,ENDOCYTOSIS,HUNTINGTONS DISEASE,ECM RECEPTOR INTERACTION,FOCAL ADHESION,PATHWAYS IN CANCER,SMALL CELL LUNG CANCER,GLYCINE SERINE AND THREONINE METABOLISM,ONE CARBON POOL BY FOLATE,"GLYCOSYLPHOSPHATIDYLINOSITOL GPI ANCHOR
BIOSYNTHESIS",DORSO VENTRAL AXIS FORMATION,MAPK SIGNALING PATHWAY,GNRH SIGNALING PATHWAY,PENTOSE PHOSPHATE PATHWAY,TAURINE AND HYPOTAURINE METABOLISM,CELL CYCLE,BLADDER CANCER
RIBOSOME,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMINOACYL TRNA BIOSYNTHESIS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPLICEOSOME,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.023622047244094488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047244094488188976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047244094488188976,0.0,0.0,0.0,0.0,0.0
REGULATION OF ACTIN CYTOSKELETON,0.0,0.0,0.0,1.0,0.12206572769953052,0.11737089201877934,0.20187793427230047,0.10328638497652583,0.018779342723004695,0.12206572769953052,0.056338028169014086,0.07981220657276995,0.11267605633802817,0.09389671361502347,0.051643192488262914,0.07042253521126761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04225352112676056,0.07042253521126761,0.0,0.09859154929577464,0.431924882629108,0.3192488262910798,0.07511737089201878,0.0,0.0,0.0,0.03286384976525822,0.27230046948356806,0.056338028169014086,0.0,0.0,0.0,0.06103286384976526
"ARRHYTHMOGENIC RIGHT VENTRICULAR
CARDIOMYOPATHY ARVC",0.0,0.0,0.0,0.35135135135135137,1.0,0.13513513513513514,0.16216216216216217,0.1891891891891892,0.05405405405405406,0.0,0.0,0.0,0.0,0.06756756756756757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2972972972972973,0.3783783783783784,0.21621621621621623,0.0945945945945946,0.0,0.0,0.0,0.0,0.2702702702702703,0.05405405405405406,0.0,0.0,0.0,0.0
TIGHT JUNCTION,0.0,0.0,0.0,0.1893939393939394,0.07575757575757576,1.0,0.38636363636363635,0.15151515151515152,0.030303030303030304,0.06060606060606061,0.022727272727272728,0.05303030303030303,0.05303030303030303,0.045454545454545456,0.007575757575757576,0.030303030303030304,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.007575757575757576,0.06818181818181818,0.0,0.0,0.19696969696969696,0.12878787878787878,0.03787878787878788,0.0,0.0,0.0,0.007575757575757576,0.10606060606060606,0.06060606060606061,0.0,0.0,0.007575757575757576,0.030303030303030304
LEUKOCYTE TRANSENDOTHELIAL MIGRATION,0.0,0.0,0.0,0.3706896551724138,0.10344827586206896,0.4396551724137931,1.0,0.14655172413793102,0.034482758620689655,0.06896551724137931,0.06896551724137931,0.12931034482758622,0.12931034482758622,0.06896551724137931,0.05172413793103448,0.11206896551724138,0.0,0.0,0.0,0.008620689655172414,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.017241379310344827,0.39655172413793105,0.22413793103448276,0.08620689655172414,0.0,0.0,0.0,0.0,0.10344827586206896,0.07758620689655173,0.0,0.0,0.0,0.017241379310344827
ADHERENS JUNCTION,0.0,0.0,0.0,0.3013698630136986,0.1917808219178082,0.273972602739726,0.2328767123287671,1.0,0.0547945205479452,0.0821917808219178,0.0273972602739726,0.0410958904109589,0.0821917808219178,0.0821917808219178,0.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.0,0.0,0.0136986301369863,0.0821917808219178,0.0273972602739726,0.0,0.2876712328767123,0.3835616438356164,0.0,0.0,0.0,0.0,0.0410958904109589,0.1643835616438356,0.0684931506849315,0.0,0.0,0.0684931506849315,0.0684931506849315
SYSTEMIC LUPUS ERYTHEMATOSUS,0.0,0.0,0.02158273381294964,0.02877697841726619,0.02877697841726619,0.02877697841726619,0.02877697841726619,0.02877697841726619,1.0,0.0,0.0,0.0,0.007194244604316547,0.0,0.0,0.0,0.0,0.0,0.0,0.007194244604316547,0.0,0.0,0.0,0.02158273381294964,0.0,0.007194244604316547,0.0,0.02877697841726619,0.0,0.0,0.0,0.0,0.0,0.0,0.007194244604316547,0.0,0.0,0.0,0.0,0.0
INSULIN SIGNALING PATHWAY,0.0072992700729927005,0.0,0.0,0.1897810218978102,0.0,0.058394160583941604,0.058394160583941604,0.043795620437956206,0.0,1.0,0.21897810218978103,0.20437956204379562,0.18248175182481752,0.21897810218978103,0.0364963503649635,0.11678832116788321,0.08029197080291971,0.0364963503649635,0.014598540145985401,0.1897810218978102,0.029197080291970802,0.014598540145985401,0.0,0.0,0.043795620437956206,0.0072992700729927005,0.0,0.27007299270072993,0.27007299270072993,0.08759124087591241,0.0,0.0,0.0,0.051094890510948905,0.20437956204379562,0.18248175182481752,0.014598540145985401,0.0,0.0072992700729927005,0.072992700729927
