term_id	term_name	p_value	term_size	intersection_size	intersection
GOBP_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	GOBP_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	4.3480207e-09	61	27	DDX5,SRSF5,ARGLU1,SRSF6,SRSF10,SRSF7,DDX17,RBM14,SRSF1,RBM25,RBM5,SRSF2,TIA1,RBM4B,TRA2B,RBM8A,SRSF3,CELF2,TIAL1,FMR1,DYRK1A,RBMX,HNRNPU,WTAP,RBM4,SAP18,NOVA1
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	1.02781772e-08	79	29	DDX5,SRSF5,ARGLU1,SRSF6,SRSF10,SRSF7,DDX17,RBM14,SRSF1,RBM25,RBM5,SRSF2,TIA1,RBM4B,SFPQ,TRA2B,NCBP2,RBM8A,SRSF3,CELF2,TIAL1,FMR1,DYRK1A,RBMX,HNRNPU,WTAP,RBM4,SAP18,NOVA1
GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION	GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION	3.84194576e-08	48	30	RPL27,RPL23A,RPL28,RPL37A,RPL39,RPL18,RPL23,RPL30,UBA52,RPL36,RPLP1,RPL32,RPL38,RPL27A,RPLP2,RPL35,RPLP0,RPL12,RPL29,RPL14,RPL10A,RPL10,RPL13,RPL8,RPL7A,RPL5,RPL19,RPL18A,RPL4,RPL13A
GOBP_MYOBLAST_FUSION	GOBP_MYOBLAST_FUSION	3.4728637e-09	74	42	DOCK1,CD81,RPL27,CACNA1H,RPL23A,RPL28,CDON,RPL37A,RPL39,RPL18,RPL23,RPL30,UBA52,RPL36,RPLP1,RPL32,RPL38,PTGFRN,NPHS1,RPL27A,RPLP2,RPL35,RPLP0,RPL12,RPL29,RPL14,DOCK5,RPL10A,RPL10,RPL13,RPL8,RPL7A,RPL5,RPL19,RPL18A,ADAMTS15,GDF15,TANC1,CAPN2,RPL4,RPL13A,MYH9
GOBP_CYTOPLASMIC_TRANSLATION	GOBP_CYTOPLASMIC_TRANSLATION	1e-10	171	86	RPS6,RPL7,EIF3A,EIF4G1,LIN28A,PKP1,RPL24,MCTS2,RPS28,RPSA2,RPS25,EIF2S3B,CPEB4,FTSJ1,RPS24,PABPC1,YBX3,RPL27,EIF3B,RPS29,RPL23A,RPL28,RPS21,RPS3A,RPL37A,RBM24,RPL39,RPL18,RPS15,RPL23,RPL30,UBA52,RPL36,RPLP1,RPL32,EIF3E,RPL38,EIF3K,RPS7,YBX1,FAU,ZNF385A,MTOR,RPS4X,RPL27A,RPS9,RPLP2,RPL35,EIF3D,RPS23,RPLP0,RPS18,RPS8,RPL12,RPL29,RPL14,RPL10A,RPL10,RPS5,RPL13,RPL8,RPL7A,EIF3L,EIF2S3,RPL5,RPS14,RPS16,RPS2,PKM,EIF2S2,RPL19,RPL18A,RPS11,GAPDH,RPS19,RACK1,IGF2BP1,RPL3,EEF2,RPS3,RPSA,RPL4,RPL13A,EPRS1,SARS1,AARS1
GOBP_SYNCYTIUM_FORMATION	GOBP_SYNCYTIUM_FORMATION	6.5995348e-09	87	44	DOCK1,CD81,RPL27,CACNA1H,RPL23A,RPL28,CDON,RPL37A,RPL39,RPL18,RPL23,RPL30,UBA52,RPL36,RPLP1,RPL32,RPL38,PTGFRN,NPHS1,RPL27A,RPLP2,RPL35,RPLP0,RPL12,RPL29,RPL14,DOCK5,RPL10A,RPL10,RPL13,RPL8,RPL7A,RPL5,RPL19,RPL18A,ADAMTS15,CD109,GDF15,TANC1,ADAM9,CAPN2,RPL4,RPL13A,MYH9
GOBP_SUBSTRATE_DEPENDENT_CELL_MIGRATION	GOBP_SUBSTRATE_DEPENDENT_CELL_MIGRATION	3.727394598e-07	25	10	NRP1,ATP5F1B,SDCBP,ITGA2,ROBO1,FBLN1,NTN1,STK4,MYH10,FN1
GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION	GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION	4.016072284e-07	59	33	RPL27,RPL23A,RPL28,RPL37A,RPL39,RPL18,RPL23,RPL30,UBA52,RPL36,RPLP1,RPL32,RPL38,RPL27A,RPLP2,RPL35,RPLP0,RPL12,RPL29,RPL14,RPL10A,RPL10,RPL13,RPL8,RPL7A,RPL5,RPL19,RPL18A,GDF15,ADAM9,CAPN2,RPL4,RPL13A
GOBP_AMINO_ACID_ACTIVATION	GOBP_AMINO_ACID_ACTIVATION	2.0590773658e-06	48	18	NARS2,QARS1,VARS1,TARS2,LARS2,LARS1,DARS2,TARS1,NARS1,WARS1,CARS1,IARS1,EPRS1,MARS1,SARS1,AARS1,YARS1,GARS1
GOBP_AMINO_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE	GOBP_AMINO_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE	1.46300418892e-05	42	13	SLC43A1,SLC1A4,KCNJ10,SLC6A9,SLC7A11,SLC38A1,SLC38A5,SLC7A8,SLC7A7,SLC1A3,SLC7A1,SLC6A6,SLC38A2
GOBP_MRNA_SPLICE_SITE_RECOGNITION	GOBP_MRNA_SPLICE_SITE_RECOGNITION	3.01397857774e-05	28	15	SRSF5,LUC7L3,SRSF6,SRSF10,SRSF1,PRPF39,KHDC4,LUC7L,CELF2,PTBP2,PSIP1,CELF5,CELF4,LUC7L2,SF1
GOBP_LUNG_ASSOCIATED_MESENCHYME_DEVELOPMENT	GOBP_LUNG_ASSOCIATED_MESENCHYME_DEVELOPMENT	1.32889644177e-05	8	4	SHH,PTK7,CTNNB1,HOXA5
GOBP_RESPONSE_TO_EPIDERMAL_GROWTH_FACTOR	GOBP_RESPONSE_TO_EPIDERMAL_GROWTH_FACTOR	1.4996254891e-05	50	24	GAREM1,FOXC1,ZFP36L2,SOX9,PDE8A,CAD,IQGAP1,STAT5B,CFL1,GSTP1,PTPN11,NCL,PTPN12,DUSP3,MCM7,SPG21,FOS,DAB2IP,COL1A1,VIL1,EGFR,MARS1,ZFP36L1,EEF1A1
GOBP_REGULATION_OF_CELL_SHAPE	GOBP_REGULATION_OF_CELL_SHAPE	2.228995178e-07	119	36	NF2,KIT,SEMA4D,CFL1,PLXNB2,CDC42EP3,PARVB,ARHGAP18,ARAP1,RAC2,RHOU,EZR,C15orf62,CYFIP1,HEXB,NHERF1,ARHGAP35,FAM171A1,ANXA1,MYO10,CDC42EP4,SH3KBP1,VIL1,FGD5,MYH10,MYH14,PLXND1,VEGFA,DNMBP,PALM,MYH9,SYNE3,PALM2AKAP2,CDC42EP1,MSN,FN1
GOBP_NEUTRAL_AMINO_ACID_TRANSPORT	GOBP_NEUTRAL_AMINO_ACID_TRANSPORT	1.84716250012e-05	41	12	SFXN3,SLC43A1,SLC1A4,SLC6A9,SLC7A11,SLC38A1,SLC38A5,SLC7A8,SLC7A7,SLC1A3,SLC6A6,SLC38A2
GOBP_REGULATION_OF_PROTEIN_MATURATION	GOBP_REGULATION_OF_PROTEIN_MATURATION	7.6752338958e-06	49	19	LDLRAD3,PLAUR,GLG1,NKD2,SRC,PRNP,F12,PLAT,RASAL2,PLAU,MMP14,RPS6KA2,SERPINE2,ENO1,ANXA2,MYH9,FURIN,SERPINE1,CHAC1
GOBP_MICROVILLUS_ORGANIZATION	GOBP_MICROVILLUS_ORGANIZATION	3.58256516356e-05	25	11	FSCN1,USH1C,RAPGEF2,TWF2,STK26,PTPN11,EZR,NHERF1,VIL1,FXYD5,PODXL
GOBP_REGULATION_OF_MONOCYTE_CHEMOTAXIS	GOBP_REGULATION_OF_MONOCYTE_CHEMOTAXIS	0.0001244661463382	17	11	DUSP1,APP,GREM1,NBL1,S100A14,NINJ1,LYN,PLA2G7,ANO6,CCR1,SERPINE1
GOBP_PYRIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	GOBP_PYRIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1.435425886e-07	151	57	INSR,NNT,PGD,PRKAA2,PFKP,FOXK2,STAT3,ME2,ZBTB20,FLCN,ARL2,ALDOA,ASPDH,NAMPT,GIT1,BCL2L13,PRPS2,NADK,SLC25A12,HDAC4,PARP14,PRKAG2,HAAO,LDHA,GALK1,LDHB,APP,TPI1,G6PD,ACO1,MTOR,MDH2,UCP2,OGDH,GOT2,NCOR1,GPD1L,PGK1,HK1,HKDC1,IER3,QPRT,RPTOR,ALPL,PKM,GPI,GAPDH,COL6A1,PFKM,FOXK1,PC,ENO1,IDH1,ALDH1L2,TKT,PSAT1,DDIT4
