Heatmap_Rank,term_id,term_name,p_value,term_size,intersection_size,intersection,Input_Order,Pathway_Gene_Source,Pathway_Gene_Count,Filtered,Versus,Versus Name,Result,Reciprocal pvalue,DEGs in Intersection,Is Reciprocal,GSEA_Rank,Neg_Log10_P,Pathway_Label_Clean,Pathway_Label,Heatmap_Cluster_Rank
1,CORDENONSI_YAP_CONSERVED_SIGNATURE,CORDENONSI_YAP_CONSERVED_SIGNATURE,1e-10,55,24,"TGM2,ANKRD1,THBS1,SERPINE1,AMOTL2,CRIM1,CCN1,AXL,ASAP1,TNS1,LHFPL6,ITGB5,CCN2,DLC1,FLNA,PDLIM2,BIRC5,CAVIN2,GADD45B,NDRG1,TGFB2,CDC20,TK1,DAB2",0,GMT,57,keep,itself,,1.0,0.0,0,True,1,10.0,CORDENONSI YAP CONSERVED SIGNATURE,CORDENONSI YAP CONSERVED SIGNATURE,1
2,ESC_V6.5_UP_EARLY.V1_DN,ESC_V6.5_UP_EARLY.V1_DN,1e-10,137,43,"TNFRSF12A,CAV1,EMP1,SERPINE1,CAVIN1,CCN1,AXL,ANXA1,IGFBP3,SCARA3,BMP4,ANXA2,TUBB6,ZFP36L1,COL1A1,AHNAK,TAGLN,CDC42EP1,KLF4,CCN2,S100A6,GJB3,FHL2,PARVA,ANXA3,COL4A2,TM4SF1,COL16A1,CD44,CAVIN2,NTN1,TIMP2,IGF2,TGFB1I1,PRCC,TGM1,LTBP3,CAPN2,CALD1,PLAU,HBEGF,IGFBP7,CSRP1",2,GMT,162,keep,itself,,1.0,0.0,0,True,3,10.0,ESC V6.5 UP EARLY.V1 DN,ESC V6.5 UP EARLY.V1 DN,2
3,P53_DN.V1_UP,P53_DN.V1_UP,9.682803045e-07,171,39,"ANKRD1,NR2F1,EGFR,CRIM1,SDC4,CCN1,AXL,ANXA1,F3,BMP4,KRT18,SYNJ2,IGFBP6,VIPR1,MAFF,KRT15,INPP1,FHL2,RBP1,SCNN1A,BCAR3,KRT19,MYOF,ZNF185,SMAD6,SMAGP,TACSTD2,ME3,ZNF799,NEBL,CD24,CHKA,ITGB4,MISP,ITGA2,ELF4,PLAU,CEMIP,PPARG",12,GMT,194,keep,itself,,1.0,0.0,0,True,12,6.0139989019110285,P53 DN.V1 UP,P53 DN.V1 UP,3
4,BMI1_DN.V1_UP,BMI1_DN.V1_UP,1e-10,129,54,"LIF,GPRC5A,ITGA3,PSG5,EPHA2,F3,BMP4,JAG1,COL7A1,TAGLN,STC2,SLC2A1,FJX1,NT5E,PMEPA1,GREM1,ANXA3,CCND1,FADS3,COL16A1,TLCD3A,CPA4,EDN1,ACKR3,ADGRE5,KRT17,LAMB3,VLDLR,GAL,PTHLH,TGFB2,FLNB,MMP7,FKRP,CSF2,CLDN1,HBEGF,CTNS,BST1,TCIM,CCN3,TIMP3,PODXL,SLC52A2,PLAT,GFPT2,ITGB8,SLC19A1,MARCHF3,PIEZO1,PLXNA2,POMT2,SLC5A6,COL13A1",1,GMT,147,keep,itself,,1.0,0.0,0,True,2,10.0,BMI1 DN.V1 UP,BMI1 DN.V1 UP,4
5,BMI1_DN_MEL18_DN.V1_UP,BMI1_DN_MEL18_DN.V1_UP,1.1291906e-09,124,47,"FOSL1,LIF,ITGA3,PIM1,F3,EHD1,JAG1,COL7A1,PLAUR,TAGLN,STC2,OGFRL1,FJX1,ARL4C,NT5E,PMEPA1,GREM1,ANXA3,CCND1,FADS3,COL16A1,CPA4,EDN1,ADAM19,ADGRE5,LAMB3,VLDLR,GAL,PTHLH,TGFB2,MGLL,MMP7,CSF2,CLDN1,HBEGF,BST1,TCIM,TIMP3,PODXL,PLAT,GFPT2,ITGB8,SLC19A1,TUFT1,MARCHF3,PIEZO1,P2RX5",4,GMT,145,keep,BMI1_DN.V1_UP,BMI1_DN.V1_UP,0.000329,0.0249,37,True,6,8.947232745814812,BMI1 DN MEL18 DN.V1 UP,BMI1 DN MEL18 DN.V1 UP,5
6,MEL18_DN.V1_UP,MEL18_DN.V1_UP,5.0266609e-09,123,39,"FOSL1,SLC16A6,LIF,ITGA3,EPHA2,F3,JAG1,COL7A1,PLAUR,STC2,FJX1,ARL4C,NT5E,PMEPA1,GREM1,PLXNA1,DDX11,CCND1,FADS3,COL16A1,CPA4,EDN1,ADAM19,ADGRE5,ENTPD6,LAMB3,VLDLR,GAL,PTHLH,TGFB2,MMP7,CSF2,PYGB,CLDN1,HBEGF,PLAT,GFPT2,ITGB8,SLC19A1",5,GMT,141,exclude,BMI1_DN.V1_UP,BMI1_DN.V1_UP,0.0265,0.8681,30,False,7,8.298720411415273,MEL18 DN.V1 UP,MEL18 DN.V1 UP,6
7,IL2_UP.V1_UP,IL2_UP.V1_UP,5.0065953673e-06,146,29,"TNFRSF12A,TNFRSF21,FOSL1,LIF,SLC2A3,PIM1,FOSL2,KLF6,MAFF,USP36,RHOB,TM4SF1,YRDC,PLEC,PLXNA3,POLR1G,TLCD3A,PUS1,IRS1,ADAM19,RGCC,TNFRSF1B,ESRP2,GADD45B,FLT1,SLC66A1,KCNK5,DUSP6,PMM2",13,GMT,190,keep,itself,,1.0,0.0,0,True,14,5.300457506833536,IL2 UP.V1 UP,IL2 UP.V1 UP,7
8,IL15_UP.V1_UP,IL15_UP.V1_UP,9.8703422447e-06,147,39,"TNFRSF12A,TNFRSF21,FOSL1,LIF,PIM1,MAFF,USP36,RHOB,YRDC,PLEC,ETV4,PLXNA3,KRT13,POLR1G,TLCD3A,CPA4,PUS1,CENPT,IRS1,ADAM19,PNO1,RGCC,GADD45B,SLC66A1,DUSP6,PMM2,PSG4,ZNF276,HEG1,SPINT1,MFSD12,ZBTB48,KIF1C,CDC25A,TIMM50,TRMU,TMEM158,SOCS2,CCNE1",15,GMT,189,keep,IL2_UP.V1_UP,IL2_UP.V1_UP,0.0277,3.57e-07,28,True,16,5.005667788322485,IL15 UP.V1 UP,IL15 UP.V1 UP,8
9,LEF1_UP.V1_UP,LEF1_UP.V1_UP,1e-10,187,42,"TGM2,AKAP12,DCLK1,WNT5A,LTBP2,EMP1,SERPINE1,GNG11,FOSL1,AXL,SLC2A3,KRT81,TMEM47,SLC5A3,VIM,S100A2,MYL9,L1CAM,IGFBP6,STC2,FJX1,PDLIM4,PRF1,PMEPA1,PTPRN2,ZAP70,RBP1,KRT23,EMP3,RUNX3,FOXF2,SYNE3,KRT13,PHLDA3,HEY2,ADAM19,S100A3,RGCC,TNFRSF1B,GATA3,COL6A1,ZFPM2",6,GMT,194,keep,itself,,1.0,0.0,0,True,4,10.0,LEF1 UP.V1 UP,LEF1 UP.V1 UP,9
10,CSR_EARLY_UP.V1_UP,CSR_EARLY_UP.V1_UP,1.51172002e-08,146,54,"TNFRSF12A,F3,FRMD6,PLAUR,ST3GAL1,MAP2K3,FJX1,NT5E,USP36,NOP16,GATA2,POLE3,ETS1,HMGA1,NIP7,DKC1,NCL,PPIF,SHB,BCAR3,RRP9,PUM3,NIFK,HPCAL1,SMAD7,FAM107B,NSG1,GTPBP4,GAL,BCAR1,ADRM1,CTPS1,TIMM23,PCSK7,HBEGF,TLNRD1,SPRY4,DCBLD1,EIF4A3,PHLPP2,IRAK1,DNTTIP2,TOP1,PXN,ILF2,EHD4,MSANTD3,KPNA4,PTPN1,RNPS1,ITPRIPL2,DNAJA1,GNL2,UBE2N",7,GMT,153,keep,itself,,1.0,0.0,0,True,9,7.820528635440838,CSR EARLY UP.V1 UP,CSR EARLY UP.V1 UP,10
