Pathway,RIBOSOMAL SUBUNIT,LARGE RIBOSOMAL SUBUNIT,RIBOSOME,CYTOSOLIC LARGE RIBOSOMAL SUBUNIT,PRERIBOSOME,SMALL SUBUNIT PROCESSOME,90S PRERIBOSOME,MITOCHONDRIAL PROTEIN CONTAINING COMPLEX,MITOCHONDRIAL LARGE RIBOSOMAL SUBUNIT,ORGANELLAR RIBOSOME,MITOCHONDRIAL SMALL RIBOSOMAL SUBUNIT,CELL SUBSTRATE JUNCTION,ACTIN FILAMENT BUNDLE,ACTOMYOSIN,CONTRACTILE MUSCLE FIBER,I BAND,ADHERENS JUNCTION,MEMBRANE MICRODOMAIN,SYNAPTIC MEMBRANE,POSTSYNAPTIC MEMBRANE,POSTSYNAPTIC SPECIALIZATION MEMBRANE,POSTSYNAPTIC SPECIALIZATION,NEURON TO NEURON SYNAPSE,CYTOSOLIC RIBOSOME,CYTOSOLIC SMALL RIBOSOMAL SUBUNIT,SMALL RIBOSOMAL SUBUNIT,SPLICEOSOMAL COMPLEX,CATALYTIC STEP 2 SPLICEOSOME,U2 TYPE SPLICEOSOMAL COMPLEX,VESICLE LUMEN,ENDOPEPTIDASE COMPLEX,PEPTIDASE COMPLEX,PROTEASOME COMPLEX,PROTEASOME ACCESSORY COMPLEX,KERATIN FILAMENT,INTERMEDIATE FILAMENT CYTOSKELETON,PRERIBOSOME LARGE SUBUNIT PRECURSOR,PROTEIN FOLDING CHAPERONE COMPLEX,PERICENTRIOLAR MATERIAL,"TIM23 MITOCHONDRIAL IMPORT INNER MEMBRANE
TRANSLOCASE COMPLEX"
RIBOSOMAL SUBUNIT,1.0,0.6120218579234973,1.0,0.31693989071038253,0.1092896174863388,0.1092896174863388,0.0,0.44808743169398907,0.28415300546448086,0.44808743169398907,0.17486338797814208,0.22950819672131148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09289617486338798,0.09289617486338798,0.5409836065573771,0.22404371584699453,0.40437158469945356,0.00546448087431694,0.0,0.0,0.00546448087431694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LARGE RIBOSOMAL SUBUNIT,1.0,1.0,1.0,0.5178571428571429,0.0,0.0,0.0,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.017857142857142856,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08928571428571429,0.08928571428571429,0.5178571428571429,0.0,0.026785714285714284,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIBOSOME,0.7754237288135594,0.4745762711864407,1.0,0.2457627118644068,0.08898305084745763,0.0847457627118644,0.0,0.3516949152542373,0.22033898305084745,0.3559322033898305,0.13559322033898305,0.18220338983050846,0.0,0.0,0.00847457627118644,0.0,0.0,0.0,0.00423728813559322,0.00423728813559322,0.00423728813559322,0.07627118644067797,0.07627118644067797,0.5127118644067796,0.17372881355932204,0.3135593220338983,0.00847457627118644,0.0,0.0,0.012711864406779662,0.00423728813559322,0.00423728813559322,0.00423728813559322,0.0,0.0,0.0,0.0,0.00423728813559322,0.0,0.0
CYTOSOLIC LARGE RIBOSOMAL SUBUNIT,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39655172413793105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1724137931034483,0.1724137931034483,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRERIBOSOME,0.18867924528301888,0.0,0.19811320754716982,0.0,1.0,0.6981132075471698,0.2641509433962264,0.0,0.0,0.0,0.0,0.11320754716981132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,0.03773584905660377,0.19811320754716982,0.18867924528301888,0.18867924528301888,0.009433962264150943,0.0,0.009433962264150943,0.009433962264150943,0.0,0.0,0.0,0.0,0.0,0.0,0.1509433962264151,0.0,0.0,0.0
SMALL SUBUNIT PROCESSOME,0.2702702702702703,0.0,0.2702702702702703,0.0,1.0,1.0,0.22972972972972974,0.0,0.0,0.0,0.0,0.16216216216216217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.05405405405405406,0.2702702702702703,0.2702702702702703,0.2702702702702703,0.013513513513513514,0.0,0.013513513513513514,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90S PRERIBOSOME,0.0,0.0,0.0,0.0,1.0,0.6071428571428571,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
MITOCHONDRIAL PROTEIN CONTAINING COMPLEX,0.45054945054945056,0.2857142857142857,0.45604395604395603,0.0,0.0,0.0,0.0,1.0,0.2857142857142857,0.45054945054945056,0.17582417582417584,0.005494505494505495,0.0,0.0,0.0,0.0,0.0,0.005494505494505495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17582417582417584,0.0,0.0,0.0,0.005494505494505495,0.027472527472527472,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08791208791208792
MITOCHONDRIAL LARGE RIBOSOMAL SUBUNIT,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORGANELLAR RIBOSOME,0.9761904761904762,0.6190476190476191,1.0,0.0,0.0,0.0,0.0,0.9761904761904762,0.6190476190476191,1.0,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
