Pathway,SOX9 B1,SOX5 01,SRY 02,TCCATTKW UNKNOWN,STAT5A 03,TCF1P Q6,NKX22 01,YNGTTNNNATT UNKNOWN,YATTNATC UNKNOWN,PAX4 02,POU3F2 02,CDC5 01,CART1 01,FOXO4 02,FOXO3 01,FOXO1 02,FOXO1 01,FOXO4 01,HLF 01,DR4 Q2,TCF4 Q5,LEF1 Q6,ACAWYAAAG UNKNOWN,WGGAATGY TEF1 Q6,MAF Q6,SRY 01,LEF1 Q2,OCT Q6,OCT1 Q5 01,OCT1 B,YATGNWAAT OCT C,IRF1 01,NF1 Q6 01,SRF Q6,SRF 01,SRF C,SRF Q4,SRF Q5 01,SP1 Q6,SP1 Q4 01
SOX9 B1,1.0,0.26359832635983266,0.25523012552301255,0.17573221757322174,0.08786610878661087,0.07531380753138076,0.06694560669456066,0.14225941422594143,0.13807531380753138,0.07112970711297072,0.06694560669456066,0.06694560669456066,0.06694560669456066,0.07112970711297072,0.05439330543933055,0.0794979079497908,0.07531380753138076,0.10460251046025104,0.08786610878661087,0.058577405857740586,0.07531380753138076,0.11715481171548117,0.03765690376569038,0.06694560669456066,0.04184100418410042,0.06276150627615062,0.029288702928870293,0.0794979079497908,0.07112970711297072,0.06276150627615062,0.07531380753138076,0.05439330543933055,0.03347280334728033,0.04602510460251046,0.0,0.04184100418410042,0.03765690376569038,0.029288702928870293,0.04184100418410042,0.04184100418410042
SOX5 01,0.23507462686567165,1.0,0.4253731343283582,0.10074626865671642,0.09701492537313433,0.08955223880597014,0.0708955223880597,0.13805970149253732,0.11940298507462686,0.08208955223880597,0.07462686567164178,0.08208955223880597,0.1044776119402985,0.09701492537313433,0.1044776119402985,0.11567164179104478,0.1417910447761194,0.12686567164179105,0.06716417910447761,0.06343283582089553,0.07462686567164178,0.07835820895522388,0.041044776119402986,0.07835820895522388,0.06343283582089553,0.09328358208955224,0.06343283582089553,0.09701492537313433,0.09328358208955224,0.08582089552238806,0.11567164179104478,0.055970149253731345,0.06716417910447761,0.06343283582089553,0.0,0.05223880597014925,0.07462686567164178,0.0708955223880597,0.029850746268656716,0.022388059701492536
SRY 02,0.23552123552123552,0.44015444015444016,1.0,0.10424710424710425,0.08494208494208494,0.10038610038610038,0.08108108108108109,0.14671814671814673,0.14671814671814673,0.10810810810810811,0.07335907335907337,0.12355212355212356,0.11583011583011583,0.18146718146718147,0.1969111969111969,0.15444015444015444,0.16988416988416988,0.11196911196911197,0.08494208494208494,0.07335907335907337,0.06563706563706563,0.07335907335907337,0.03861003861003861,0.07722007722007722,0.0694980694980695,0.1776061776061776,0.06177606177606178,0.0694980694980695,0.0694980694980695,0.05791505791505792,0.09652509652509653,0.08108108108108109,0.05791505791505792,0.05405405405405406,0.0,0.0694980694980695,0.0694980694980695,0.06563706563706563,0.03861003861003861,0.03474903474903475
TCCATTKW UNKNOWN,0.17355371900826447,0.1115702479338843,0.1115702479338843,1.0,0.11570247933884298,0.06611570247933884,0.05371900826446281,0.10330578512396695,0.1322314049586777,0.07851239669421488,0.06198347107438017,0.06198347107438017,0.09504132231404959,0.09917355371900827,0.0743801652892562,0.0743801652892562,0.08264462809917356,0.05785123966942149,0.07024793388429752,0.07851239669421488,0.05785123966942149,0.049586776859504134,0.02066115702479339,0.07024793388429752,0.05371900826446281,0.024793388429752067,0.024793388429752067,0.049586776859504134,0.05785123966942149,0.05371900826446281,0.0743801652892562,0.06198347107438017,0.04132231404958678,0.12396694214876033,0.02066115702479339,0.09504132231404959,0.10330578512396695,0.09504132231404959,0.045454545454545456,0.049586776859504134
STAT5A 03,0.07636363636363637,0.09454545454545454,0.08,0.10181818181818182,1.0,0.07636363636363637,0.05818181818181818,0.07636363636363637,0.09454545454545454,0.08727272727272728,0.09818181818181818,0.07636363636363637,0.10545454545454545,0.07272727272727272,0.06545454545454546,0.05818181818181818,0.07636363636363637,0.09818181818181818,0.08727272727272728,0.05090909090909091,0.06545454545454546,0.08,0.025454545454545455,0.07636363636363637,0.05454545454545454,0.05090909090909091,0.02909090909090909,0.07636363636363637,0.08,0.05454545454545454,0.12727272727272726,0.05090909090909091,0.05090909090909091,0.05454545454545454,0.007272727272727273,0.04,0.06545454545454546,0.06181818181818182,0.02909090909090909,0.025454545454545455
TCF1P Q6,0.06642066420664207,0.08856088560885608,0.0959409594095941,0.05904059040590406,0.07749077490774908,1.0,0.08118081180811808,0.1070110701107011,0.0959409594095941,0.08856088560885608,0.06273062730627306,0.0959409594095941,0.06642066420664207,0.05904059040590406,0.07011070110701106,0.07749077490774908,0.07011070110701106,0.08487084870848709,0.05904059040590406,0.05904059040590406,0.05166051660516605,0.055350553505535055,0.02214022140221402,0.07749077490774908,0.07380073800738007,0.05904059040590406,0.04428044280442804,0.03690036900369004,0.03690036900369004,0.04797047970479705,0.055350553505535055,0.09225092250922509,0.025830258302583026,0.033210332103321034,0.007380073800738007,0.02952029520295203,0.05166051660516605,0.04428044280442804,0.03690036900369004,0.033210332103321034
NKX22 01,0.08290155440414508,0.09844559585492228,0.10880829015544041,0.06735751295336788,0.08290155440414508,0.11398963730569948,1.0,0.15544041450777202,0.10362694300518134,0.07253886010362694,0.10362694300518134,0.11917098445595854,0.12435233160621761,0.07772020725388601,0.07253886010362694,0.07772020725388601,0.10880829015544041,0.08808290155440414,0.08290155440414508,0.05181347150259067,0.08808290155440414,0.05181347150259067,0.04145077720207254,0.07253886010362694,0.08290155440414508,0.07253886010362694,0.031088082901554404,0.08290155440414508,0.08290155440414508,0.08808290155440414,0.09326424870466321,0.05699481865284974,0.046632124352331605,0.06735751295336788,0.010362694300518135,0.06217616580310881,0.07772020725388601,0.05181347150259067,0.025906735751295335,0.031088082901554404
YNGTTNNNATT UNKNOWN,0.09042553191489362,0.09840425531914894,0.10106382978723404,0.06648936170212766,0.05585106382978723,0.07712765957446809,0.0797872340425532,1.0,0.1356382978723404,0.09574468085106383,0.06914893617021277,0.10106382978723404,0.09574468085106383,0.09574468085106383,0.11436170212765957,0.09042553191489362,0.08244680851063829,0.08776595744680851,0.05585106382978723,0.06382978723404255,0.061170212765957445,0.04521276595744681,0.031914893617021274,0.05851063829787234,0.0797872340425532,0.05319148936170213,0.023936170212765957,0.06648936170212766,0.06648936170212766,0.06648936170212766,0.07180851063829788,0.06382978723404255,0.047872340425531915,0.06382978723404255,0.007978723404255319,0.05851063829787234,0.05585106382978723,0.06382978723404255,0.0398936170212766,0.0398936170212766
YATTNATC UNKNOWN,0.08638743455497382,0.08376963350785341,0.09947643979057591,0.08376963350785341,0.06806282722513089,0.06806282722513089,0.05235602094240838,0.13350785340314136,1.0,0.0968586387434555,0.08900523560209424,0.08900523560209424,0.09162303664921466,0.07591623036649214,0.07591623036649214,0.06806282722513089,0.07329842931937172,0.07591623036649214,0.04450261780104712,0.0549738219895288,0.07853403141361257,0.06282722513089005,0.028795811518324606,0.07853403141361257,0.06806282722513089,0.060209424083769635,0.031413612565445025,0.060209424083769635,0.06806282722513089,0.049738219895287955,0.08900523560209424,0.049738219895287955,0.04450261780104712,0.04450261780104712,0.010471204188481676,0.034031413612565446,0.04712041884816754,0.04712041884816754,0.028795811518324606,0.02356020942408377
PAX4 02,0.07053941908713693,0.0912863070539419,0.11618257261410789,0.07883817427385892,0.0995850622406639,0.0995850622406639,0.058091286307053944,0.14937759336099585,0.15352697095435686,1.0,0.1037344398340249,0.1078838174273859,0.13692946058091288,0.1037344398340249,0.1078838174273859,0.08713692946058091,0.0912863070539419,0.07053941908713693,0.08298755186721991,0.06639004149377593,0.11618257261410789,0.07468879668049792,0.03319502074688797,0.058091286307053944,0.0954356846473029,0.07883817427385892,0.04564315352697095,0.07883817427385892,0.08298755186721991,0.07468879668049792,0.12863070539419086,0.07883817427385892,0.07468879668049792,0.05394190871369295,0.012448132780082987,0.04149377593360996,0.04564315352697095,0.04149377593360996,0.02074688796680498,0.024896265560165973
