Pathway ID	Name	pvalue	DEG number	DEG Density	Intersecton size	DEGs in Intersection	Result	Reciprocal pvalue	Filtered	Versus	Versus Name	Is Reciprocal	Top Genes
REACTOME_MRNA_SPLICING	REACTOME_MRNA_SPLICING	1.00e-10	99	0.467	0	0	1	0	keep	itself		True	SRSF6,SRSF7,HSPA8,DDX5,HNRNPH1,SRRT,FUS,RBM5,SRSF2,TRA2B,SRSF5,POLR2L,CASC3,RBM39,RBM8A,SRSF1,NCBP2,RBM25,DDX39B,DDX41
REACTOME_MRNA_3_END_PROCESSING	REACTOME_MRNA_3_END_PROCESSING	1.00e-10	69	0.4539	110	57	0.0078	0.0786	exclude	REACTOME_MRNA_SPLICING	REACTOME_MRNA_SPLICING	False	SRSF6,SRSF7,DDX5,HNRNPH1,SRRT,FUS,RBM5,SRSF2,TRA2B,SRSF5,POLR2L,CASC3,PABPN1,RBM39,RBM8A,CHTOP,SRSF1,NCBP2,RBM25,CPSF7
REACTOME_MRNA_POLYADENYLATION	REACTOME_MRNA_POLYADENYLATION	1.00e-10	56	0.4409	98	48	0.0325	0.3159	exclude	REACTOME_MRNA_SPLICING	REACTOME_MRNA_SPLICING	False	SRSF6,SRSF7,DDX5,HNRNPH1,SRRT,FUS,RBM5,SRSF2,TRA2B,SRSF5,POLR2L,PABPN1,RBM39,SRSF1,NCBP2,RBM25,CPSF7,DDX42,PPP1R10,U2AF2
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	1.00e-10	120	0.4082	212	99	6.40e-04	1	exclude	REACTOME_MRNA_SPLICING	REACTOME_MRNA_SPLICING	False	SRSF6,SRSF7,HSPA8,DDX5,HNRNPH1,SRRT,FUS,RBM5,SRSF2,TRA2B,SRSF5,NXF1,POLR2L,CASC3,PABPN1,RBM39,RBM8A,CHTOP,SRSF1,NCBP2
REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	4.01e-09	32	0.5818	0	0	1	0	keep	itself		True	SEC24C,SC5D,HMGCS1,CREBBP,SEC24B,MED1,GGPS1,ACACB,NCOA1,CHD9,LSS,HMGCR,SEC24D,NCOA6,SEC23A,TBL1XR1,CARM1,SEC24A,DHCR7,ELOVL6
REACTOME_DENGUE_VIRUS_HOST_INTERACTIONS	REACTOME_DENGUE_VIRUS_HOST_INTERACTIONS	4.48e-09	76	0.2603	123	46	1.42e-04	0.9996	exclude	REACTOME_MRNA_SPLICING	REACTOME_MRNA_SPLICING	False	SDC4,SRSF6,H2BC12,SRSF7,HSPA8,DDX5,HNRNPH1,SRRT,FUS,RBM5,SRSF2,SRSF5,AUP1,POLR2L,H2BC5,COG1,CD2BP2,PABPN1,CLU,SRSF1
REACTOME_NR1H2_AND_NR1H3_MEDIATED_SIGNALING	REACTOME_NR1H2_AND_NR1H3_MEDIATED_SIGNALING	4.61e-09	22	0.4681	0	0	1	0	keep	itself		True	APOE,NCOA1,NRIP1,KDM1B,KDM4A,AGO2,TBL1XR1,AGO4,NCOR1,KDM3A,NCOR2,MYLIP,TBL1X,RXRA,FASN,PLTP,TNRC6B,KDM1A,ABCA1,ABCG1
REACTOME_RORA_B_C_AND_NR1D1_REV_ERBA_REGULATE_GENE_EXPRESSION	REACTOME_RORA_B_C_AND_NR1D1_REV_ERBA_REGULATE_GENE_EXPRESSION	4.84e-09	18	0.72	15	12	0.2606	0.0419	keep	REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	True	CREBBP,MED1,PPARGC1A,RORC,NCOA1,CHD9,NRIP1,NCOA6,TBL1XR1,CARM1,NCOR1,NR1D1,NCOA2,TBL1X,RXRA,PPARA,RORA,SREBF1
REACTOME_METABOLISM_OF_STEROIDS	REACTOME_METABOLISM_OF_STEROIDS	2.04e-08	48	0.3117	15	12	5.93e-05	0.2606	exclude	REACTOME_RORA_B_C_AND_NR1D1_REV_ERBA_REGULATE_GENE_EXPRESSION	REACTOME_RORA_B_C_AND_NR1D1_REV_ERBA_REGULATE_GENE_EXPRESSION	False	SP1,SLC27A5,SEC24C,SC5D,HMGCS1,ACAT2,OSBPL2,CYP27A1,HSD17B12,HSD17B7,CREBBP,SEC24B,MED1,HSD17B11,GGPS1,ACACB,NCOA1,LRP2,CHD9,LSS
REACTOME_RRNA_PROCESSING	REACTOME_RRNA_PROCESSING	2.54e-08	82	0.3868	0	0	1	0	keep	itself		True	NOL9,RPS26,NOP56,PNO1,NIP7,EXOSC2,NOL6,RRP1,RPL36A,RPUSD4,RRP9,BYSL,NOP58,UTP14A,RPL26,CSNK1D,PES1,RPL41,RIOK1,UTP15
