Pathway,MRNA PROCESSING,"REGULATION OF SISTER CHROMATID SEPARATION AT
THE METAPHASEANAPHASE TRANSITION","FATTY ACID AND LIPOPROTEIN TRANSPORT IN
HEPATOCYTES",CHOLESTEROL METABOLISM,"STEROL REGULATORY ELEMENTBINDING PROTEINS
SREBP SIGNALING","SREBF AND MIR33 IN CHOLESTEROL AND LIPID
HOMEOSTASIS",ANGIOPOIETINLIKE PROTEIN 8 REGULATORY PATHWAY,LIVER X RECEPTOR PATHWAY,"TRANSCRIPTIONAL CASCADE REGULATING
ADIPOGENESIS","CHOLESTEROL METABOLISM WITH BLOCH AND
KANDUTSCHRUSSELL PATHWAYS","CHOLESTEROL BIOSYNTHESIS PATHWAY IN
HEPATOCYTES",OMEGA9 FATTY ACID SYNTHESIS,FATTY ACID BIOSYNTHESIS,FERROPTOSIS,CAFFEINE IN MYOCYTES,STRIATED MUSCLE CONTRACTION PATHWAY,MIRTARGETED GENES IN MUSCLE CELL,"VITAMIN DSENSITIVE CALCIUM SIGNALING IN
DEPRESSION",RETT SYNDROME,"DEREGULATING CELLULAR METABOLISM THROUGH
NONGENOTOXIC CARCINOGENS","THYROID HORMONES PRODUCTION AND PERIPHERAL
DOWNSTREAM SIGNALING EFFECTS",INSULIN SIGNALING,"TRANSLATION INHIBITORS IN CHRONICALLY
ACTIVATED PDGFRA CELLS","EFFECT OF OMEGA3 PUFA ON HUNTINGTONS DISEASE
PATHWAYS",KIT RECEPTOR SIGNALING,EGFEGFR SIGNALING,MAPK PATHWAY IN CONGENITAL THYROID CANCER,HEPATOCYTE GROWTH FACTOR RECEPTOR SIGNALING,PROLACTIN SIGNALING,MACROPHAGESTIMULATING PROTEIN MSP SIGNALING,REGULATION OF ACTIN CYTOSKELETON,"NANOPARTICLEMEDIATED ACTIVATION OF RECEPTOR
SIGNALING",ANGIOGENESIS OVERVIEW,METABOLIC REPROGRAMMING IN COLON CANCER,METABOLIC EPILEPTIC DISORDERS,"PHOTODYNAMIC THERAPYINDUCED UNFOLDED PROTEIN
RESPONSE",ANK2 PATHWAY IN EPILEPSY DEVELOPMENT,PHOSPHOINOSITIDES METABOLISM,"GPR143 IN MELANOCYTES AND RETINAL PIGMENT
EPITHELIUM CELLS",CORTICOTROPINRELEASING HORMONE SIGNALING
MRNA PROCESSING,1.0,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007936507936507936,0.0,0.0,0.03968253968253968,0.0,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"REGULATION OF SISTER CHROMATID SEPARATION AT
THE METAPHASEANAPHASE TRANSITION",0.07142857142857142,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"FATTY ACID AND LIPOPROTEIN TRANSPORT IN
HEPATOCYTES",0.0,0.0,1.0,0.13910761154855644,0.04461942257217848,0.013123359580052493,0.028871391076115485,0.0,0.0,0.06824146981627296,0.09711286089238845,0.005249343832020997,0.031496062992125984,0.01837270341207349,0.0,0.0,0.03412073490813648,0.0026246719160104987,0.0,0.005249343832020997,0.007874015748031496,0.03674540682414698,0.005249343832020997,0.03937007874015748,0.0026246719160104987,0.05511811023622047,0.0,0.0026246719160104987,0.007874015748031496,0.007874015748031496,0.01837270341207349,0.0026246719160104987,0.0026246719160104987,0.005249343832020997,0.007874015748031496,0.0,0.005249343832020997,0.01837270341207349,0.0026246719160104987,0.007874015748031496
CHOLESTEROL METABOLISM,0.0,0.0,0.7361111111111112,1.0,0.18055555555555555,0.05555555555555555,0.06944444444444445,0.041666666666666664,0.0,0.3472222222222222,0.3888888888888889,0.0,0.0,0.027777777777777776,0.0,0.0,0.05555555555555555,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888
"STEROL REGULATORY ELEMENTBINDING PROTEINS
SREBP SIGNALING",0.0,0.0,0.23943661971830985,0.18309859154929578,1.0,0.18309859154929578,0.23943661971830985,0.04225352112676056,0.028169014084507043,0.19718309859154928,0.18309859154929578,0.028169014084507043,0.056338028169014086,0.028169014084507043,0.0,0.0,0.07042253521126761,0.0,0.0,0.028169014084507043,0.07042253521126761,0.08450704225352113,0.056338028169014086,0.23943661971830985,0.014084507042253521,0.056338028169014086,0.0,0.014084507042253521,0.04225352112676056,0.056338028169014086,0.028169014084507043,0.0,0.028169014084507043,0.028169014084507043,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.028169014084507043,0.07042253521126761
"SREBF AND MIR33 IN CHOLESTEROL AND LIPID
HOMEOSTASIS",0.0,0.0,0.2777777777777778,0.2222222222222222,0.7222222222222222,1.0,0.3888888888888889,0.2222222222222222,0.05555555555555555,0.4444444444444444,0.3888888888888889,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.3888888888888889,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.1111111111111111,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0
ANGIOPOIETINLIKE PROTEIN 8 REGULATORY PATHWAY,0.0,0.0,0.08333333333333333,0.03787878787878788,0.12878787878787878,0.05303030303030303,1.0,0.07575757575757576,0.007575757575757576,0.03787878787878788,0.05303030303030303,0.015151515151515152,0.015151515151515152,0.0,0.0,0.0,0.05303030303030303,0.007575757575757576,0.007575757575757576,0.045454545454545456,0.18181818181818182,0.7348484848484849,0.23484848484848486,0.32575757575757575,0.14393939393939395,0.2727272727272727,0.05303030303030303,0.09090909090909091,0.19696969696969696,0.1590909090909091,0.1590909090909091,0.10606060606060606,0.12121212121212122,0.015151515151515152,0.03787878787878788,0.0,0.0,0.06060606060606061,0.0,0.08333333333333333
LIVER X RECEPTOR PATHWAY,0.0,0.0,0.0,0.3,0.3,0.4,1.0,1.0,0.1,0.4,0.5,0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
"TRANSCRIPTIONAL CASCADE REGULATING
ADIPOGENESIS",0.0,0.0,0.0,0.0,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,1.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0
"CHOLESTEROL METABOLISM WITH BLOCH AND
KANDUTSCHRUSSELL PATHWAYS",0.0,0.0,0.5531914893617021,0.5319148936170213,0.2978723404255319,0.1702127659574468,0.10638297872340426,0.0851063829787234,0.02127659574468085,1.0,0.851063829787234,0.23404255319148937,0.10638297872340426,0.10638297872340426,0.0,0.0,0.06382978723404255,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.2127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0
