Pathway,ATTENTION DEFICIT HYPERACTIVITY DISORDER,AUTISM,CONSTIPATION,ABNORMAL SOCIAL BEHAVIOR,INCREASED HEAD CIRCUMFERENCE,BROAD FOREHEAD,HIGH FOREHEAD,INCREASED BODY WEIGHT,ABNORMALITY OF THYROID PHYSIOLOGY,"RESTRICTED OR REPETITIVE BEHAVIORS OR
INTERESTS",SELF INJURIOUS BEHAVIOR,AGGRESSIVE BEHAVIOR,HYPOPLASIA OF THE CORPUS CALLOSUM,DELAYED ABILITY TO WALK,LONG PHILTRUM,MACROTIA,TOOTH MALPOSITION,ABNORMAL STERNUM MORPHOLOGY,PECTUS EXCAVATUM,LARGE FACE,TAPERED FINGER,LONG FINGERS,"APLASIA HYPOPLASIA INVOLVING BONES OF THE
FEET",SHORT FOOT,"APLASIA HYPOPLASIA INVOLVING BONES OF THE
LOWER LIMBS",SYNDACTYLY,CONGENITAL ABNORMAL HAIR PATTERN,THIN VERMILION BORDER,THIN UPPER LIP VERMILION,ABNORMALITY OF UPPER LIP VERMILLION,X LINKED INHERITANCE,ABNORMAL SHAPE OF THE FRONTAL REGION,PROPTOSIS,ABNORMAL MALE URETHRAL MEATUS MORPHOLOGY,ABNORMALITY OF THE URETHRA,HIGH NARROW PALATE,ABNORMALITY OF THE ELBOW,ABNORMAL KNEE MORPHOLOGY,RED EYE,ABNORMAL CONJUNCTIVA MORPHOLOGY
ATTENTION DEFICIT HYPERACTIVITY DISORDER,1.0,0.36556603773584906,0.3938679245283019,0.1650943396226415,0.25,0.16273584905660377,0.2688679245283019,0.25943396226415094,0.24528301886792453,0.2688679245283019,0.18396226415094338,0.2641509433962264,0.16037735849056603,0.12971698113207547,0.24764150943396226,0.1650943396226415,0.1957547169811321,0.18396226415094338,0.1650943396226415,0.1580188679245283,0.07547169811320754,0.15330188679245282,0.1179245283018868,0.09433962264150944,0.12735849056603774,0.20047169811320756,0.16745283018867924,0.2617924528301887,0.23349056603773585,0.3231132075471698,0.08018867924528301,0.1650943396226415,0.11084905660377359,0.15566037735849056,0.20518867924528303,0.06839622641509434,0.05188679245283019,0.14150943396226415,0.018867924528301886,0.04009433962264151
AUTISM,0.5615942028985508,1.0,0.40217391304347827,0.19927536231884058,0.2210144927536232,0.17391304347826086,0.33695652173913043,0.4746376811594203,0.39492753623188404,0.30434782608695654,0.26811594202898553,0.2427536231884058,0.15942028985507245,0.13043478260869565,0.38405797101449274,0.2971014492753623,0.36594202898550726,0.2463768115942029,0.22826086956521738,0.15579710144927536,0.07246376811594203,0.15217391304347827,0.213768115942029,0.18840579710144928,0.21739130434782608,0.2898550724637681,0.17391304347826086,0.2318840579710145,0.2028985507246377,0.286231884057971,0.10869565217391304,0.19202898550724637,0.09420289855072464,0.21014492753623187,0.2826086956521739,0.07971014492753623,0.07971014492753623,0.2210144927536232,0.007246376811594203,0.05434782608695652
CONSTIPATION,0.3436213991769547,0.22839506172839505,1.0,0.1337448559670782,0.19958847736625515,0.11934156378600823,0.17695473251028807,0.257201646090535,0.34156378600823045,0.1934156378600823,0.14814814814814814,0.16255144032921812,0.18106995884773663,0.12551440329218108,0.20781893004115226,0.13786008230452676,0.18724279835390947,0.20987654320987653,0.17078189300411523,0.10905349794238683,0.09053497942386832,0.1646090534979424,0.13580246913580246,0.09876543209876543,0.15432098765432098,0.14609053497942387,0.15020576131687244,0.2037037037037037,0.1748971193415638,0.2716049382716049,0.06378600823045268,0.17901234567901234,0.09670781893004116,0.15637860082304528,0.21193415637860083,0.06584362139917696,0.07407407407407407,0.1728395061728395,0.0205761316872428,0.043209876543209874
ABNORMAL SOCIAL BEHAVIOR,0.3977272727272727,0.3125,0.3693181818181818,1.0,0.19886363636363635,0.20454545454545456,0.2215909090909091,0.25,0.19318181818181818,0.3977272727272727,0.19318181818181818,0.3522727272727273,0.1875,0.14772727272727273,0.2897727272727273,0.22727272727272727,0.23863636363636365,0.2159090909090909,0.1875,0.11363636363636363,0.05113636363636364,0.09659090909090909,0.125,0.08522727272727272,0.125,0.17613636363636365,0.11931818181818182,0.20454545454545456,0.19318181818181818,0.24431818181818182,0.09090909090909091,0.13636363636363635,0.045454545454545456,0.09090909090909091,0.19886363636363635,0.10227272727272728,0.03977272727272727,0.18181818181818182,0.056818181818181816,0.056818181818181816
INCREASED HEAD CIRCUMFERENCE,0.22410147991543342,0.12896405919661733,0.20507399577167018,0.07399577167019028,1.0,0.17970401691331925,0.21775898520084566,0.21141649048625794,0.15856236786469344,0.13530655391120508,0.09302325581395349,0.13953488372093023,0.14376321353065538,0.13742071881606766,0.26849894291754756,0.1416490486257928,0.20718816067653276,0.30655391120507397,0.22410147991543342,0.17124735729386892,0.080338266384778,0.14799154334038056,0.17547568710359407,0.1226215644820296,0.21987315010570824,0.23678646934460887,0.1733615221987315,0.19027484143763213,0.14376321353065538,0.2452431289640592,0.09513742071881606,0.3488372093023256,0.1733615221987315,0.20718816067653276,0.22832980972515857,0.09936575052854123,0.160676532769556,0.1543340380549683,0.021141649048625793,0.05919661733615222
BROAD FOREHEAD,0.32547169811320753,0.22641509433962265,0.27358490566037735,0.16981132075471697,0.4009433962264151,1.0,0.33962264150943394,0.2688679245283019,0.24056603773584906,0.14622641509433962,0.16037735849056603,0.14622641509433962,0.17452830188679244,0.12264150943396226,0.41509433962264153,0.3018867924528302,0.37264150943396224,0.42452830188679247,0.33962264150943394,0.19811320754716982,0.12264150943396226,0.2358490566037736,0.18396226415094338,0.12264150943396226,0.2169811320754717,0.2688679245283019,0.25,0.37264150943396224,0.24056603773584906,0.32547169811320753,0.10849056603773585,0.38207547169811323,0.24528301886792453,0.25943396226415094,0.3632075471698113,0.1179245283018868,0.15566037735849056,0.25943396226415094,0.018867924528301886,0.03773584905660377
HIGH FOREHEAD,0.35514018691588783,0.2897196261682243,0.26791277258566976,0.12149532710280374,0.32087227414330216,0.22429906542056074,1.0,0.16510903426791276,0.1588785046728972,0.17133956386292834,0.08722741433021806,0.1588785046728972,0.205607476635514,0.12461059190031153,0.32710280373831774,0.19314641744548286,0.27102803738317754,0.3364485981308411,0.2616822429906542,0.1806853582554517,0.11214953271028037,0.19626168224299065,0.1838006230529595,0.08411214953271028,0.21806853582554517,0.1838006230529595,0.2523364485981308,0.2398753894080997,0.19314641744548286,0.29595015576323985,0.08099688473520249,0.2897196261682243,0.21806853582554517,0.2367601246105919,0.29906542056074764,0.1308411214953271,0.14018691588785046,0.1838006230529595,0.03426791277258567,0.04672897196261682
INCREASED BODY WEIGHT,0.26066350710900477,0.3104265402843602,0.2962085308056872,0.10426540284360189,0.23696682464454977,0.13507109004739337,0.12559241706161137,1.0,0.3791469194312796,0.14928909952606634,0.14928909952606634,0.14928909952606634,0.14691943127962084,0.12559241706161137,0.2914691943127962,0.20853080568720378,0.2559241706161137,0.2132701421800948,0.1872037914691943,0.13033175355450238,0.08530805687203792,0.14691943127962084,0.1966824644549763,0.14218009478672985,0.2132701421800948,0.2014218009478673,0.14454976303317535,0.2014218009478673,0.15876777251184834,0.22274881516587677,0.0971563981042654,0.17061611374407584,0.0995260663507109,0.1848341232227488,0.24407582938388625,0.07582938388625593,0.11374407582938388,0.2014218009478673,0.014218009478672985,0.02843601895734597
ABNORMALITY OF THYROID PHYSIOLOGY,0.23963133640552994,0.2511520737327189,0.3824884792626728,0.07834101382488479,0.1728110599078341,0.1175115207373272,0.1175115207373272,0.3686635944700461,1.0,0.1152073732718894,0.1175115207373272,0.08525345622119816,0.1543778801843318,0.06912442396313365,0.27419354838709675,0.20046082949308755,0.22580645161290322,0.18663594470046083,0.1497695852534562,0.12211981566820276,0.052995391705069124,0.1152073732718894,0.14285714285714285,0.08986175115207373,0.17050691244239632,0.18663594470046083,0.0944700460829493,0.14746543778801843,0.1175115207373272,0.18663594470046083,0.0576036866359447,0.1912442396313364,0.12903225806451613,0.1774193548387097,0.22811059907834103,0.059907834101382486,0.059907834101382486,0.15207373271889402,0.027649769585253458,0.052995391705069124
"RESTRICTED OR REPETITIVE BEHAVIORS OR
INTERESTS",0.3864406779661017,0.2847457627118644,0.31864406779661014,0.23728813559322035,0.21694915254237288,0.10508474576271186,0.1864406779661017,0.2135593220338983,0.1694915254237288,1.0,0.41694915254237286,0.3593220338983051,0.26101694915254237,0.2847457627118644,0.20677966101694914,0.1694915254237288,0.23728813559322035,0.17966101694915254,0.14576271186440679,0.14915254237288136,0.13220338983050847,0.2,0.2,0.13559322033898305,0.2135593220338983,0.19322033898305085,0.18983050847457628,0.28135593220338984,0.25084745762711863,0.3288135593220339,0.10508474576271186,0.2271186440677966,0.10847457627118644,0.17288135593220338,0.18983050847457628,0.06779661016949153,0.06779661016949153,0.10508474576271186,0.01694915254237288,0.01694915254237288
