Data_Type,Dataset_ID,Plot_Category,Analysis_Name,GeneSet_Name,GSEA_Result_File,Pathway ID,Name,pvalue,DEG number,DEG Density,Intersecton size,DEGs in Intersection,Result,Reciprocal pvalue,Filtered,Versus,Versus Name,Is Reciprocal,Top Genes
ngs,GSE282081,Main_DE,2D_J2_hepatocyte_vs_2D_none,TFT_GTRD,results/ngs/GSE282081/tables/2D_J2_hepatocyte_vs_2D_none/GSEA/TFT_GTRD/gsea_result.csv,PSMB5_TARGET_GENES,PSMB5_TARGET_GENES,1e-10,65,0.209,0,0,1.0,0.0,keep,itself,,True,"SLC2A3,SDC4,THBS1,ACTG1,CCN2,CCN1,SRSF6,RRM2,H2BC12,SRSF7,ACTB,MT1E,HSPA8,TPM1,DDX5,HNRNPH1,RSRP1,EIF4A2,ID2,FUS"
ngs,GSE282081,Main_DE,2D_J2_hepatocyte_vs_2D_none,TFT_GTRD,results/ngs/GSE282081/tables/2D_J2_hepatocyte_vs_2D_none/GSEA/TFT_GTRD/gsea_result.csv,CTR9_TARGET_GENES,CTR9_TARGET_GENES,2.92e-05,20,0.2857,0,0,1.0,0.0,keep,itself,,True,"SRSF7,FBXL5,TRA2B,SFPQ,ZEB2,RBM39,TMEM138,MYL6,CCNL1,H2AC6,RPL41,HNRNPU,ZNF207,H2BC21,TPM4,ERCC3,LRRC59,TLDC2,TAPT1,POMT1"
ngs,GSE282081,Main_DE,2D_J2_hepatocyte_vs_2D_none,TFT_GTRD,results/ngs/GSE282081/tables/2D_J2_hepatocyte_vs_2D_none/GSEA/TFT_GTRD/gsea_result.csv,FOXR2_TARGET_GENES,FOXR2_TARGET_GENES,3.2e-05,81,0.3462,0,0,1.0,0.0,keep,itself,,True,"MRPL27,TRIM16,NOP16,CD2BP2,NIP7,ADSL,ZNF202,DPM2,SRSF1,PSMC5,LUC7L,GOSR2,DDX42,SURF6,UBXN8,UBE2G2,TXLNA,BANF1,MRPL20,TIMM10B"
ngs,GSE282081,Main_DE,2D_J2_hepatocyte_vs_2D_none,TFT_GTRD,results/ngs/GSE282081/tables/2D_J2_hepatocyte_vs_2D_none/GSEA/TFT_GTRD/gsea_result.csv,SS18_SSX1_FUSION_UNIPROT_Q8IZH1_UNREVIEWED_TARGET_GENES,SS18_SSX1_FUSION_UNIPROT_Q8IZH1_UNREVIEWED_TARGET_GENES,3.67e-05,126,0.3007,0,0,1.0,0.0,keep,itself,,True,"CECR2,ARHGEF1,RAB3C,DNAI3,NEDD4,GOLGB1,HSPA12A,OSBP,GBX2,SULT2B1,LFNG,ASPHD1,CPTP,SOCS3,GIT1,EMX1,MAP2,ARHGAP26,LTBP3,KLF11"
ngs,GSE282081,Main_DE,2D_J2_hepatocyte_vs_2D_none,TFT_GTRD,results/ngs/GSE282081/tables/2D_J2_hepatocyte_vs_2D_none/GSEA/TFT_GTRD/gsea_result.csv,SIX1_TARGET_GENES,SIX1_TARGET_GENES,4.99e-05,84,0.2193,0,0,1.0,0.0,keep,itself,,True,"TTYH2,RND2,SMC4,YPEL3,KIF11,HDAC11,HES6,B3GALT5,ANKRD28,GRAMD1B,AGPAT4,EPHX1,SEMA3C,STUM,UST,CAMTA1,OAT,VPS37B,AP2A2,IGF1R"
ngs,GSE282081,Main_DE,2D_J2_hepatocyte_vs_2D_none,TFT_GTRD,results/ngs/GSE282081/tables/2D_J2_hepatocyte_vs_2D_none/GSEA/TFT_GTRD/gsea_result.csv,CHAF1A_TARGET_GENES,CHAF1A_TARGET_GENES,7.49e-05,33,0.3367,0,0,1.0,0.0,keep,itself,,True,"PPP6R1,MED23,KDSR,TJP3,TRAPPC9,EPS15,IGF1R,ZMIZ1,ZNF395,ZNF521,USP3,INSR,ATP11A,IARS2,PDE8A,GMPS,XPO7,WDTC1,OSBPL1A,MAML3"
ngs,GSE282081,Main_DE,2D_J2_hepatocyte_vs_2D_none,TFT_GTRD,results/ngs/GSE282081/tables/2D_J2_hepatocyte_vs_2D_none/GSEA/TFT_GTRD/gsea_result.csv,NFXL1_TARGET_GENES,NFXL1_TARGET_GENES,0.000172,128,0.2706,0,0,1.0,0.0,keep,itself,,True,"METAP1,MIA3,GREB1,ACTN4,NFIX,LRRC4B,OBSCN,MYO18A,HSD17B14,SLC29A4,LYPD5,IQSEC2,SLC16A3,AKNA,FKBP4,PRSS8,CORO1A,RASAL1,CCDC136,TMCC3"
ngs,GSE282081,Main_DE,2D_J2_hepatocyte_vs_2D_none,TFT_GTRD,results/ngs/GSE282081/tables/2D_J2_hepatocyte_vs_2D_none/GSEA/TFT_GTRD/gsea_result.csv,CASP8AP2_TARGET_GENES,CASP8AP2_TARGET_GENES,0.000215,96,0.2799,0,0,1.0,0.0,keep,itself,,True,"H2BC12,FUS,CCND3,DMAP1,ZNF195,CDC16,DNTTIP2,CHTOP,SUPT7L,SELENOW,H2AC6,FBXW5,VPS25,TGIF1,AP5Z1,NOL8,H2BC11,HEMK2,NDUFC2,MAN2C1"
ngs,GSE282081,Main_DE,2D_J2_hepatocyte_vs_2D_none,TFT_GTRD,results/ngs/GSE282081/tables/2D_J2_hepatocyte_vs_2D_none/GSEA/TFT_GTRD/gsea_result.csv,TERF1_TARGET_GENES,TERF1_TARGET_GENES,0.00022,66,0.2207,0,0,1.0,0.0,keep,itself,,True,"BCL9L,SPG11,ACTR2,MARF1,FAM117A,CTSS,REPS1,ITGB7,BMAL2,ZNF236,UST,TMTC3,MOB1A,CDK14,ATG2A,TM7SF3,APOL6,TMCO4,ARHGAP21,SLC6A12"
ngs,GSE282081,Main_DE,2D_J2_hepatocyte_vs_2D_none,TFT_GTRD,results/ngs/GSE282081/tables/2D_J2_hepatocyte_vs_2D_none/GSEA/TFT_GTRD/gsea_result.csv,ZNF486_TARGET_GENES,ZNF486_TARGET_GENES,0.000295,40,0.1316,0,0,1.0,0.0,keep,itself,,True,"TEC,TLK1,BRCA1,CDK14,MKX,GNG4,FA2H,FRYL,SAT1,RAB3GAP1,TENM3,DLX6,BTRC,RIC1,INSR,CPD,GULP1,RFX3,RABGAP1L,CLASP2"
