Pathway,SPLICEOSOME,ENDOCYTOSIS,FOCAL ADHESION,ECM RECEPTOR INTERACTION,PATHWAYS IN CANCER,SMALL CELL LUNG CANCER,REGULATION OF ACTIN CYTOSKELETON,ADHERENS JUNCTION,TIGHT JUNCTION,LEUKOCYTE TRANSENDOTHELIAL MIGRATION,AXON GUIDANCE,LYSOSOME,VIBRIO CHOLERAE INFECTION,HOMOLOGOUS RECOMBINATION,MISMATCH REPAIR,COMPLEMENT AND COAGULATION CASCADES,PRION DISEASES,INOSITOL PHOSPHATE METABOLISM,PHOSPHATIDYLINOSITOL SIGNALING SYSTEM,CALCIUM SIGNALING PATHWAY,LONG TERM POTENTIATION,VASCULAR SMOOTH MUSCLE CONTRACTION,MELANOGENESIS,INSULIN SIGNALING PATHWAY,GLIOMA,ERBB SIGNALING PATHWAY,VEGF SIGNALING PATHWAY,CHEMOKINE SIGNALING PATHWAY,CYTOKINE CYTOKINE RECEPTOR INTERACTION,JAK STAT SIGNALING PATHWAY,HEMATOPOIETIC CELL LINEAGE,DILATED CARDIOMYOPATHY,HYPERTROPHIC CARDIOMYOPATHY HCM,"ARRHYTHMOGENIC RIGHT VENTRICULAR
CARDIOMYOPATHY ARVC",CARDIAC MUSCLE CONTRACTION,PROTEASOME,HISTIDINE METABOLISM,TYROSINE METABOLISM,"GLYCOSAMINOGLYCAN BIOSYNTHESIS CHONDROITIN
SULFATE",N GLYCAN BIOSYNTHESIS
SPLICEOSOME,1.0,0.047244094488188976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007874015748031496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENDOCYTOSIS,0.03314917127071823,1.0,0.06077348066298342,0.0,0.10497237569060773,0.0055248618784530384,0.08287292817679558,0.03314917127071823,0.049723756906077346,0.011049723756906077,0.022099447513812154,0.022099447513812154,0.0,0.0,0.0,0.0055248618784530384,0.0055248618784530384,0.027624309392265192,0.027624309392265192,0.04419889502762431,0.0055248618784530384,0.0,0.011049723756906077,0.03314917127071823,0.03314917127071823,0.049723756906077346,0.022099447513812154,0.09392265193370165,0.08287292817679558,0.04419889502762431,0.022099447513812154,0.0055248618784530384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOCAL ADHESION,0.0,0.05527638190954774,1.0,0.32663316582914576,0.41708542713567837,0.20603015075376885,0.4623115577889447,0.10552763819095477,0.1306532663316583,0.23115577889447236,0.10552763819095477,0.0,0.02512562814070352,0.0,0.0,0.005025125628140704,0.03015075376884422,0.03015075376884422,0.06532663316582915,0.05025125628140704,0.07537688442211055,0.09547738693467336,0.05025125628140704,0.18592964824120603,0.18592964824120603,0.23618090452261306,0.1507537688442211,0.21608040201005024,0.08040201005025126,0.08542713567839195,0.04020100502512563,0.12562814070351758,0.12562814070351758,0.1407035175879397,0.005025125628140704,0.0,0.0,0.0,0.0,0.0
ECM RECEPTOR INTERACTION,0.0,0.0,0.7738095238095238,1.0,0.27380952380952384,0.27380952380952384,0.25,0.0,0.0,0.023809523809523808,0.011904761904761904,0.0,0.0,0.0,0.0,0.011904761904761904,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.2619047619047619,0.2619047619047619,0.2619047619047619,0.0,0.0,0.0,0.0,0.0,0.0
PATHWAYS IN CANCER,0.0,0.05846153846153846,0.2553846153846154,0.07076923076923076,1.0,0.2523076923076923,0.20923076923076922,0.08615384615384615,0.052307692307692305,0.08,0.04923076923076923,0.0,0.015384615384615385,0.006153846153846154,0.012307692307692308,0.0,0.021538461538461538,0.021538461538461538,0.043076923076923075,0.03076923076923077,0.046153846153846156,0.033846153846153845,0.16615384615384615,0.11384615384615385,0.15692307692307692,0.16,0.10153846153846154,0.12615384615384614,0.08923076923076922,0.10461538461538461,0.036923076923076927,0.036923076923076927,0.04,0.04923076923076923,0.003076923076923077,0.0,0.0,0.0,0.0,0.0
SMALL CELL LUNG CANCER,0.0,0.011904761904761904,0.4880952380952381,0.27380952380952384,0.9761904761904762,1.0,0.19047619047619047,0.0,0.05952380952380952,0.11904761904761904,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.05952380952380952,0.10714285714285714,0.011904761904761904,0.0,0.0,0.0,0.14285714285714285,0.23809523809523808,0.16666666666666666,0.16666666666666666,0.21428571428571427,0.0,0.21428571428571427,0.047619047619047616,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
REGULATION OF ACTIN CYTOSKELETON,0.0,0.07042253521126761,0.431924882629108,0.09859154929577464,0.3192488262910798,0.07511737089201878,1.0,0.10328638497652583,0.11737089201877934,0.20187793427230047,0.11737089201877934,0.0,0.009389671361502348,0.0,0.0,0.018779342723004695,0.018779342723004695,0.051643192488262914,0.07042253521126761,0.06103286384976526,0.06572769953051644,0.10328638497652583,0.03755868544600939,0.12206572769953052,0.12206572769953052,0.14553990610328638,0.10328638497652583,0.18309859154929578,0.03286384976525822,0.046948356807511735,0.046948356807511735,0.107981220657277,0.107981220657277,0.12206572769953052,0.009389671361502348,0.0,0.0,0.0,0.0,0.0
ADHERENS JUNCTION,0.0,0.0821917808219178,0.2876712328767123,0.0,0.3835616438356164,0.0,0.3013698630136986,1.0,0.273972602739726,0.2328767123287671,0.1232876712328767,0.0,0.0410958904109589,0.0,0.0,0.0,0.0410958904109589,0.0,0.0,0.0273972602739726,0.0547945205479452,0.0410958904109589,0.1232876712328767,0.0821917808219178,0.0547945205479452,0.0684931506849315,0.0958904109589041,0.1232876712328767,0.0547945205479452,0.0410958904109589,0.0,0.0273972602739726,0.0273972602739726,0.1917808219178082,0.0,0.0,0.0,0.0,0.0,0.0
TIGHT JUNCTION,0.0,0.06818181818181818,0.19696969696969696,0.0,0.12878787878787878,0.03787878787878788,0.1893939393939394,0.15151515151515152,1.0,0.38636363636363635,0.06060606060606061,0.0,0.05303030303030303,0.0,0.0,0.0,0.0,0.007575757575757576,0.030303030303030304,0.022727272727272728,0.045454545454545456,0.07575757575757576,0.07575757575757576,0.06060606060606061,0.08333333333333333,0.07575757575757576,0.08333333333333333,0.11363636363636363,0.0,0.022727272727272728,0.0,0.03787878787878788,0.03787878787878788,0.07575757575757576,0.022727272727272728,0.0,0.0,0.0,0.0,0.0
LEUKOCYTE TRANSENDOTHELIAL MIGRATION,0.0,0.017241379310344827,0.39655172413793105,0.017241379310344827,0.22413793103448276,0.08620689655172414,0.3706896551724138,0.14655172413793102,0.4396551724137931,1.0,0.11206896551724138,0.0,0.0603448275862069,0.0,0.0,0.0,0.0,0.05172413793103448,0.11206896551724138,0.05172413793103448,0.05172413793103448,0.0603448275862069,0.0603448275862069,0.06896551724137931,0.11206896551724138,0.1206896551724138,0.1896551724137931,0.2672413793103448,0.017241379310344827,0.07758620689655173,0.017241379310344827,0.04310344827586207,0.04310344827586207,0.10344827586206896,0.008620689655172414,0.0,0.0,0.0,0.0,0.0
