Pathway ID	Name	pvalue	DEG number	DEG Density	Intersecton size	DEGs in Intersection	Result	Reciprocal pvalue	Filtered	Versus	Versus Name	Is Reciprocal	Top Genes
KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_MRAS_SHOC2_PP1_HOLOPHOSPHATASE	KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_MRAS_SHOC2_PP1_HOLOPHOSPHATASE	1.90e-04	4	0.5	0	0	1	0	keep	itself		True	MRAS,SHOC2,PPP1CC,PPP1CB
KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_UBIQUITINATION_OF_RTK_BY_CBL	KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_UBIQUITINATION_OF_RTK_BY_CBL	4.22e-04	13	0.52	0	0	1	0	keep	itself		True	NGFR,INSR,EGFR,CBL,CSF1R,FLT1,ERBB2,IGF1R,FGFR3,NTRK1,FGFR4,FGFR1,PDGFRB
KEGG_MEDICUS_REFERENCE_TGF_BETA_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_TGF_BETA_SIGNALING_PATHWAY	0.0023	4	0.5	0	0	1	0	keep	itself		True	TGFBR2,TGFBR1,SMAD3,TGFB2
KEGG_MEDICUS_REFERENCE_IFN_RIPK1_3_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_IFN_RIPK1_3_SIGNALING_PATHWAY	0.0023	6	0.1935	0	0	1	0	keep	itself		True	RIPK3,IFNAR1,STAT2,JAK3,STAT5A,STAT6
KEGG_MEDICUS_REFERENCE_REGULATION_OF_FIBRINOLYTIC_SYSTEM_C1INH	KEGG_MEDICUS_REFERENCE_REGULATION_OF_FIBRINOLYTIC_SYSTEM_C1INH	0.0028	3	0.5	0	0	1	0	keep	itself		True	SERPING1,PLAU,C1S
KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_SRF_MEDIATED_TRANSCRIPTION	KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_SRF_MEDIATED_TRANSCRIPTION	0.0055	4	0.8	0	0	1	0	keep	itself		True	FOS,EGR1,EGR2,FOSL1
KEGG_MEDICUS_PATHOGEN_HTLV_1_P12_TO_JAK_STAT_SIGNALING_PATHWAY	KEGG_MEDICUS_PATHOGEN_HTLV_1_P12_TO_JAK_STAT_SIGNALING_PATHWAY	0.0069	3	0.4286	3	2	0.3714	0.0879	keep	KEGG_MEDICUS_REFERENCE_IFN_RIPK1_3_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_IFN_RIPK1_3_SIGNALING_PATHWAY	False	JAK3,STAT5A,IL2RB
KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_PI3K_SIGNALING_PATHWAY	0.007	29	0.3258	24	12	0.0319	1	exclude	KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_UBIQUITINATION_OF_RTK_BY_CBL	KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_UBIQUITINATION_OF_RTK_BY_CBL	False	KRAS,NGFR,EFNA1,AKT1,AKT2,INSR,IGF1,EGFR,AREG,CSF1,PDGFC,CSF1R,IGF2,FLT1,ERBB2,IGF1R,BDNF,PIK3R1,FGFR3,EFNA3
KEGG_MEDICUS_VARIANT_PAX8_PPARG_FUSION_TO_PPARG_MEDIATED_TRANSCRIPTION	KEGG_MEDICUS_VARIANT_PAX8_PPARG_FUSION_TO_PPARG_MEDIATED_TRANSCRIPTION	0.007	1	0.2	0	0	1	0	keep	itself		True	PPARG
KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPAC_TO_ACTIN_SIGNALING_PATHWAY	KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPAC_TO_ACTIN_SIGNALING_PATHWAY	0.0096	5	0.3846	0	0	1	0	keep	itself		True	ACTR2,SRC,ARPC5,ACTR3,CTTN
