Heatmap_Rank,term_id,term_name,p_value,term_size,intersection_size,intersection,Input_Order,Pathway_Gene_Source,Pathway_Gene_Count,Filtered,Versus,Versus Name,Result,Reciprocal pvalue,DEGs in Intersection,Is Reciprocal,GSEA_Rank,Neg_Log10_P,Pathway_Label_Clean,Pathway_Label,Heatmap_Cluster_Rank
1,WP_ATM_SIGNALING_IN_DEVELOPMENT_AND_DISEASE,WP_ATM_SIGNALING_IN_DEVELOPMENT_AND_DISEASE,4.47364094e-07,47,23,"PPP2CA,CDC25A,RNF20,SMC1A,MDC1,LMNB2,STK11,RNF40,NFKB1,RBBP8,RNF8,CHEK1,DCLRE1C,G6PD,TP53BP1,HSPB1,CEP63,HDAC4,KAT5,PPM1D,NHEJ1,TP53,TSC2",0,GMT,47,keep,itself,,1.0,0.0,0,True,1,6.349338875857267,ATM SIGNALING IN DEVELOPMENT AND DISEASE,ATM SIGNALING IN DEVELOPMENT AND DISEASE,1
2,WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR,WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR,9.0365893622e-06,82,36,"DCLRE1A,H2AX,SMC1A,BRCA1,MDC1,BRCC3,EXO1,SMARCAL1,RAD51,HUS1,UIMC1,FOXM1,RBBP8,RNF8,CHEK1,CLSPN,CEP164,SMARCC2,TOPBP1,TOP3A,MSH2,RPA2,POLB,TP53BP1,UPF1,RECQL5,PPM1D,FEN1,TP53,RECQL4,PCNA,USP1,CLK2,RECQL,MRE11,ATR",2,GMT,82,keep,itself,,1.0,0.0,0,True,3,5.043995452341711,DNA IRDAMAGE AND CELLULAR RESPONSE VIA ATR,DNA IRDAMAGE AND CELLULAR RESPONSE VIA ATR,2
3,WP_RETINOBLASTOMA_GENE_IN_CANCER,WP_RETINOBLASTOMA_GENE_IN_CANCER,0.0009895432683169,86,33,"RFC4,WEE1,CDC25A,POLA1,SMC1A,PLK4,KIF4A,SAP30,FAF1,SMC2,CDT1,MSH6,DHFR,POLD3,CHEK1,MYC,HMGB2,CDC25B,RPA2,MCM4,MCM3,CDK6,CCND1,RFC5,DNMT1,TP53,CCNA2,PCNA,TOP2A,SMC3,RABIF,TYMS,CDKN1B",51,GMT,90,keep,itself,,1.0,0.0,0,True,16,3.004565211280286,RETINOBLASTOMA GENE IN CANCER,RETINOBLASTOMA GENE IN CANCER,3
4,WP_DNA_REPLICATION,WP_DNA_REPLICATION,0.0016624952842215,42,25,"UBC,RFC4,CDC6,POLA1,CDT1,POLD3,MCM10,PRIM2,RPA2,MCM4,MCM3,ORC2,POLD1,RFC5,POLD2,ORC3,PCNA,RFC2,PRIM1,ORC6,MCM2,RPA4,POLA2,CDC45,MCM5",26,GMT,42,keep,itself,,1.0,0.0,0,True,24,2.7792395779283074,DNA REPLICATION,DNA REPLICATION,4
5,WP_FOCAL_ADHESION,WP_FOCAL_ADHESION,8.7340971668e-06,175,63,"AKT1,PARVG,AKT2,ZYX,PPP1R12A,IGF1,ITGB6,EGFR,RAP1A,CTNNB1,ITGB7,COMP,PDGFC,MYL11,GSK3B,VAV1,CCND2,FLT1,ERBB2,BIRC2,COL5A3,LAMB1,LAMB2,CRKL,MAPK3,IGF1R,MYL2,ITGA2B,FN1,PRKCA,RAC2,MAPK9,MYL12A,ITGB1,LAMA3,PIK3R1,VWF,ITGA5,SRC,COL2A1,ITGA3,MAPK8,CAV1,LAMC1,EMP2,COL6A2,ITGAV,LAMC2,ITGB5,LAMB3,CAV2,PXN,COL4A1,PPP1CC,MYLK,ITGA6,PPP1CB,PRKCG,PDGFRB,MYL9,PIK3CD,COL1A1,FLNC",22,GMT,199,keep,itself,,1.0,0.0,0,True,2,5.058781980863232,FOCAL ADHESION,FOCAL ADHESION,5
6,WP_ALPHA_6_BETA_4_SIGNALING,WP_ALPHA_6_BETA_4_SIGNALING,0.0028947889855034,32,12,"LAMB1,LAMB2,MAPK3,PRKCA,LAMA3,PIK3R1,SRC,LAMC1,LAMC2,LAMB3,IRS1,ITGA6",36,GMT,33,keep,WP_FOCAL_ADHESION,WP_FOCAL_ADHESION,0.1152,0.1185,11,False,35,2.538383088507016,ALPHA 6 BETA 4 SIGNALING,ALPHA 6 BETA 4 SIGNALING,6
7,WP_FOCAL_ADHESION_PI3KAKTMTORSIGNALING,WP_FOCAL_ADHESION_PI3KAKTMTORSIGNALING,0.0015890947743283,242,77,"EFNA1,LPAR1,PPP2R1B,AKT1,AKT2,RPS6KB2,SLC2A3,GNB1,INSR,IGF1,ITGB6,GNG12,EGFR,RAB2A,ITGB7,COMP,CSF1,PDGFC,GSK3B,IFNAR1,CSF1R,FLT1,GNG7,COL5A3,PIK3IP1,LAMB1,LAMB2,CDKN1A,MAPK3,IGF1R,ITGB2,ITGA2B,FN1,JAK3,RPS6KB1,PPP2R1A,PIK3C2A,PIK3R5,GNGT2,PHLPP2,ITGB1,LAMA3,PIK3R1,VWF,HIF1A,FGFR3,ITGA5,F2R,PIK3C2B,EFNA3,COL2A1,RAB14,GNG11,PRKAA1,ITGA3,FGFR4,LAMC1,COL6A2,CREB3L1,ITGAV,LAMC2,ITGB5,LAMB3,NRAS,IRS1,FGFR1,EFNA4,MDM2,COL4A1,PPP2R3A,ITGA6,COL5A1,GYS1,PDGFRB,PIK3CD,COL1A1,IL2RB",97,GMT,303,exclude,WP_FOCAL_ADHESION,WP_FOCAL_ADHESION,0.0019,0.0885,35,False,23,2.7988502005016307,FOCAL ADHESION PI3KAKTMTORSIGNALING,FOCAL ADHESION PI3KAKTMTORSIGNALING,7
8,WP_PI3KAKT_SIGNALING,WP_PI3KAKT_SIGNALING,0.0023824965747787,257,82,"EFNA1,LPAR1,PPP2R1B,AKT1,MYB,AKT2,RPS6KB2,CHUK,GNB1,INSR,IGF1,THEM4,ITGB6,GNG12,EGFR,ITGB7,COMP,CSF1,PDGFC,GSK3B,PIK3R6,IFNAR1,CSF1R,CCND2,IGF2,BCL2L1,FLT1,GNG7,CCNE1,LAMB1,LAMB2,CDKN1A,MAPK3,IGF1R,ITGA2B,FN1,PRKCA,JAK3,RPS6KB1,PPP2R1A,PIK3R5,GNGT2,PHLPP2,ITGB1,LAMA3,BDNF,PIK3R1,SGK2,VWF,FGFR3,ITGA5,F2R,EFNA3,COL2A1,COL6A3,GNG11,PRKAA1,NTRK1,ITGA3,FGFR4,NTF3,NTF4,LAMC1,COL6A2,CREB3L1,ITGAV,LAMC2,ITGB5,LAMB3,NRAS,IRS1,FGFR1,EFNA4,MDM2,COL4A1,PPP2R3A,ITGA6,GYS1,PDGFRB,PIK3CD,COL1A1,IL2RB",122,GMT,339,exclude,WP_FOCAL_ADHESION,WP_FOCAL_ADHESION,0.0013,0.1413,36,False,31,2.622967715057224,PI3KAKT SIGNALING,PI3KAKT SIGNALING,8
9,WP_ANDROGEN_RECEPTOR_NETWORK_IN_PROSTATE_CANCER,WP_ANDROGEN_RECEPTOR_NETWORK_IN_PROSTATE_CANCER,0.0012790346235767,102,43,"FOS,SPRY2,JUN,HSD17B4,CDC25A,CDKN2A,BRCA1,BAD,SOS1,FKBP5,MSH6,SMARCD2,BCL2,KLK3,RASA1,ATF1,ELK1,CHEK1,MYC,SMARCC2,NOXA1,MSH2,CDC25B,MAP2K2,ACTL6A,ABCC4,HSD17B7,CCND1,TP53,ETV4,TSC2,FOXA1,ARID1B,CDKN1B,EIF4EBP1,RAPGEF1,MRE11,ATR,ACTL6B,SMARCC1,CDKN2B,BLM,SMARCA4",62,GMT,114,keep,itself,,1.0,0.0,0,True,19,2.893117698973435,ANDROGEN RECEPTOR NETWORK IN PROSTATE CANCER,ANDROGEN RECEPTOR NETWORK IN PROSTATE CANCER,9
10,WP_MAPK_PATHWAY_IN_CONGENITAL_THYROID_CANCER,WP_MAPK_PATHWAY_IN_CONGENITAL_THYROID_CANCER,0.0021863722515813,16,7,"FOS,JUN,SOS1,ELK1,ALK,MYC,MAP2K2",11,GMT,16,keep,WP_ANDROGEN_RECEPTOR_NETWORK_IN_PROSTATE_CANCER,WP_ANDROGEN_RECEPTOR_NETWORK_IN_PROSTATE_CANCER,0.0545,0.0678,6,False,29,2.6602758931437873,MAPK PATHWAY IN CONGENITAL THYROID CANCER,MAPK PATHWAY IN CONGENITAL THYROID CANCER,10
