term_id	term_name	p_value	term_size	intersection_size	intersection
GOCC_PROTEIN_FOLDING_CHAPERONE_COMPLEX	GOCC_PROTEIN_FOLDING_CHAPERONE_COMPLEX	2.1915835e-08	47	23	HSP90AA1,STIP1,DNAJB11,HSPA8,STUB1,DNAJC9,RUVBL1,DNAJC2,CCT4,TCP1,HSP90AB1,SDF2L1,BAG2,HSF1,BAG3,PFDN2,CCT6A,PFDN6,DNAAF2,CCDC47,PSMG1,CCT3,CCT5
GOCC_AZUROPHIL_GRANULE_MEMBRANE	GOCC_AZUROPHIL_GRANULE_MEMBRANE	4.904152409e-07	50	27	VAMP8,SYNGR1,CMTM6,NCSTN,LAMTOR1,STOM,CPNE1,ATP11B,CPNE3,MAGT1,RAB3D,NDUFC2,TMEM179B,TOM1,DNAJC5,BRI3,MGST1,CD63,ARL8A,RAB5C,CKAP4,PSAP,PRCP,CDC50A,LAMP2,B4GALT1,BST2
GOCC_KERATIN_FILAMENT	GOCC_KERATIN_FILAMENT	1.0248608828e-06	51	29	KRT16,KRT37,KRTAP1-5,KRTAP1-1,GPER1,KRT35,KRT19,KRT40,KRT36,KRT6B,KRT31,KRTAP3-2,KRT83,KRTAP3-3,KRT39,KRT86,KRT80,KRTAP3-1,KRT6A,KRT3,KRT13,KRT17,KRT20,KRT38,KRT7,KRT4,KRT5,KRT81,KRT71
GOCC_BASEMENT_MEMBRANE	GOCC_BASEMENT_MEMBRANE	4.730071055e-07	86	35	EGFLAM,MATN2,PXDN,APLP1,ANG,COL17A1,SMOC2,LAMB1,LAMB2,NTN4,ERBIN,SMOC1,FN1,DAG1,LAMA3,SPN,COL2A1,ANXA2,SPARC,LAMC1,TIMP1,NTN1,LAMC2,LAMB3,COL13A1,COL4A1,LOXL2,COL5A1,DLG1,CCDC80,HMCN1,COL8A2,FBLN1,TIMP3,EFEMP2
GOCC_PLATELET_DENSE_GRANULE	GOCC_PLATELET_DENSE_GRANULE	0.0001980575489939	14	7	SELENOP,CD63,RAB27B,ITIH3,LAMP2,ECM1,TIMP3
GOCC_NUCLEAR_REPLICATION_FORK	GOCC_NUCLEAR_REPLICATION_FORK	2.55697722121e-05	43	23	TONSL,POLA1,RAD51C,SMARCAL1,WDHD1,POLD3,ZRANB3,BAZ1B,MCM10,XRCC3,PRIM2,CDC5L,RPA2,MCM3,EME1,POLD1,PLRG1,HELB,POLD2,PCNA,TIPIN,CAMSAP3,MUS81
GOCC_ORGANELLAR_RIBOSOME	GOCC_ORGANELLAR_RIBOSOME	6.5040944228e-06	83	42	MRPL57,GADD45GIP1,MRPL12,MRPL41,MRPS22,MRPL52,MRPS26,MRPL18,MRPL34,MRPS31,MRPL58,MRPS5,MRPS2,MRPL11,MRPL3,MRPL46,MRPL45,MRPL2,MRPS34,MRPL9,MRPL1,AURKAIP1,MRPL39,MRPS33,MRPL40,MRPL17,MRPL15,PTCD3,MRPS9,MRPS11,MRPS15,MRPL16,MRPL48,MRPL22,MRPL24,MRPL37,MRPS18A,MRPS25,MRPL50,MRPS24,MRPL55,MRPL23
GOCC_U2_TYPE_SPLICEOSOMAL_COMPLEX	GOCC_U2_TYPE_SPLICEOSOMAL_COMPLEX	1.5187603957e-06	108	51	SNW1,CWC22,LSM7,BUD31,CWC27,AQR,PRPF38A,CACTIN,SART1,WBP4,BUD13,SNRNP70,PPWD1,CRNKL1,IK,PRPF3,FRG1,YJU2,YJU2B,NKAP,SF3A3,PHF5A,HTATSF1,RBMX2,SYF2,RBM22,CDC5L,CCDC12,PPIE,SF3A2,PLRG1,PPIL4,WDR70,LUC7L3,SF3B2,SNRNP40,SRRM2,CIRSR,PSME3IP1,PPIL2,PPIL1,PRPF4,CWC25,PRPF6,SF3A1,PRPF40A,PRKRIP1,MAGOHB,LSM6,PRPF18,LUC7L
GOCC_REPLICATION_FORK	GOCC_REPLICATION_FORK	9.0798147891e-06	75	41	H2AX,RFC4,TONSL,POLA1,RAD51C,SMARCAL1,WDHD1,DHFR,POLD3,ZRANB3,BAZ1B,CHEK1,MCM10,RAD51B,XRCC3,PRIM2,CDC5L,RPA2,MCM3,EME1,POLD1,PLRG1,RFC5,XRCC2,RECQL5,DNMT1,HELB,POLD2,DONSON,PCNA,TIPIN,RAD51D,CAMSAP3,TYMS,MUS81,MRE11,RFC2,RAD18,PRIM1,UHRF1,BLM
GOCC_PRERIBOSOME	GOCC_PRERIBOSOME	3.634166758e-06	104	49	AATF,NOL7,WDR3,SLX9,NAT10,UTP14A,SRFBP1,NOC4L,RPF1,NSA2,RRS1,UTP20,BOP1,RIOK1,RPS19BP1,UTP25,EBNA1BP2,RCL1,RPS17,BMS1,NOP14,WDR74,DHX37,KRI1,NOP58,DCAF13,UTP18,FTSJ3,RRP9,DNTTIP2,MPHOSPH10,RIOK2,NOB1,UTP11,NGDN,UTP6,LTV1,TSR1,FBLL1,BYSL,PIN4,PPAN,WDR12,WDR75,PNO1,PDCD11,FCF1,FSAF1,NOL10
GOCC_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT	GOCC_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT	0.0001413817187403	51	28	MRPL57,GADD45GIP1,MRPL12,MRPL41,MRPL52,MRPL18,MRPL34,MRPL58,MRPL11,MRPL3,MRPL46,MRPL45,MRPL2,MRPL9,MRPL1,MRPL39,MRPL40,MRPL17,MRPL15,MRPL16,MRPL48,MRPL22,MRPL24,MRPL37,MRPS18A,MRPL50,MRPL55,MRPL23
GOCC_PLASMA_MEMBRANE_RAFT	GOCC_PLASMA_MEMBRANE_RAFT	1.50079538855e-05	87	37	INSR,LRP6,CAVIN2,CTNNB1,BMPR1A,CBL,PRKACA,ADRA1B,SORBS1,SPRED1,PRKAR1A,FLOT2,MAPK3,ITGB2,CAVIN1,MYO1A,STIM1,DAG1,HAS2,MYOF,F2R,SRC,BMPR2,TREM2,CORO1C,SELPLG,SLC6A3,CD36,CAV1,EMP2,ATP2B4,TGFBR2,CAV2,IRS1,EHD2,SMO,CDH1
GOCC_MEMBRANE_MICRODOMAIN	GOCC_MEMBRANE_MICRODOMAIN	6.97888272e-08	234	90	ABCA1,INSR,STX12,LRP6,CAVIN2,EGFR,HPSE,MAPT,CTNNB1,IL6ST,BMPR1A,LAMTOR1,EEIG1,CBL,P2RX1,STOM,PRKACA,CD14,ADRA1B,ARID3A,FURIN,CD44,SLC9A1,SORBS1,CBLC,SPRED1,PRKAR1A,PI4K2A,FLOT2,MAPK3,ATP5F1A,SMURF2,ITGB2,CAVIN1,MYO1A,PRNP,LAT2,AHNAK,KCNE3,STIM1,DAG1,PLPP3,HAS2,PLLP,ITGB1,AKAP5,PAG1,MYOF,FAIM2,HYAL2,TNFRSF1A,MYO1C,F2R,SRC,BMPR2,ADCY1,ANXA2,TREM2,CORO1C,RHOQ,SDCBP,SELPLG,ICAM1,SLC6A3,CD4,CHP1,CD36,CAV1,PODXL,LDHB,EMP2,ATP2B4,SLC1A2,TGFBR2,LAMP2,GAB2,CAV2,IRS1,RFTN1,BST2,CXADR,UNC5B,DLG1,EHD2,TGFBR1,LCK,CD24,SMO,CDH1,OLR1
GOCC_CATALYTIC_STEP_1_SPLICEOSOME	GOCC_CATALYTIC_STEP_1_SPLICEOSOME	5.22958740977e-05	67	29	SNW1,CWC22,BUD31,AQR,CACTIN,BUD13,PPWD1,CRNKL1,FRG1,YJU2,SF3A3,PHF5A,RBMX2,SYF2,RBM22,CDC5L,PPIE,SF3A2,PLRG1,PPIL4,WDR70,SF3B2,SNRNP40,SRRM2,CIRSR,PSME3IP1,PPIL2,PPIL1,CWC25
GOCC_LAMININ_COMPLEX	GOCC_LAMININ_COMPLEX	0.0017168681482489	9	7	LAMB1,LAMB2,NTN4,LAMA3,LAMC1,LAMC2,LAMB3
GOCC_REPLISOME	GOCC_REPLISOME	0.0008975165219744	24	18	TONSL,POLA1,SMARCAL1,POLD3,PRIM2,CDC5L,RPA2,MCM3,POLD1,PLRG1,HELB,POLD2,DONSON,PCNA,PRIM1,RPA4,XPA,POLA2
GOCC_SECRETORY_GRANULE_MEMBRANE	GOCC_SECRETORY_GRANULE_MEMBRANE	4.07939557e-08	254	92	VAMP8,PTPRJ,VAMP2,SLC2A3,ATP6V1D,SYNGR1,SLC18A2,CMTM6,SPACA6,NCSTN,RAP1A,ICA1L,LAMTOR1,P2RX1,MOSPD2,STOM,PLA1A,SCAMP1,CD14,ANXA7,CPNE1,ATP6V0A1,ATP11B,PHACTR2,BST1,CPNE3,CD44,MAGT1,ATP8B3,SLC18B1,RAB3D,CYB5R1,ANO6,PTAFR,FLOT2,NDUFC2,TMEM179B,SERPINA5,TMED10,CD109,ITGB2,APLP2,ITGA2B,CYBB,RAB18,RAP2C,TOM1,SIRPA,CYSTM1,VPS35L,DNAJC5,BRI3,ADAM10,IQGAP2,MGST1,MFGE8,CD63,RND2,PKP1,NBEAL2,RAB27B,ALDH3B1,LILRB3,ENPP4,CD9,RAB14,PLAUR,SVIP,ANXA4,ARL8A,RAB5C,SPARC,CKAP4,CD36,PSAP,CAV1,PRCP,CDC50A,ITGAV,CD59,LAMP2,B4GALT1,NRAS,CAV2,BST2,PLAU,ANPEP,STING1,TMEM63A,RAB31,OLR1,TSPAN14
