Heatmap_Rank,term_id,term_name,p_value,term_size,intersection_size,intersection,Input_Order,Pathway_Gene_Source,Pathway_Gene_Count,Filtered,Versus,Versus Name,Result,Reciprocal pvalue,DEGs in Intersection,Is Reciprocal,GSEA_Rank,Neg_Log10_P,Pathway_Label_Clean,Pathway_Label,Heatmap_Cluster_Rank
1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,1e-10,168,55,"PMEPA1,PFN2,TPM1,ITGB1,LAMA3,BDNF,WNT5A,CCN1,TAGLN,MSX1,CXCL6,ITGA5,CALD1,PCOLCE,COL6A3,PLAUR,NT5E,ID2,GREM1,FSTL1,LRP1,SPARC,MATN3,EMP3,LAMC1,TIMP1,CAP2,FBLN5,COL6A2,ITGAV,LAMC2,DAB2,ITGB5,CD59,CAPG,COL4A1,MYLK,DKK1,CDH11,MMP14,LOXL2,TGFBR3,COL5A1,PDGFRB,ANPEP,LUM,MYL9,BGN,ECM1,COL8A2,FBLN1,COL1A1,TIMP3,NTM,EFEMP2",0,GMT,200,keep,itself,,1.0,0.0,0,True,1,10.0,EPITHELIAL MESENCHYMAL TRANSITION,EPITHELIAL MESENCHYMAL TRANSITION,1
2,HALLMARK_ANGIOGENESIS,HALLMARK_ANGIOGENESIS,0.0130122038169077,32,10,"MSX1,CXCL6,FSTL1,SLCO2A1,TIMP1,ITGAV,JAG1,FGFR1,LUM,OLR1",12,GMT,36,exclude,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0455,0.0758,6,False,20,1.8856491427568387,ANGIOGENESIS,ANGIOGENESIS,2
3,HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,0.0004284704934369,133,38,"WDR37,NR1D2,IGF1R,ARHGEF9,MGLL,NOTCH2,PRKCA,RBPMS,PLPP3,HAS2,BDNF,ADGRL2,CCN1,F3,ANXA2,ANXA4,CDC42BPA,INPP4B,CAV1,LAMC1,DMAC2L,CAP2,FBLN5,ATP2B4,DAB2,TGFBR2,IRS1,IGFBP5,TGFBR3,PDGFRB,FZD2,DLG1,SMAD3,PIK3CD,PIAS3,COL1A1,LTBP1,VLDLR",8,GMT,144,keep,itself,,1.0,0.0,0,True,9,3.368079080342323,UV RESPONSE DN,UV RESPONSE DN,3
4,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,0.0011658244026575,169,61,"VCL,TGFBI,BAIAP2,MYH10,CTNNA1,AKT2,ZYX,CDH4,BMP1,PARD6G,EGFR,TMEM8B,MDK,TUBG1,SHROOM2,MMP2,MMP9,ADRA1B,SORBS3,CDH3,NF1,TJP1,CLDN9,FSCN1,COL17A1,CLDN7,SDC3,NEXN,RAC2,KRT31,SIRPA,GNAI2,ITGB1,LAMA3,NF2,VWF,SRC,NLGN2,PLCG1,PBX2,RRAS,ITGA3,INPPL1,ICAM1,CLDN19,LIMA1,LAMC2,CX3CL1,LAMB3,B4GALT1,IRS1,NECTIN4,MAP4K2,CDH11,NECTIN2,DLG1,MYL9,PALS1,JUP,CDH1,FLNC",14,GMT,200,keep,itself,,1.0,0.0,0,True,11,2.9333668584104844,APICAL JUNCTION,APICAL JUNCTION,4
5,HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,6.1251020209e-06,159,49,"TPM2,SLC6A8,MYL11,GJA5,DES,FHL1,SORBS3,SORBS1,CKMT2,CKB,CDKN1A,MAPRE3,KLF5,MRAS,MYL2,PRNP,CKM,TNNI1,GPX3,MYL3,MYL6B,WWTR1,CACNA1H,ITGB1,MYBPH,TAGLN,BDKRB2,RIT1,FABP3,DENND2B,MYO1C,MYOM1,KIFC3,COL6A3,RYR1,SYNGR2,SPARC,CD36,CRYAB,COL6A2,ITGB5,MYLK,TNNC1,LSP1,GSN,CNN3,EPHB3,TPD52L1,COL1A1",4,GMT,200,keep,itself,,1.0,0.0,0,True,4,5.212886673209159,MYOGENESIS,MYOGENESIS,5
6,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.007192794637757,41,19,"GNAI1,WNT6,NOTCH1,DKK4,JAG2,FZD8,LEF1,HEY2,KAT2A,MYC,NOTCH4,DLL1,FRAT1,AXIN1,NCOR2,CUL1,HEY1,TP53,HDAC2",11,GMT,42,keep,itself,,1.0,0.0,0,True,18,2.143102339110046,WNT BETA CATENIN SIGNALING,WNT BETA CATENIN SIGNALING,6
7,HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,3.80707046e-07,200,87,"UBE2S,H2AX,SMC4,NUP107,WEE1,CDC25A,SMC1A,CDKN2A,CKS2,BRCA1,PLK4,EZH2,PRDX4,KIF4A,DUT,MKI67,MXD3,RANBP1,RAD51C,E2F8,CTCF,PAN2,DSCC1,HUS1,GINS3,LMNB1,POP7,GSPT1,POLD3,ATAD2,CHEK1,STAG1,PHF5A,MYC,HMGB2,ASF1A,LYAR,PRIM2,MSH2,CDC25B,PNN,RPA2,PSMC3IP,MCM4,EXOSC8,UBR7,TCF19,NOLC1,MCM3,NASP,ORC2,POLD1,TRIP13,XPO1,DNMT1,PPM1D,CENPE,LUC7L3,TP53,SMC6,PA2G4,POLD2,DONSON,EIF2S1,PCNA,TRA2B,TOP2A,TIPIN,CDCA3,HMMR,USP1,SMC3,SPC25,CNOT9,CDKN1B,RACGAP1,SSRP1,CTPS1,MRE11,KIF22,RFC2,EED,TACC3,ORC6,AK2,MCM2,DLGAP5",3,GMT,200,keep,itself,,1.0,0.0,0,True,2,6.419409085332725,E2F TARGETS,E2F TARGETS,7
8,HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,1.12419564882e-05,198,66,"UBE2S,H2AX,SMC4,SQLE,SLC7A5,HSPA8,KIF15,CDC25A,CDC6,FANCC,ODF2,TOP1,SMC1A,CKS2,POLQ,PLK4,EZH2,KIF4A,MKI67,SAP30,EXO1,TPX2,CBX1,SRSF10,CUL4A,GINS2,CTCF,SMC2,HUS1,LMNB1,GSPT1,HOXC10,TLE3,CHEK1,NCL,STAG1,ODC1,STIL,MYC,FBXO5,RAD54L,MNAT1,YTHDC1,PRIM2,CDC25B,LIG3,RPA2,MEIS1,KMT5A,NOLC1,MCM3,NASP,HNRNPU,NSD2,PRC1,CCND1,UPF1,CUL1,TGFB1,XPO1,HMGN2,DTYMK,CENPE,UBE2C,SFPQ,NDC80",7,GMT,200,keep,itself,,1.0,0.0,0,True,5,4.94915809996918,G2M CHECKPOINT,G2M CHECKPOINT,8
9,HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,0.0001021600252748,58,28,"HSPD1,PLK4,TCOF1,RABEPK,NOC4L,UTP20,AIMP2,MYC,RCL1,LAS1L,MCM4,NOLC1,WDR74,SLC29A2,NDUFAF4,NPM1,SRM,RRP12,GNL3,HK2,RRP9,MPHOSPH10,PA2G4,IPO4,PUS1,BYSL,SLC19A1,PPAN",2,GMT,58,keep,itself,,1.0,0.0,0,True,8,3.990719008298431,MYC TARGETS V2,MYC TARGETS V2,9
10,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,0.0016314528411551,200,71,"PCBP1,RFC4,HSPD1,LSM7,SSB,NCBP1,PRDX4,DUT,NHP2,CCT4,RANBP1,TCP1,HSP90AB1,NDUFAB1,C1QBP,XPOT,EIF3J,GSPT1,ODC1,AIMP2,MYC,EIF2S2,FAM120A,CSTF2,HNRNPA3,MCM4,MRPL9,RPL14,NOLC1,SSBP1,SERBP1,RSL1D1,ORC2,HNRNPU,CCT3,CUL1,CCT5,NPM1,SRM,XPO1,GNL3,RRP9,CLNS1A,CCNA2,HDAC2,PA2G4,POLD2,EIF2S1,PCNA,CANX,TRA2B,USP1,TOMM70,TYMS,CTPS1,SNRPA,SMARCC1,PPM1G,IARS1,PABPC4,SF3A1,PSMD14,KARS1,MCM2,EIF3D,RPL6,SET,PWP1,PHB1,HDGF,LDHA",18,GMT,200,keep,itself,,1.0,0.0,0,True,12,2.7874254754293517,MYC TARGETS V1,MYC TARGETS V1,10
