Heatmap_Rank,term_id,term_name,p_value,term_size,intersection_size,intersection,Input_Order,Pathway_Gene_Source,Pathway_Gene_Count,Filtered,Versus,Versus Name,Result,Reciprocal pvalue,DEGs in Intersection,Is Reciprocal,GSEA_Rank,Neg_Log10_P,Pathway_Label_Clean,Pathway_Label,Heatmap_Cluster_Rank
1,KEGG_RIBOSOME,KEGG_RIBOSOME,1e-10,85,66,"RPL41,RPL36AL,RPS26,FAU,RPL37,MRPL13,RPL36,RPL36A,RPL11,RPL26L1,RPS17,RPS10,RPL24,RPL38,RPS27,RPL27A,RPL35,RPL8,RPS20,RPL6,RPS24,RPL18,RPL19,RPL9,RPS15A,RPL27,RPL21,RPS15,RPL23,RPS8,RPS9,UBA52,RPL37A,RPS13,RPL10A,RPL10,RPL29,RPS27A,RPL32,RPL14,RPL28,RPS27L,RPLP2,RPLP1,RPS7,RPS4X,RPS6,RPL7,RPL23A,RPL39,RPL13,RPL31,RPL35A,RPS25,RPS3A,RPS2,RPS12,RPL7A,RPL17,RPL22,RPS18,RPL5,RPL26,RPL22L1,RPL12,RPS19",0,GMT,88,keep,itself,,1.0,0.0,0,True,1,10.0,RIBOSOME,RIBOSOME,1
2,KEGG_SPLICEOSOME,KEGG_SPLICEOSOME,1e-10,125,60,"PPIL1,PRPF31,U2AF2,MAGOH,SNRPF,SNRPB2,SNRPD1,ALYREF,SNRPC,SNRPD3,TXNL4A,PPIH,HNRNPC,MAGOHB,SRSF7,LSM8,HNRNPU,SNRPA,EIF4A3,SNRPA1,SRSF6,PQBP1,RBMX,PUF60,TRA2A,SRSF2,PHF5A,SNRPG,BCAS2,HNRNPA1,CCDC12,HNRNPM,SRSF9,SF3B2,SRSF8,SRSF4,SF3B4,LSM3,SNRPE,LSM6,DDX39B,SART1,SYF2,PRPF38A,DDX42,SNRNP70,RBM8A,RBM22,LSM5,SNRNP40,PPIE,SRSF3,LSM4,CWC15,SRSF5,LSM7,ZMAT2,THOC1,PRPF3,SF3B5",2,GMT,127,keep,itself,,1.0,0.0,0,True,2,10.0,SPLICEOSOME,SPLICEOSOME,2
3,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_OXIDATIVE_PHOSPHORYLATION,2.002678e-10,107,54,"NDUFB2,NDUFS3,NDUFS6,ATP6V0B,NDUFS5,ATP5MF,NDUFB9,COX5A,NDUFA8,ATP5PO,NDUFC1,NDUFV3,SDHA,ATP5MC2,UQCRB,ATP6AP1,ATP5PF,ATP5F1E,COX6B1,NDUFAB1,NDUFB10,ATP6V0E2,NDUFV1,NDUFB3,COX17,COX4I1,NDUFA3,ATP5MC1,COX6C,ATP5PD,CYC1,NDUFB8,NDUFA11,ATP6V0C,COX7A2,COX6A1,NDUFA10,ATP5ME,ATP5F1D,UQCRFS1,NDUFB7,NDUFA9,ATP6V1F,COXFA4,COX7C,COX10,COX8A,NDUFS8,ATP6V1C2,NDUFS4,ATP6V0A2,UQCRQ,COX7B,NDUFS2",1,GMT,133,keep,itself,,1.0,0.0,0,True,3,9.698388873005408,OXIDATIVE PHOSPHORYLATION,OXIDATIVE PHOSPHORYLATION,3
4,KEGG_PARKINSONS_DISEASE,KEGG_PARKINSONS_DISEASE,1.84626702e-08,100,52,"NDUFB2,NDUFS3,NDUFS6,PARK7,NDUFS5,NDUFB9,UBE2L3,COX5A,NDUFA8,ATP5PO,NDUFC1,UBE2J2,NDUFV3,SDHA,ATP5MC2,UQCRB,ATP5PF,ATP5F1E,COX6B1,NDUFAB1,SLC25A6,NDUFB10,VDAC1,NDUFV1,NDUFB3,COX4I1,NDUFA3,ATP5MC1,COX6C,ATP5PD,CYC1,NDUFB8,COX7A2,VDAC3,COX6A1,NDUFA10,ATP5F1D,UQCRFS1,TH,NDUFB7,NDUFA9,SLC25A4,COXFA4,UBE2G2,COX7C,COX8A,NDUFS8,NDUFS4,UQCRQ,COX7B,NDUFS2,SLC25A5",4,GMT,131,keep,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_OXIDATIVE_PHOSPHORYLATION,0.0778,0.15,41,False,5,7.733705488073759,PARKINSONS DISEASE,PARKINSONS DISEASE,4
5,KEGG_HUNTINGTONS_DISEASE,KEGG_HUNTINGTONS_DISEASE,0.0004246087684168,162,63,"NDUFB2,NDUFS3,NDUFS6,POLR2L,POLR2F,NDUFS5,CREB3L3,NDUFB9,COX5A,NDUFA8,ATP5PO,NDUFC1,POLR2G,CLTB,POLR2C,NDUFV3,TAF4,SDHA,ATP5MC2,UQCRB,ATP5PF,ATP5F1E,COX6B1,NDUFAB1,SLC25A6,NDUFB10,VDAC1,NDUFV1,IFT57,NDUFB3,COX4I1,NDUFA3,ATP5MC1,COX6C,ATP5PD,CYC1,POLR2H,NDUFB8,POLR2J,POLR2I,COX7A2,VDAC3,AP2M1,COX6A1,NDUFA10,ATP5F1D,BAX,SOD1,UQCRFS1,PLCB2,NDUFB7,NDUFA9,SLC25A4,COXFA4,COX7C,CLTA,POLR2K,COX8A,NDUFS8,NDUFS4,UQCRQ,COX7B,NDUFS2",34,GMT,183,keep,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_OXIDATIVE_PHOSPHORYLATION,0.000394,0.02,41,True,21,3.3720110416450284,HUNTINGTONS DISEASE,HUNTINGTONS DISEASE,5
6,KEGG_PYRIMIDINE_METABOLISM,KEGG_PYRIMIDINE_METABOLISM,7.5182412e-09,91,33,"NME1,RRM2,POLE4,POLR1C,ITPA,UCKL1,POLR2L,POLR2F,POLE3,CTPS1,TXNRD2,ENTPD6,DCTD,POLR1H,DTYMK,POLA2,POLR2G,POLR2C,POLD2,NME3,POLR3D,POLR3K,NME2,DHODH,UMPS,TYMS,PNPT1,POLR3B,POLR2H,POLR2J,POLR2I,ENTPD1,NT5C",3,GMT,98,keep,itself,,1.0,0.0,0,True,4,8.123883745375506,PYRIMIDINE METABOLISM,PYRIMIDINE METABOLISM,6
7,KEGG_RNA_POLYMERASE,KEGG_RNA_POLYMERASE,0.0002845000602679,29,12,"POLR1C,POLR2L,POLR2F,POLR1H,POLR2G,POLR2C,POLR3D,POLR3K,POLR3B,POLR2H,POLR2J,POLR2I",7,GMT,29,keep,itself,,1.0,0.0,0,True,16,3.545917637268862,RNA POLYMERASE,RNA POLYMERASE,7
8,KEGG_PURINE_METABOLISM,KEGG_PURINE_METABOLISM,2.48883802967e-05,135,34,"NME1,RRM2,POLE4,POLR1C,ITPA,POLR2L,POLR2F,POLE3,NPR2,ENTPD6,IMPDH1,POLR1H,GUK1,APRT,POLA2,POLR2G,POLR2C,POLD2,NME3,POLR3D,FHIT,ADSL,ADSS2,POLR3K,NME2,PRPS1,PNPT1,POLR3B,POLR2H,POLR2J,POLR2I,DGUOK,ENTPD1,NT5C",13,GMT,159,exclude,KEGG_PYRIMIDINE_METABOLISM,KEGG_PYRIMIDINE_METABOLISM,0.000133,0.393,25,False,9,4.6040033657897235,PURINE METABOLISM,PURINE METABOLISM,8
9,KEGG_ERBB_SIGNALING_PATHWAY,KEGG_ERBB_SIGNALING_PATHWAY,4.0133465741e-06,78,42,"MAPK9,SHC3,ERBB2,RPS6KB1,PIK3R5,MAP2K1,NRG2,PIK3CD,MAPK3,CDKN1B,CBLB,AKT3,ABL2,NCK1,STAT5A,EREG,CAMK2D,CBLC,CRK,TGFA,GAB1,PTK2,CAMK2G,AREG,SRC,SOS2,ABL1,PAK2,PAK1,MAPK1,GRB2,PIK3CB,CRKL,STAT5B,BRAF,GSK3B,ERBB3,PRKCA,KRAS,CBL,SHC2,PIK3CA",6,GMT,87,keep,itself,,1.0,0.0,0,True,6,5.396493334978318,ERBB SIGNALING PATHWAY,ERBB SIGNALING PATHWAY,9
10,KEGG_PATHWAYS_IN_CANCER,KEGG_PATHWAYS_IN_CANCER,0.0049781555514826,288,95,"PLCG2,WNT10A,KITLG,WNT3,VHL,CTNNA1,MAPK9,PIAS3,FZD10,ERBB2,LAMC1,CTNNB1,MMP2,PIK3R5,MAP2K1,FZD7,PIK3CD,ITGA6,FGF21,PGF,WNT5B,MAPK3,CYCS,TPR,CDKN1B,FGF11,APC2,TGFBR1,CBLB,RALBP1,PPARD,AKT3,LAMB1,RASSF5,PLD1,VEGFA,PTCH1,FZD6,CDKN2B,STAT5A,FGF13,EP300,CBLC,CRK,TGFA,FN1,ITGB1,PTK2,GLI3,BIRC2,RXRA,TGFB3,WNT9B,MITF,COL4A4,SOS2,HIF1A,RAC2,ABL1,FGF20,ITGAV,MAPK1,TRAF3,GRB2,PIK3CB,CRKL,FZD3,CHUK,ITGA2B,MECOM,CUL2,CCDC6,STAT5B,EPAS1,APPL1,BRAF,SUFU,CREBBP,CXCL8,RB1,DVL2,APC,GSK3B,TCF7,PRKCA,ARNT,AR,KRAS,JAK1,STK4,XIAP,CBL,NOS2,PIK3CA,STAT3",53,GMT,325,exclude,KEGG_ERBB_SIGNALING_PATHWAY,KEGG_ERBB_SIGNALING_PATHWAY,4.07e-05,0.1472,28,False,30,2.302931537198078,PATHWAYS IN CANCER,PATHWAYS IN CANCER,10
