Heatmap_Rank,term_id,term_name,p_value,term_size,intersection_size,intersection,Input_Order,Pathway_Gene_Source,Pathway_Gene_Count,Filtered,Versus,Versus Name,Result,Reciprocal pvalue,DEGs in Intersection,Is Reciprocal,GSEA_Rank,Neg_Log10_P,Pathway_Label_Clean,Pathway_Label,Heatmap_Cluster_Rank
1,GOBP_RIBOSOME_BIOGENESIS,GOBP_RIBOSOME_BIOGENESIS,1e-10,324,211,"NOL9,NOP56,NOP16,EIF6,MRTO4,RAN,DKC1,BYSL,RPUSD4,NGDN,SUV39H1,DDX51,TRMT112,GNL2,DDX56,PA2G4,TSR2,LTV1,FSAF1,PWP1,PES1,RRP1,WDR77,EBNA1BP2,FBL,EXOSC5,LTO1,FAU,COPRS,LYAR,PNO1,POP4,MPV17L2,DDX28,KRI1,NOP58,TFB2M,RBFA,RRP15,ABT1,TUFM,MTG2,IMP4,WDR43,MTERF3,YBEY,GRWD1,RRS1,ZNF574,RRP36,NPM1,IMP3,DDX55,EXOSC6,ZNF622,EIF4A3,MYBBP1A,RPL11,TSR3,EXOSC2,RPS19BP1,DNTTIP2,DDX47,WDR74,RPF2,RCC1L,UTP11,RPL26L1,SURF6,MPHOSPH6,RCL1,RPS17,RPL24,RRP9,WDR75,CINP,RIOK1,RPL38,GTPBP4,PELP1,MALSU1,BRIX1,RPP30,MAK16,PIN4,RPS27,RPL35,ERAL1,UTP25,WDR46,RPS24,MCAT,UTP14A,NSUN5,NOL6,NDUFAB1,C1QBP,RPS15A,RPL27,DIMT1,RRP7A,NIP7,NSA2,ERI3,EMG1,RPS15,DCAF13,SBDS,MRPS2,TMA16,RPS8,POP5,RPS9,MPHOSPH10,RPS13,GAR1,DDX49,EXOSC1,LSM6,PDCD11,NOL8,MTERF4,DDX10,RPP38,METTL18,SIRT7,RPS27A,RIOX2,RPL14,SART1,UTP3,GTF3A,RIOK2,NVL,RRP8,UTP6,GTPBP6,AIRIM,RPS27L,ISG20L2,NAT10,RPS7,USP16,DDX27,REXO4,RPS4X,RPS6,FTSJ3,ERI2,NOC4L,DHX37,MTG1,EXOSC4,RPL7,RPUSD1,MRM1,UTP4,AK6,BUD23,UTP15,UTP18,RPF1,SDAD1,TFB1M,USP36,RPL35A,RPP40,RPS25,GTPBP10,FASTKD2,PAK1IP1,EIF5B,NOLC1,EXOSC9,MRM3,RPS3A,RPS14,PPAN,EXOSC8,URB2,LAS1L,RPS12,RBM10,SLX9,NOL7,FCF1,POP7,RPUSD3,GNL3L,LSG1,EXOSC3,SENP3,PDCD2,NPM3,SPOUT1,PWP2,ABCF1,AFG2B,RPP25,KRR1,FDXACB1,RPL7A,NOM1,TSR1,TCOF1,SNU13,REXO5,FRG1,NOB1,NOL10,NOC2L",0,GMT,334,exclude,GOBP_MATURATION_OF_SSU_RRNA,GOBP_MATURATION_OF_SSU_RRNA,0.0384,1.0,53.0,False,1,10.0,RIBOSOME BIOGENESIS,RIBOSOME BIOGENESIS,1
2,GOBP_RRNA_PROCESSING,GOBP_RRNA_PROCESSING,1e-10,232,156,"NOL9,NOP56,EIF6,MRTO4,DKC1,BYSL,RPUSD4,NGDN,SUV39H1,DDX51,TRMT112,DDX56,PA2G4,TSR2,FSAF1,PWP1,PES1,RRP1,WDR77,EBNA1BP2,FBL,EXOSC5,COPRS,LYAR,PNO1,POP4,KRI1,NOP58,TFB2M,RBFA,RRP15,ABT1,IMP4,WDR43,YBEY,RRS1,RRP36,IMP3,DDX55,EXOSC6,EIF4A3,RPL11,TSR3,EXOSC2,DNTTIP2,DDX47,WDR74,RPF2,UTP11,MPHOSPH6,RCL1,RPS17,RRP9,WDR75,RIOK1,GTPBP4,PELP1,BRIX1,RPP30,MAK16,PIN4,RPS27,RPL35,UTP25,WDR46,RPS24,UTP14A,NSUN5,NOL6,RPL27,DIMT1,RRP7A,NSA2,ERI3,EMG1,RPS15,DCAF13,SBDS,RPS8,POP5,MPHOSPH10,GAR1,DDX49,EXOSC1,LSM6,PDCD11,NOL8,MTERF4,DDX10,RPP38,METTL18,SIRT7,RPL14,SART1,UTP3,RIOK2,NVL,RRP8,UTP6,NAT10,RPS7,DDX27,REXO4,RPS6,FTSJ3,ERI2,NOC4L,DHX37,EXOSC4,RPL7,RPUSD1,MRM1,UTP4,AK6,BUD23,UTP15,UTP18,RPF1,TFB1M,USP36,RPL35A,RPP40,RPS25,PAK1IP1,NOLC1,EXOSC9,MRM3,RPS14,PPAN,EXOSC8,LAS1L,SLX9,NOL7,FCF1,POP7,RPUSD3,EXOSC3,SENP3,NPM3,SPOUT1,PWP2,RPP25,KRR1,FDXACB1,RPL7A,TSR1,SNU13,REXO5,FRG1,NOB1,NOL10,EXOSC10,RPL5,RPL26,DDX54,NOL11",1,GMT,236,exclude,GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,0.0178,0.9909,66.0,False,2,10.0,RRNA PROCESSING,RRNA PROCESSING,2
3,GOBP_MATURATION_OF_SSU_RRNA,GOBP_MATURATION_OF_SSU_RRNA,1e-10,73,59,"NOP56,BYSL,NGDN,TRMT112,TSR2,FSAF1,FBL,PNO1,KRI1,NOP58,ABT1,IMP4,WDR43,RRS1,RRP36,IMP3,TSR3,DNTTIP2,UTP11,RCL1,RRP9,WDR75,RIOK1,UTP25,WDR46,UTP14A,NOL6,RRP7A,EMG1,DCAF13,RPS8,MPHOSPH10,LSM6,UTP3,RIOK2,UTP6,NAT10,NOC4L,DHX37,UTP4,UTP15,UTP18,RPP40,RPS14,SLX9,NOL7,FCF1,PWP2,KRR1,TSR1,SNU13,NOB1,NOL10,NOL11,RPS19,SRFBP1,UTP20,WDR3,BMS1",7,GMT,73,keep,itself,,1.0,0.0,0.0,True,8,10.0,MATURATION OF SSU RRNA,MATURATION OF SSU RRNA,3
4,GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,1e-10,113,90,"NOP56,BYSL,NGDN,TRMT112,TSR2,LTV1,FSAF1,FBL,FAU,PNO1,KRI1,NOP58,RBFA,ABT1,IMP4,WDR43,RRS1,RRP36,NPM1,IMP3,TSR3,RPS19BP1,DNTTIP2,RCC1L,UTP11,SURF6,RCL1,RPS17,RRP9,WDR75,RIOK1,RPS27,ERAL1,UTP25,WDR46,RPS24,MCAT,UTP14A,NOL6,RPS15A,DIMT1,RRP7A,EMG1,RPS15,DCAF13,RPS8,RPS9,MPHOSPH10,RPS13,LSM6,RPS27A,UTP3,RIOK2,UTP6,RPS27L,NAT10,RPS7,RPS4X,RPS6,NOC4L,DHX37,UTP4,AK6,UTP15,UTP18,TFB1M,RPP40,RPS25,RPS3A,RPS14,RPS12,SLX9,NOL7,FCF1,PDCD2,PWP2,KRR1,NOM1,TSR1,SNU13,NOB1,NOL10,EXOSC10,NOL11,METTL17,RPS19,SRFBP1,UTP20,RPS11,WDR3",3,GMT,114,keep,GOBP_MATURATION_OF_SSU_RRNA,GOBP_MATURATION_OF_SSU_RRNA,0.5198,1.0,58.0,False,4,10.0,RIBOSOMAL SMALL SUBUNIT BIOGENESIS,RIBOSOMAL SMALL SUBUNIT BIOGENESIS,4
5,GOBP_RRNA_METABOLIC_PROCESS,GOBP_RRNA_METABOLIC_PROCESS,1e-10,283,176,"NOL9,NOP56,EIF6,MRTO4,POLR1G,DKC1,BYSL,RPUSD4,NGDN,SUV39H1,DDX51,DDX11,TRMT112,DDX56,PA2G4,TSR2,POLR1C,POLR2L,FSAF1,PWP1,POLR2F,PES1,GTF3C6,RRP1,WDR77,EBNA1BP2,FBL,EXOSC5,COPRS,LYAR,PNO1,POP4,KRI1,NOP58,TFB2M,RBFA,RRP15,ABT1,IMP4,WDR43,POLR1H,YBEY,RRS1,RRP36,IMP3,DDX55,EXOSC6,EIF4A3,GTF3C2,RPL11,TSR3,EXOSC2,DNTTIP2,DDX47,WDR74,MACROH2A1,RPF2,UTP11,NCL,TRIR,MPHOSPH6,RCL1,RPS17,RRP9,WDR75,RIOK1,GTPBP4,PELP1,NIFK,BRIX1,RPP30,MAK16,PIN4,RPS27,RPL35,UTP25,WDR46,RPS24,UTP14A,NSUN5,NOL6,RPL27,DIMT1,RRP7A,NSA2,ERI3,EMG1,RPS15,DCAF13,SBDS,RPS8,POP5,MPHOSPH10,GAR1,DDX49,EXOSC1,LSM6,PDCD11,NOL8,MTERF4,DDX10,RPP38,METTL18,SIRT7,DIS3L,RPL14,SART1,UTP3,GTF3A,RIOK2,NVL,RRP8,UTP6,POLR2H,SMARCB1,NAT10,RPS7,DDX27,REXO4,TOP1,RPS6,DEDD,FTSJ3,ERI2,NOC4L,DHX37,EXOSC4,RPL7,RPUSD1,MRM1,UTP4,AK6,BUD23,UTP15,UTP18,RPF1,TFB1M,USP36,RPL35A,RPP40,RPS25,PAK1IP1,NOLC1,EXOSC9,MRM3,RPS14,PPAN,EXOSC8,LAS1L,SLX9,NOL7,FCF1,POP7,RPUSD3,EXOSC3,SENP3,NPM3,SPOUT1,PWP2,RPP25,KRR1,FDXACB1,RPL7A,POLR2K,TSR1,TCOF1,SNU13,REXO5,FRG1,NOB1,NOL10,EXOSC10,RPL5,BRF1,RPL26,DDX54",4,GMT,289,exclude,GOBP_MATURATION_OF_SSU_RRNA,GOBP_MATURATION_OF_SSU_RRNA,0.0119,1.0,53.0,False,5,10.0,RRNA METABOLIC PROCESS,RRNA METABOLIC PROCESS,5
6,GOBP_RRNA_MODIFICATION,GOBP_RRNA_MODIFICATION,8.3774441e-09,39,23,"NOP56,DKC1,RPUSD4,TRMT112,FBL,NOP58,TFB2M,TSR3,NSUN5,DIMT1,EMG1,GAR1,NAT10,FTSJ3,RPUSD1,MRM1,BUD23,TFB1M,MRM3,RPUSD3,SPOUT1,FDXACB1,SNU13",24,GMT,40,keep,GOBP_RNA_METHYLATION,GOBP_RNA_METHYLATION,0.7987,0.4368,16.0,False,38,8.076888461390935,RRNA MODIFICATION,RRNA MODIFICATION,6
7,GOBP_RNA_METHYLATION,GOBP_RNA_METHYLATION,1e-10,87,47,"NOP56,TRMT1,TRMT112,GTPBP3,SNRPF,FBL,SNRPD1,NOP58,TFB2M,SNRPD3,METTL1,FTSJ1,TRMT6,TRMT10B,LARP7,METTL3,TARBP1,SNRPG,TYW3,NSUN5,NSUN2,TRMT61A,DIMT1,THUMPD3,EMG1,SNRPE,TRMT10A,METTL8,HSD17B10,TGS1,LCMT2,FTSJ3,MRM1,BUD23,TFB1M,METTL14,HENMT1,MRM3,BCDIN3D,NSUN6,THUMPD2,SPOUT1,SNRPB,FDXACB1,METTL2B,SNU13,TRMO",9,GMT,90,keep,itself,,1.0,0.0,0.0,True,10,10.0,RNA METHYLATION,RNA METHYLATION,7
8,GOBP_MACROMOLECULE_METHYLATION,GOBP_MACROMOLECULE_METHYLATION,1e-10,126,64,"NOP56,TRMT1,SMYD2,TRMT112,GTPBP3,SNRPF,FBL,SNRPD1,NOP58,TFB2M,SNRPD3,SETD6,METTL1,FTSJ1,TRMT6,TRMT10B,KMT5A,LARP7,METTL3,EEF1AKMT1,TARBP1,SNRPG,TYW3,NSUN5,NSUN2,TRMT61A,DIMT1,THUMPD3,EMG1,PRMT7,SNRPE,TRMT10A,METTL18,METTL8,HSD17B10,CSKMT,TGS1,EHMT1,LCMT2,FTSJ3,ATPSCKMT,MRM1,BUD23,TFB1M,METTL14,HENMT1,MRM3,BCDIN3D,HEMK2,NSUN6,THUMPD2,SPOUT1,SNRPB,FDXACB1,METTL2B,SNU13,TRMO,PRMT2,GSPT1,FAM98A,METTL2A,TRMT44,ANTKMT,LCMT1",14,GMT,133,keep,GOBP_RNA_METHYLATION,GOBP_RNA_METHYLATION,0.0266,0.0,49.0,True,15,10.0,MACROMOLECULE METHYLATION,MACROMOLECULE METHYLATION,8
9,GOBP_METHYLATION,GOBP_METHYLATION,7.555358e-10,207,82,"NOP56,TRMT1,SUV39H1,SMYD2,TRMT112,GTPBP3,SNRPF,FBL,SNRPD1,NOP58,TFB2M,PRDM15,SNRPD3,SMYD5,SETD6,METTL1,FTSJ1,METTL13,TRMT6,TRMT10B,KMT5A,SETD4,TRMT2A,LARP7,METTL3,SETMAR,PRMT9,EEF1AKMT1,TARBP1,SNRPG,TYW3,NSUN5,DPH5,NSUN2,TRMT61A,DIMT1,THUMPD3,EMG1,PRMT7,SNRPE,TRMT10A,METTL18,METTL8,TYMS,HSD17B10,CSKMT,SETD9,RRP8,TGS1,KMT5B,EHMT1,LCMT2,FTSJ3,ATPSCKMT,MRM1,BUD23,PRDM11,TFB1M,METTL14,HENMT1,MRM3,EZH2,EEF1AKMT4,BCDIN3D,HEMK2,NSUN6,PEMT,THUMPD2,SPOUT1,SNRPB,FDXACB1,KMT2B,METTL2B,PRDM13,COQ5,SNU13,TRMO,PRMT2,GSPT1,COMTD1,FAM98A,METTL2A",78,GMT,230,exclude,GOBP_MACROMOLECULE_METHYLATION,GOBP_MACROMOLECULE_METHYLATION,0.000108,1.0,61.0,False,31,9.121744952404914,METHYLATION,METHYLATION,9
10,GOBP_TRNA_PROCESSING,GOBP_TRNA_PROCESSING,1e-10,138,74,"TRMT1,TRMU,RPUSD4,QTRT1,PUS1,TRMT112,GTPBP3,TSEN54,DUS1L,POP4,ANGEL2,FARS2,YRDC,URM1,TRUB2,METTL1,FTSJ1,TRMT6,TRMT10B,OSGEP,TRMT2A,TP53RK,RPP30,TARBP1,GRSF1,SLC35F2,TYW3,KARS1,NSUN2,TRMT61A,CDK5RAP1,THUMPD3,POP5,TRMT10A,PUSL1,LSM6,RPP38,METTL8,QTRT2,TSEN2,HSD17B10,ANKRD16,NAT10,DUS3L,RTRAF,ELAC2,LCMT2,RPP21,TRNT1,THG1L,MTFMT,RPP40,PUS3,BCDIN3D,QTGAL,ELP6,POP7,NSUN6,KTI12,THUMPD2,LAGE3,RPP25,TYW5,CTU1,QTMAN,METTL2B,ELAC1,TRMO,FAM98A,METTL2A,TRMT44,PTCD1,CTU2,TYW1B",10,GMT,139,keep,itself,,1.0,0.0,0.0,True,11,10.0,TRNA PROCESSING,TRNA PROCESSING,10
