term_id	term_name	p_value	term_size	intersection_size	intersection
GOCC_RIBOSOMAL_SUBUNIT	GOCC_RIBOSOMAL_SUBUNIT	1e-10	173	127	MRPL20,MRPL51,MRPL32,MRPL15,RPL41,RPL36AL,MRPS11,RPS26,MRPL16,MRPL36,MRPS6,MRPL27,FAU,MRPL37,MRPL39,AURKAIP1,MRPS25,RPL37,MRPS15,MRPL13,MRPS33,MRPL9,RPL36,NPM1,MRPL24,MRPS23,MRPL38,RPL36A,RPL11,MRPL17,MRPL14,MRPS34,RPL26L1,MRPL40,RPS17,RPS10,RPL24,MRPL35,RPL38,MRPL11,MRPS21,RPS27,RPL27A,RPL35,MRPL4,CHCHD1,MRPL33,RPL8,RPS20,MRPL55,RPL6,MRPS7,RPS24,MRPL3,MRPL1,RPL18,RPL19,RPL9,RPS15A,MRPL23,RPL27,MRPS26,RPL21,RPS15,MRPL21,RPL23,MRPS2,RPS8,RPS9,UBA52,RPL37A,RPS13,RPL10A,RPL10,RPL29,RPS27A,RPL32,RPL14,MRPL58,MRPS9,RPL28,RPS27L,RPLP2,RPLP1,MRPL47,RPS7,RPS4X,RPS6,MRPL44,MRPL18,RPL7,RPL23A,RPL39,RPL13,MRPS18B,MRPS12,MRPS31,RPL31,GADD45GIP1,RPL35A,RPS25,RPS3A,MRPL2,RPS14,RPS2,MRPL22,DAP3,RPS12,RACK1,MRPL48,MRPL50,MRPL45,MRPS5,RPL7A,MRPS18A,RPL17,MRPS30,RPL22,RPS18,MRPL43,RPL5,RPL26,MRPS14,MRPL57,MRPS17,RPL12,RPS19
GOCC_LARGE_RIBOSOMAL_SUBUNIT	GOCC_LARGE_RIBOSOMAL_SUBUNIT	1e-10	105	81	MRPL20,MRPL51,MRPL32,MRPL15,RPL41,RPL36AL,MRPL16,MRPL36,MRPL27,MRPL37,MRPL39,RPL37,MRPL13,MRPL9,RPL36,NPM1,MRPL24,MRPL38,RPL36A,RPL11,MRPL17,MRPL14,RPL26L1,MRPL40,RPL24,MRPL35,RPL38,MRPL11,RPL27A,RPL35,MRPL4,MRPL33,RPL8,MRPL55,RPL6,MRPL3,MRPL1,RPL18,RPL19,RPL9,MRPL23,RPL27,RPL21,MRPL21,RPL23,UBA52,RPL37A,RPL10A,RPL10,RPL29,RPL32,RPL14,MRPL58,RPL28,RPLP2,RPLP1,MRPL47,MRPL44,MRPL18,RPL7,RPL23A,RPL39,RPL13,RPL31,GADD45GIP1,RPL35A,MRPL2,MRPL22,MRPL48,MRPL50,MRPL45,RPL7A,MRPS18A,RPL17,MRPS30,RPL22,MRPL43,RPL5,RPL26,MRPL57,RPL12
GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX	GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX	1e-10	177	117	MRPL20,MRPL51,MRPL32,MRPL15,PPIF,MRPS11,TIMM8B,TIMM21,TIMM23,MRPL16,MRPL36,MRPS6,MRPL27,TOMM40,MRPL37,MRPL39,AURKAIP1,MRPS25,MRPS15,ECSIT,PDSS1,MRPL13,MRPS33,MRPL9,MRPL24,MRPS23,MRPL38,ISCU,MRPL17,MRPL14,MRPS34,TRMT10B,MRPL40,NFS1,TOMM7,TOMM22,MRPL35,MRPL11,TIMM10,SMDT1,MRPS21,MRPL4,CHCHD1,MRPL33,SAMM50,MRPL55,MRPS7,MRPL3,MRPL1,NDUFAB1,MRPL23,MRPS26,SLC25A6,MRPL21,SPG7,VDAC1,MRPS2,PHB2,DNAJC19,SUPV3L1,TIMM50,MICOS13,TIMM13,HSD17B10,MRPL58,MRPS9,PNPT1,MRPL47,GRPEL1,POLG,MRPL44,MRPL18,DNAJC11,MRPS18B,TIMM10B,TIMM17B,BAX,MRPS12,MRPS31,MUL1,TIMM22,GADD45GIP1,TOMM5,MRPL2,CHCHD6,MRPL22,DAP3,SLC25A4,DNAJC15,MICOS10,CHCHD10,MRPL48,MRPL50,MRPL45,MRPS5,MRPS18A,TIMM9,PMPCA,MCUB,MRPS30,TOMM70,NDUFAF1,MRPL43,PAM16,MRPS14,MRPL57,MRPS17,PMPCB,SLC25A5,ACAD9,MRPS22,TMEM126B,MTX2,MRPL30,MRPL34,MRPS18C,MRPL54
GOCC_PRERIBOSOME	GOCC_PRERIBOSOME	1e-10	104	86	NOP56,MRTO4,BYSL,NGDN,LTV1,FSAF1,PES1,RRP1,EBNA1BP2,FBL,PNO1,KRI1,NOP58,RRP15,IMP4,WDR43,RRS1,RRP36,IMP3,ZNF622,RPS19BP1,DNTTIP2,WDR74,UTP11,RCL1,RPS17,RRP9,WDR75,RIOK1,MAK16,PIN4,RPS27,UTP25,WDR46,RPS24,UTP14A,NOL6,RPS15A,DIMT1,RRP7A,NIP7,NSA2,EMG1,DCAF13,RPS8,RPS9,MPHOSPH10,RPS13,PDCD11,RPS27A,UTP3,RIOK2,UTP6,NAT10,RPS7,RPS4X,RPS6,FTSJ3,NOC4L,DHX37,UTP4,UTP15,UTP18,RPF1,RPS3A,RPS14,PPAN,RPS12,SLX9,NOL7,FCF1,PWP2,KRR1,TSR1,SNU13,NOB1,NOL10,NOC2L,EXOSC10,NOL11,RPS19,BOP1,SRFBP1,UTP20,RPS11,WDR3
GOCC_ORGANELLAR_RIBOSOME	GOCC_ORGANELLAR_RIBOSOME	1e-10	83	67	MRPL20,MRPL51,MRPL32,MRPL15,MRPS11,MRPL16,MRPL36,MRPS6,MRPL27,MRPL37,MRPL39,AURKAIP1,MRPS25,MTG2,MRPS15,MRPL13,MRPS33,MRPL9,MRPL24,MRPS23,MRPL38,MRPL17,MRPL14,MRPS34,MRPL40,MRPL35,MRPL11,MRPS21,MRPL4,CHCHD1,MRPL33,MRPL55,MRPS7,MRPL3,MRPL1,MRPL23,MRPS26,MRPL21,MRPS2,MRPL58,MRPS9,MRPL47,MRPL44,MRPL18,MTG1,MRPS18B,MRPS12,MRPS31,GADD45GIP1,MRPL2,MRPL22,DAP3,MRPL48,MRPL50,MRPL45,MRPS5,MRPS18A,MRPS30,MRPL43,MRPS14,MRPL57,MRPS17,MRPS22,MRPL30,MRPL34,MRPS18C,MRPL54
GOCC_RIBOSOME	GOCC_RIBOSOME	1e-10	218	137	MRPL20,APEX1,MRPL51,MRPL32,MRPL15,RPL41,RPL36AL,MRPS11,RPS26,MRPL16,MRPL36,MRPS6,MRPL27,FAU,MRPL37,MRPL39,AURKAIP1,MRPS25,MTG2,RPL37,MRPS15,MRPL13,MRPS33,MRPL9,RPL36,NPM1,MRPL24,MRPS23,MRPL38,RPL36A,RPL11,MRPL17,MRPL14,MRPS34,RPL26L1,MRPL40,RPS17,RPS10,RPL24,MRPL35,RPL38,MRPL11,SF1,MRPS21,RPS27,RPS6KL1,RPL27A,RPL35,MRPL4,CHCHD1,MRPL33,RPL8,RPS20,MRPL55,RPL6,MRPS7,RPS24,MRPL3,MRPL1,RPL18,RPL19,RPL9,RPS15A,MRPL23,RPL27,MRPS26,RPL21,RPS15,MRPL21,RPL23,MRPS2,RPS8,RPS9,UBA52,RPL37A,CALR,RPS13,RPL10A,RPL10,RPL29,RPS27A,RPL32,RPL14,ASCC2,MRPL58,MRPS9,RPL28,PNPT1,RPS27L,RPLP2,RPLP1,MRPL47,RPS7,RPS4X,RPS6,MRPL44,MRPL18,MTG1,RPL7,RPL23A,RPL39,RPL13,MRPS18B,MRPS12,MRPS31,RPL31,GADD45GIP1,RPL35A,RPS25,RPS3A,MRPL2,RPS14,RPS2,MRPL22,DAP3,RPS12,RACK1,MRPL48,MRPL50,MRPL45,MRPS5,RPL7A,MRPS18A,RPL17,MRPS30,RPL22,RPS18,MRPL43,GSPT1,RPL5,RPL26,MRPS14,MRPL57,RPL22L1,MRPS17,RPL12,RPS19
GOCC_SMALL_SUBUNIT_PROCESSOME	GOCC_SMALL_SUBUNIT_PROCESSOME	1e-10	73	60	NOP56,NGDN,FSAF1,FBL,PNO1,NOP58,IMP4,WDR43,IMP3,RPS19BP1,DNTTIP2,UTP11,RCL1,RPS17,RRP9,WDR75,RPS27,UTP25,WDR46,RPS24,UTP14A,NOL6,RPS15A,DIMT1,RRP7A,EMG1,DCAF13,RPS8,RPS9,MPHOSPH10,RPS13,PDCD11,RPS27A,UTP3,UTP6,NAT10,RPS7,RPS4X,RPS6,NOC4L,DHX37,UTP4,UTP15,UTP18,RPS3A,RPS14,RPS12,NOL7,FCF1,PWP2,KRR1,SNU13,NOL10,EXOSC10,NOL11,RPS19,UTP20,RPS11,WDR3,BMS1
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	1e-10	52	41	RPL41,RPL36AL,RPL37,RPL36,RPL36A,RPL11,RPL26L1,RPL24,RPL38,RPL27A,RPL35,RPL8,RPL6,RPL18,RPL19,RPL9,RPL27,RPL21,RPL23,UBA52,RPL37A,RPL10A,RPL10,RPL29,RPL32,RPL14,RPL28,RPLP2,RPLP1,RPL7,RPL23A,RPL39,RPL13,RPL31,RPL35A,RPL7A,RPL17,RPL22,RPL5,RPL26,RPL12
GOCC_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT	GOCC_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT	1e-10	51	38	MRPL20,MRPL51,MRPL32,MRPL15,MRPL16,MRPL36,MRPL27,MRPL37,MRPL39,MRPL13,MRPL9,MRPL24,MRPL38,MRPL17,MRPL14,MRPL40,MRPL35,MRPL11,MRPL4,MRPL33,MRPL55,MRPL3,MRPL1,MRPL23,MRPL21,MRPL58,MRPL47,MRPL44,MRPL18,GADD45GIP1,MRPL2,MRPL22,MRPL48,MRPL50,MRPL45,MRPS18A,MRPS30,MRPL43
GOCC_SMALL_RIBOSOMAL_SUBUNIT	GOCC_SMALL_RIBOSOMAL_SUBUNIT	1e-10	71	51	MRPS11,RPS26,MRPS6,FAU,AURKAIP1,MRPS25,MRPS15,MRPS33,NPM1,MRPS23,MRPS34,RPS17,RPS10,MRPS21,RPS27,CHCHD1,RPS20,MRPS7,RPS24,RPS15A,MRPS26,RPS15,MRPS2,RPS8,RPS9,RPS13,RPS27A,MRPS9,RPS27L,RPS7,RPS4X,RPS6,MRPS18B,MRPS12,MRPS31,RPS25,RPS3A,RPS14,RPS2,DAP3,RPS12,RACK1,MRPS5,MRPS18A,RPS18,MRPS14,MRPS17,RPS19,MRPS22,RPS11,MRPS18C
