Heatmap_Rank,term_id,term_name,p_value,term_size,intersection_size,intersection,Input_Order,Pathway_Gene_Source,Pathway_Gene_Count,Filtered,Versus,Versus Name,Result,Reciprocal pvalue,DEGs in Intersection,Is Reciprocal,GSEA_Rank,Neg_Log10_P,Pathway_Label_Clean,Pathway_Label,Heatmap_Cluster_Rank
1,FREAC2_01,FREAC2_01,1e-10,211,84,"MAB21L3,HIBADH,ROR1,PHLPP1,RAD21,PLPP3,PLEKHA5,ABTB1,NFRKB,TIAM1,PTCH1,PELI2,DOCK3,TOB1,GNPNAT1,MBNL1,PRDM1,EZH1,ADAMTS13,ADAM12,GPRC5C,RMND5A,SLC2A4,TGFB3,KLF3,PROX1,ZBTB18,MITF,BRIP1,PLAG1,SZT2,RORA,SCRN3,FGF20,SKAP1,PAK1,SIN3A,NYAP1,SERINC3,MECOM,IL6ST,CD109,GPR137B,DENND5A,SMAD5,BCL9,CHD2,SCAMP1,JADE2,ZFHX3,PURA,NFIX,MCC,NNT,PIK3C2A,MBNL2,BRAF,KLF12,BCAS3,OTUD7B,KDM6A,CD2AP,KCNJ5,LIN54,RABGAP1L,PRKCH,CREBL2,SNX13,ARID4A,CLIP2,ZNF521,DHX8,THRA,UBE2H,FAM53C,KLHL24,TXNIP,HIPK1,KMT2E,HBP1,CREBRF,NIPBL,ETV5,ATXN1",0,GMT,264,keep,itself,,1.0,0.0,0,True,1,10.0,FREAC2 01,FREAC2 01,1
2,FOXO4_02,FOXO4_02,9.676416e-10,215,70,"PALM,PRDM1,LEMD1,EZH1,ARFIP1,JPH3,KDM3A,PDCD4,SUMO1,UGCG,TRERF1,TGFB3,ZBTB18,NFATC3,LIX1L,DIXDC1,KLF5,PLAG1,RAB6A,VSIG10,SCRN3,SKAP1,XPO7,SASH1,ZNF277,IL6ST,GPR137B,PHF21A,DOCK4,SMAD5,CHD2,PIK3IP1,INSR,ASXL1,JADE2,PURA,MEIS2,NFIX,KMT2A,WBP1L,SLMAP,KLF12,NSD3,GRB7,OTUD7B,MDGA1,KDM6A,KCNJ5,MINDY1,CREBL2,ARID4A,LCP2,ZNF521,PKN2,KREMEN1,ARFGEF1,ACVR1B,THRA,ORC4,GNAO1,UBE2H,FAM53C,KLHL24,TXNIP,STAG2,HBP1,CREBRF,RSF1,ETV5,ATXN1",4,GMT,263,keep,itself,,1.0,0.0,0,True,6,9.014285469100889,FOXO4 02,FOXO4 02,2
3,FOXO3_01,FOXO3_01,3.19562407e-08,198,71,"ACACA,NMNAT2,NR1D1,HIBADH,PHLPP1,PLEKHA5,ABTB1,PTCH1,PELI2,TTC33,PPP1CB,MBNL1,PRDM1,OTULINL,CILK1,EZH1,ARFIP1,DDIT4,STARD13,BMI1,PDCD4,SUMO1,TENM1,TGFB3,ZBTB18,LIX1L,DIXDC1,CDK14,PLAG1,VPS26A,SCRN3,SKAP1,ZNF277,SERINC3,PHF21A,DOCK4,SMAD5,CHD2,JADE2,PURA,MEIS2,NFIX,WBP1L,MBNL2,BRAF,ULK1,PHTF2,KLF12,NSD3,GRB7,KDM6A,KCNJ5,CREBL2,MIDEAS,ARID4A,LCP2,CLIP2,UBR5,PRKCI,ZNF521,PKN2,SHOX2,UBE2H,FAM53C,JMJD1C,ATF2,CHD6,HBP1,CREBRF,RSF1,ETV5",14,GMT,251,keep,FOXO4_02,FOXO4_02,0.3843,0.1677,42,False,13,7.4954443163190385,FOXO3 01,FOXO3 01,3
4,FOXO1_02,FOXO1_02,2.16893467e-07,210,68,"PTCH1,ZNF711,PELI2,DENND2B,PRDM1,LEMD1,DDX46,EZH1,ETV1,DDIT4,JPH3,TENM1,CAMK2G,EPHB2,TRERF1,TGFB3,PROX1,ZBTB18,LIX1L,MITF,DIXDC1,PLAG1,MBTPS1,RORA,SCRN3,KLF9,PAK1,GCNT2,XPO7,SIN3A,SERINC3,IL6ST,CD109,PHF21A,SMAD5,CHD2,POU2F1,PIK3IP1,ASXL1,JADE2,PURA,MEIS2,NFIX,PIK3C2A,INSIG1,ULK1,KLF12,GRB7,OTUD7B,MDGA1,KDM6A,CLSTN1,STX6,KCNJ5,CREBL2,ARID4A,CLIP2,THRA,TCF7,GNAO1,FAM53C,CSNK1G3,KMT2E,HBP1,CREBRF,FOXN3,RSF1,ETV5",18,GMT,249,exclude,FREAC2_01,FREAC2_01,0.0101,0.1594,35,False,18,6.663753529076539,FOXO1 02,FOXO1 02,4
5,FOXO4_01,FOXO4_01,1.1494327589e-06,196,61,"DCAF11,PTCH1,DENND2B,TM9SF3,MBNL1,PALM,PRDM1,ATF7IP,NEO1,PXK,EZH1,ETV1,DDIT4,KDM3A,PDCD4,ADAM12,TRERF1,PROX1,ZBTB18,NFATC3,RANBP10,PLAG1,SZT2,SKAP1,NYAP1,CBFA2T2,MECOM,IL6ST,CACNA2D2,GPR137B,PTH1R,ASXL1,ZNF654,PURA,MEIS2,FRMD4A,WBP1L,MXI1,KLF12,OTUD7B,KDM6A,CEP120,ADGRL1,CREBL2,MIDEAS,RBL2,ZNF521,MAP3K3,THRA,SESN3,ORC4,SHOX2,UBE2H,FAM53C,MAML3,ZHX2,SLC12A6,CSNK1G3,KMT2E,CREBRF,ETV5",23,GMT,246,keep,itself,,1.0,0.0,0,True,22,5.939516429608128,FOXO4 01,FOXO4 01,5
6,FOXO1_01,FOXO1_01,1.5857569819e-06,195,55,"PALM,PRDM1,ATF7IP,EZH1,BMF,ETV1,DDIT4,BMI1,KDM3A,PDCD4,GPRC5C,YTHDF3,PROX1,ZBTB18,MITF,NR2C2,PLAG1,SZT2,SCRN3,CCNG2,CBFA2T2,ITPR3,PHF21A,C2orf69,ASXL1,ZNF654,PURA,NFIX,NNT,WBP1L,UBL3,KLF12,NSD3,GRB7,OTUD7B,KDM6A,SLC38A2,KCNJ5,SLC26A2,ARID4A,LCP2,ZFYVE1,ARFGEF1,THRA,NF1,SESN3,UBE2H,SPAG9,CSNK1G3,HIPK1,KMT2E,HBP1,CREBRF,FOXN3,ETV5",25,GMT,248,keep,itself,,1.0,0.0,0,True,27,5.799763367779171,FOXO1 01,FOXO1 01,6
7,CDC5_01,CDC5_01,5.548497e-10,207,71,"TRPS1,DLL4,EDA,CTNND1,RCOR1,MN1,VEGFA,PAX2,HOXB7,HOXD10,MBNL1,RBMS1,SAT1,CPEB4,YWHAG,LYN,CDKN2C,CDC42EP3,TENM1,GOLPH3L,GLI3,NKX2-3,ZBTB20,TGFB3,GPC3,ITPKB,PLAG1,TSHZ2,RORA,AP1S2,TNFSF10,ARMCX4,PPARGC1A,DIP2B,PHF21A,CHD2,RREB1,CUX1,PURA,VANGL1,FRMD4A,WBP1L,CTTNBP2NL,MXI1,KLF12,SMARCA2,ADAMTS9,PBX1,BMPR2,PLCB3,MINK1,PTBP3,FNBP1,TNS2,PLEKHH3,PCDHGC3,SESN3,BCL6,FAM53C,ABLIM1,CSNK1G3,HIPK1,STAG2,XIAP,FOXN3,ATRX,NLK,SMTNL2,ACSL4,STAT3,PRKACB",2,GMT,266,keep,itself,,1.0,0.0,0,True,4,9.255824644446227,CDC5 01,CDC5 01,7
8,CART1_01,CART1_01,4.5438457435e-06,167,62,"RFX3,EN1,MTUS1,WDPCP,ATP8B1,THAP6,ACADSB,ACACA,ADAM11,PLEKHA6,TSPEAR,ROR1,RAB2B,DLL4,IKZF5,PTCH1,PELI2,RIMS2,ZNF281,SPTB,HOXB7,ABHD17B,HIPK3,FGF13,PRDM1,GOLGA1,CDKN2C,LRRC15,JPH3,POGZ,C1QTNF6,ZBTB18,MAL2,PATL1,RAB6A,DENND1B,TRAF3,ASIC1,ITPR3,CHD2,POU2F1,HYCC1,MEIS2,NFIX,TCP11L2,MBNL2,SMARCA2,OTUD7B,CDKL5,PBX1,UBR5,ACBD5,NECTIN3,BCL6,CLDN4,BBX,RLIM,MSRB3,ZNF148,FOXN3,CBL,ARRB1",26,GMT,229,keep,itself,,1.0,0.0,0,True,35,5.3425764206693716,CART1 01,CART1 01,8
9,TGATTTRY_GFI1_01,TGATTTRY_GFI1_01,2.513989958e-07,223,81,"MRAS,SLCO2A1,WDPCP,JOSD1,SH3BP5,HOXA6,NMNAT2,MAB21L3,HIBADH,CRYZL1,CTNND1,IARS1,ITSN1,ROBO3,JAZF1,RIMS2,ANKRD29,STK31,PAX2,HOXB7,TCF12,LRP2,TEAD1,HOXD10,USH1G,GOLT1A,AGPAT4,GOLGA1,FRMPD1,HOXD11,RP1L1,GRAMD1C,FN1,SND1,NIPAL3,SP6,POGZ,ZBTB20,TRERF1,SRC,CCDC80,GALNT7,CDON,CDK14,IGF2BP3,TSHZ2,CCSER2,FGF20,CCNG2,LRRC2,PPARGC1A,PRSS35,POU2F1,MEIS2,ZRANB1,HOXB9,MAP1B,XPR1,CLSTN2,SLC2A12,RNF111,TLK1,ZNF521,MAP3K3,ARFGEF1,PCDHGC3,FBXO32,NECTIN3,JMJD1C,JAK1,WASL,ZHX2,SRPK2,KPNA3,HBP1,FOXN3,ATRX,RAB30,NIPBL,CCDC186,CDH13",20,GMT,296,keep,itself,,1.0,0.0,0,True,19,6.599636461412948,TGATTTRY GFI1 01,TGATTTRY GFI1 01,9
10,HNF6_Q6,HNF6_Q6,6.9319624033e-06,181,53,"MN1,ZNF711,JAZF1,HSD17B14,HNF4G,PPP1CB,TOB1,HOXD10,MBNL1,MTMR11,JARID2,AGPAT4,ARHGEF12,POGZ,KCNAB1,MITF,NR2C2,PLAG1,TSHZ2,WNK1,DCTN1,AP1S2,FBXO11,RERE,CAST,CHD2,LMTK2,POU2F1,DGKG,CUX1,ZC3H11A,NFIX,HOXB9,CCDC88A,XPR1,PDZD2,NSD1,CLSTN2,EPN3,THRA,MTMR6,SGTB,ORC4,GNAO1,SAMTOR,DAAM1,WASL,ZHX2,TLE4,SRPK2,HBP1,NIPBL,STAT3",31,GMT,240,keep,itself,,1.0,0.0,0,True,40,5.1591438014231565,HNF6 Q6,HNF6 Q6,10
