"TF","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"E2F4","E2F4 ENCODE","40/710","0.000120261049118222","0.01226662701005865","0","0","1.9858434293894649","17.923916514337463468109","BLM;ERCC6L;MCM8;LRR1;DSCC1;CDCA7;MCM10;LIN9;SKA1;KIF15;ZCWPW1;EXO1;FIGNL1;NUF2;CHEK1;USP1;E2F2;NEK2;ZNF367;GINS2;RFC3;TIPIN;FANCM;RMI1;XRCC2;RECQL;ESCO2;SHCBP1;WDR76;RAD51;MIS18A;DIAPH3;RBL1;SLC25A19;POLE2;SASS6;DNAJC9;MTFR2;CENPQ;SPC25"
"TP53","TP53 CHEA","20/319","0.001734140331452592","0.08844115690408219","0","0","2.1911804356431102","13.929867526101192609644","SLC34A3;EPHA4;S100A2;LAMA2;PLK2;ABHD1;RARRES1;FHL2;SKA3;QRFP;COL1A1;TPO;CCND2;CALD1;ALOX5;POLE2;KCNN4;NUDT15;PGPEP1;SLC12A7"
"EZH2","EZH2 ENCODE","15/338","0.088691641609916369","0.99999428758557163","0","0","1.5064446831364124","3.649497261868342334878","HFM1;GIPR;ITGB4;ALOX15;SLCO5A1;PLXDC1;NPAS1;WFDC2;EPOR;NMU;HAS3;TNFSF9;RGL3;NEIL1;IL17C"
"SIN3A","SIN3A ENCODE","42/1131","0.095306038989242822","0.99999428758557163","0","0","1.2586339820175505","2.958623201984067474513","LIN54;SUV39H2;GRN;BLM;MCM8;PAK1IP1;DSCC1;CCDC146;MCM10;SKA3;PIGW;NUDT6;CARF;KIF15;STK36;EXO1;NUF2;S100A13;TSPAN4;NEK2;ZNF367;LYAR;FANCM;RMI1;DDIAS;RABL2A;RECQL;MOK;FOXJ1;ESCO2;SHCBP1;PKM;RAD51;MIS18A;SGSM2;SASS6;POLR3G;DNAJC9;RAD1;MTFR2;TLCD1;CENPQ"
"SMAD4","SMAD4 CHEA","22/584","0.168355228185070649","0.99999428758557163","0","0","1.2690415959720938","2.261024861171568201001","OSCP1;GPR39;CNTNAP2;SLC22A3;S100A2;AMIGO2;FHL2;LTBP2;MRPS6;TMEM92;FOXP2;FERMT1;INPP4B;FAM167A;ALCAM;EXO1;CHN2;B3GNT5;NUF2;COL5A2;TNS4;FBN1"
"SMC3","SMC3 ENCODE","41/1181","0.193481562326956708","0.99999428758557163","0","0","1.1683476930761063","1.919096440901808087176","ACHE;GRN;GALT;COL13A1;IDUA;LSMEM1;ADCY4;PIGZ;LTBP2;TMEM92;ARHGAP4;TM7SF2;MUC1;WNT11;ABLIM3;HAUS7;RASGEF1C;TNNI2;TNFRSF14;D2HGDH;SLC25A45;SEC31B;EPHA4;IGFBP4;PLK2;RAB27A;MYO7A;PLXDC1;SYT8;COL1A1;FAM167B;FAM167A;GJD3;SMOC1;TTLL1;RNF207;MORN3;NOXA1;TLCD1;GLIPR1L1;NES"
"VDR","VDR CHEA","4/76","0.196383283299362388","0.99999428758557163","0","0","1.7923390836579485","2.917367030126985394389","TLE4;RAC2;DENND6B;TRIM38"
"KLF4","KLF4 CHEA","34/987","0.233385598872572847","0.99999428758557163","0","0","1.1564553339099355","1.682715671119780376230","FBXO27;PAK1IP1;DSCC1;CDCA7;PIGZ;PPL;NUP160;KRTCAP2;CA2;ZNF704;SIX2;NUF2;NNAT;HAS3;NEK2;ZNF367;CTNNAL1;SLC12A7;IRX5;ASNS;EVX1;TLE6;NFATC4;TPPP3;PKM;CD109;B3GNT5;RNF207;ORAI3;TLCD1;NPTXR;CENPQ;PNPLA2;COX20"
"MYOD1","MYOD1 ENCODE","7/166","0.235641243589414434","0.99999428758557163","0","0","1.4210670718838381","2.054073987970138848169","CALCOCO1;TPPP3;LAMA2;MAMSTR;ATP2A1;LSP1;NES"
"GATA2","GATA2 CHEA","27/772","0.239337183593446634","0.99999428758557163","0","0","1.1735738255033556","1.678071984654908810342","ACHE;BLM;KRT80;LSMEM1;PTAFR;FHL2;AKAP5;LMF1;RNF213;RAC2;E2F2;TNFRSF14;KCNN4;CSGALNACT1;GPR39;ARSA;TGFB2;ZG16B;EPHX2;TLE6;ENKUR;OBSCN;PKM;DIAPH3;LPAR5;ORAI3;ALDH7A1"
