"Query Name","Rank","Scaled Rank","Set_name","TF","Intersect","Set length","FET p-value","FDR","Odds Ratio","Library","Overlapping_Genes"
"DEG_HMVL_HUB098","1","0.00336700000000000","ELF3","ELF3","66","1449","0.00000015250000000000","0.0000453000000000","2.1410000000000000","ReMap--ChIP-seq","MAML2,ALCAM,LURAP1L,HPCAL1,HOXB9,HOXB4,HOXB3,TXNIP,HOXB8,HOXB6,HOXB5,PLAC8,JAG1,PLK2,NFATC4,FOSL1,CDKN1B,AREG,TMSB4X,GRAMD2B,RIPK4,TMC8,DHRS3,DCBLD2,TMEM154,CLCF1,EXOC3L4,LTB4R2,SOCS3,IGFBP7,ANKRD34A,PMEPA1,ITGA1,FOXL1,DEPP1,CCDC85B,SMOX,CDC20,LIMCH1,ACSL5,KRT7,TNFRSF12A,RHOF,FOXC2,LIMA1,NT5E,NPW,SERTAD1,FAM47E,TM4SF18,FCMR,MIDN,EFNA5,LPP,HMGA1,HMGA2,NABP1,CXCL8,LAMC2,CXCL2,FHAD1,ABCC3,MYEOV,KRT80,TCIM,SPRY1"
"DEG_HMVL_HUB098","2","0.00673400000000000","KLF6","KLF6","64","1449","0.00000061120000000000","0.0000908000000000","2.0730000000000000","ReMap--ChIP-seq","ZNF296,HOXA3,HPCAL1,HOXB9,CLDN7,HOXB4,HOXB3,TXNIP,HOXB8,HOXB6,HOXB5,HIF1A,BTBD19,JAG1,NFATC4,FOSL1,GJB3,CDKN1B,TINAGL1,AREG,GRAMD2B,RIPK4,TMC8,CHST3,FLNB,TUBB4B,DCBLD2,CLCF1,EXOC3L4,CYSRT1,PIM3,TACSTD2,SOCS3,PMEPA1,ITGA1,FOXL1,NTN4,DEPP1,CCDC85B,ACSL5,KRT7,CBARP,NTSR1,COL9A3,CCDC120,TNFRSF12A,RHOF,FOXC2,NPW,SERTAD1,FAM47E,PAK4,TM4SF18,MIDN,DNAJC22,ITPRID2,HMGA1,SMAD6,LAMC2,MYEOV,VGF,KRT80,HES4,SPRY1"
"DEG_HMVL_HUB098","3","0.01010000000000000","TEAD1","TEAD1","59","1448","0.00001515000000000000","0.0015000000000000","1.9059999999999999","ReMap--ChIP-seq","EHF,MAML2,ALCAM,LURAP1L,PRKCH,NEDD4L,PLAC8,FOSL1,GIPC2,CDKN1B,TINAGL1,AREG,TMSB4X,GRAMD2B,TMEM160,FSTL1,FLNB,DHRS3,DCBLD2,LGR4,EXOC3L4,TACSTD2,SOCS3,IGFBP7,PMEPA1,ITGA1,SEMA3C,NTN4,DEPP1,SMOX,KRT7,RIN1,CBARP,PPP3CA,TNFRSF12A,RHOF,NEXN,NT5E,SERTAD1,TM4SF18,CAVIN2,KITLG,MIDN,SAMD9L,PDGFRB,ITPRID2,GULP1,IL6,COL5A2,NABP1,CXCL1,LAMC2,CXCL2,RND3,MYEOV,ALDH1A2,CDH13,KRT80,TFPI"
"DEG_HMVL_HUB098","4","0.01347000000000000","NR1H2","NR1H2","58","1445","0.00002622000000000000","0.0019500000000000","1.8759999999999999","ReMap--ChIP-seq","EHF,HOXA9,LURAP1L,TMEM88,HOXA3,HPCAL1,HOXB9,CLDN7,HOXB4,HOXB3,TXNIP,HOXB8,HOXB6,HOXB5,BTBD19,PLK2,FOSL1,CDKN1B,TINAGL1,AREG,TMSB4X,MYZAP,FLNB,TUBB4B,DHRS3,ADM5,CLCF1,CYSRT1,PIM3,LBHD1,ZNF524,SEMA3C,NTN4,CCDC85B,CDC20,ACSL5,KRT7,CBARP,NTSR1,TNFRSF12A,RHOF,TOR4A,NPW,FAM47E,MIDN,RASEF,EFNB2,HMGA1,HSPB1,CXCL2,ABCC3,KDM6B,MYEOV,KRT80,TFPI,DLL4,DCDC2B,HES4"
"DEG_HMVL_HUB098","5","0.01684000000000000","NANOG","NANOG","57","1450","0.00005169000000000000","0.0023100000000000","1.8360000000000001","ReMap--ChIP-seq","ZNF296,ZDBF2,HOXA9,TMEM88,HOXA3,GAMT,UNC5B,HOXB9,CLDN7,HOXB4,HOXB3,HOXB8,HOXB6,HOXB5,JAG1,FZD8,FOSL1,ACHE,CDKN1B,JARID2,DHRS3,NOTUM,INHA,SOCS2,SOCS3,SP5,LHX4,ZNF524,FOXL1,CCDC85B,EBF2,PCDH18,CBARP,CD200,NAT16,TNFRSF12A,RHOF,RGMB,FOXC2,NPW,SERTAD1,CAVIN3,MIDN,TMEM59L,DNAJC22,EFNB2,HMGA1,HMGA2,GULP1,KDM6B,KLF16,VGF,IER5L,DLL4,HES4,SPRY1,SSBP2"
"DEG_HMVL_HUB098","6","0.02020000000000000","TCF7L2","TCF7L2","57","1451","0.00005261000000000000","0.0023100000000000","1.8350000000000000","ReMap--ChIP-seq","EHF,ZNF296,HOXA9,ALCAM,LURAP1L,TMEM88,HOXA3,HOXB9,CLDN7,HOXB4,HOXB3,HOXB8,HOXB6,HOXB5,SFN,FOSL1,CDKN1B,TINAGL1,TRIM2,LRRC46,RIPK4,TMC8,EMP3,DHRS3,NOTUM,EXOC3L4,CYSRT1,TUBB3,PIM3,LBHD1,SOCS2,SOCS3,LHX4,SAPCD2,SEMA3C,CCDC85B,CDC20,KRT7,CBARP,NTSR1,EGR3,COL9A3,TNFRSF12A,RHOF,RGMB,NPW,MIDN,HMGA1,HMGA2,SMAD6,HSPB1,ABCC3,KDM6B,MYEOV,VGF,KRT80,IER5L"
"DEG_HMVL_HUB098","7","0.02357000000000000","CTCF","CTCF","57","1453","0.00005448000000000000","0.0023100000000000","1.8320000000000001","ReMap--ChIP-seq","HOXA9,TMEM88,HOXA3,BCAN,HOXB9,HOXB4,HOXB3,HOXB8,HOXB6,HOXB5,PCDHA4,SFN,BTBD19,FOSL1,LRRC46,TMC8,EMP3,TUBB4B,ADM5,CLCF1,EXOC3L4,CYSRT1,SEMA6B,HIC1,LTB4R2,REEP4,SAPCD2,DEPP1,CCDC85B,KCNJ9,MIF4GD,RIN1,CBARP,EGR3,COL9A3,TNFAIP8L1,TNFRSF12A,RHOF,RGMB,NCOA7,TOR4A,PTGER1,ALOX12B,NPW,PCDHB10,FCMR,MIDN,PDGFRB,DEXI,DNAJC22,HMGA1,KDM6B,KLF16,VGF,DLL4,HES4,ARID3C"
"DEG_HMVL_HUB098","8","0.02694000000000000","PROX1","PROX1","56","1445","0.00008412000000000000","0.0026700000000000","1.8089999999999999","ReMap--ChIP-seq","EHF,CLDN1,HOXA9,HOXA3,HPCAL1,CLDN4,HOXB9,HOXB4,HOXB3,TXNIP,HOXB8,HOXB6,HOXB5,CHST13,SFN,BTBD19,NEBL,FOSL1,CDKN1B,TINAGL1,TMSB4X,TRIM2,RIPK4,EMP3,FLNB,CLCF1,NOTUM,TLE4,ANKRD34A,SP5,PMEPA1,ITGA1,SEMA3C,PDK3,ACSL5,KRT7,MALL,NTSR1,ECM1,PPP3CA,TNFRSF12A,IL17RE,RHOF,NCOA7,HSD17B2,KLRC4,BMP7,PHF19,HSPB1,LAMC2,MYEOV,VGF,CDH13,RBM20,SLFN5,KRT80"
"DEG_HMVL_HUB098","9","0.03030000000000000","CXXC4","CXXC4","56","1446","0.00008557000000000000","0.0026700000000000","1.8080000000000001","ReMap--ChIP-seq","HOXA9,TMEM88,HOXA3,GAMT,UNC5B,PRAP1,HOXB9,CLDN7,HOXB4,HOXB3,HOXB8,HOXB6,HOXB5,NEDD4L,FZD8,FOSL1,ACHE,CDKN1B,JARID2,EMP3,TUBB4B,ADM5,NOTUM,INHA,CYSRT1,HIC1,LBHD1,ANKRD34A,ZNF524,DEPP1,CCDC85B,CDC20,RIN1,CBARP,NAT16,TNFRSF12A,RHOF,RGMB,NPW,SERTAD1,KIF26B,MIDN,DNAJC22,EFNA5,SYCE2,HMGA2,SMAD6,SDK2,HSPB1,KDM6B,KLF16,VGF,IER5L,HES4,ARID3C,INAFM1"
"DEG_HMVL_HUB098","10","0.03367000000000000","TCF12","TCF12","56","1449","0.00009004999999999999","0.0026700000000000","1.8040000000000000","ReMap--ChIP-seq","ZNF296,HOXA9,TMEM88,HOXA3,GAMT,HOXB9,CLDN7,HOXB4,HOXB3,HOXB8,HOXB6,HOXB5,BTBD19,FOSL1,TMSB4X,TMC8,EMP3,TUBB4B,DHRS3,CLCF1,NOTUM,EXOC3L4,CYSRT1,TUBB3,PIM3,HIC1,SOCS3,ZNF524,SAPCD2,DEPP1,CCDC85B,KRT7,MIF4GD,RIN1,CBARP,COL9A3,NAT16,TNFRSF12A,RHOF,TOR4A,NPW,SERTAD1,MIDN,SYCE2,HMGA1,PHF19,HSPB1,KDM6B,MYEOV,KLF16,VGF,KRT80,IER5L,DLL4,HES4,INAFM1"
