"statistic","source","condition","score","p_value"
"ora","AHR","HVL_CRC29","0.487452659520291043","0.32549726255058331059188958533923141658306121826"
"ora","AR","HVL_CRC29","3.518102342015857698","0.00030331763283273678469612044672487627394730225"
"ora","ARID2","HVL_CRC29","0.043588446450355200","0.90450621133446951205314690014347434043884277344"
"ora","ARID3A","HVL_CRC29","0.198189486778226287","0.63359320824878839761851168077555485069751739502"
"ora","ARNT","HVL_CRC29","0.767409061925879765","0.17084054101522538893220826139440760016441345215"
"ora","ARNTL","HVL_CRC29","0.632439799414842296","0.23310962223831202533297357604169519618153572083"
"ora","ASCL1","HVL_CRC29","0.236775259030000573","0.57972861980223233668851889888173900544643402100"
"ora","ATF1","HVL_CRC29","1.393642433193389873","0.04039778623680634339621065009851008653640747070"
"ora","ATF2","HVL_CRC29","1.007942767492741920","0.09818773289575809248841409271335578523576259613"
"ora","ATF3","HVL_CRC29","0.200300041144556712","0.63052158535515379078617570485221222043037414551"
"ora","ATF4","HVL_CRC29","3.378863404901836898","0.00041796180408990252306417056971099555084947497"
"ora","ATF6","HVL_CRC29","0.000000000000000000","1.00000000000000000000000000000000000000000000000"
"ora","ATF7","HVL_CRC29","0.057136311722433920","0.87672560066854954285986423201393336057662963867"
"ora","BACH1","HVL_CRC29","0.910906017553511860","0.12277048809177851240725942716380814090371131897"
"ora","BACH2","HVL_CRC29","0.441359223551836377","0.36194349561320288133359213134099263697862625122"
"ora","BATF","HVL_CRC29","0.065321163091800874","0.86035727806762163361042894393904134631156921387"
"ora","BCL11A","HVL_CRC29","0.384936870015895771","0.41215742683702216719865418781409971415996551514"
"ora","BCL6","HVL_CRC29","0.611216980423095690","0.24478399565509881274927295180532382801175117493"
"ora","BHLHE22","HVL_CRC29","0.144624198340296245","0.71676336825334052704761234053876250982284545898"
"ora","BHLHE40","HVL_CRC29","1.863336093112477165","0.01369821274484992780495762332293452345766127110"
"ora","CDX2","HVL_CRC29","0.490015192963599577","0.32358233682112552687115680782881099730730056763"
"ora","CEBPA","HVL_CRC29","1.289124037117866717","0.05138968585852020376503190846051438711583614349"
"ora","CEBPB","HVL_CRC29","0.375370475993532793","0.42133692756243351640321748163842130452394485474"
"ora","CEBPD","HVL_CRC29","0.693214564092097585","0.20266811860814235024541574148315703496336936951"
"ora","CEBPG","HVL_CRC29","1.168612906754978864","0.06782457689965638858442531500259065069258213043"
