"statistic","source","condition","score","p_value"
"ora","AHR","HVL_TOR10","0.180129951549176104","0.66049578191574298546839827395160682499408722"
"ora","AR","HVL_TOR10","0.162931638268934781","0.68717659907853168022029421990737318992614746"
"ora","ARID2","HVL_TOR10","0.003379144311240279","0.99224942449598529936594104583491571247577667"
"ora","ARID3A","HVL_TOR10","0.501724204534977014","0.31497479029882069490042795223416760563850403"
"ora","ARNT","HVL_TOR10","0.013978743365049413","0.96832524998484081901750641918624751269817352"
"ora","ARNTL","HVL_TOR10","0.343224329589253085","0.45370719911787832367977557623817119747400284"
"ora","ASCL1","HVL_TOR10","1.004374385488559396","0.09899781618670337735022002334517310373485088"
"ora","ATF1","HVL_TOR10","1.668195854260172917","0.02146862083033884704974525448051281273365021"
"ora","ATF2","HVL_TOR10","0.049179403233934528","0.89293654329652349943557965161744505167007446"
"ora","ATF3","HVL_TOR10","0.006324136713794124","0.98554364823543605389488675427855923771858215"
"ora","ATF4","HVL_TOR10","0.146195980223239347","0.71417397438635354944835853530094027519226074"
"ora","ATF6","HVL_TOR10","0.000000000000000000","1.00000000000000000000000000000000000000000000"
"ora","ATF7","HVL_TOR10","0.000000000000000000","1.00000000000000000000000000000000000000000000"
"ora","BACH1","HVL_TOR10","0.823030892616511300","0.15030350470783107597050332060462096706032753"
"ora","BACH2","HVL_TOR10","0.884393128182210608","0.13049890627372925933080693994270404800772667"
"ora","BATF","HVL_TOR10","0.514697490237716493","0.30570497734475621243177556607406586408615112"
"ora","BCL11A","HVL_TOR10","0.192587411794544694","0.64181902760468245716651836119126528501510620"
"ora","BCL6","HVL_TOR10","0.152763711908933397","0.70345494693593779711449087699293158948421478"
"ora","BHLHE22","HVL_TOR10","0.709350856428891174","0.19527612278957473535001554409973323345184326"
"ora","BHLHE40","HVL_TOR10","0.615720379759955194","0.24225883267435305290504743425117339938879013"
"ora","CDX2","HVL_TOR10","2.772756586080728169","0.00168749857171248958224996083998803442227654"
"ora","CEBPA","HVL_TOR10","1.353172215616367691","0.04434327697398840473219649993552593514323235"
"ora","CEBPB","HVL_TOR10","0.017208725942097217","0.96115022967602270487219584538252092897891998"
"ora","CEBPD","HVL_TOR10","0.192951899535307642","0.64128059794954217487372716277604922652244568"
"ora","CEBPG","HVL_TOR10","0.447848250138058124","0.35657570526371840102797250438015908002853394"
"ora","CLOCK","HVL_TOR10","0.615197570214565226","0.24255064272650378454088127000431995838880539"
"ora","CREB1","HVL_TOR10","0.154299357912961954","0.70097195394264144585605436077457852661609650"
"ora","CREB3","HVL_TOR10","0.128408237416215765","0.74403225373658743446725338799296878278255463"
"ora","CREB3L1","HVL_TOR10","0.014723816581870622","0.96666542073301420234798797537223435938358307"
"ora","CREM","HVL_TOR10","0.169494837097936280","0.67686983951500589995475820614956319332122803"
"ora","CTCF","HVL_TOR10","0.671474359213679928","0.21307163615200072626088001470634480938315392"
"ora","CTCFL","HVL_TOR10","0.758363538354688504","0.17443613750887379532095167178340489044785500"
"ora","CUX1","HVL_TOR10","0.826701875213878057","0.14903838120652473930860537620901595801115036"
"ora","DUX4","HVL_TOR10","0.748525489601403304","0.17843272597739318063858604546112474054098129"
"ora","E2F1","HVL_TOR10","15.301417890395329735","0.00000000000000049955361906158570153799653420"
"ora","E2F2","HVL_TOR10","3.498531920076102253","0.00031729854449875693816682242776039402087918"
"ora","E2F3","HVL_TOR10","2.132124153606699490","0.00737693312464548101720085426791229110676795"
"ora","E2F4","HVL_TOR10","28.921730184034842637","0.00000000000000000000000000001197484266354231"
"ora","E2F5","HVL_TOR10","0.932895245191510014","0.11670910934910931622265906071334029547870159"
"ora","E2F6","HVL_TOR10","0.649403771655278295","0.22417967145136641349267847544979304075241089"
"ora","E2F7","HVL_TOR10","2.028597539284010765","0.00936272916402675244029740753148871590383351"
"ora","EBF1","HVL_TOR10","0.843630603369003973","0.14334065895059161510616263512929435819387436"
"ora","EGR1","HVL_TOR10","0.969949581929333449","0.10716437071683131143640110849446500651538372"
"ora","EHF","HVL_TOR10","0.456447090403205746","0.34958509655427716378284230813733302056789398"
"ora","ELF1","HVL_TOR10","0.182919630421459145","0.65626670233408412880038440562202595174312592"
"ora","ELF3","HVL_TOR10","0.039056267810286538","0.91399481533145987555144529324024915695190430"
"ora","ELF5","HVL_TOR10","0.227289598603271303","0.59253007869199958435046937665902078151702881"
"ora","ELK1","HVL_TOR10","1.920544154017130412","0.01200758987585654954943770178488193778321147"
"ora","ELK4","HVL_TOR10","0.192951899535307642","0.64128059794954217487372716277604922652244568"
"ora","EOMES","HVL_TOR10","1.006802495040688195","0.09844587082060343719014383623289177194237709"
"ora","EPAS1","HVL_TOR10","0.222106780360560280","0.59964362323184527969743840003502555191516876"
"ora","ERG","HVL_TOR10","0.581266236917838186","0.26226103034055170404315049381693825125694275"
"ora","ESR1","HVL_TOR10","2.608093584474190152","0.00246550799700131313338391514378145075170323"
"ora","ESR2","HVL_TOR10","1.011441925782361029","0.09739980204424568410725981948417029343545437"
"ora","ESRRA","HVL_TOR10","1.954440483968059139","0.01110604722985141130930930586373506230302155"
"ora","ETS1","HVL_TOR10","0.486085170657115151","0.32652379043544221826067541769589297473430634"
"ora","ETS2","HVL_TOR10","1.567241560082037966","0.02708684608189293463453850563382729887962341"
"ora","ETV1","HVL_TOR10","0.586495194805156328","0.25912230914471312548386094931629486382007599"
"ora","ETV4","HVL_TOR10","0.405185911172813884","0.39338164205126940897727649826265405863523483"
"ora","FLI1","HVL_TOR10","0.514382750496308772","0.30592660663798421083470202574972063302993774"
"ora","FOS","HVL_TOR10","0.148568215111781393","0.71028359621525860578827860081219114363193512"
"ora","FOSL1","HVL_TOR10","0.658600378209868165","0.21948236023149181317393185963737778365612030"
"ora","FOSL2","HVL_TOR10","2.013194887778456899","0.00970074552779697472926212498123277327977121"
"ora","FOXA1","HVL_TOR10","1.478134784995437601","0.03325563271163502893079666478115541394799948"
"ora","FOXA2","HVL_TOR10","0.080115155110892899","0.83154325448107080376303201774135231971740723"
"ora","FOXJ2","HVL_TOR10","0.031579377222733081","0.92986654490035980380469027295475825667381287"
"ora","FOXK2","HVL_TOR10","0.047578735765743216","0.89623368781642542835186304728267714381217957"
"ora","FOXL2","HVL_TOR10","0.931210731704165906","0.11716267218816367456923899226239882409572601"
"ora","FOXM1","HVL_TOR10","6.586008096725359806","0.00000025941309982484241454246437670605462955"
"ora","FOXO1","HVL_TOR10","1.006503352497000403","0.09851370380983569263744215049882768653333187"
"ora","FOXO3","HVL_TOR10","0.984380378432533787","0.10366200905454929503957117731260950677096844"
"ora","FOXO4","HVL_TOR10","0.192951899535307642","0.64128059794954217487372716277604922652244568"
"ora","FOXP1","HVL_TOR10","0.209383922137831746","0.61747030677704850543108250349177978932857513"
"ora","FOXP2","HVL_TOR10","0.797434825779302359","0.15942821153850261772788599046180024743080139"
"ora","GABPA","HVL_TOR10","0.379059412211709468","0.41777321066303052532475703628733754158020020"
"ora","GATA1","HVL_TOR10","0.040064474906664996","0.91187545322603025255148168071173131465911865"
"ora","GATA2","HVL_TOR10","0.618491362186125881","0.24071803957106155391620916361716808751225471"
"ora","GATA3","HVL_TOR10","0.175696395849518294","0.66727307972364890975569551301305182278156281"
"ora","GATA4","HVL_TOR10","0.095865523061547664","0.80192633710232374966153656714595854282379150"
"ora","GATA6","HVL_TOR10","1.675920998547442586","0.02109011760239468125099904227681690827012062"
"ora","GFI1B","HVL_TOR10","0.586495194805156328","0.25912230914471312548386094931629486382007599"
"ora","GLI2","HVL_TOR10","1.108146192150699871","0.07795676483927006794605318873436772264540195"
"ora","GRHL2","HVL_TOR10","0.280748207145679440","0.52390409477099819657297530284267850220203400"
"ora","HBP1","HVL_TOR10","0.269493996619369180","0.53765786527403103267630513073527254164218903"
"ora","HHEX","HVL_TOR10","0.296057957363719593","0.50575716331485287557967467364505864679813385"
"ora","HIF1A","HVL_TOR10","2.753349345390803560","0.00176461779550633854514452014683456582133658"
"ora","HINFP","HVL_TOR10","0.033832186047518115","0.92505555181534193653902775622555054724216461"
"ora","HMBOX1","HVL_TOR10","0.032685538894810982","0.92750115926894882711906120675848796963691711"
"ora","HNF1A","HVL_TOR10","0.422313450816748759","0.37816954339478103808147579911747016012668610"
"ora","HNF1B","HVL_TOR10","0.409511004533443690","0.38948343850658628806371552855125628411769867"
"ora","HNF4A","HVL_TOR10","1.404565970666515451","0.03939435818586926874029785494712996296584606"
"ora","HNF4G","HVL_TOR10","0.912791881977305541","0.12223852984266311838545959744806168600916862"
"ora","HOXA9","HVL_TOR10","0.180887117730967217","0.65934525067055638203328271629288792610168457"
"ora","HOXB13","HVL_TOR10","0.419453413186597124","0.38066818972670085630127800868649501353502274"
"ora","HSF1","HVL_TOR10","0.256132607073673968","0.55445638990971279902453261456685140728950500"
"ora","IKZF1","HVL_TOR10","1.937090244572658548","0.01155872031873121999479003818578348727896810"
"ora","IRF1","HVL_TOR10","0.465644155663341830","0.34225976225349341586223772537778131663799286"
"ora","IRF2","HVL_TOR10","1.023637498409997404","0.09470273064961673425976584894669940695166588"
"ora","IRF3","HVL_TOR10","1.646623254770873901","0.02256195585944535328404292329196323407813907"
"ora","IRF4","HVL_TOR10","0.240938300043652714","0.57419803238266053924121479212772101163864136"
"ora","IRF9","HVL_TOR10","1.040260718650875438","0.09114634990431201566618568676858558319509029"
"ora","JUN","HVL_TOR10","1.063254120211491571","0.08644619451926004172204187625538907013833523"
"ora","JUNB","HVL_TOR10","0.428862867755555377","0.37250931072774934316171879800094757229089737"
"ora","JUND","HVL_TOR10","0.845623831330737263","0.14268429333272830694667732132074888795614243"
"ora","KDM5B","HVL_TOR10","0.024201484201452152","0.94579827109976744026198502979241311550140381"
"ora","KLF1","HVL_TOR10","0.100151341945785399","0.79405147726610181280193501152098178863525391"
"ora","KLF13","HVL_TOR10","0.298805847806922209","0.50256721295979855934632496428093872964382172"
"ora","KLF3","HVL_TOR10","0.514382750496308772","0.30592660663798421083470202574972063302993774"
"ora","KLF4","HVL_TOR10","0.067154519930871834","0.85673296944210342029890625781263224780559540"
"ora","KLF5","HVL_TOR10","0.470535479759625508","0.33842662291792352524666398494446184486150742"
"ora","KLF6","HVL_TOR10","0.650376531637257504","0.22367810171542942820899213529628468677401543"
"ora","KLF9","HVL_TOR10","0.357791667956803394","0.43874111240464880312472928380884695798158646"
"ora","KMT2A","HVL_TOR10","0.296057957363719593","0.50575716331485287557967467364505864679813385"
"ora","LEF1","HVL_TOR10","0.012489023088832202","0.97165251004824626512856866611400619149208069"
"ora","LHX2","HVL_TOR10","0.095865523061547664","0.80192633710232374966153656714595854282379150"
"ora","LYL1","HVL_TOR10","2.292934934675392000","0.00509407183933454060092982373930681205820292"
