"TF","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"SALL1","SALL1","2/16","0.01444526985768049","0.9445867620173688","0","0","12.2695652173913032","51.99091165044830376019","SOX2;POU5F1"
"NR2F2","NR2F2","2/22","0.02657133979638212","0.9445867620173688","0","0","8.5860869565217399","31.14965458195732495028","BCL11B;POU5F1"
"TFEB","TFEB","1/4","0.04560200054755117","0.9445867620173688","0","0","28.5209235209235210","88.06701294052062678475","POU5F1"
"NACC1","NACC1","2/31","0.04998698967790485","0.9445867620173688","0","0","5.9187406296851570","17.73250261798890647924","SOX2;POU5F1"
"CUX1","CUX1","2/33","0.05591661990087563","0.9445867620173688","0","0","5.5363253856942496","15.96617350315092487278","SOX2;TLE4"
"ZNF143","ZNF143","1/5","0.05667520572104212","0.9445867620173688","0","0","21.3896103896103895","61.39713235963334625467","POU5F1"
"RCOR2","RCOR2","1/6","0.06762048644493719","0.9660069492133884","0","0","17.1108225108225120","46.09389148248787648754","POU5F1"
"MYBL1","MYBL1","1/8","0.08913314087389414","0.9911776601512780","0","0","12.2207792207792192","29.54524990317953481167","LIN37"
"TET1","TET1","1/9","0.09970340644401664","0.9911776601512780","0","0","10.6926406926406923","24.65247587044531130118","POU5F1"
"ZNF263","ZNF263","1/13","0.14077703442662121","0.9911776601512780","0","0","7.1269841269841274","13.97300797445884867898","EFEMP2"
"SMARCB1","SMARCB1","3/116","0.15214902570128749","0.9911776601512780","0","0","2.2786644510569229","4.29048545996839969519","SOX2;POU5F1;CHFR"
"CTCF","CTCF","2/60","0.15362690966162432","0.9911776601512780","0","0","2.9550224887556222","5.53543169546102298284","CDKN1B;RPL36A"
"SIRT6","SIRT6","1/15","0.16060866952051434","0.9911776601512780","0","0","6.1082251082251080","11.17062738122867138202","POU5F1"
"PAX5","PAX5","1/16","0.17035290305095935","0.9911776601512780","0","0","5.7007215007215004","10.08961060394310926824","TLE4"
"HNF4G","HNF4G","1/16","0.17035290305095935","0.9911776601512780","0","0","5.7007215007215004","10.08961060394310926824","TNNI2"
"ZFP42","ZFP42","1/20","0.20821636927490125","0.9911776601512780","0","0","4.4996582365003421","7.06076247614679974873","POU5F1"
"ZEB1","ZEB1","1/20","0.20821636927490125","0.9911776601512780","0","0","4.4996582365003421","7.06076247614679974873","SOX2"
"CEBPZ","CEBPZ","1/22","0.22649781019206117","0.9911776601512780","0","0","4.0707070707070709","6.04508142282017768565","LAG3"
"GFI1B","GFI1B","2/80","0.23755546843367384","0.9911776601512780","0","0","2.1950947603121516","3.15512852271735422249","EFEMP2;DZANK1"
"PHC1","PHC1","1/25","0.25313488404441176","0.9911776601512780","0","0","3.5613275613275612","4.89266859324051850422","POU5F1"
"NFYB","NFYB","1/25","0.25313488404441176","0.9911776601512780","0","0","3.5613275613275612","4.89266859324051850422","MAOB"
"CHD7","CHD7","1/26","0.26180934964878444","0.9911776601512780","0","0","3.4187012987012988","4.58153395925623740936","SOX2"
"NANOG","NANOG","3/160","0.28401487508906448","0.9911776601512780","0","0","1.6363863933468694","2.05976646051540379645","SOX2;TUBB2B;POU5F1"
"KLF4","KLF4","1/31","0.30369977779639079","0.9911776601512780","0","0","2.8481962481962482","3.39424001073645742466","POU5F1"
"NR0B1","NR0B1","1/33","0.31978541060614141","0.9911776601512780","0","0","2.6699134199134198","3.04398190657893685795","POU5F1"
"ETS2","ETS2","1/34","0.32768892792749360","0.9911776601512780","0","0","2.5888757706939525","2.88838413170158414545","POU5F1"
