"TF","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"SUZ12","SUZ12 CHEA","79/1684","0.000000001880590171507292","0.0000001918201974937438","0","0","2.2624075405383817","45.455568760215278700798","SLC44A5;GDA;RASGRF1;RASEF;RORA;BACH2;FOXQ1;ALCAM;CALB1;UBASH3B;FGF9;HOXA3;SOX8;PHLDA2;PCDHAC2;PRKCH;GPR37;TRPC6;UNC5B;TMEM178A;LIMCH1;ATG9B;EBF2;RTN4RL2;FOXL1;FRMD3;BCAN;HOXB9;LTB4R2;RTN4RL1;CDC42EP3;SIDT1;CDH13;HOXB2;PRKD1;HOXB8;PHLDB2;HOXB6;NGEF;HOXB5;GRAMD1B;FOXC2;PLEKHH2;CAMK2D;SEMA3C;SATB1;AMIGO2;TACSTD2;NTN4;DNAJC22;NEXN;NRXN2;EFNA5;PCDH18;SLC7A2;EFNB2;DLL4;NT5E;P2RY2;COBLL1;SLC25A21;IGFBP6;NTSR1;NTRK2;EGR3;EGR4;FZD8;HMGA2;SNX22;ARID3C;BMP7;DHRS3;FOSL1;TMEM158;CAMK4;SP5;CD24;MDGA1;SDK2"
"EZH2","EZH2 CHEA","17/237","0.000047510577386017744858","0.0024230394466869050081","0","0","3.3013576025744169","32.863556360504681208567","PRKCH;EGR4;EBF2;NRXN2;ARID3C;DHRS3;FOXQ1;BCAN;HOXB9;FGF9;CAMK4;ESRP1;HOXB8;CD24;HOXB6;SDK2;HOXB5"
"NFE2L2","NFE2L2 CHEA","44/1022","0.000079107843207432384700","0.0026896666690527011069","0","0","1.9639889329965112","18.549283393343781511931","EHF;ECM1;KHDRBS3;MAML2;SYNPO2;ZBTB20;LAMC2;PTPRK;EFNA5;TFPI;AREG;RND3;SYNE1;RASGRP3;FOXQ1;EFNB2;SOCS3;TUBB3;CA2;AKT3;IGFBP7;ENPP5;ARRDC4;GSTM2;EGLN3;JAG1;UNC5B;STYK1;FN1;ARAP2;SERPINB9;SNX22;RGMB;OXR1;CLDN4;MARCKS;COL1A2;GIPC2;CDC42EP3;DPYD;ALDH1A1;PI15;SGK1;SYNC"
"SOX2","SOX2 CHEA","35/775","0.000176667037382144262924","0.0045050094532446786910","0","0","2.0478421970357452","17.695903569122105380984","ARL6;TXNDC12;FBLN1;TFPI;CALB2;DLL4;SOCS3;CALD1;UPP1;JARID2;PDLIM5;SLC38A4;ZNF585A;TLE4;TLE3;GSTM2;EGLN3;JAG1;EGR3;JUP;MYO10;ITGA1;FN1;PIPOX;RNASE4;RHOF;BMP7;TMEM154;MLLT11;SLC7A5;CLDN4;GJB3;CDH13;EPHA1;CD24"
"FOSL2","FOSL2 ENCODE","14/196","0.000227264124372119372076","0.0046361881371912343555","0","0","3.2711749788672866","27.443187756945953026388","KLF10;KRT80;TES;TNFRSF12A;RNASE4;RHOBTB2;SBK3;BFSP1;TUBB3;ASB9;STAT6;IGFBP6;UPP1;RIN1"
"SMAD4","SMAD4 CHEA","28/584","0.000304232043466156492923","0.0051719447389246605423","0","0","2.1668379582048645","17.546446739060201025495","SLC44A5;TES;AMIGO2;CLDN1;SYNE1;ALCAM;ENOSF1;MAP7;REPS2;PMEPA1;PIP5K1B;FLNB;SLC25A21;SYNPO;TLE3;JAG1;SMOX;LIMCH1;TMEM132B;FZD8;PIPOX;HMGA2;C1ORF21;DHRS3;DLC1;CDC42EP3;SHANK2;CREB5"
"TRIM28","TRIM28 CHEA","13/210","0.001427388250730207133396","0.0207990859392115888526","0","0","2.7979116573158787","18.331662296535050415969","JAG1;MYO10;UNC5B;FZD8;NRXN2;FOXL1;HIF1A;BMP7;EFNB2;SLC7A5;GPC3;IGFBP7;INHA"
"AR","AR CHEA","41/1095","0.002170754695635648909985","0.0276771223693545245781","0","0","1.6793102378123392","10.298672957249442205807","EHF;CXCL8;MAML2;RASGRF1;RORA;STKLD1;ADRB2;IQGAP2;EFNA5;RND3;NCALD;SOCS3;SH3BGRL;PDE11A;TRIM2;COBLL1;UPP1;PDLIM5;TLE4;JAG1;SPINK5;HPCAL1;FZD8;EBF2;HMGA2;C1ORF21;NEB;RGMB;CDYL2;DHRS3;SYTL2;GULP1;FRMD3;CDC42EP3;ALDH1A1;CDH13;APBA1;SPRY1;PRKD1;EPHA1;PHLDB2"
"TP53","TP53 CHEA","16/319","0.003723525054480032129428","0.0421999506174403626879","0","0","2.2413685077116985","12.536163378786792321762","NTRK2;CAMK2D;JAG1;UNC5B;PLK2;DNAJC22;RORA;ADRB2;FOXL1;SYNE1;FOSL1;CALD1;CDC42EP3;GCNT2;GPC3;SYNC"
"TCF3","TCF3 CHEA","37/1006","0.004701281170907703650663","0.0479530679432585704713","0","0","1.6406614302641134","8.793814370730927976183","SATB1;FBXO27;NRXN2;RHOBTB2;DLL4;SOCS3;NT5E;LURAP1L;GCNT2;UPP1;TBL1X;JARID2;SLC38A4;TLE3;JAG1;UNC5B;FN1;LHFPL5;FZD8;PIPOX;IFFO2;RHOF;RGMB;CLDN4;MARCKS;XKR9;GJB3;ESRP1;DLC1;CDC42EP3;CDH13;SPRY1;LHX4;RAPGEF5;EPHA1;SGK1;HOXB6"
"PPARD","PPARD CHEA","14/285","0.007669542575694558543542","0.0711175766109859164299","0","0","2.1867726369571390","10.650672418421647691389","KLF10;CAMK2D;MAML2;SMOX;IFFO2;NEXN;IL1RAP;FOXL1;SDCBP2;ZNF827;RASA3;TXNIP;FLNB;SLC38A4"
"NANOG","NANOG CHEA","23/595","0.013709895471176455211681","0.1165341115049998849118","0","0","1.7092767098372481","7.332177318068923810301","TLE4;TLE3;CERKL;ZNF296;EGLN3;FBXO27;ITGA1;FZD8;PIPOX;SLC2A3;RHOF;DHRS3;SOCS3;LURAP1L;GJB3;TRIM2;MAP7;SPNS1;UPP1;TBL1X;JARID2;SGK1;C16ORF74"
"TP63","TP63 CHEA","45/1399","0.019434762824320016283419","0.1524881390831262784058","0","0","1.4247878403611940","5.614649927783868399445","EHF;MAML2;RASEF;TACSTD2;IL20RB;NRXN2;LAMC2;BACH2;EFNB2;BAIAP2L2;ALCAM;FGF9;ZNF827;PSD3;HSD17B2;BDKRB1;SFN;UPP1;C16ORF74;SLC38A4;TLE4;UNC13A;JAG1;JUP;MYO10;LAMB3;KCNIP2;CCDC14;MYH15;HPCAL1;IFFO2;INHBA;BMP7;NFATC4;TMEM154;FOSL1;CDC42EP3;NME9;DOK7;ARHGEF4;RAPGEF5;SGK1;MET;DSC2;CHST3"
"RAD21","RAD21 ENCODE","41/1265","0.022487802595878694789100","0.1638397046271162227349","0","0","1.4327679280434915","5.437042263904625194471","MAML2;ZNF491;SYNPO2;AMIGO2;ZNF20;NRXN2;CLDN1;RND3;EFNB2;SOCS3;PDE11A;CA2;ANKRD31;CHST13;FLNB;STAT6;HBQ1;IGFBP6;SEC31B;UNC5CL;JAG1;PLK2;MYEOV;TRAPPC5;STYK1;MYO7A;RHOF;RGMB;PCDHB10;MARCKS;IL6;COL1A2;RNF224;XKR9;TMEM158;RTN4RL1;CD8A;APBA1;TLR6;RIN1;MET"
"KLF4","KLF4 CHEA","32/987","0.040574845939775630587754","0.2759089523904743046501","0","0","1.4243521391687732","4.564488782251256537847","ZNF296;ANKRD37;FBXO27;DNAJC22;SLC2A3;EFNA5;EFNB2;DLL4;SOCS3;CLN3;TUBB3;CA2;STAT6;ZNF524;TBL1X;JARID2;PDLIM5;UNC13A;FN1;PIPOX;RHOF;SERPINB5;HYPK;NFATC4;MLLT11;CLDN4;TUBB2A;VGF;TXNIP;TRIM59;SGK1;HOXB5"
"GATA2","GATA2 CHEA","25/772","0.065475359662929541459953","0.4174054178511758528280","0","0","1.4158737050303316","3.859786965617998610867","INO80C;KRT80;KLHDC7A;NR3C1;FSTL1;CXCL2;P2RY2;GCNT2;HIVEP1;PIP5K1B;JARID2;SYNPO;TLE3;EGLN3;JUP;DHRS3;EHD1;SLC7A5;RASA3;DLC1;TXNIP;RAPGEF5;SYNC;MGLL;SHANK2"
"POU5F1","POU5F1 CHEA","10/261","0.088591605809117471292957","0.5315496348547048555133","0","0","1.6734803704571692","4.056044778371628467539","TLE4;CLDN4;GJB3;GCNT2;PIPOX;UPP1;JARID2;SGK1;DNAI1;HOXB6"
"EZH2","EZH2 ENCODE","12/338","0.102258820110995143903843","0.5582478944700729472927","0","0","1.5468982830140554","3.527312068004569312052","PRKCG;FRMD3;UNC13A;CD8A;MAK;NTN4;TINCR;RTN4RL2;IQGAP2;JARID2;KIAA0319;HCN2"
"ZEB1","ZEB1 ENCODE","5/106","0.103987352891484183259330","0.5582478944700729472927","0","0","2.0730198019801982","4.692251287166595119515","DLL4;JUP;MAP7;EPHA1;NFATC4"
"SALL4","SALL4 CHEA","12/355","0.132251282136684106260915","0.6744815388970890612796","0","0","1.4689284278888173","2.971717879256859706771","HMGN5;LURAP1L;UNC5B;GIPC2;GCNT2;NRXN2;RHOF;PHLDB2;OXR1;BACH2;DHRS3;ZNF585A"
"ESR1","ESR1 CHEA","6/154","0.154387503693509287039376","0.7498821607970450608960","0","0","1.6971863872511821","3.170835641421652084659","PLEKHH2;SERPINA1;SEMA3C;RASEF;PDK4;BMP7"
"BHLHE40","BHLHE40 ENCODE","11/348","0.196401931017626152353728","0.8790706703661756993284","0","0","1.3679266064556257","2.226426471079864466418","KLF10;SLC7A5;CLN3;ZNF296;ANKRD37;CAMK2D;DNAAF1;STAT6;TBL1X;CDH15;HIF1A"
"EGR1","EGR1 CHEA","10/315","0.207160335582826704570181","0.8790706703661756993284","0","0","1.3733347619557841","2.161989027735679691489","NT5E;SERPINA1;MAML2;JUP;TNFRSF12A;CALD1;SLC11A1;HSD17B2;MAP7;ZBTB20"
"FOXA1","FOXA1 ENCODE","7/205","0.207324230333830322736688","0.8790706703661756993284","0","0","1.4794153657790019","2.327817738690387994183","MTNR1A;CXCL8;CALD1;TBL1X;RAPGEF5;BACH2;DHRS3"
