"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ENRICHR","TRRUST","CollecTRI"
"1","E2F4","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.333333333333333","1","6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=3); Enrichr--Queries(rank=76); ARCHS4--Coexpression(rank=209); GTEx--Coexpression(rank=1015)","33","rank=1; score=5524.7; p=2.123e-95; adjP=2.1018e-93","rank=2; score=7.9716; p=1.0675e-08","rank=1; score=12.111; p=9.224e-34; direction=Repressed"
"2","E2F1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.333333333333333","1","6","GTEx--Coexpression(rank=2); Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=14); ARCHS4--Coexpression(rank=15); ENCODE--ChIP-seq(rank=21)","4","rank=4; score=229.78; p=7.0575e-21; adjP=1.0092e-18","rank=1; score=9.722; p=1.8968e-10","rank=2; score=4; p=6.334e-05; direction=Repressed"
"3","MYC","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.333333333333333","2","6","Literature--ChIP-seq(rank=7); ENCODE--ChIP-seq(rank=15); ReMap--ChIP-seq(rank=47); Enrichr--Queries(rank=85); ARCHS4--Coexpression(rank=116); GTEx--Coexpression(rank=471)","156","rank=2; score=39.407; p=5.7306e-08; adjP=3.1518e-06","rank=9; score=2.7416; p=0.0018132","rank=5; score=3.3494; p=0.00080993; direction=Repressed"
"4","E2F3","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.333333333333333","3","3","ARCHS4--Coexpression(rank=27); Enrichr--Queries(rank=28); GTEx--Coexpression(rank=1226)","56","rank=6; score=725.08; p=3.9105e-07; adjP=1.9683e-05","rank=3; score=6.4077; p=3.9109e-07","rank=10; score=3.1072; p=0.0018886; direction=Repressed"
"5","FOXO3","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","32.000000000000000","6","4","Literature--ChIP-seq(rank=21); GTEx--Coexpression(rank=876); Enrichr--Queries(rank=898); ARCHS4--Coexpression(rank=1322)","461","rank=70; score=37.136; p=0.010985; adjP=0.12084","rank=20; score=1.6612; p=0.021818","rank=6; score=3.3344; p=0.00085487; direction=Activated"
"6","TP53","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.666666666666671","4","5","ARCHS4--Coexpression(rank=22); Literature--ChIP-seq(rank=84); GTEx--Coexpression(rank=96); Enrichr--Queries(rank=105); ReMap--ChIP-seq(rank=125)","45","rank=8; score=85.44; p=1.4011e-06; adjP=5.2893e-05","rank=4; score=5.8535; p=1.4013e-06","rank=107; score=1.4968; p=0.13445; direction=Repressed"
"7","NFYA","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","40.666666666666664","10","5","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=10); GTEx--Coexpression(rank=88); Enrichr--Queries(rank=187); ARCHS4--Coexpression(rank=224)","91","rank=10; score=337.59; p=1.2136e-29; adjP=3.0036e-28","rank=67; score=0.64353; p=0.22723","rank=45; score=1.8411; p=0.065612; direction=Repressed"
"8","YBX1","ENRICHR;TRRUST;CollecTRI","4","ChEA3;ENRICHR;TRRUST;CollecTRI","48.000000000000000","5","3","ARCHS4--Coexpression(rank=79); GTEx--Coexpression(rank=144); Enrichr--Queries(rank=223)","181","rank=11; score=259.75; p=1.9031e-06; adjP=5.7475e-05","rank=5; score=5.7205; p=1.9033e-06","rank=128; score=1.3962; p=0.16265; direction=Repressed"
"9","ARID3A","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","55.000000000000000","32","5","ENCODE--ChIP-seq(rank=68); ReMap--ChIP-seq(rank=189); GTEx--Coexpression(rank=312); Enrichr--Queries(rank=621); ARCHS4--Coexpression(rank=1021)","690","rank=98; score=40.227; p=0.074393; adjP=0.21107","rank=35; score=1.1285; p=0.074393","rank=32; score=1.9798; p=0.04773; direction=Repressed"
"10","FOXM1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","59.666666666666664","3","6","ENCODE--ChIP-seq(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=5)","2","rank=3; score=18370; p=7.7682e-103; adjP=5.5543e-100","rank=64; score=0.70608; p=0.19675","rank=112; score=1.4753; p=0.14014; direction=Repressed"
