"TF","Score","Activity_Score_Mean","Method_P_Value","Condition_Scores","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"E2F4","12.111108136544164182","-12.111108136544164182","0.000000000000000000000000000000000922395091837443","HMVL_ALL=-12.11","Repressed","1","collectri","1","12.111108136544164182",NA,"6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=3); Enrichr--Queries(rank=76); ARCHS4--Coexpression(rank=209); GTEx--Coexpression(rank=1015)","33","0.01010000000000000","ReMap ChIP-seq,0.0101"
"E2F1","4.000010726361020730","-4.000010726361020730","0.000063339612705196445398107829571898719223099761","HMVL_ALL=-4","Repressed","2","collectri","2","4.000010726361020730",NA,"6","GTEx--Coexpression(rank=2); Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=14); ARCHS4--Coexpression(rank=15); ENCODE--ChIP-seq(rank=21)","4","0.00124500000000000","GTEx Coexpression,0.001245"
"SRSF2","3.863995900944428907","-3.863995900944428907","0.000111547093884246101952971430559813370564370416","HMVL_ALL=-3.864","Repressed","3","collectri","3","3.863995900944428907",NA,"0","",NA,NA,NA
"IKZF4","3.434418265014046678","3.434418265014046678","0.000593827126697253388117048178429513427545316517","HMVL_ALL=3.434","Activated","4","collectri","4","3.434418265014046678",NA,"3","Enrichr--Queries(rank=608); ARCHS4--Coexpression(rank=808); GTEx--Coexpression(rank=1253)","1256","0.43300000000000000","Enrichr Queries,0.433"
"MYC","3.349379218446030482","-3.349379218446030482","0.000809928594474025251304105665894894627854228020","HMVL_ALL=-3.349","Repressed","5","collectri","5","3.349379218446030482",NA,"6","Literature--ChIP-seq(rank=7); ENCODE--ChIP-seq(rank=15); ReMap--ChIP-seq(rank=47); Enrichr--Queries(rank=85); ARCHS4--Coexpression(rank=116); GTEx--Coexpression(rank=471)","156","0.04268000000000000","Literature ChIP-seq,0.04268"
"FOXO3","3.334388556092628964","3.334388556092628964","0.000854871488894412903669639547388214850798249245","HMVL_ALL=3.334","Activated","6","collectri","6","3.334388556092628964",NA,"4","Literature--ChIP-seq(rank=21); GTEx--Coexpression(rank=876); Enrichr--Queries(rank=898); ARCHS4--Coexpression(rank=1322)","461","0.12800000000000000","Literature ChIP-seq,0.128"
"HCFC1","3.270310466060899923","-3.270310466060899923","0.001074295066405276744339603034461561037460342050","HMVL_ALL=-3.27","Repressed","7","collectri","7","3.270310466060899923",NA,"0","",NA,NA,NA
"ARID3B","3.267536639112913033","-3.267536639112913033","0.001084878229717538234908036365311545523582026362","HMVL_ALL=-3.268","Repressed","8","collectri","8","3.267536639112913033",NA,"2","GTEx--Coexpression(rank=114); ARCHS4--Coexpression(rank=280)","266","0.07094000000000000","GTEx Coexpression,0.07094"
"HOXB3","3.252796526058592264","-3.252796526058592264","0.001142752943989938868921130143974096426973119378","HMVL_ALL=-3.253","Repressed","9","collectri","9","3.252796526058592264",NA,"3","GTEx--Coexpression(rank=499); ARCHS4--Coexpression(rank=1044); Enrichr--Queries(rank=1120)","1012","0.31050000000000000","GTEx Coexpression,0.3105"
"E2F3","3.107220356562565122","-3.107220356562565122","0.001888555679181757370604932688706867338623851538","HMVL_ALL=-3.107","Repressed","10","collectri","10","3.107220356562565122",NA,"3","ARCHS4--Coexpression(rank=27); Enrichr--Queries(rank=28); GTEx--Coexpression(rank=1226)","56","0.01658000000000000","ARCHS4 Coexpression,0.01658"
"SMARCA1","2.881916339920708392","-2.881916339920708392","0.003952646641272452437965156946120259817689657211","HMVL_ALL=-2.882","Repressed","11","collectri","11","2.881916339920708392",NA,"0","",NA,NA,NA
"IRF9","2.729136555671151765","2.729136555671151765","0.006350040260309235476410272269731649430468678474","HMVL_ALL=2.729","Activated","12","collectri","12","2.729136555671151765",NA,"4","ReMap--ChIP-seq(rank=116); ARCHS4--Coexpression(rank=979); Enrichr--Queries(rank=1025); GTEx--Coexpression(rank=1114)","1179","0.39060000000000000","ReMap ChIP-seq,0.3906"
"MSC","2.693484800796937861","-2.693484800796937861","0.007070936933286378622831591655994998291134834290","HMVL_ALL=-2.693","Repressed","13","collectri","13","2.693484800796937861",NA,"3","GTEx--Coexpression(rank=102); Enrichr--Queries(rank=1266); ARCHS4--Coexpression(rank=1476)","239","0.06347000000000000","GTEx Coexpression,0.06347"
"FOXH1","2.435699213340151381","-2.435699213340151381","0.014863037889000004637685137254266010131686925888","HMVL_ALL=-2.436","Repressed","14","collectri","14","2.435699213340151381",NA,"3","Enrichr--Queries(rank=224); ARCHS4--Coexpression(rank=372); GTEx--Coexpression(rank=1082)","572","0.15950000000000000","Enrichr Queries,0.1595"
"KLF7","2.348035476601087801","2.348035476601087801","0.018872723640381602883131506587233161553740501404","HMVL_ALL=2.348","Activated","15","collectri","15","2.348035476601087801",NA,"3","ARCHS4--Coexpression(rank=551); Enrichr--Queries(rank=903); GTEx--Coexpression(rank=1561)","1072","0.33850000000000002","ARCHS4 Coexpression,0.3385"
"ZNF331","2.334442746449943762","-2.334442746449943762","0.019572550694473420801466900798004644457250833511","HMVL_ALL=-2.334","Repressed","16","collectri","16","2.334442746449943762",NA,"3","Enrichr--Queries(rank=702); ARCHS4--Coexpression(rank=1287); GTEx--Coexpression(rank=1576)","1374","0.50000000000000000","Enrichr Queries,0.5"
"RREB1","2.334399388027232458","-2.334399388027232458","0.019574818808742958792246113830515241716057062149","HMVL_ALL=-2.334","Repressed","17","collectri","17","2.334399388027232458",NA,"3","Enrichr--Queries(rank=928); ARCHS4--Coexpression(rank=1005); GTEx--Coexpression(rank=1303)","1503","0.61729999999999996","ARCHS4 Coexpression,0.6173"
"TBX6","2.326100048174364776","2.326100048174364776","0.020013213989093944084052267839979322161525487900","HMVL_ALL=2.326","Activated","18","collectri","18","2.326100048174364776",NA,"3","ARCHS4--Coexpression(rank=788); Enrichr--Queries(rank=1000); GTEx--Coexpression(rank=1334)","1344","0.48399999999999999","ARCHS4 Coexpression,0.484"
"ZBTB33","2.284714167924994932","2.284714167924994932","0.022329593327185107143328934853343525901436805725","HMVL_ALL=2.285","Activated","19","collectri","19","2.284714167924994932",NA,"5","ENCODE--ChIP-seq(rank=49); ReMap--ChIP-seq(rank=72); GTEx--Coexpression(rank=249); ARCHS4--Coexpression(rank=258); Enrichr--Queries(rank=427)","557","0.15490000000000001","GTEx Coexpression,0.1549"
"E2F5","2.208201287100441501","-2.208201287100441501","0.027230244724853545912335306411478086374700069427","HMVL_ALL=-2.208","Repressed","20","collectri","20","2.208201287100441501",NA,"4","ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=56); ARCHS4--Coexpression(rank=177); GTEx--Coexpression(rank=1162)","20","0.00673400000000000","ReMap ChIP-seq,0.006734"
"ZBTB17","2.166019668653897057","-2.166019668653897057","0.030309683980069151293390561363594315480440855026","HMVL_ALL=-2.166","Repressed","21","collectri","21","2.166019668653897057",NA,"3","GTEx--Coexpression(rank=583); ARCHS4--Coexpression(rank=1391); Enrichr--Queries(rank=1397)","1122","0.36280000000000001","GTEx Coexpression,0.3628"
"CREB5","2.147340391933780346","2.147340391933780346","0.031766192379754878971631626427551964297890663147","HMVL_ALL=2.147","Activated","22","collectri","22","2.147340391933780346",NA,"3","Enrichr--Queries(rank=1126); GTEx--Coexpression(rank=1201); ARCHS4--Coexpression(rank=1426)","1579","0.74739999999999995","GTEx Coexpression,0.7474"
"SP7","2.139586413704909873","2.139586413704909873","0.032388205560161968665777720843834686093032360077","HMVL_ALL=2.14","Activated","23","collectri","23","2.139586413704909873",NA,"3","GTEx--Coexpression(rank=634); Enrichr--Queries(rank=801); ARCHS4--Coexpression(rank=860)","1186","0.39450000000000002","GTEx Coexpression,0.3945"
"OLIG2","2.137522316910004161","-2.137522316910004161","0.032555532549382537599313991449889726936817169189","HMVL_ALL=-2.138","Repressed","24","collectri","24","2.137522316910004161",NA,"4","Literature--ChIP-seq(rank=100); GTEx--Coexpression(rank=596); Enrichr--Queries(rank=1075); ARCHS4--Coexpression(rank=1588)","1136","0.37090000000000001","GTEx Coexpression,0.3709"
"HSF2","2.097332862120560026","-2.097332862120560026","0.035964119758406333515754482732518226839601993561","HMVL_ALL=-2.097","Repressed","25","collectri","25","2.097332862120560026",NA,"3","Enrichr--Queries(rank=151); GTEx--Coexpression(rank=1021); ARCHS4--Coexpression(rank=1562)","394","0.10750000000000000","Enrichr Queries,0.1075"
"ZNF143","2.088940397376081837","-2.088940397376081837","0.036713088779922069260219785746812704019248485565","HMVL_ALL=-2.089","Repressed","26","collectri","26","2.088940397376081837",NA,"5","ReMap--ChIP-seq(rank=20); ENCODE--ChIP-seq(rank=27); Enrichr--Queries(rank=149); ARCHS4--Coexpression(rank=608); GTEx--Coexpression(rank=895)","253","0.06734000000000000","ReMap ChIP-seq,0.06734"
"TFAM","2.086237476511673350","-2.086237476511673350","0.036957117068077839638906567643061862327158451080","HMVL_ALL=-2.086","Repressed","27","collectri","27","2.086237476511673350",NA,"0","",NA,NA,NA
"ESRRG","2.022336265533873689","2.022336265533873689","0.043141624501715901407461473127114004455506801605","HMVL_ALL=2.022","Activated","28","collectri","28","2.022336265533873689",NA,"3","ARCHS4--Coexpression(rank=213); Enrichr--Queries(rank=637); GTEx--Coexpression(rank=1542)","471","0.13080000000000000","ARCHS4 Coexpression,0.1308"
"ZNF300","1.998693976416583862","1.998693976416583862","0.045641475152298605078016180414124391973018646240","HMVL_ALL=1.999","Activated","29","collectri","29","1.998693976416583862",NA,"3","Enrichr--Queries(rank=53); ARCHS4--Coexpression(rank=1202); GTEx--Coexpression(rank=1558)","138","0.03775000000000000","Enrichr Queries,0.03775"
"APEX1","1.984215394592863779","-1.984215394592863779","0.047231833095252639953542939110775478184223175049","HMVL_ALL=-1.984","Repressed","30","collectri","30","1.984215394592863779",NA,"0","",NA,NA,NA
"FEV","1.983671783812528844","1.983671783812528844","0.047292441047786161478772015698268660344183444977","HMVL_ALL=1.984","Activated","31","collectri","31","1.983671783812528844",NA,"3","Enrichr--Queries(rank=1060); ARCHS4--Coexpression(rank=1395); GTEx--Coexpression(rank=1572)","1585","0.75500000000000000","Enrichr Queries,0.755"
"ARID3A","1.979762460318587047","-1.979762460318587047","0.047730226411883354409315671773583744652569293976","HMVL_ALL=-1.98","Repressed","32","collectri","32","1.979762460318587047",NA,"5","ENCODE--ChIP-seq(rank=68); ReMap--ChIP-seq(rank=189); GTEx--Coexpression(rank=312); Enrichr--Queries(rank=621); ARCHS4--Coexpression(rank=1021)","690","0.19420000000000001","GTEx Coexpression,0.1942"
"KCNIP3","1.962233564980621514","-1.962233564980621514","0.049735297826224426909202946944787981919944286346","HMVL_ALL=-1.962","Repressed","33","collectri","33","1.962233564980621514",NA,"2","GTEx--Coexpression(rank=563); ARCHS4--Coexpression(rank=833)","1096","0.35030000000000000","GTEx Coexpression,0.3503"
"LMX1B","1.915489986887795260","1.915489986887795260","0.055430044905967763846366125335407559759914875031","HMVL_ALL=1.915","Activated","34","collectri","34","1.915489986887795260",NA,"3","GTEx--Coexpression(rank=305); ARCHS4--Coexpression(rank=747); Enrichr--Queries(rank=750)","677","0.18980000000000000","GTEx Coexpression,0.1898"
"CREM","1.901116616719265462","-1.901116616719265462","0.057286739563602744051973303385238978080451488495","HMVL_ALL=-1.901","Repressed","35","collectri","35","1.901116616719265462",NA,"5","Literature--ChIP-seq(rank=13); ReMap--ChIP-seq(rank=178); GTEx--Coexpression(rank=355); Enrichr--Queries(rank=779); ARCHS4--Coexpression(rank=1512)","297","0.07926999999999999","Literature ChIP-seq,0.07927"
"RARA","1.879490090424231985","1.879490090424231985","0.060177605353367358276273080264218151569366455078","HMVL_ALL=1.879","Activated","36","collectri","36","1.879490090424231985",NA,"5","Literature--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=77); GTEx--Coexpression(rank=828); Enrichr--Queries(rank=845); ARCHS4--Coexpression(rank=1308)","882","0.25929999999999997","ReMap ChIP-seq,0.2593"
