"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR"
"1","FOXM1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.5","5","6","GTEx--Coexpression(rank=2); ENCODE--ChIP-seq(rank=7); Enrichr--Queries(rank=11); Literature--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=223); ARCHS4--Coexpression(rank=1448)","5","rank=5; score=0.001245","rank=14; score=41.684; p=1.7416e-05; adjP=0.003222"
"2","SRY","ChEA3;ENRICHR","4","ChEA3;ENRICHR;TRRUST;CollecTRI","16.5","9","4","Literature--ChIP-seq(rank=1); Enrichr--Queries(rank=575); ARCHS4--Coexpression(rank=1109); GTEx--Coexpression(rank=1257)","24","rank=24; score=0.006098","rank=9; score=20.704; p=3.4838e-06; adjP=0.00085935"
"3","E2F4","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","18.0","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=21); ARCHS4--Coexpression(rank=1336); Enrichr--Queries(rank=1369); GTEx--Coexpression(rank=1525)","35","rank=35; score=0.008475","rank=1; score=36.668; p=0.00012026; adjP=0.012267"
"4","MYBL2","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","18.0","13","6","Enrichr--Queries(rank=8); GTEx--Coexpression(rank=9); ENCODE--ChIP-seq(rank=105); Literature--ChIP-seq(rank=123); ReMap--ChIP-seq(rank=204); ARCHS4--Coexpression(rank=1010)","23","rank=23; score=0.0056","rank=13; score=16.819; p=0.014425; adjP=0.51938"
"5","KLF5","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","25.0","23","5","ReMap--ChIP-seq(rank=2); Literature--ChIP-seq(rank=53); ARCHS4--Coexpression(rank=61); GTEx--Coexpression(rank=231); Enrichr--Queries(rank=357)","27","rank=27; score=0.006734","rank=23; score=49.239; p=0.0062224; adjP=0.25304"
"6","NR2F2","ChEA3;ENRICHR","5","DoRothEA;ChEA3;ENRICHR;TRRUST;CollecTRI","26.5","18","5","ARCHS4--Coexpression(rank=7); ENCODE--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=81); Enrichr--Queries(rank=99); GTEx--Coexpression(rank=706)","18","rank=18; score=0.0043","rank=35; score=4.6801; p=0.079613; adjP=0.99999"
"7","MYBL1","ChEA3;ENRICHR","3","ChEA3;ENRICHR;CollecTRI","28.5","4","4","Enrichr--Queries(rank=18); Literature--ChIP-seq(rank=149); GTEx--Coexpression(rank=422); ARCHS4--Coexpression(rank=658)","53","rank=53; score=0.01282","rank=4; score=127.94; p=0.0013635; adjP=0.17726"
"8","SOX2","ChEA3;ENRICHR","5","DoRothEA;ChEA3;ENRICHR;TRRUST;CollecTRI","36.5","22","5","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=274); Enrichr--Queries(rank=598); ARCHS4--Coexpression(rank=1143); GTEx--Coexpression(rank=1421)","51","rank=51; score=0.0122","rank=22; score=15.977; p=5.4523e-05; adjP=0.0067245"
"9","E2F1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","38.0","14","6","GTEx--Coexpression(rank=5); Enrichr--Queries(rank=12); Literature--ChIP-seq(rank=17); ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=190); ARCHS4--Coexpression(rank=1469)","14","rank=14; score=0.003111","rank=62; score=7.5186; p=0.0053898; adjP=0.10919"
"10","NR3C1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.0","7","6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=76); Literature--ChIP-seq(rank=133); Enrichr--Queries(rank=600); GTEx--Coexpression(rank=949); ARCHS4--Coexpression(rank=1091)","75","rank=75; score=0.01695","rank=7; score=8.8611; p=0.013092; adjP=0.63157"
