"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","ENRICHR","TRRUST"
"1","E2F4","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.00","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=21); ARCHS4--Coexpression(rank=1336); Enrichr--Queries(rank=1369); GTEx--Coexpression(rank=1525)","35","rank=1; score=3.4892; p=0.00032422","rank=35; score=0.008475","rank=1; score=36.668; p=0.00012026; adjP=0.012267","rank=3; score=2.3382; p=0.0045902"
"2","KLF5","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","20.50","5","5","ReMap--ChIP-seq(rank=2); Literature--ChIP-seq(rank=53); ARCHS4--Coexpression(rank=61); GTEx--Coexpression(rank=231); Enrichr--Queries(rank=357)","27","rank=27; score=0.99293; p=0.10164","rank=27; score=0.006734","rank=23; score=49.239; p=0.0062224; adjP=0.25304","rank=5; score=2.206; p=0.0062225"
"3","FOXM1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.50","5","6","GTEx--Coexpression(rank=2); ENCODE--ChIP-seq(rank=7); Enrichr--Queries(rank=11); Literature--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=223); ARCHS4--Coexpression(rank=1448)","5","rank=6; score=1.732; p=0.018536","rank=5; score=0.001245","rank=14; score=41.684; p=1.7416e-05; adjP=0.003222","rank=109; score=0.39162; p=0.40586"
"4","SOX2","DoRothEA;ChEA3;ENRICHR;TRRUST","5","DoRothEA;ChEA3;ENRICHR;TRRUST;CollecTRI","51.25","12","5","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=274); Enrichr--Queries(rank=598); ARCHS4--Coexpression(rank=1143); GTEx--Coexpression(rank=1421)","51","rank=12; score=1.4586; p=0.034786","rank=51; score=0.0122","rank=22; score=15.977; p=5.4523e-05; adjP=0.0067245","rank=120; score=0.30957; p=0.49026"
"5","MYCN","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","56.75","3","5","Literature--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=38); Enrichr--Queries(rank=406); ARCHS4--Coexpression(rank=751); GTEx--Coexpression(rank=1246)","181","rank=3; score=2.206; p=0.0062225","rank=181; score=0.04268","rank=36; score=18.22; p=0.011076; adjP=0.30027","rank=7; score=1.9556; p=0.011076"
"6","MYBL2","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","57.00","13","6","Enrichr--Queries(rank=8); GTEx--Coexpression(rank=9); ENCODE--ChIP-seq(rank=105); Literature--ChIP-seq(rank=123); ReMap--ChIP-seq(rank=204); ARCHS4--Coexpression(rank=1010)","23","rank=127; score=0.24973; p=0.56269","rank=23; score=0.0056","rank=13; score=16.819; p=0.014425; adjP=0.51938","rank=65; score=0.66302; p=0.21726"
"7","IRF9","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","60.75","9","4","Enrichr--Queries(rank=35); GTEx--Coexpression(rank=97); ARCHS4--Coexpression(rank=100); ReMap--ChIP-seq(rank=237)","108","rank=77; score=0.51213; p=0.30752","rank=108; score=0.02493","rank=49; score=40.795; p=0.022523; adjP=0.44763","rank=9; score=1.6474; p=0.022523"
"8","STAT1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","62.00","9","6","ENCODE--ChIP-seq(rank=13); Literature--ChIP-seq(rank=23); GTEx--Coexpression(rank=26); Enrichr--Queries(rank=77); ReMap--ChIP-seq(rank=86); ARCHS4--Coexpression(rank=106)","70","rank=9; score=1.5157; p=0.030498","rank=70; score=0.01618","rank=24; score=6.7555; p=0.016316; adjP=0.20701","rank=145; score=0.13985; p=0.72468"
"9","ZBTB7A","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","64.25","53","5","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=5); GTEx--Coexpression(rank=364); ARCHS4--Coexpression(rank=649); Enrichr--Queries(rank=1133)","74","rank=74; score=0.54101; p=0.28773","rank=74; score=0.01684","rank=56; score=11.499; p=0.12085; adjP=0.51938","rank=53; score=0.77516; p=0.16782"
"10","NR3C1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","72.75","7","6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=76); Literature--ChIP-seq(rank=133); Enrichr--Queries(rank=600); GTEx--Coexpression(rank=949); ARCHS4--Coexpression(rank=1091)","75","rank=67; score=0.57878; p=0.26377","rank=75; score=0.01695","rank=7; score=8.8611; p=0.013092; adjP=0.63157","rank=142; score=0.16248; p=0.6879"
