"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST","CollecTRI"
"1","E2F4","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.333333333333333","1","6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=101); ARCHS4--Coexpression(rank=306); GTEx--Coexpression(rank=715)","20","rank=1; score=20.742; p=1.8133e-21","rank=2; score=6.6502; p=2.2379e-07","rank=1; score=7.244; p=4.3559e-13; direction=Repressed"
"2","E2F1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.000000000000000","1","6","GTEx--Coexpression(rank=5); ReMap--ChIP-seq(rank=7); Enrichr--Queries(rank=8); ARCHS4--Coexpression(rank=10); Literature--ChIP-seq(rank=10); ENCODE--ChIP-seq(rank=12)","12","rank=2; score=8.7711; p=1.6939e-09","rank=1; score=8.0024; p=9.9439e-09","rank=3; score=4.8012; p=1.5771e-06; direction=Repressed"
"3","TP53","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.666666666666667","3","5","ARCHS4--Coexpression(rank=17); Literature--ChIP-seq(rank=34); ReMap--ChIP-seq(rank=120); GTEx--Coexpression(rank=142); Enrichr--Queries(rank=201)","33","rank=5; score=6.5186; p=3.0299e-07","rank=3; score=6.1205; p=7.5772e-07","rank=6; score=3.5624; p=0.00036747; direction=Repressed"
"4","CDX2","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.000000000000000","14","5","ReMap--ChIP-seq(rank=38); Literature--ChIP-seq(rank=56); ARCHS4--Coexpression(rank=66); GTEx--Coexpression(rank=99); Enrichr--Queries(rank=1115)","154","rank=15; score=1.8447; p=0.014298","rank=28; score=1.4588; p=0.034769","rank=14; score=2.7927; p=0.0052278; direction=Activated"
"5","HNF1A","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","38.000000000000000","2","3","ARCHS4--Coexpression(rank=272); GTEx--Coexpression(rank=406); Enrichr--Queries(rank=638)","602","rank=68; score=0.69491; p=0.20188","rank=44; score=1.2237; p=0.05974","rank=2; score=5.0259; p=5.0103e-07; direction=Activated"
"6","E2F3","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.333333333333336","8","3","ARCHS4--Coexpression(rank=22); Enrichr--Queries(rank=30); GTEx--Coexpression(rank=666)","47","rank=59; score=0.76875; p=0.17031","rank=8; score=3.2594; p=0.00055024","rank=51; score=2.3431; p=0.019122; direction=Repressed"
"7","GATA6","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.333333333333336","10","5","Literature--ChIP-seq(rank=21); ReMap--ChIP-seq(rank=66); Enrichr--Queries(rank=208); ARCHS4--Coexpression(rank=372); GTEx--Coexpression(rank=1186)","482","rank=31; score=1.0796; p=0.083262","rank=10; score=2.9603; p=0.0010956","rank=77; score=1.9571; p=0.050335; direction=Activated"
"8","PPARA","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","45.000000000000000","22","3","ARCHS4--Coexpression(rank=569); Enrichr--Queries(rank=635); GTEx--Coexpression(rank=1328)","1103","rank=22; score=1.4588; p=0.034769","rank=78; score=0.73171; p=0.18548","rank=35; score=2.4785; p=0.013194; direction=Activated"
"9","USF2","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","55.333333333333336","27","5","ENCODE--ChIP-seq(rank=32); ReMap--ChIP-seq(rank=52); Enrichr--Queries(rank=1085); GTEx--Coexpression(rank=1297); ARCHS4--Coexpression(rank=1317)","627","rank=27; score=1.1837; p=0.065511","rank=70; score=0.87797; p=0.13244","rank=69; score=2.0366; p=0.041688; direction=Activated"
"10","IRF9","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","57.666666666666671","20","4","ARCHS4--Coexpression(rank=226); GTEx--Coexpression(rank=256); ReMap--ChIP-seq(rank=287); Enrichr--Queries(rank=343)","520","rank=20; score=1.5464; p=0.028416","rank=133; score=0.42229; p=0.37819","rank=20; score=2.5547; p=0.010629; direction=Activated"
