"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","E2F4","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.20000000000000","1","6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=101); ARCHS4--Coexpression(rank=306); GTEx--Coexpression(rank=715)","20","rank=1; score=20.742; p=1.8133e-21","rank=1; score=7.2723; direction=Repressed","rank=1; score=1790.7; p=3.7756e-95; adjP=3.9266e-93","rank=2; score=6.6502; p=2.2379e-07","rank=1; score=7.244; p=4.3559e-13; direction=Repressed"
"2","E2F1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.80000000000000","1","6","GTEx--Coexpression(rank=5); ReMap--ChIP-seq(rank=7); Enrichr--Queries(rank=8); ARCHS4--Coexpression(rank=10); Literature--ChIP-seq(rank=10); ENCODE--ChIP-seq(rank=12)","12","rank=2; score=8.7711; p=1.6939e-09","rank=15; score=3.3689; direction=Repressed","rank=3; score=120.53; p=1.0285e-24; adjP=1.5428e-22","rank=1; score=8.0024; p=9.9439e-09","rank=3; score=4.8012; p=1.5771e-06; direction=Repressed"
"3","CDX2","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","32.80000000000000","10","5","ReMap--ChIP-seq(rank=38); Literature--ChIP-seq(rank=56); ARCHS4--Coexpression(rank=66); GTEx--Coexpression(rank=99); Enrichr--Queries(rank=1115)","154","rank=15; score=1.8447; p=0.014298","rank=10; score=3.7919; direction=Activated","rank=97; score=10.198; p=0.023753; adjP=0.14051","rank=28; score=1.4588; p=0.034769","rank=14; score=2.7927; p=0.0052278; direction=Activated"
"4","TP53","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","45.20000000000000","3","5","ARCHS4--Coexpression(rank=17); Literature--ChIP-seq(rank=34); ReMap--ChIP-seq(rank=120); GTEx--Coexpression(rank=142); Enrichr--Queries(rank=201)","33","rank=5; score=6.5186; p=3.0299e-07","rank=207; score=0.55123; direction=Repressed","rank=5; score=46.151; p=7.5764e-07; adjP=9.5463e-05","rank=3; score=6.1205; p=7.5772e-07","rank=6; score=3.5624; p=0.00036747; direction=Repressed"
"5","E2F3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","49.20000000000000","8","3","ARCHS4--Coexpression(rank=22); Enrichr--Queries(rank=30); GTEx--Coexpression(rank=666)","47","rank=59; score=0.76875; p=0.17031","rank=109; score=1.5593; direction=Repressed","rank=19; score=76.976; p=0.00055022; adjP=0.025998","rank=8; score=3.2594; p=0.00055024","rank=51; score=2.3431; p=0.019122; direction=Repressed"
"6","NFYA","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","51.40000000000000","5","5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=13); GTEx--Coexpression(rank=112); ARCHS4--Coexpression(rank=512); Enrichr--Queries(rank=524)","126","rank=107; score=0.34887; p=0.44784","rank=24; score=3.0079; direction=Repressed","rank=6; score=91.497; p=1.2139e-19; adjP=4.2083e-18","rank=115; score=0.49224; p=0.32193","rank=5; score=3.7874; p=0.00015224; direction=Repressed"
"7","HNF1A","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","54.00000000000000","2","3","ARCHS4--Coexpression(rank=272); GTEx--Coexpression(rank=406); Enrichr--Queries(rank=638)","602","rank=68; score=0.69491; p=0.20188","rank=55; score=2.3144; direction=Activated","rank=101; score=10.339; p=0.00037426; adjP=0.0082556","rank=44; score=1.2237; p=0.05974","rank=2; score=5.0259; p=5.0103e-07; direction=Activated"
"8","GATA6","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","64.20000000000000","10","5","Literature--ChIP-seq(rank=21); ReMap--ChIP-seq(rank=66); Enrichr--Queries(rank=208); ARCHS4--Coexpression(rank=372); GTEx--Coexpression(rank=1186)","482","rank=31; score=1.0796; p=0.083262","rank=178; score=0.76594; direction=Activated","rank=25; score=89.424; p=0.0001044; adjP=0.0037287","rank=10; score=2.9603; p=0.0010956","rank=77; score=1.9571; p=0.050335; direction=Activated"
"9","FOXM1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","72.59999999999999","2","6","ENCODE--ChIP-seq(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=6)","2","rank=3; score=7.6649; p=2.1634e-08","rank=77; score=2.0136; direction=Repressed","rank=2; score=5779.7; p=2.2426e-84; adjP=1.6819e-81","rank=47; score=1.1487; p=0.071001","rank=234; score=1.3492; p=0.17727; direction=Repressed"
"10","USF1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","73.80000000000000","24","5","ReMap--ChIP-seq(rank=31); ENCODE--ChIP-seq(rank=62); GTEx--Coexpression(rank=577); Enrichr--Queries(rank=596); ARCHS4--Coexpression(rank=747)","395","rank=24; score=1.2825; p=0.052181","rank=72; score=2.0434; direction=Activated","rank=94; score=7.8818; p=0.032644; adjP=0.34303","rank=27; score=1.4862; p=0.032645","rank=152; score=1.616; p=0.1061; direction=Activated"
