"TF","Score","Activity_Score_Mean","Method_P_Value","Condition_Scores","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"E2F4","7.244015868295074156","-7.244015868295074156","0.0000000000004355904225772743","HMVL_TOR10=-7.244","Repressed","1","collectri","1","7.244015868295074156",NA,"6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=101); ARCHS4--Coexpression(rank=306); GTEx--Coexpression(rank=715)","20","0.006734000000000000","ReMap ChIP-seq,0.006734"
"HNF1A","5.025917011749844399","5.025917011749844399","0.0000005010325370343102592481","HMVL_TOR10=5.026","Activated","2","collectri","2","5.025917011749844399",NA,"3","ARCHS4--Coexpression(rank=272); GTEx--Coexpression(rank=406); Enrichr--Queries(rank=638)","602","0.167099999999999999","ARCHS4 Coexpression,0.1671"
"E2F1","4.801207409449030905","-4.801207409449030905","0.0000015771181525537910903711","HMVL_TOR10=-4.801","Repressed","3","collectri","3","4.801207409449030905",NA,"6","GTEx--Coexpression(rank=5); ReMap--ChIP-seq(rank=7); Enrichr--Queries(rank=8); ARCHS4--Coexpression(rank=10); Literature--ChIP-seq(rank=10); ENCODE--ChIP-seq(rank=12)","12","0.003111000000000000","GTEx Coexpression,0.003111"
"DMTF1","4.337767153544768384","-4.337767153544768384","0.0000143937524977950726597520","HMVL_TOR10=-4.338","Repressed","4","collectri","4","4.337767153544768384",NA,"3","Enrichr--Queries(rank=577); GTEx--Coexpression(rank=1207); ARCHS4--Coexpression(rank=1336)","1220","0.410999999999999976","Enrichr Queries,0.411"
"NFYA","3.787387122986465737","-3.787387122986465737","0.0001522398087779932034004776","HMVL_TOR10=-3.787","Repressed","5","collectri","5","3.787387122986465737",NA,"5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=13); GTEx--Coexpression(rank=112); ARCHS4--Coexpression(rank=512); Enrichr--Queries(rank=524)","126","0.033900000000000000","ENCODE ChIP-seq,0.0339"
"TP53","3.562407378029084359","-3.562407378029084359","0.0003674695732110349949070538","HMVL_TOR10=-3.562","Repressed","6","collectri","6","3.562407378029084359",NA,"5","ARCHS4--Coexpression(rank=17); Literature--ChIP-seq(rank=34); ReMap--ChIP-seq(rank=120); GTEx--Coexpression(rank=142); Enrichr--Queries(rank=201)","33","0.010440000000000000","ARCHS4 Coexpression,0.01044"
"MEIS1","3.558568327361294692","3.558568327361294692","0.0003728817930854192602176111","HMVL_TOR10=3.559","Activated","7","collectri","7","3.558568327361294692",NA,"5","Literature--ChIP-seq(rank=117); ReMap--ChIP-seq(rank=172); Enrichr--Queries(rank=966); ARCHS4--Coexpression(rank=1232); GTEx--Coexpression(rank=1351)","1442","0.579099999999999837","ReMap ChIP-seq,0.5791"
"SRSF2","3.472753692519093160","-3.472753692519093160","0.0005151478884026178348826130","HMVL_TOR10=-3.473","Repressed","8","collectri","8","3.472753692519093160",NA,"0","",NA,NA,NA
"HTATIP2","3.355165356190845660","3.355165356190845660","0.0007931755755496288111047742","HMVL_TOR10=3.355","Activated","9","collectri","9","3.355165356190845660",NA,"0","",NA,NA,NA
"NFE2L1","3.296922129519347600","3.296922129519347600","0.0009775059895433004224923890","HMVL_TOR10=3.297","Activated","10","collectri","10","3.296922129519347600",NA,"4","ReMap--ChIP-seq(rank=264); Enrichr--Queries(rank=1033); GTEx--Coexpression(rank=1133); ARCHS4--Coexpression(rank=1604)","1546","0.704999999999999960","GTEx Coexpression,0.705"
"ID2","3.227545459790055027","-3.227545459790055027","0.0012485719995223123254118880","HMVL_TOR10=-3.228","Repressed","11","collectri","11","3.227545459790055027",NA,"0","",NA,NA,NA
"BHLHA15","3.055949938981524117","3.055949938981524117","0.0022434871053973767622558011","HMVL_TOR10=3.056","Activated","12","collectri","12","3.055949938981524117",NA,"2","GTEx--Coexpression(rank=1525); ARCHS4--Coexpression(rank=1589)","1628","0.948999999999999955","GTEx Coexpression,0.949"
"PIN1","2.940814828275648551","2.940814828275648551","0.0032735015779947929277782226","HMVL_TOR10=2.941","Activated","13","collectri","13","2.940814828275648551",NA,"2","GTEx--Coexpression(rank=149); ARCHS4--Coexpression(rank=1153)","350","0.092719999999999997","GTEx Coexpression,0.09272"
"CDX2","2.792651529487753859","2.792651529487753859","0.0052277975902239965863560478","HMVL_TOR10=2.793","Activated","14","collectri","14","2.792651529487753859",NA,"5","ReMap--ChIP-seq(rank=38); Literature--ChIP-seq(rank=56); ARCHS4--Coexpression(rank=66); GTEx--Coexpression(rank=99); Enrichr--Queries(rank=1115)","154","0.040540000000000000","ARCHS4 Coexpression,0.04054"
"CDX1","2.752508562340949094","2.752508562340949094","0.0059140599876365438844483258","HMVL_TOR10=2.753","Activated","15","collectri","15","2.752508562340949094",NA,"3","ARCHS4--Coexpression(rank=60); GTEx--Coexpression(rank=93); Enrichr--Queries(rank=823)","140","0.036859999999999997","ARCHS4 Coexpression,0.03686"
"SMARCA4","2.673384919543494664","2.673384919543494664","0.0075090035039374206440876414","HMVL_TOR10=2.673","Activated","16","collectri","16","2.673384919543494664",NA,"0","",NA,NA,NA
"TGFB1I1","2.646558457874723214","2.646558457874723214","0.0081315449296741337814609096","HMVL_TOR10=2.647","Activated","17","collectri","17","2.646558457874723214",NA,"0","",NA,NA,NA
"HOXB13","2.609587446595293514","2.609587446595293514","0.0090651473639525633613223121","HMVL_TOR10=2.61","Activated","18","collectri","18","2.609587446595293514",NA,"4","ReMap--ChIP-seq(rank=239); ARCHS4--Coexpression(rank=496); GTEx--Coexpression(rank=514); Enrichr--Queries(rank=738)","999","0.304700000000000026","ARCHS4 Coexpression,0.3047"
"ZNF436","2.572894296681633719","-2.572894296681633719","0.0100852004231403342970896375","HMVL_TOR10=-2.573","Repressed","19","collectri","19","2.572894296681633719",NA,"3","Enrichr--Queries(rank=263); GTEx--Coexpression(rank=750); ARCHS4--Coexpression(rank=1415)","664","0.187299999999999994","Enrichr Queries,0.1873"
"IRF9","2.554651004977868123","2.554651004977868123","0.0106294312863997441470642613","HMVL_TOR10=2.555","Activated","20","collectri","20","2.554651004977868123",NA,"4","ARCHS4--Coexpression(rank=226); GTEx--Coexpression(rank=256); ReMap--ChIP-seq(rank=287); Enrichr--Queries(rank=343)","520","0.138800000000000007","ARCHS4 Coexpression,0.1388"
"PLAG1","2.554155581804647746","-2.554155581804647746","0.0106445681475363009699242056","HMVL_TOR10=-2.554","Repressed","21","collectri","21","2.554155581804647746",NA,"3","Enrichr--Queries(rank=438); GTEx--Coexpression(rank=983); ARCHS4--Coexpression(rank=1053)","1018","0.312000000000000000","Enrichr Queries,0.312"
"TLX1","2.549472167998421135","2.549472167998421135","0.0107886122078840306776070790","HMVL_TOR10=2.549","Activated","22","collectri","22","2.549472167998421135",NA,"3","ARCHS4--Coexpression(rank=266); GTEx--Coexpression(rank=1069); Enrichr--Queries(rank=1332)","594","0.163399999999999990","ARCHS4 Coexpression,0.1634"
"ISL1","2.545940749069080411","2.545940749069080411","0.0108983685056579758521078105","HMVL_TOR10=2.546","Activated","23","collectri","23","2.545940749069080411",NA,"3","GTEx--Coexpression(rank=451); ARCHS4--Coexpression(rank=974); Enrichr--Queries(rank=1073)","931","0.280600000000000016","GTEx Coexpression,0.2806"
"EGR3","2.543122633814439482","-2.543122633814439482","0.0109866661373103045862276161","HMVL_TOR10=-2.543","Repressed","24","collectri","24","2.543122633814439482",NA,"3","Enrichr--Queries(rank=136); ARCHS4--Coexpression(rank=259); GTEx--Coexpression(rank=590)","364","0.096869999999999998","Enrichr Queries,0.09687"
