"TF","Best_Rank","Mean_Rank","Library_Count","Best_P_Value","Best_Adjusted_P_Value","Best_Combined_Score","Library","Top_Terms","Rank","Score","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"E2F4","1","1.80000000000000","5","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003775603148821152","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003926627274773998","1790.66062739072162912635","ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=1, adjP=3.93e-93); ENCODE_TF_ChIP-seq_2015(rank=1, adjP=7.59e-78); Transcription_Factor_PPIs(rank=1, adjP=0.0366); TRRUST_Transcription_Factors_2019(rank=2, adjP=4.23e-05); ChEA_2022(rank=4, adjP=5.24e-32)","E2F4 ENCODE; E2F4 HeLa-S3 hg19; E2F4; E2F4 human; E2F4 17652178 ChIP-ChIP JURKAT Human","1","1790.66062739072162912635","enrichr","1","1790.66062739072162912635","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003775603148821152","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003926627274773998","","6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=101); ARCHS4--Coexpression(rank=306); GTEx--Coexpression(rank=715)","20","0.006734000000000000","ReMap ChIP-seq,0.006734"
"FOXM1","1","14.40000000000000","5","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000224259367878665674543292586","0.000000000000000000000000000000000000000000000000000000000000000000000000000000001681945259089991692233056845","5779.70505634750043100212","ChEA_2022(rank=1, adjP=1.68e-81); ENCODE_TF_ChIP-seq_2015(rank=2, adjP=8.32e-71); ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=2, adjP=1.52e-59); Transcription_Factor_PPIs(rank=3, adjP=0.119); TRRUST_Transcription_Factors_2019(rank=64, adjP=0.398)","FOXM1 25889361 ChIP-Seq OE33 AND U2OS Human; FOXM1 ECC-1 hg19; FOXM1 ENCODE; FOXM1; FOXM1 human","2","5779.70505634750043100212","enrichr","2","5779.70505634750043100212","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000224259367878665674543292586","0.000000000000000000000000000000000000000000000000000000000000000000000000000000001681945259089991692233056845","","6","ENCODE--ChIP-seq(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=6)","2","0.000622300000000000","GTEx Coexpression,6.223E-4"
"E2F1","1","17.80000000000000","5","0.00000000000000000000000102853387345806796805184406972441649083901516525250338968287678437750487514534825095325","0.000000000000000000000154280081018710288512640706977733418644314916803626185309010086441072751028968923492357","120.53114084436990083304","TRRUST_Transcription_Factors_2019(rank=1, adjP=3.76e-06); ChEA_2022(rank=5, adjP=1.54e-22); ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=8, adjP=3.25e-05); ENCODE_TF_ChIP-seq_2015(rank=23, adjP=0.0206); Transcription_Factor_PPIs(rank=52, adjP=0.766)","E2F1 human; E2F1 26619117 ChIP-Seq Hepatocytes Mouse Liver; E2F1 CHEA; E2F1 HeLa-S3 hg19; E2F1","3","120.53114084436990083304","enrichr","3","120.53114084436990083304","0.00000000000000000000000102853387345806796805184406972441649083901516525250338968287678437750487514534825095325","0.000000000000000000000154280081018710288512640706977733418644314916803626185309010086441072751028968923492357","","6","GTEx--Coexpression(rank=5); ReMap--ChIP-seq(rank=7); Enrichr--Queries(rank=8); ARCHS4--Coexpression(rank=10); Literature--ChIP-seq(rank=10); ENCODE--ChIP-seq(rank=12)","12","0.003111000000000000","GTEx Coexpression,0.003111"
"SMC3","2","160.00000000000000","4","0.00033145093782613430262451448271576737170107662677764892578125000000000000000000000000000000000000000000000000","0.036625328629787838596865157114734756760299205780029296875000000000000000000000000000000000000000000000000000","21.30667771135087207313","Transcription_Factor_PPIs(rank=2, adjP=0.0366); ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=30, adjP=0.799); ENCODE_TF_ChIP-seq_2015(rank=224, adjP=1); ChEA_2022(rank=384, adjP=0.454)","SMC3; SMC3 ENCODE; SMC3 HeLa-S3 hg19; SMC3 22415368 ChIP-Seq MEFs Mouse","4","21.30667771135087207313","enrichr","4","21.30667771135087207313","0.00033145093782613430262451448271576737170107662677764892578125000000000000000000000000000000000000000000000000","0.036625328629787838596865157114734756760299205780029296875000000000000000000000000000000000000000000000000000","","0","",NA,NA,NA
"TP53","3","37.25000000000000","4","0.00000075764309611474406695020124627437674291741132037714123725891113281250000000000000000000000000000000000000","0.000095463030110457723848363387197935026051709428429603576660156250000000000000000000000000000000000000000000","46.15127375477327120734","TRRUST_Transcription_Factors_2019(rank=3, adjP=9.55e-05); ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=14, adjP=0.133); Transcription_Factor_PPIs(rank=18, adjP=0.613); ChEA_2022(rank=114, adjP=0.126)","TP53 human; TP53 CHEA; TP53; TP53 23651856 ChIP-Seq MEFs Mouse","5","46.15127375477327120734","enrichr","5","46.15127375477327120734","0.00000075764309611474406695020124627437674291741132037714123725891113281250000000000000000000000000000000000000","0.000095463030110457723848363387197935026051709428429603576660156250000000000000000000000000000000000000000000","","5","ARCHS4--Coexpression(rank=17); Literature--ChIP-seq(rank=34); ReMap--ChIP-seq(rank=120); GTEx--Coexpression(rank=142); Enrichr--Queries(rank=201)","33","0.010440000000000000","ARCHS4 Coexpression,0.01044"
"NFYA","3","81.00000000000000","5","0.00000000000000000012139397745253518244067548003063527216531447095154949396625387869619316916214302182197570801","0.000000000000000004208324551687884206087144481769251073488498149566998732251654757874348433688282966613769531","91.49681384008260920382","ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=3, adjP=4.21e-18); ENCODE_TF_ChIP-seq_2015(rank=10, adjP=1.72e-11); ChEA_2022(rank=59, adjP=0.0472); Transcription_Factor_PPIs(rank=158, adjP=0.962); TRRUST_Transcription_Factors_2019(rank=175, adjP=0.659)","NFYA ENCODE; NFYA GM12878 hg19; NFYA 21822215 ChIP-Seq K562 Human; NFYA; NFYA human","6","91.49681384008260920382","enrichr","6","91.49681384008260920382","0.00000000000000000012139397745253518244067548003063527216531447095154949396625387869619316916214302182197570801","0.000000000000000004208324551687884206087144481769251073488498149566998732251654757874348433688282966613769531","","5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=13); GTEx--Coexpression(rank=112); ARCHS4--Coexpression(rank=512); Enrichr--Queries(rank=524)","126","0.033900000000000000","ENCODE ChIP-seq,0.0339"
"TFDP1","4","4.00000000000000","1","0.00000622586425197389814782059774822542408401204738765954971313476562500000000000000000000000000000000000000000","0.000588344171811533292806850603540169686311855912208557128906250000000000000000000000000000000000000000000000","295.38000022333744709613","TRRUST_Transcription_Factors_2019(rank=4, adjP=0.000588)","TFDP1 human","7","295.38000022333744709613","enrichr","7","295.38000022333744709613","0.00000622586425197389814782059774822542408401204738765954971313476562500000000000000000000000000000000000000000","0.000588344171811533292806850603540169686311855912208557128906250000000000000000000000000000000000000000000000","","4","GTEx--Coexpression(rank=4); ReMap--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=13); Enrichr--Queries(rank=22)","10","0.002489000000000000","GTEx Coexpression,0.002489"
"BRCA1","4","61.50000000000000","4","0.00214506549229917433535552717671635036822408437728881835937500000000000000000000000000000000000000000000000000","0.118514868449529381377871573022275697439908981323242187500000000000000000000000000000000000000000000000000000","11.09357961866061259570","Transcription_Factor_PPIs(rank=4, adjP=0.119); TRRUST_Transcription_Factors_2019(rank=20, adjP=0.255); ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=55, adjP=1); ENCODE_TF_ChIP-seq_2015(rank=167, adjP=1)","BRCA1; BRCA1 human; BRCA1 ENCODE; BRCA1 GM12878 hg19","8","11.09357961866061259570","enrichr","8","11.09357961866061259570","0.00214506549229917433535552717671635036822408437728881835937500000000000000000000000000000000000000000000000000","0.118514868449529381377871573022275697439908981323242187500000000000000000000000000000000000000000000000000000","","0","",NA,NA,NA
"NFYB","4","98.80000000000000","5","0.00000000000000004304607516678403168854476291587015211667268594947395599081829686838318593800067901611328125000","0.000000000000001119197954336384663664792462794600980776125011620369953391218587057664990425109863281250000000","68.07155937488926156220","ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=4, adjP=1.12e-15); ENCODE_TF_ChIP-seq_2015(rank=15, adjP=8.59e-06); ChEA_2022(rank=72, adjP=0.0703); Transcription_Factor_PPIs(rank=103, adjP=0.895); TRRUST_Transcription_Factors_2019(rank=300, adjP=0.707)","NFYB ENCODE; NFYB K562 hg19; NFYB 21822215 ChIP-Seq K562 Human; NFYB; NFYB human","9","68.07155937488926156220","enrichr","9","68.07155937488926156220","0.00000000000000004304607516678403168854476291587015211667268594947395599081829686838318593800067901611328125000","0.000000000000001119197954336384663664792462794600980776125011620369953391218587057664990425109863281250000000","","5","ReMap--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=38); Enrichr--Queries(rank=82); GTEx--Coexpression(rank=1497)","60","0.016840000000000001","ReMap ChIP-seq,0.01684"
"YBX1","5","5.00000000000000","1","0.00003238205763233724615666325741258901871333364397287368774414062500000000000000000000000000000000000000000000","0.002448083557004695608866340350573409523349255323410034179687500000000000000000000000000000000000000000000000","72.91012222253823438223","TRRUST_Transcription_Factors_2019(rank=5, adjP=0.00245)","YBX1 human","10","72.91012222253823438223","enrichr","10","72.91012222253823438223","0.00003238205763233724615666325741258901871333364397287368774414062500000000000000000000000000000000000000000000","0.002448083557004695608866340350573409523349255323410034179687500000000000000000000000000000000000000000000000","","3","ARCHS4--Coexpression(rank=156); GTEx--Coexpression(rank=802); Enrichr--Queries(rank=1046)","361","0.095820000000000002","ARCHS4 Coexpression,0.09582"
"SIN3A","5","58.75000000000000","4","0.00000000000002188129951654274143629904716917776081089828943415653839110746048390865325927734375000000000000000","0.000000000001983904489499875358190041434391465103789786716959042678354308009147644042968750000000000000000000","68.86718170624581603079","ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=5, adjP=9.52e-11); ENCODE_TF_ChIP-seq_2015(rank=9, adjP=1.98e-12); ChEA_2022(rank=92, adjP=0.0925); Transcription_Factor_PPIs(rank=129, adjP=0.962)","SIN3A ENCODE; SIN3A MCF-7 hg19; SIN3A 21632747 ChIP-Seq MESCs Mouse; SIN3A","11","68.86718170624581603079","enrichr","11","68.86718170624581603079","0.00000000000002188129951654274143629904716917776081089828943415653839110746048390865325927734375000000000000000","0.000000000001983904489499875358190041434391465103789786716959042678354308009147644042968750000000000000000000","","0","",NA,NA,NA
"CEBPB","5","105.80000000000000","5","0.00003018320500157668369550605091955475245413254015147686004638671875000000000000000000000000000000000000000000","0.001414837734448907459461342028816943638958036899566650390625000000000000000000000000000000000000000000000000","15.74725193507602050147","Transcription_Factor_PPIs(rank=5, adjP=0.149); ChEA_2022(rank=16, adjP=0.00141); ENCODE_TF_ChIP-seq_2015(rank=71, adjP=1); ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=88, adjP=1); TRRUST_Transcription_Factors_2019(rank=349, adjP=0.764)","CEBPB; CEBPB 22108803 ChIP-Seq LS180 Human; CEBPB C2C12 mm9; CEBPB ENCODE; CEBPB mouse","12","15.74725193507602050147","enrichr","12","15.74725193507602050147","0.00003018320500157668369550605091955475245413254015147686004638671875000000000000000000000000000000000000000000","0.001414837734448907459461342028816943638958036899566650390625000000000000000000000000000000000000000000000000","","6","ENCODE--ChIP-seq(rank=20); Literature--ChIP-seq(rank=75); Enrichr--Queries(rank=163); ReMap--ChIP-seq(rank=235); ARCHS4--Coexpression(rank=274); GTEx--Coexpression(rank=1177)","439","0.116099999999999995","Enrichr Queries,0.1161"
"HDAC8","6","6.00000000000000","1","0.00450171067834423226095008629954463685862720012664794921875000000000000000000000000000000000000000000000000000","0.165813009985679243873946120402251835912466049194335937500000000000000000000000000000000000000000000000000000","14.81017747392314554133","Transcription_Factor_PPIs(rank=6, adjP=0.166)","HDAC8","13","14.81017747392314554133","enrichr","13","14.81017747392314554133","0.00450171067834423226095008629954463685862720012664794921875000000000000000000000000000000000000000000000000000","0.165813009985679243873946120402251835912466049194335937500000000000000000000000000000000000000000000000000000","","0","",NA,NA,NA
