"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","CollecTRI"
"1","E2F1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.666666666666667","2","6","ENCODE--ChIP-seq(rank=3); Enrichr--Queries(rank=4); Literature--ChIP-seq(rank=4); GTEx--Coexpression(rank=7); ARCHS4--Coexpression(rank=14); ReMap--ChIP-seq(rank=98)","10","rank=10; score=0.002849","rank=2; score=163.22; p=6.7681e-38; adjP=1.2792e-35","rank=2; score=7.0474; p=1.8234e-12; direction=Repressed"
"2","E2F4","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.000000000000000","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=90); ARCHS4--Coexpression(rank=820); GTEx--Coexpression(rank=971)","16","rank=16; score=0.006098","rank=1; score=1541.2; p=5.8754e-111; adjP=6.1104e-109","rank=1; score=14.673; p=9.6506e-49; direction=Repressed"
"3","FOXM1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.000000000000000","2","6","GTEx--Coexpression(rank=1); ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); Enrichr--Queries(rank=3); ARCHS4--Coexpression(rank=7)","2","rank=2; score=0.0006223","rank=3; score=901.03; p=1.3173e-50; adjP=9.9589e-48","rank=13; score=3.4345; p=0.00059355; direction=Repressed"
"4","E2F3","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","17.000000000000000","4","3","ARCHS4--Coexpression(rank=17); Enrichr--Queries(rank=25); GTEx--Coexpression(rank=1247)","33","rank=33; score=0.01044","rank=14; score=206.07; p=3.3867e-06; adjP=0.00026835","rank=4; score=5.1955; p=2.0416e-07; direction=Repressed"
"5","STAT1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","49.000000000000000","38","6","GTEx--Coexpression(rank=24); ENCODE--ChIP-seq(rank=48); Enrichr--Queries(rank=75); Literature--ChIP-seq(rank=96); ARCHS4--Coexpression(rank=99); ReMap--ChIP-seq(rank=118)","52","rank=52; score=0.01493","rank=38; score=40.913; p=2.6365e-13; adjP=1.4237e-11","rank=57; score=2.654; p=0.0079544; direction=Activated"
"6","E2F7","ChEA3;ENRICHR;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","51.333333333333329","7","5","ARCHS4--Coexpression(rank=3); Literature--ChIP-seq(rank=5); Enrichr--Queries(rank=7); GTEx--Coexpression(rank=8); ReMap--ChIP-seq(rank=100)","7","rank=7; score=0.001843","rank=21; score=874.75; p=4.2294e-18; adjP=3.5527e-16","rank=126; score=1.9964; p=0.04589; direction=Repressed"
"7","TFDP1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","51.333333333333336","9","4","GTEx--Coexpression(rank=4); Enrichr--Queries(rank=14); ReMap--ChIP-seq(rank=15); ARCHS4--Coexpression(rank=22)","9","rank=9; score=0.002489","rank=89; score=43.563; p=0.0026728; adjP=0.044269","rank=56; score=2.6561; p=0.0079039; direction=Repressed"
"8","MYC","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","57.333333333333329","3","6","Literature--ChIP-seq(rank=7); ENCODE--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=63); Enrichr--Queries(rank=70); ARCHS4--Coexpression(rank=224); GTEx--Coexpression(rank=643)","165","rank=165; score=0.04268","rank=4; score=35.675; p=1.0584e-11; adjP=4.2113e-10","rank=3; score=7.0265; p=2.1175e-12; direction=Repressed"
"9","E2F6","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","64.666666666666671","7","5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=37); ARCHS4--Coexpression(rank=52); Enrichr--Queries(rank=73); GTEx--Coexpression(rank=1554)","122","rank=122; score=0.03194","rank=7; score=87.657; p=3.4556e-24; adjP=1.1979e-22","rank=65; score=2.5579; p=0.010532; direction=Repressed"
"10","TP53","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","65.000000000000000","8","5","ARCHS4--Coexpression(rank=9); Literature--ChIP-seq(rank=32); ReMap--ChIP-seq(rank=99); GTEx--Coexpression(rank=114); Enrichr--Queries(rank=257)","15","rank=15; score=0.005528","rank=8; score=35.534; p=4.3377e-07; adjP=5.7474e-05","rank=172; score=1.7595; p=0.078501; direction=Repressed"
