"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ENRICHR","TRRUST","CollecTRI"
"1","E2F1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.666666666666667","1","6","ENCODE--ChIP-seq(rank=3); Enrichr--Queries(rank=4); Literature--ChIP-seq(rank=4); GTEx--Coexpression(rank=7); ARCHS4--Coexpression(rank=14); ReMap--ChIP-seq(rank=98)","10","rank=2; score=163.22; p=6.7681e-38; adjP=1.2792e-35","rank=1; score=10.993; p=1.0155e-11","rank=2; score=7.0474; p=1.8234e-12; direction=Repressed"
"2","E2F4","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.666666666666667","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=90); ARCHS4--Coexpression(rank=820); GTEx--Coexpression(rank=971)","16","rank=1; score=1541.2; p=5.8754e-111; adjP=6.1104e-109","rank=3; score=6.4752; p=3.3484e-07","rank=1; score=14.673; p=9.6506e-49; direction=Repressed"
"3","MYC","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.666666666666667","3","6","Literature--ChIP-seq(rank=7); ENCODE--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=63); Enrichr--Queries(rank=70); ARCHS4--Coexpression(rank=224); GTEx--Coexpression(rank=643)","165","rank=4; score=35.675; p=1.0584e-11; adjP=4.2113e-10","rank=7; score=5.4504; p=3.5445e-06","rank=3; score=7.0265; p=2.1175e-12; direction=Repressed"
"4","E2F3","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.000000000000000","4","3","ARCHS4--Coexpression(rank=17); Enrichr--Queries(rank=25); GTEx--Coexpression(rank=1247)","33","rank=14; score=206.07; p=3.3867e-06; adjP=0.00026835","rank=6; score=5.4702; p=3.387e-06","rank=4; score=5.1955; p=2.0416e-07; direction=Repressed"
"5","FOXM1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.666666666666666","3","6","GTEx--Coexpression(rank=1); ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); Enrichr--Queries(rank=3); ARCHS4--Coexpression(rank=7)","2","rank=3; score=901.03; p=1.3173e-50; adjP=9.9589e-48","rank=28; score=2.4119; p=0.0038735","rank=13; score=3.4345; p=0.00059355; direction=Repressed"
"6","FOXO3","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.333333333333336","10","4","Literature--ChIP-seq(rank=111); Enrichr--Queries(rank=621); ARCHS4--Coexpression(rank=953); GTEx--Coexpression(rank=1158)","1252","rank=70; score=32.659; p=0.001283; adjP=0.028332","rank=20; score=2.8918; p=0.001283","rank=10; score=3.5157; p=0.00043867; direction=Activated"
"7","RB1","ENRICHR;TRRUST;CollecTRI","3","ENRICHR;TRRUST;CollecTRI","50.333333333333336","11","0","",NA,"rank=37; score=33.801; p=0.00023413; adjP=0.0088634","rank=11; score=3.6305; p=0.00023414","rank=103; score=2.1382; p=0.032498; direction=Repressed"
"8","SMAD3","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","50.333333333333336","15","5","Literature--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=117); Enrichr--Queries(rank=359); GTEx--Coexpression(rank=676); ARCHS4--Coexpression(rank=842)","328","rank=56; score=27.784; p=5.8256e-09; adjP=9.3706e-08","rank=15; score=3.0324; p=0.00092821","rank=80; score=2.394; p=0.016665; direction=Activated"
"9","E2F6","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","53.666666666666664","7","5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=37); ARCHS4--Coexpression(rank=52); Enrichr--Queries(rank=73); GTEx--Coexpression(rank=1554)","122","rank=7; score=87.657; p=3.4556e-24; adjP=1.1979e-22","rank=89; score=1.0001; p=0.099981","rank=65; score=2.5579; p=0.010532; direction=Repressed"
"10","TFDP1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","56.333333333333336","24","4","GTEx--Coexpression(rank=4); Enrichr--Queries(rank=14); ReMap--ChIP-seq(rank=15); ARCHS4--Coexpression(rank=22)","9","rank=89; score=43.563; p=0.0026728; adjP=0.044269","rank=24; score=2.573; p=0.0026729","rank=56; score=2.6561; p=0.0079039; direction=Repressed"
