"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ENRICHR","TRRUST","CollecTRI"
"1","E2F4","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.666666666666667","1","6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Literature--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=469); Enrichr--Queries(rank=813); GTEx--Coexpression(rank=991)","18","rank=4; score=206.66; p=9.1345e-29; adjP=4.7499e-27","rank=12; score=3.3812; p=0.00041574","rank=1; score=7.8804; p=3.2645e-15; direction=Repressed"
"2","E2F1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.666666666666666","1","6","GTEx--Coexpression(rank=3); Enrichr--Queries(rank=4); ARCHS4--Coexpression(rank=13); ReMap--ChIP-seq(rank=24); ENCODE--ChIP-seq(rank=61); Literature--ChIP-seq(rank=91)","6","rank=2; score=79.084; p=1.2458e-09; adjP=5.8303e-07","rank=1; score=8.9045; p=1.2461e-09","rank=17; score=3.9867; p=6.6989e-05; direction=Repressed"
"3","FOXO3","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.333333333333332","3","4","Literature--ChIP-seq(rank=53); ARCHS4--Coexpression(rank=214); GTEx--Coexpression(rank=444); Enrichr--Queries(rank=579)","497","rank=32; score=84.716; p=2.7711e-05; adjP=0.00010729","rank=8; score=4.2627; p=5.4615e-05","rank=3; score=5.5456; p=2.9288e-08; direction=Activated"
"4","FOXO4","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.333333333333336","14","3","Enrichr--Queries(rank=364); GTEx--Coexpression(rank=913); ARCHS4--Coexpression(rank=1246)","837","rank=70; score=156.98; p=0.00068292; adjP=0.013456","rank=14; score=3.1656; p=0.00068294","rank=16; score=4.0107; p=6.0528e-05; direction=Activated"
"5","IRF3","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","48.666666666666664","9","5","ENCODE--ChIP-seq(rank=30); ReMap--ChIP-seq(rank=171); ARCHS4--Coexpression(rank=831); Enrichr--Queries(rank=1303); GTEx--Coexpression(rank=1321)","824","rank=96; score=27.146; p=0.0064668; adjP=0.053096","rank=41; score=2.1893; p=0.0064669","rank=9; score=4.1938; p=2.743e-05; direction=Activated"
"6","USF1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","48.666666666666664","19","5","ReMap--ChIP-seq(rank=21); ENCODE--ChIP-seq(rank=70); ARCHS4--Coexpression(rank=791); GTEx--Coexpression(rank=963); Enrichr--Queries(rank=1039)","286","rank=87; score=20.58; p=0.00096827; adjP=0.015626","rank=19; score=3.014; p=0.0009683","rank=40; score=3.1667; p=0.0015418; direction=Activated"
"7","NFE2L2","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","49.333333333333329","5","5","Literature--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=73); ARCHS4--Coexpression(rank=211); GTEx--Coexpression(rank=525); Enrichr--Queries(rank=570)","464","rank=5; score=45.508; p=1.2028e-08; adjP=1.1793e-07","rank=118; score=0.82299; p=0.15032","rank=25; score=3.6967; p=0.00021845; direction=Activated"
"8","CTNNB1","ENRICHR;TRRUST;CollecTRI","3","ENRICHR;TRRUST;CollecTRI","50.333333333333336","13","0","",NA,"rank=71; score=45.763; p=1.0818e-10; adjP=1.9922e-09","rank=67; score=1.4624; p=0.034481","rank=13; score=4.16; p=3.1824e-05; direction=Activated"
"9","SMAD4","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","51.333333333333336","22","5","Literature--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=163); ARCHS4--Coexpression(rank=723); GTEx--Coexpression(rank=762); Enrichr--Queries(rank=1120)","380","rank=22; score=46.922; p=1.5118e-12; adjP=4.5655e-11","rank=56; score=1.705; p=0.019723","rank=76; score=2.69; p=0.0071451; direction=Activated"
"10","SMAD3","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","51.666666666666671","17","5","Literature--ChIP-seq(rank=17); ReMap--ChIP-seq(rank=26); Enrichr--Queries(rank=222); ARCHS4--Coexpression(rank=244); GTEx--Coexpression(rank=332)","347","rank=21; score=39.631; p=1.0012e-10; adjP=1.8898e-09","rank=17; score=3.0831; p=0.0008259","rank=117; score=2.2445; p=0.024802; direction=Activated"
