"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","ENRICHR","TRRUST"
"1","E2F1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.25","1","6","GTEx--Coexpression(rank=3); Enrichr--Queries(rank=4); ARCHS4--Coexpression(rank=13); ReMap--ChIP-seq(rank=24); ENCODE--ChIP-seq(rank=61); Literature--ChIP-seq(rank=91)","6","rank=8; score=6.2274; p=5.9234e-07","rank=6; score=0.001867","rank=2; score=79.084; p=1.2458e-09; adjP=5.8303e-07","rank=1; score=8.9045; p=1.2461e-09"
"2","E2F4","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.75","1","6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Literature--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=469); Enrichr--Queries(rank=813); GTEx--Coexpression(rank=991)","18","rank=1; score=14.69; p=2.0406e-15","rank=18; score=0.006734","rank=4; score=206.66; p=9.1345e-29; adjP=4.7499e-27","rank=12; score=3.3812; p=0.00041574"
"3","TFDP1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","18.50","9","4","GTEx--Coexpression(rank=5); ARCHS4--Coexpression(rank=12); Enrichr--Queries(rank=33); ReMap--ChIP-seq(rank=82)","10","rank=17; score=4.7619; p=1.7301e-05","rank=10; score=0.003111","rank=38; score=157.53; p=5.8738e-05; adjP=0.0022908","rank=9; score=4.2311; p=5.8741e-05"
"4","NFKB1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.75","2","4","ReMap--ChIP-seq(rank=38); ARCHS4--Coexpression(rank=45); GTEx--Coexpression(rank=387); Enrichr--Queries(rank=614)","105","rank=46; score=2.5078; p=0.0031058","rank=105; score=0.02764","rank=6; score=87.097; p=3.9345e-22; adjP=3.7132e-20","rank=2; score=7.212; p=6.1372e-08"
"5","TP53","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","40.00","2","5","Literature--ChIP-seq(rank=27); ARCHS4--Coexpression(rank=59); ReMap--ChIP-seq(rank=154); Enrichr--Queries(rank=568); GTEx--Coexpression(rank=799)","138","rank=2; score=8.1333; p=7.3576e-09","rank=138; score=0.03624","rank=15; score=39.576; p=6.6833e-10; adjP=9.0105e-09","rank=5; score=6.0373; p=9.176e-07"
"6","EGR1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","51.75","19","6","Literature--ChIP-seq(rank=37); ReMap--ChIP-seq(rank=37); GTEx--Coexpression(rank=58); ENCODE--ChIP-seq(rank=74); Enrichr--Queries(rank=119); ARCHS4--Coexpression(rank=561)","137","rank=31; score=3.5314; p=0.00029419","rank=137; score=0.03609","rank=19; score=58.067; p=1.1707e-06; adjP=8.8109e-06","rank=20; score=2.9651; p=0.0010836"
"7","FOXM1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","54.50","1","6","ENCODE--ChIP-seq(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=5)","2","rank=16; score=4.8868; p=1.2977e-05","rank=2; score=0.0006223","rank=1; score=1494.3; p=1.7417e-45; adjP=1.315e-42","rank=199; score=0.36526; p=0.43127"
"8","STAT3","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","61.50","7","6","ENCODE--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=14); Literature--ChIP-seq(rank=15); ARCHS4--Coexpression(rank=493); Enrichr--Queries(rank=853); GTEx--Coexpression(rank=978)","186","rank=28; score=3.8212; p=0.00015093","rank=186; score=0.04714","rank=25; score=39.198; p=1.6534e-10; adjP=2.7819e-09","rank=7; score=5.113; p=7.709e-06"
"9","SP1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","62.25","4","5","ReMap--ChIP-seq(rank=17); ENCODE--ChIP-seq(rank=19); GTEx--Coexpression(rank=958); Enrichr--Queries(rank=1036); ARCHS4--Coexpression(rank=1469)","231","rank=4; score=7.108; p=7.7982e-08","rank=231; score=0.05724","rank=10; score=27.619; p=8.4558e-07; adjP=8.5878e-05","rank=4; score=6.0728; p=8.4567e-07"
"10","STAT1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","66.50","45","6","ReMap--ChIP-seq(rank=20); GTEx--Coexpression(rank=27); ENCODE--ChIP-seq(rank=38); Literature--ChIP-seq(rank=125); ARCHS4--Coexpression(rank=189); Enrichr--Queries(rank=271)","58","rank=45; score=2.5304; p=0.0029486","rank=58; score=0.0168","rank=100; score=16.564; p=4.0002e-06; adjP=1.936e-05","rank=63; score=1.6033; p=0.02493"
