"statistic","source","condition","score","p_value","TF","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ora","E2F1","HVL_HUB098","8.90446085980359037","0.000000001246060531712273","E2F1","1","trrust","1","8.90446085980359037","0.000000001246060531712273",NA,"","6","GTEx--Coexpression(rank=3); Enrichr--Queries(rank=4); ARCHS4--Coexpression(rank=13); ReMap--ChIP-seq(rank=24); ENCODE--ChIP-seq(rank=61); Literature--ChIP-seq(rank=91)","6","0.00186700000000000","GTEx Coexpression,0.001867"
"ora","NFKB1","HVL_HUB098","7.21203315456417027","0.000000061371515162205078","NFKB1","2","trrust","2","7.21203315456417027","0.000000061371515162205078",NA,"","4","ReMap--ChIP-seq(rank=38); ARCHS4--Coexpression(rank=45); GTEx--Coexpression(rank=387); Enrichr--Queries(rank=614)","105","0.02764000000000000","ARCHS4 Coexpression,0.02764"
"ora","RELA","HVL_HUB098","6.53578456717588008","0.000000291216134448237436","RELA","3","trrust","3","6.53578456717588008","0.000000291216134448237436",NA,"","6","Literature--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=76); ENCODE--ChIP-seq(rank=82); ARCHS4--Coexpression(rank=655); GTEx--Coexpression(rank=761); Enrichr--Queries(rank=840)","561","0.15240000000000001","Literature ChIP-seq,0.1524"
"ora","SP1","HVL_HUB098","6.07279857450414617","0.000000845670975862211743","SP1","4","trrust","4","6.07279857450414617","0.000000845670975862211743",NA,"","5","ReMap--ChIP-seq(rank=17); ENCODE--ChIP-seq(rank=19); GTEx--Coexpression(rank=958); Enrichr--Queries(rank=1036); ARCHS4--Coexpression(rank=1469)","231","0.05724000000000000","ReMap ChIP-seq,0.05724"
"ora","TP53","HVL_HUB098","6.03734612018509598","0.000000917601003439836836","TP53","5","trrust","5","6.03734612018509598","0.000000917601003439836836",NA,"","5","Literature--ChIP-seq(rank=27); ARCHS4--Coexpression(rank=59); ReMap--ChIP-seq(rank=154); Enrichr--Queries(rank=568); GTEx--Coexpression(rank=799)","138","0.03624000000000000","ARCHS4 Coexpression,0.03624"
"ora","BRCA1","HVL_HUB098","5.50879829609389660","0.000003098858200013744041","BRCA1","6","trrust","6","5.50879829609389660","0.000003098858200013744041",NA,"","0","",NA,NA,NA
"ora","STAT3","HVL_HUB098","5.11300144270092538","0.000007709009081723461451","STAT3","7","trrust","7","5.11300144270092538","0.000007709009081723461451",NA,"","6","ENCODE--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=14); Literature--ChIP-seq(rank=15); ARCHS4--Coexpression(rank=493); Enrichr--Queries(rank=853); GTEx--Coexpression(rank=978)","186","0.04714000000000000","ReMap ChIP-seq,0.04714"
"ora","FOXO3","HVL_HUB098","4.26268839622477191","0.000054614957970655766484","FOXO3","8","trrust","8","4.26268839622477191","0.000054614957970655766484",NA,"","4","Literature--ChIP-seq(rank=53); ARCHS4--Coexpression(rank=214); GTEx--Coexpression(rank=444); Enrichr--Queries(rank=579)","497","0.13139999999999999","ARCHS4 Coexpression,0.1314"
"ora","TFDP1","HVL_HUB098","4.23106126157237039","0.000058740648713614547461","TFDP1","9","trrust","9","4.23106126157237039","0.000058740648713614547461",NA,"","4","GTEx--Coexpression(rank=5); ARCHS4--Coexpression(rank=12); Enrichr--Queries(rank=33); ReMap--ChIP-seq(rank=82)","10","0.00311100000000000","GTEx Coexpression,0.003111"
"ora","RBMX","HVL_HUB098","3.69863829255424070","0.000200152817273853699280","RBMX","10","trrust","10","3.69863829255424070","0.000200152817273853699280",NA,"","0","",NA,NA,NA
