"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","CollecTRI"
"1","E2F4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.000000000000000","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=3); Enrichr--Queries(rank=81); ARCHS4--Coexpression(rank=811); GTEx--Coexpression(rank=1127)","27","rank=1; score=28.922; p=1.1975e-29","rank=1; score=13.221; direction=Repressed","rank=1; score=14.093; p=4.1865e-45; direction=Repressed"
"2","E2F1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.000000000000000","2","6","Literature--ChIP-seq(rank=4); Enrichr--Queries(rank=6); GTEx--Coexpression(rank=7); ENCODE--ChIP-seq(rank=9); ARCHS4--Coexpression(rank=14); ReMap--ChIP-seq(rank=19)","12","rank=2; score=15.301; p=4.9955e-16","rank=2; score=7.4807; direction=Repressed","rank=2; score=6.5732; p=4.9261e-11; direction=Repressed"
"3","MYC","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.333333333333333","4","6","Literature--ChIP-seq(rank=41); ENCODE--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=106); Enrichr--Queries(rank=108); ARCHS4--Coexpression(rank=654); GTEx--Coexpression(rank=1145)","312","rank=9; score=3.0942; p=0.00080498","rank=4; score=6.1051; direction=Repressed","rank=6; score=4.3698; p=1.2437e-05; direction=Repressed"
"4","CDX2","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.000000000000000","5","5","ARCHS4--Coexpression(rank=46); GTEx--Coexpression(rank=60); Literature--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=154); Enrichr--Queries(rank=719)","111","rank=11; score=2.7728; p=0.0016875","rank=8; score=4.7399; direction=Activated","rank=5; score=4.5586; p=5.1507e-06; direction=Activated"
"5","E2F2","DoRothEA;VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","10.333333333333334","7","3","ARCHS4--Coexpression(rank=5); Enrichr--Queries(rank=9); GTEx--Coexpression(rank=1179)","9","rank=7; score=3.4985; p=0.0003173","rank=11; score=4.475; direction=Repressed","rank=13; score=3.7109; p=0.00020656; direction=Repressed"
"6","E2F3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","15.333333333333334","8","3","ARCHS4--Coexpression(rank=18); Enrichr--Queries(rank=28); GTEx--Coexpression(rank=1222)","36","rank=18; score=2.1321; p=0.0073769","rank=20; score=3.3956; direction=Repressed","rank=8; score=3.8674; p=0.00011001; direction=Repressed"
"7","REST","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.000000000000000","8","6","ENCODE--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=25); Literature--ChIP-seq(rank=54); GTEx--Coexpression(rank=109); ARCHS4--Coexpression(rank=187); Enrichr--Queries(rank=1197)","275","rank=8; score=3.1845; p=0.00065387","rank=30; score=3.0152; direction=Repressed","rank=19; score=3.4328; p=0.00059744; direction=Activated"
"8","TFDP1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","20.666666666666664","3","4","GTEx--Coexpression(rank=4); Enrichr--Queries(rank=15); ARCHS4--Coexpression(rank=19); ReMap--ChIP-seq(rank=20)","8","rank=4; score=8.0719; p=8.4734e-09","rank=3; score=6.2193; direction=Repressed","rank=55; score=2.4773; p=0.013236; direction=Repressed"
"9","HNF4A","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","22.000000000000000","5","6","Literature--ChIP-seq(rank=25); ENCODE--ChIP-seq(rank=34); ARCHS4--Coexpression(rank=36); GTEx--Coexpression(rank=81); ReMap--ChIP-seq(rank=121); Enrichr--Queries(rank=309)","83","rank=38; score=1.4046; p=0.039394","rank=5; score=5.0173; direction=Activated","rank=23; score=3.122; p=0.0017963; direction=Activated"
"10","MEIS1","DoRothEA;VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","31.333333333333332","20","5","Literature--ChIP-seq(rank=125); ReMap--ChIP-seq(rank=196); GTEx--Coexpression(rank=877); Enrichr--Queries(rank=1167); ARCHS4--Coexpression(rank=1232)","1390","rank=20; score=2.0424; p=0.0090691","rank=34; score=2.8982; direction=Activated","rank=40; score=2.6338; p=0.0084433; direction=Activated"
