"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","E2F4","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.4","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=3); Enrichr--Queries(rank=81); ARCHS4--Coexpression(rank=811); GTEx--Coexpression(rank=1127)","27","rank=1; score=28.922; p=1.1975e-29","rank=1; score=13.221; direction=Repressed","rank=2; score=1642.8; p=7.1929e-113; adjP=7.4806e-111","rank=2; score=8.2913; p=5.1137e-09","rank=1; score=14.093; p=4.1865e-45; direction=Repressed"
"2","E2F1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.0","1","6","Literature--ChIP-seq(rank=4); Enrichr--Queries(rank=6); GTEx--Coexpression(rank=7); ENCODE--ChIP-seq(rank=9); ARCHS4--Coexpression(rank=14); ReMap--ChIP-seq(rank=19)","12","rank=2; score=15.301; p=4.9955e-16","rank=2; score=7.4807; direction=Repressed","rank=3; score=92.119; p=4.2626e-24; adjP=5.3709e-22","rank=1; score=9.8144; p=1.5333e-10","rank=2; score=6.5732; p=4.9261e-11; direction=Repressed"
"3","MYC","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.0","4","6","Literature--ChIP-seq(rank=41); ENCODE--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=106); Enrichr--Queries(rank=108); ARCHS4--Coexpression(rank=654); GTEx--Coexpression(rank=1145)","312","rank=9; score=3.0942; p=0.00080498","rank=4; score=6.1051; direction=Repressed","rank=23; score=19.534; p=0.00023489; adjP=0.0068236","rank=8; score=3.6291; p=0.0002349","rank=6; score=4.3698; p=1.2437e-05; direction=Repressed"
"4","CDX2","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.6","5","5","ARCHS4--Coexpression(rank=46); GTEx--Coexpression(rank=60); Literature--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=154); Enrichr--Queries(rank=719)","111","rank=11; score=2.7728; p=0.0016875","rank=8; score=4.7399; direction=Activated","rank=30; score=22.328; p=0.0014734; adjP=0.013621","rank=9; score=2.8317; p=0.0014734","rank=5; score=4.5586; p=5.1507e-06; direction=Activated"
"5","TFDP1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","16.8","3","4","GTEx--Coexpression(rank=4); Enrichr--Queries(rank=15); ARCHS4--Coexpression(rank=19); ReMap--ChIP-seq(rank=20)","8","rank=4; score=8.0719; p=8.4734e-09","rank=3; score=6.2193; direction=Repressed","rank=16; score=119.01; p=0.00013071; adjP=0.0093735","rank=6; score=3.8837; p=0.00013071","rank=55; score=2.4773; p=0.013236; direction=Repressed"
"6","REST","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","23.4","8","6","ENCODE--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=25); Literature--ChIP-seq(rank=54); GTEx--Coexpression(rank=109); ARCHS4--Coexpression(rank=187); Enrichr--Queries(rank=1197)","275","rank=8; score=3.1845; p=0.00065387","rank=30; score=3.0152; direction=Repressed","rank=43; score=15.815; p=0.0031134; adjP=0.034208","rank=17; score=2.2983; p=0.0050317","rank=19; score=3.4328; p=0.00059744; direction=Activated"
"7","E2F3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.8","8","3","ARCHS4--Coexpression(rank=18); Enrichr--Queries(rank=28); GTEx--Coexpression(rank=1222)","36","rank=18; score=2.1321; p=0.0073769","rank=20; score=3.3956; direction=Repressed","rank=59; score=23.987; p=0.0073768; adjP=0.16833","rank=19; score=2.1321; p=0.0073769","rank=8; score=3.8674; p=0.00011001; direction=Repressed"
"8","FOXA1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","29.2","19","6","Literature--ChIP-seq(rank=35); ENCODE--ChIP-seq(rank=37); GTEx--Coexpression(rank=156); ReMap--ChIP-seq(rank=232); ARCHS4--Coexpression(rank=325); Enrichr--Queries(rank=329)","382","rank=37; score=1.4781; p=0.033256","rank=31; score=2.992; direction=Activated","rank=19; score=39.489; p=9.9381e-13; adjP=9.3915e-11","rank=30; score=1.5505; p=0.02815","rank=29; score=2.9647; p=0.0030298; direction=Activated"
"9","TP53","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","40.0","3","5","ARCHS4--Coexpression(rank=13); Literature--ChIP-seq(rank=23); ReMap--ChIP-seq(rank=149); GTEx--Coexpression(rank=168); Enrichr--Queries(rank=271)","26","rank=3; score=9.6367; p=2.3083e-10","rank=153; score=1.092; direction=Activated","rank=5; score=41.375; p=1.1959e-07; adjP=2.0011e-05","rank=3; score=6.9222; p=1.1961e-07","rank=36; score=2.6806; p=0.0073493; direction=Repressed"
"10","HNF4A","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.8","5","6","Literature--ChIP-seq(rank=25); ENCODE--ChIP-seq(rank=34); ARCHS4--Coexpression(rank=36); GTEx--Coexpression(rank=81); ReMap--ChIP-seq(rank=121); Enrichr--Queries(rank=309)","83","rank=38; score=1.4046; p=0.039394","rank=5; score=5.0173; direction=Activated","rank=94; score=5.8996; p=0.0093957; adjP=0.030617","rank=49; score=1.197; p=0.063527","rank=23; score=3.122; p=0.0017963; direction=Activated"
