"TF","Score","Activity_Score_Mean","Method_P_Value","Condition_Scores","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"E2F4","14.0931192725229141871","-14.0931192725229141871","0.000000000000000000000000000000000000000000004186532171478732","HVL_TOR10=-14.09","Repressed","1","collectri","1","14.0931192725229141871",NA,"6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=3); Enrichr--Queries(rank=81); ARCHS4--Coexpression(rank=811); GTEx--Coexpression(rank=1127)","27","0.008475000000000000","ENCODE ChIP-seq,0.008475"
"E2F1","6.5731524266532073142","-6.5731524266532073142","0.000000000049260982567246495896848707428522236122236943600683","HVL_TOR10=-6.573","Repressed","2","collectri","2","6.5731524266532073142",NA,"6","Literature--ChIP-seq(rank=4); Enrichr--Queries(rank=6); GTEx--Coexpression(rank=7); ENCODE--ChIP-seq(rank=9); ARCHS4--Coexpression(rank=14); ReMap--ChIP-seq(rank=19)","12","0.004274000000000000","Enrichr Queries,0.004274"
"HNF1A","6.3861685545518023233","6.3861685545518023233","0.000000000170093515492764594061341605095633890132322818544708","HVL_TOR10=6.386","Activated","3","collectri","3","6.3861685545518023233",NA,"3","GTEx--Coexpression(rank=128); ARCHS4--Coexpression(rank=230); Enrichr--Queries(rank=332)","325","0.079649999999999999","GTEx Coexpression,0.07965"
"SRSF2","5.5396364233056214488","-5.5396364233056214488","0.000000030310025092168523114549325784411459849820857925806195","HVL_TOR10=-5.54","Repressed","4","collectri","4","5.5396364233056214488",NA,"0","",NA,NA,NA
"CDX2","4.5585521621995956920","4.5585521621995956920","0.000005150747256238923411377460259696903221993125043809413910","HVL_TOR10=4.559","Activated","5","collectri","5","4.5585521621995956920",NA,"5","ARCHS4--Coexpression(rank=46); GTEx--Coexpression(rank=60); Literature--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=154); Enrichr--Queries(rank=719)","111","0.028260000000000000","ARCHS4 Coexpression,0.02826"
"MYC","4.3697750442263343373","-4.3697750442263343373","0.000012437459596135657730530885145547870251903077587485313416","HVL_TOR10=-4.37","Repressed","6","collectri","6","4.3697750442263343373",NA,"6","Literature--ChIP-seq(rank=41); ENCODE--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=106); Enrichr--Queries(rank=108); ARCHS4--Coexpression(rank=654); GTEx--Coexpression(rank=1145)","312","0.076920000000000002","Enrichr Queries,0.07692"
"ZNF331","4.2699381514088603495","-4.2699381514088603495","0.000019552718043971085499143844343983289491006871685385704041","HVL_TOR10=-4.27","Repressed","7","collectri","7","4.2699381514088603495",NA,"3","GTEx--Coexpression(rank=186); Enrichr--Queries(rank=287); ARCHS4--Coexpression(rank=1112)","446","0.115699999999999997","GTEx Coexpression,0.1157"
"E2F3","3.8673824655046113996","-3.8673824655046113996","0.000110009820738514202832086796846056131471414119005203247070","HVL_TOR10=-3.867","Repressed","8","collectri","8","3.8673824655046113996",NA,"3","ARCHS4--Coexpression(rank=18); Enrichr--Queries(rank=28); GTEx--Coexpression(rank=1222)","36","0.011060000000000000","ARCHS4 Coexpression,0.01106"
"ZNF143","3.7891134396823633601","-3.7891134396823633601","0.000151185868750665857547163528629141637793509289622306823730","HVL_TOR10=-3.789","Repressed","9","collectri","9","3.7891134396823633601",NA,"5","ReMap--ChIP-seq(rank=32); ENCODE--ChIP-seq(rank=84); Enrichr--Queries(rank=389); GTEx--Coexpression(rank=926); ARCHS4--Coexpression(rank=1421)","423","0.107700000000000004","ReMap ChIP-seq,0.1077"
"ATOH1","3.7889032506018760493","3.7889032506018760493","0.000151313823840289125898309063877889002469601109623908996582","HVL_TOR10=3.789","Activated","10","collectri","10","3.7889032506018760493",NA,"3","GTEx--Coexpression(rank=48); ARCHS4--Coexpression(rank=148); Enrichr--Queries(rank=410)","116","0.029870000000000001","GTEx Coexpression,0.02987"
"CTNNB1","3.7817860195849553051","3.7817860195849553051","0.000155707181610751982034357432382876140763983130455017089844","HVL_TOR10=3.782","Activated","11","collectri","11","3.7817860195849553051",NA,"0","",NA,NA,NA
"HNF1B","3.7310633355832720781","3.7310633355832720781","0.000190673275862204589115728170511943062592763453722000122070","HVL_TOR10=3.731","Activated","12","collectri","12","3.7310633355832720781",NA,"3","ReMap--ChIP-seq(rank=217); ARCHS4--Coexpression(rank=411); Enrichr--Queries(rank=769)","873","0.252500000000000002","ARCHS4 Coexpression,0.2525"
"E2F2","3.7108577043648489635","-3.7108577043648489635","0.000206558194929461810124271536892592848744243383407592773438","HVL_TOR10=-3.711","Repressed","13","collectri","13","3.7108577043648489635",NA,"3","ARCHS4--Coexpression(rank=5); Enrichr--Queries(rank=9); GTEx--Coexpression(rank=1179)","9","0.003071000000000000","ARCHS4 Coexpression,0.003071"
"IRF9","3.6217148424523379902","3.6217148424523379902","0.000292656614107577206940896674680629985232371836900711059570","HVL_TOR10=3.622","Activated","14","collectri","14","3.6217148424523379902",NA,"4","Enrichr--Queries(rank=233); ReMap--ChIP-seq(rank=243); ARCHS4--Coexpression(rank=281); GTEx--Coexpression(rank=728)","622","0.166000000000000009","Enrichr Queries,0.166"
"BHLHA15","3.5565393992424443326","3.5565393992424443326","0.000375772146587848596219899599546465651656035333871841430664","HVL_TOR10=3.557","Activated","15","collectri","15","3.5565393992424443326",NA,"2","GTEx--Coexpression(rank=1149); ARCHS4--Coexpression(rank=1570)","1533","0.714999999999999969","GTEx Coexpression,0.715"
"OLIG2","3.4844352041198076719","-3.4844352041198076719","0.000493176858581655000283994194631986829335801303386688232422","HVL_TOR10=-3.484","Repressed","16","collectri","16","3.4844352041198076719",NA,"4","Literature--ChIP-seq(rank=14); ARCHS4--Coexpression(rank=266); GTEx--Coexpression(rank=898); Enrichr--Queries(rank=1043)","341","0.085370000000000001","Literature ChIP-seq,0.08537"
"RARA","3.4680350721744668263","3.4680350721744668263","0.000524278859426427468713727275684277628897689282894134521484","HVL_TOR10=3.468","Activated","17","collectri","17","3.4680350721744668263",NA,"5","Literature--ChIP-seq(rank=28); ReMap--ChIP-seq(rank=62); Enrichr--Queries(rank=692); ARCHS4--Coexpression(rank=868); GTEx--Coexpression(rank=918)","638","0.170699999999999991","Literature ChIP-seq,0.1707"
