"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","ENRICHR","TRRUST"
"1","ELF3","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.50","15","4","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=410); ARCHS4--Coexpression(rank=489); Enrichr--Queries(rank=727)","15","rank=16; score=1.5818; p=0.026192","rank=15; score=0.003367","rank=81; score=14.477; p=0.045352; adjP=0.61414","rank=74; score=0; p=1"
"2","TP53","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","53.00","23","5","Literature--ChIP-seq(rank=13); Enrichr--Queries(rank=38); GTEx--Coexpression(rank=45); ReMap--ChIP-seq(rank=51); ARCHS4--Coexpression(rank=503)","134","rank=25; score=0.93059; p=0.11733","rank=134; score=0.02707","rank=30; score=34.296; p=0.079056; adjP=0.082623","rank=23; score=1.1021; p=0.079057"
"3","ATF4","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","64.00","35","4","GTEx--Coexpression(rank=44); ARCHS4--Coexpression(rank=211); ReMap--ChIP-seq(rank=264); Enrichr--Queries(rank=557)","135","rank=35; score=0; p=1","rank=135; score=0.02738","rank=47; score=932.06; p=0.0064824; adjP=0.015783","rank=39; score=0; p=1"
"4","FOXO1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","65.75","9","5","Literature--ChIP-seq(rank=6); Enrichr--Queries(rank=72); ReMap--ChIP-seq(rank=223); GTEx--Coexpression(rank=363); ARCHS4--Coexpression(rank=1048)","175","rank=9; score=1.6717; p=0.021298","rank=175; score=0.03659","rank=63; score=427.12; p=0.011938; adjP=0.019724","rank=16; score=1.9231; p=0.011938"
"5","ESRRA","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","77.00","25","5","ENCODE--ChIP-seq(rank=3); Enrichr--Queries(rank=163); ReMap--ChIP-seq(rank=191); GTEx--Coexpression(rank=726); ARCHS4--Coexpression(rank=1060)","125","rank=76; score=0; p=1","rank=125; score=0.02542","rank=25; score=11.207; p=0.089553; adjP=0.82655","rank=82; score=0; p=1"
"6","FOXA1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","77.50","33","6","ReMap--ChIP-seq(rank=6); ENCODE--ChIP-seq(rank=66); Literature--ChIP-seq(rank=82); ARCHS4--Coexpression(rank=607); Enrichr--Queries(rank=961); GTEx--Coexpression(rank=1245)","100","rank=84; score=0; p=1","rank=100; score=0.0202","rank=33; score=40.908; p=0.021193; adjP=0.61414","rank=93; score=0; p=1"
"7","FOSL1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","81.25","28","5","ARCHS4--Coexpression(rank=41); ReMap--ChIP-seq(rank=106); ENCODE--ChIP-seq(rank=107); Enrichr--Queries(rank=658); GTEx--Coexpression(rank=1084)","124","rank=82; score=0; p=1","rank=124; score=0.02518","rank=28; score=25.319; p=0.020442; adjP=0.61414","rank=91; score=0; p=1"
"8","ELF1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","84.00","29","5","ENCODE--ChIP-seq(rank=4); Literature--ChIP-seq(rank=119); ReMap--ChIP-seq(rank=159); ARCHS4--Coexpression(rank=328); GTEx--Coexpression(rank=426)","165","rank=69; score=0; p=1","rank=165; score=0.0339","rank=29; score=8.9223; p=0.11118; adjP=0.80789","rank=73; score=0; p=1"
"9","ESR1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","94.00","21","6","ReMap--ChIP-seq(rank=42); Enrichr--Queries(rank=70); Literature--ChIP-seq(rank=104); ENCODE--ChIP-seq(rank=112); ARCHS4--Coexpression(rank=1037); GTEx--Coexpression(rank=1592)","231","rank=22; score=1.123; p=0.075335","rank=231; score=0.04986","rank=102; score=96.979; p=0.037365; adjP=0.044371","rank=21; score=1.4275; p=0.037365"
"10","VDR","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","100.25","3","5","Literature--ChIP-seq(rank=79); GTEx--Coexpression(rank=102); ReMap--ChIP-seq(rank=116); ARCHS4--Coexpression(rank=538); Enrichr--Queries(rank=777)","289","rank=3; score=1.9231; p=0.011938","rank=289; score=0.06347","rank=91; score=209.35; p=0.020807; adjP=0.028904","rank=18; score=1.6818; p=0.020807"
