"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST"
"1","NR4A1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.0","8","4","ReMap--ChIP-seq(rank=93); Enrichr--Queries(rank=640); ARCHS4--Coexpression(rank=1064); GTEx--Coexpression(rank=1292)","1087","rank=8; score=1.6818; p=0.020807","rank=12; score=2.1263; p=0.0074764"
"2","VDR","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.5","3","5","Literature--ChIP-seq(rank=79); GTEx--Coexpression(rank=102); ReMap--ChIP-seq(rank=116); ARCHS4--Coexpression(rank=538); Enrichr--Queries(rank=777)","289","rank=3; score=1.9231; p=0.011938","rank=18; score=1.6818; p=0.020807"
"3","FOXO1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.5","9","5","Literature--ChIP-seq(rank=6); Enrichr--Queries(rank=72); ReMap--ChIP-seq(rank=223); GTEx--Coexpression(rank=363); ARCHS4--Coexpression(rank=1048)","175","rank=9; score=1.6717; p=0.021298","rank=16; score=1.9231; p=0.011938"
"4","AHR","DoRothEA;TRRUST","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","18.5","10","5","ReMap--ChIP-seq(rank=73); Literature--ChIP-seq(rank=131); ARCHS4--Coexpression(rank=518); Enrichr--Queries(rank=633); GTEx--Coexpression(rank=712)","921","rank=10; score=1.6618; p=0.021788","rank=27; score=0; p=1"
"5","ESR1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.5","21","6","ReMap--ChIP-seq(rank=42); Enrichr--Queries(rank=70); Literature--ChIP-seq(rank=104); ENCODE--ChIP-seq(rank=112); ARCHS4--Coexpression(rank=1037); GTEx--Coexpression(rank=1592)","231","rank=22; score=1.123; p=0.075335","rank=21; score=1.4275; p=0.037365"
"6","TP53","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.0","23","5","Literature--ChIP-seq(rank=13); Enrichr--Queries(rank=38); GTEx--Coexpression(rank=45); ReMap--ChIP-seq(rank=51); ARCHS4--Coexpression(rank=503)","134","rank=25; score=0.93059; p=0.11733","rank=23; score=1.1021; p=0.079057"
"7","SP1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","25.0","24","5","ENCODE--ChIP-seq(rank=40); ARCHS4--Coexpression(rank=91); Enrichr--Queries(rank=120); ReMap--ChIP-seq(rank=129); GTEx--Coexpression(rank=416)","255","rank=26; score=0.82559; p=0.14942","rank=24; score=0.67265; p=0.21249"
"8","ARNT","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","26.0","19","5","Literature--ChIP-seq(rank=39); Enrichr--Queries(rank=73); ReMap--ChIP-seq(rank=180); ARCHS4--Coexpression(rank=185); GTEx--Coexpression(rank=452)","240","rank=19; score=1.5077; p=0.031064","rank=33; score=0; p=1"
"9","AR","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","29.0","27","5","Literature--ChIP-seq(rank=23); ReMap--ChIP-seq(rank=193); Enrichr--Queries(rank=1146); GTEx--Coexpression(rank=1340); ARCHS4--Coexpression(rank=1443)","582","rank=27; score=0; p=1","rank=31; score=0; p=1"
"10","CUX1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","30.0","3","6","ENCODE--ChIP-seq(rank=54); Literature--ChIP-seq(rank=77); ReMap--ChIP-seq(rank=195); Enrichr--Queries(rank=310); ARCHS4--Coexpression(rank=404); GTEx--Coexpression(rank=667)","850","rank=57; score=0; p=1","rank=3; score=2.3986; p=0.0039937"
