"Query Name","Rank","TF","Score","Library","Overlapping_Genes","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"DEG_MVL_ALL","1","TIGD6","0.000614300000000000","ARCHS4 Coexpression,6.143E-4","LTB4R2","chea3","1","0.000614300000000000",NA,NA,"","3","ARCHS4--Coexpression(rank=1); Enrichr--Queries(rank=420); GTEx--Coexpression(rank=1383)","1","0.000614300000000000","ARCHS4 Coexpression,6.143E-4"
"DEG_MVL_ALL","2","TBX4","0.000622300000000000","GTEx Coexpression,6.223E-4","DOCK4,LURAP1L","chea3","2","0.000622300000000000",NA,NA,"","3","GTEx--Coexpression(rank=1); Enrichr--Queries(rank=29); ARCHS4--Coexpression(rank=571)","2","0.000622300000000000","GTEx Coexpression,6.223E-4"
"DEG_MVL_ALL","3","ZNF277","0.000712300000000000","Enrichr Queries,7.123E-4","DOCK4,CDKN1B","chea3","3","0.000712300000000000",NA,NA,"","3","Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1285); ARCHS4--Coexpression(rank=1450)","3","0.000712300000000000","Enrichr Queries,7.123E-4"
"DEG_MVL_ALL","4","OSR1","0.001229000000000000","ARCHS4 Coexpression,0.001229","FOXL1","chea3","4","0.001229000000000000",NA,NA,"","2","ARCHS4--Coexpression(rank=2); GTEx--Coexpression(rank=48)","4","0.001229000000000000","ARCHS4 Coexpression,0.001229"
"DEG_MVL_ALL","5","DUXA","0.001245000000000000","GTEx Coexpression,0.001245","FOXL1","chea3","5","0.001245000000000000",NA,NA,"","3","GTEx--Coexpression(rank=2); Enrichr--Queries(rank=651); ARCHS4--Coexpression(rank=1227)","5","0.001245000000000000","GTEx Coexpression,0.001245"
"DEG_MVL_ALL","6","SATB1","0.001425000000000000","Enrichr Queries,0.001425","DOCK4,CDKN1B","chea3","6","0.001425000000000000",NA,NA,"","4","Enrichr--Queries(rank=2); ReMap--ChIP-seq(rank=21); ARCHS4--Coexpression(rank=78); GTEx--Coexpression(rank=833)","6","0.001425000000000000","Enrichr Queries,0.001425"
"DEG_MVL_ALL","7","ZBTB14","0.001843000000000000","ARCHS4 Coexpression,0.001843","CDKN1B","chea3","7","0.001843000000000000",NA,NA,"","2","ARCHS4--Coexpression(rank=3); GTEx--Coexpression(rank=226)","7","0.001843000000000000","ARCHS4 Coexpression,0.001843"
"DEG_MVL_ALL","8","FOXS1","0.001867000000000000","GTEx Coexpression,0.001867","FOXL1","chea3","8","0.001867000000000000",NA,NA,"","3","GTEx--Coexpression(rank=3); ARCHS4--Coexpression(rank=22); Enrichr--Queries(rank=1310)","8","0.001867000000000000","GTEx Coexpression,0.001867"
"DEG_MVL_ALL","9","FOXB2","0.002137000000000000","Enrichr Queries,0.002137","FOXL1","chea3","9","0.002137000000000000",NA,NA,"","3","Enrichr--Queries(rank=3); ARCHS4--Coexpression(rank=181); GTEx--Coexpression(rank=1439)","9","0.002137000000000000","Enrichr Queries,0.002137"
"DEG_MVL_ALL","10","CREB3L1","0.002457000000000000","ARCHS4 Coexpression,0.002457","FOXL1","chea3","10","0.002457000000000000",NA,NA,"","4","ARCHS4--Coexpression(rank=4); ReMap--ChIP-seq(rank=240); GTEx--Coexpression(rank=871); Enrichr--Queries(rank=1196)","10","0.002457000000000000","ARCHS4 Coexpression,0.002457"
"DEG_MVL_ALL","11","ZNF474","0.002489000000000000","GTEx Coexpression,0.002489","FHAD1","chea3","11","0.002489000000000000",NA,NA,"","3","GTEx--Coexpression(rank=4); ARCHS4--Coexpression(rank=69); Enrichr--Queries(rank=1267)","11","0.002489000000000000","GTEx Coexpression,0.002489"
"DEG_MVL_ALL","12","FOXE3","0.002849000000000000","Enrichr Queries,0.002849","FOXL1","chea3","12","0.002849000000000000",NA,NA,"","3","Enrichr--Queries(rank=4); ARCHS4--Coexpression(rank=599); GTEx--Coexpression(rank=1238)","12","0.002849000000000000","Enrichr Queries,0.002849"
"DEG_MVL_ALL","13","BCL6B","0.003071000000000000","ARCHS4 Coexpression,0.003071","DOCK4","chea3","13","0.003071000000000000",NA,NA,"","3","ARCHS4--Coexpression(rank=5); Enrichr--Queries(rank=921); GTEx--Coexpression(rank=1219)","13","0.003071000000000000","ARCHS4 Coexpression,0.003071"
"DEG_MVL_ALL","14","ZNF487","0.003111000000000000","GTEx Coexpression,0.003111","FHAD1","chea3","14","0.003111000000000000",NA,NA,"","3","GTEx--Coexpression(rank=5); Enrichr--Queries(rank=592); ARCHS4--Coexpression(rank=1292)","14","0.003111000000000000","GTEx Coexpression,0.003111"
"DEG_MVL_ALL","15","ELF3","0.003367000000000000","ReMap ChIP-seq,0.003367","FHAD1,CDKN1B,LTB4R2,LURAP1L,FOXL1","chea3","15","0.003367000000000000",NA,NA,"","4","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=410); ARCHS4--Coexpression(rank=489); Enrichr--Queries(rank=727)","15","0.003367000000000000","ReMap ChIP-seq,0.003367"
"DEG_MVL_ALL","16","HMX1","0.003561000000000000","Enrichr Queries,0.003561","FOXL1","chea3","16","0.003561000000000000",NA,NA,"","3","Enrichr--Queries(rank=5); ARCHS4--Coexpression(rank=1244); GTEx--Coexpression(rank=1556)","16","0.003561000000000000","Enrichr Queries,0.003561"
"DEG_MVL_ALL","17","SNAI2","0.003686000000000000","ARCHS4 Coexpression,0.003686","FOXL1","chea3","17","0.003686000000000000",NA,NA,"","4","ARCHS4--Coexpression(rank=6); ReMap--ChIP-seq(rank=201); Enrichr--Queries(rank=1183); GTEx--Coexpression(rank=1397)","17","0.003686000000000000","ARCHS4 Coexpression,0.003686"
"DEG_MVL_ALL","18","HEY1","0.003734000000000000","GTEx Coexpression,0.003734","DOCK4","chea3","18","0.003734000000000000",NA,NA,"","3","GTEx--Coexpression(rank=6); Enrichr--Queries(rank=930); ARCHS4--Coexpression(rank=1422)","18","0.003734000000000000","GTEx Coexpression,0.003734"
"DEG_MVL_ALL","19","NOTO","0.004274000000000000","Enrichr Queries,0.004274","FOXL1","chea3","19","0.004274000000000000",NA,NA,"","3","Enrichr--Queries(rank=6); ARCHS4--Coexpression(rank=777); GTEx--Coexpression(rank=1346)","19","0.004274000000000000","Enrichr Queries,0.004274"
"DEG_MVL_ALL","20","KCNIP3","0.004300000000000000","ARCHS4 Coexpression,0.0043","ANKRD24","chea3","20","0.004300000000000000",NA,NA,"","2","ARCHS4--Coexpression(rank=7); GTEx--Coexpression(rank=12)","20","0.004300000000000000","ARCHS4 Coexpression,0.0043"
"DEG_MVL_ALL","21","HES4","0.004356000000000000","GTEx Coexpression,0.004356","FOXL1","chea3","21","0.004356000000000000",NA,NA,"","3","GTEx--Coexpression(rank=7); ARCHS4--Coexpression(rank=1286); Enrichr--Queries(rank=1391)","21","0.004356000000000000","GTEx Coexpression,0.004356"
