"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","HIF1A","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","61.16666666666667","1","5","ARCHS4--Coexpression(rank=8); ReMap--ChIP-seq(rank=42); Literature--ChIP-seq(rank=51); GTEx--Coexpression(rank=306); Enrichr--Queries(rank=649)","18","rank=2; score=4.3245; p=4.737e-05","rank=18; score=0.004914","rank=171; score=0.75002; direction=Repressed","rank=5; score=81.182; p=3.7014e-06; adjP=0.00095866","rank=1; score=5.4316; p=3.7017e-06","rank=170; score=1.7366; p=0.082452; direction=Repressed"
"2","KLF5","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","75.00000000000000","3","5","Enrichr--Queries(rank=2); GTEx--Coexpression(rank=8); ARCHS4--Coexpression(rank=9); Literature--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=83)","5","rank=49; score=1.3608; p=0.043566","rank=5; score=0.001425","rank=3; score=7.179; direction=Repressed","rank=233; score=30.974; p=0.00085488; adjP=0.0067525","rank=112; score=0.57592; p=0.26551","rank=48; score=2.6301; p=0.008536; direction=Repressed"
"3","FOS","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","85.66666666666667","12","5","ReMap--ChIP-seq(rank=6); ENCODE--ChIP-seq(rank=19); GTEx--Coexpression(rank=194); Enrichr--Queries(rank=209); ARCHS4--Coexpression(rank=406)","81","rank=12; score=2.9051; p=0.0012442","rank=81; score=0.0202","rank=202; score=0.4727; direction=Repressed","rank=51; score=18.98; p=0.0099375; adjP=0.15289","rank=133; score=0.41155; p=0.38766","rank=35; score=2.7601; p=0.0057783; direction=Repressed"
"4","ZEB1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","91.00000000000000","7","5","ENCODE--ChIP-seq(rank=10); ARCHS4--Coexpression(rank=34); Enrichr--Queries(rank=71); GTEx--Coexpression(rank=125); ReMap--ChIP-seq(rank=269)","85","rank=130; score=0.5235; p=0.29957","rank=85; score=0.02088","rank=7; score=4.6296; direction=Activated","rank=64; score=10.195; p=0.013512; adjP=0.3998","rank=113; score=0.57592; p=0.26551","rank=147; score=1.8906; p=0.05868; direction=Repressed"
"5","ELF3","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","92.00000000000000","14","4","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=14); ARCHS4--Coexpression(rank=26); Enrichr--Queries(rank=42)","14","rank=20; score=2.1022; p=0.007903","rank=14; score=0.003367","rank=58; score=2.4304; direction=Repressed","rank=280; score=8.5962; p=0.047951; adjP=0.13706","rank=84; score=0.71594; p=0.19233","rank=96; score=2.1257; p=0.033526; direction=Repressed"
"6","ETS1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","101.00000000000000","51","6","Enrichr--Queries(rank=39); ReMap--ChIP-seq(rank=68); ENCODE--ChIP-seq(rank=77); Literature--ChIP-seq(rank=158); GTEx--Coexpression(rank=251); ARCHS4--Coexpression(rank=731)","118","rank=114; score=0.595; p=0.2541","rank=118; score=0.02778","rank=81; score=1.9228; direction=Repressed","rank=184; score=4.8335; p=0.11463; adjP=0.37324","rank=51; score=0.94069; p=0.11463","rank=58; score=2.5275; p=0.011488; direction=Repressed"
"7","EGR1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","102.00000000000000","8","6","Literature--ChIP-seq(rank=47); ENCODE--ChIP-seq(rank=67); Enrichr--Queries(rank=95); ReMap--ChIP-seq(rank=112); GTEx--Coexpression(rank=126); ARCHS4--Coexpression(rank=270)","281","rank=14; score=2.5827; p=0.0026138","rank=281; score=0.06766","rank=31; score=3.3749; direction=Repressed","rank=35; score=19.559; p=0.0041183; adjP=0.023452","rank=8; score=2.3348; p=0.0046264","rank=243; score=1.4258; p=0.15392; direction=Repressed"
"8","JUN","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","103.16666666666667","6","6","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=23); Literature--ChIP-seq(rank=44); GTEx--Coexpression(rank=180); Enrichr--Queries(rank=194); ARCHS4--Coexpression(rank=540)","145","rank=19; score=2.1119; p=0.0077288","rank=145; score=0.0339","rank=187; score=0.58594; direction=Repressed","rank=6; score=52.795; p=1.2922e-05; adjP=0.0016734","rank=37; score=1.2088; p=0.061837","rank=225; score=1.5449; p=0.12238; direction=Repressed"
"9","ESR1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","104.66666666666667","41","6","ENCODE--ChIP-seq(rank=6); Literature--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=52); ARCHS4--Coexpression(rank=133); GTEx--Coexpression(rank=243); Enrichr--Queries(rank=374)","215","rank=63; score=1.1249; p=0.075004","rank=215; score=0.05085","rank=41; score=3.0421; direction=Repressed","rank=65; score=11.897; p=0.00097265; adjP=0.0071841","rank=150; score=0.27159; p=0.53507","rank=94; score=2.1333; p=0.032901; direction=Repressed"
"10","SNAI2","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","105.33333333333333","1","4","ARCHS4--Coexpression(rank=1); ReMap--ChIP-seq(rank=79); Enrichr--Queries(rank=115); GTEx--Coexpression(rank=182)","1","rank=91; score=0.69545; p=0.20163","rank=1; score=0.0006143","rank=24; score=3.5914; direction=Activated","rank=321; score=4.0525; p=0.28274; adjP=0.40459","rank=117; score=0.54861; p=0.28274","rank=78; score=2.3006; p=0.021415; direction=Repressed"
