"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR"
"1","MTF2","ChEA3;ENRICHR","3","ChEA3;ENRICHR;CollecTRI","11.5","2","3","Literature--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=1086); GTEx--Coexpression(rank=1139)","21","rank=21; score=0.006098","rank=2; score=89.708; p=5.3192e-16; adjP=3.4457e-13"
"2","HIF1A","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","11.5","5","5","ARCHS4--Coexpression(rank=8); ReMap--ChIP-seq(rank=42); Literature--ChIP-seq(rank=51); GTEx--Coexpression(rank=306); Enrichr--Queries(rank=649)","18","rank=18; score=0.004914","rank=5; score=81.182; p=3.7014e-06; adjP=0.00095866"
"3","GATA3","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","20.0","7","6","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=31); Literature--ChIP-seq(rank=39); ARCHS4--Coexpression(rank=107); Enrichr--Queries(rank=231); GTEx--Coexpression(rank=359)","33","rank=33; score=0.008475","rank=7; score=21.316; p=2.1037e-05; adjP=0.0071175"
"4","IRF6","ChEA3;ENRICHR","3","ChEA3;ENRICHR;CollecTRI","26.5","12","3","ARCHS4--Coexpression(rank=5); GTEx--Coexpression(rank=6); Enrichr--Queries(rank=76)","12","rank=12; score=0.003071","rank=41; score=10.458; p=0.17293; adjP=0.99692"
"5","SOX2","ChEA3;ENRICHR","5","DoRothEA;ChEA3;ENRICHR;TRRUST;CollecTRI","31.5","13","5","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=104); Enrichr--Queries(rank=306); GTEx--Coexpression(rank=558); ARCHS4--Coexpression(rank=921)","50","rank=50; score=0.0122","rank=13; score=79.438; p=4.5071e-14; adjP=1.1208e-11"
"6","TP63","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.0","28","5","ARCHS4--Coexpression(rank=12); Literature--ChIP-seq(rank=19); ReMap--ChIP-seq(rank=56); GTEx--Coexpression(rank=58); Enrichr--Queries(rank=72)","28","rank=28; score=0.007371","rank=46; score=23.758; p=2.4482e-06; adjP=8.6971e-05"
"7","HNF1B","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","39.5","25","3","ReMap--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=11); Enrichr--Queries(rank=464)","25","rank=25; score=0.006734","rank=54; score=75.955; p=0.010658; adjP=0.15289"
"8","KLF4","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","40.0","27","5","Enrichr--Queries(rank=10); Literature--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=74); ARCHS4--Coexpression(rank=152); GTEx--Coexpression(rank=208)","27","rank=27; score=0.007123","rank=53; score=30.974; p=0.00085488; adjP=0.0067525"
"9","AHR","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","45.0","11","5","Enrichr--Queries(rank=4); ARCHS4--Coexpression(rank=49); Literature--ChIP-seq(rank=56); GTEx--Coexpression(rank=117); ReMap--ChIP-seq(rank=162)","11","rank=11; score=0.002849","rank=79; score=28.143; p=0.014167; adjP=0.10154"
"10","ZNF217","ChEA3;ENRICHR","4","DoRothEA;ChEA3;VIPER;ENRICHR","45.0","16","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=21); ReMap--ChIP-seq(rank=45); Enrichr--Queries(rank=574); ARCHS4--Coexpression(rank=898); GTEx--Coexpression(rank=1563)","74","rank=74; score=0.01829","rank=16; score=59.669; p=9.7954e-11; adjP=1.8268e-08"
