"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","TRRUST"
"1","E2F1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.00000000000000","1","6","GTEx--Coexpression(rank=5); ReMap--ChIP-seq(rank=5); Enrichr--Queries(rank=8); ARCHS4--Coexpression(rank=9); ENCODE--ChIP-seq(rank=36); Literature--ChIP-seq(rank=37)","11","rank=11; score=0.003111","rank=3; score=71.973; p=6.5657e-14; adjP=9.8355e-12","rank=1; score=7.4828; p=3.2903e-08"
"2","E2F4","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","11.66666666666667","1","6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=3); Enrichr--Queries(rank=156); ARCHS4--Coexpression(rank=637); GTEx--Coexpression(rank=1140)","32","rank=32; score=0.0101","rank=1; score=1160.4; p=8.2834e-73; adjP=8.6148e-71","rank=2; score=5.8804; p=1.317e-06"
"3","FOXM1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","16.66666666666667","2","6","ENCODE--ChIP-seq(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=6)","2","rank=2; score=0.0006223","rank=2; score=5254.4; p=9.5523e-72; adjP=7.1547e-69","rank=46; score=1.2382; p=0.057784"
"4","TP53","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","18.66666666666667","3","5","ARCHS4--Coexpression(rank=22); Literature--ChIP-seq(rank=44); ReMap--ChIP-seq(rank=136); Enrichr--Queries(rank=206); GTEx--Coexpression(rank=228)","47","rank=47; score=0.01351","rank=6; score=32.248; p=1.8565e-05; adjP=0.0022464","rank=3; score=4.7313; p=1.8567e-05"
"5","E2F3","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","25.00000000000000","5","3","ARCHS4--Coexpression(rank=27); Enrichr--Queries(rank=30); GTEx--Coexpression(rank=845)","59","rank=59; score=0.01658","rank=11; score=88.677; p=0.00037124; adjP=0.026952","rank=5; score=3.4303; p=0.00037125"
"6","MYBL2","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","26.66666666666667","5","6","Enrichr--Queries(rank=2); Literature--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=7); ReMap--ChIP-seq(rank=11); GTEx--Coexpression(rank=13); ENCODE--ChIP-seq(rank=29)","5","rank=5; score=0.001425","rank=23; score=33.785; p=9.139e-09; adjP=8.5564e-07","rank=52; score=1.1979; p=0.063403"
"7","CTCF","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","36.33333333333334","4","6","ReMap--ChIP-seq(rank=8); ARCHS4--Coexpression(rank=11); ENCODE--ChIP-seq(rank=54); Literature--ChIP-seq(rank=160); Enrichr--Queries(rank=582); GTEx--Coexpression(rank=1037)","19","rank=19; score=0.006757","rank=4; score=24.479; p=0.0011177; adjP=0.1739","rank=86; score=0.67658; p=0.21058"
"8","TFDP1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.66666666666666","9","4","GTEx--Coexpression(rank=4); ReMap--ChIP-seq(rank=7); ARCHS4--Coexpression(rank=15); Enrichr--Queries(rank=25)","9","rank=9; score=0.002489","rank=81; score=33.126; p=0.013421; adjP=0.18044","rank=23; score=1.8722; p=0.013421"
"9","TCF3","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","63.66666666666666","50","6","GTEx--Coexpression(rank=27); Literature--ChIP-seq(rank=32); ENCODE--ChIP-seq(rank=99); ARCHS4--Coexpression(rank=111); ReMap--ChIP-seq(rank=164); Enrichr--Queries(rank=282)","60","rank=60; score=0.0168","rank=50; score=5.3312; p=0.024328; adjP=0.15178","rank=81; score=0.77572; p=0.1676"
"10","MYCN","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","66.66666666666667","31","5","Literature--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=45); ReMap--ChIP-seq(rank=58); Enrichr--Queries(rank=97); GTEx--Coexpression(rank=734)","97","rank=97; score=0.02764","rank=72; score=17.964; p=0.00025936; adjP=0.0080941","rank=31; score=1.5181; p=0.030335"
