"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST"
"1","E2F1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.5","1","6","GTEx--Coexpression(rank=5); ReMap--ChIP-seq(rank=5); Enrichr--Queries(rank=8); ARCHS4--Coexpression(rank=9); ENCODE--ChIP-seq(rank=36); Literature--ChIP-seq(rank=37)","11","rank=2; score=8.0294; p=9.3451e-09","rank=1; score=7.4828; p=3.2903e-08"
"2","E2F4","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.5","1","6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=3); Enrichr--Queries(rank=156); ARCHS4--Coexpression(rank=637); GTEx--Coexpression(rank=1140)","32","rank=1; score=18.752; p=1.7685e-19","rank=2; score=5.8804; p=1.317e-06"
"3","TP53","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","3.5","3","5","ARCHS4--Coexpression(rank=22); Literature--ChIP-seq(rank=44); ReMap--ChIP-seq(rank=136); Enrichr--Queries(rank=206); GTEx--Coexpression(rank=228)","47","rank=4; score=5.091; p=8.1094e-06","rank=3; score=4.7313; p=1.8567e-05"
"4","USF1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.0","6","5","ReMap--ChIP-seq(rank=32); ENCODE--ChIP-seq(rank=77); GTEx--Coexpression(rank=400); ARCHS4--Coexpression(rank=552); Enrichr--Queries(rank=857)","411","rank=6; score=3.0101; p=0.00097701","rank=6; score=3.2511; p=0.00056098"
"5","SP1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.0","7","5","ENCODE--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=21); GTEx--Coexpression(rank=394); ARCHS4--Coexpression(rank=1299); Enrichr--Queries(rank=1301)","228","rank=7; score=2.7246; p=0.0018855","rank=7; score=3.1398; p=0.00072484"
"6","E2F3","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.5","5","3","ARCHS4--Coexpression(rank=27); Enrichr--Queries(rank=30); GTEx--Coexpression(rank=845)","59","rank=12; score=2.4199; p=0.0038031","rank=5; score=3.4303; p=0.00037125"
"7","MYC","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.5","4","6","ENCODE--ChIP-seq(rank=16); Literature--ChIP-seq(rank=35); Enrichr--Queries(rank=73); ReMap--ChIP-seq(rank=129); GTEx--Coexpression(rank=386); ARCHS4--Coexpression(rank=673)","197","rank=15; score=2.0801; p=0.0083149","rank=4; score=3.6177; p=0.00024117"
"8","TFDP1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","16.5","10","4","GTEx--Coexpression(rank=4); ReMap--ChIP-seq(rank=7); ARCHS4--Coexpression(rank=15); Enrichr--Queries(rank=25)","9","rank=10; score=2.5611; p=0.0027472","rank=23; score=1.8722; p=0.013421"
"9","ESR1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","16.5","14","6","Literature--ChIP-seq(rank=13); ENCODE--ChIP-seq(rank=69); ReMap--ChIP-seq(rank=110); Enrichr--Queries(rank=523); GTEx--Coexpression(rank=698); ARCHS4--Coexpression(rank=984)","308","rank=19; score=1.7301; p=0.018617","rank=14; score=2.1794; p=0.0066154"
"10","REST","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","17.5","13","6","ReMap--ChIP-seq(rank=33); ENCODE--ChIP-seq(rank=81); Literature--ChIP-seq(rank=97); ARCHS4--Coexpression(rank=587); GTEx--Coexpression(rank=599); Enrichr--Queries(rank=1194)","421","rank=22; score=1.6433; p=0.022734","rank=13; score=2.2202; p=0.0060222"
