"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"VEGF_A_UP.V1_UP","VEGF_A_UP.V1_UP","132","0.4920706288520167","2.666813180415148","0.0000000001000000000000000","0.00000000378000000000000","0.000000001505637074763333","3339","tags=56%, list=26%, signal=42%","ITGB4/P2RX4/LY6E/CLCN6/LMOD1/DUSP8/KCNC3/ENO3/RHBDD3/RELB/CFAP410/TRAF1/KANK3/SH3BP2/ETFB/ATF3/ZNF205/TXNIP/NFKB2/TMEM8B/MATN2/EVX1/IFT140/CCDC57/SUPT6H/KMT2D/IRF5/TNS2/NEDD9/PPP6R2/TM7SF2/PPL/HLA-DMA/BMP8A/IQCK/CALCOCO1/UBE2L6/CCS/PHLDA1/EPHX1/IL32/CLIP2/LYRM9/IRF9/DENND3/INPP5J/RFNG/FPGS/HTT/SHC2/UBA7/OPTN/ICAM1/MYO1F/COL11A2/SDC4/PSMB8/TAGLN/CLIP3/CD19/AKAP3/FMO4/NCF2/SLC12A2/HDAC5/MYL9/CACNB1/PTPRJ/KATNIP/ZCCHC24/ADARB1/CCDC22/FMO5/IRS2",NA
"CSR_LATE_UP.V1_UP","CSR_LATE_UP.V1_UP","137","-0.5135253627615208","-2.644212473313151","0.0000000001000000000000000","0.00000000378000000000000","0.000000001505637074763333","3646","tags=69%, list=29%, signal=50%","JPT1/AP1S2/KIF22/ILF2/CHEK2/TUBG1/SNRPA1/SMS/LMNB2/MT1F/EIF5A/POLD1/EZH2/PSMC3/SACK1D/DTYMK/FANCA/PSMD2/CKAP2/MT2A/DCBLD1/DNAJB11/ANLN/CCND3/RRM2/ZWINT/CCDC34/TCF19/DRAP1/NUDC/MCM3/FOXM1/HIP1/UHRF1/GTF3C6/GMNN/SSTR1/CDC7/FEN1/TEX30/RAD18/CDCA8/CDK1/UBE2C/HMGB1/COPS3/TOMM34/ELOC/PRIM1/NUP88/MYBL2/POLE3/CMC2/MAPRE1/CLSPN/HAT1/ACTL6A/BIRC5/PBK/CDC6/PAICS/GINS3/TRIP13/NDC1/ZWILCH/SHCBP1/NOC2L/PRMT5/EXOSC9/SLF1/NETO2/NUF2/CTPS1/CBFB/AHSA1/DCTPP1/ZNF367/YEATS4/UMPS/HAUS2/LYAR/ITGA6/IMP4/MTHFD1/UTP18/EIF3B/PA2G4/PDCL3/EEF1E1/RPF2/TSPAN13/PGM2/FARSB/NUDCD1/PSMD14",NA
"ERBB2_UP.V1_DN","ERBB2_UP.V1_DN","174","-0.4853943025068484","-2.589798182041096","0.0000000001000000000000000","0.00000000378000000000000","0.000000001505637074763333","2811","tags=49%, list=22%, signal=39%","STIL/LIN7C/HIRA/IGF1R/ID2/RBBP8/ANKRD12/CENPE/CASP6/ECT2/TOPBP1/DEPDC1/MAD2L1/EMC2/MYC/TTK/FBXO5/ARHGAP29/PEG10/CYP26B1/INPP5F/MSH2/PLK4/BCL2/RAD51AP1/SMC3/MTCL1/TIAM1/NCAPG/MYBL1/RAD54B/DTL/KCTD3/ZNF267/MYB/RMI1/RECQL/ZCCHC2/ICE1/EIF2S3/SS18/HSPA4L/CPOX/PRKAR2B/RIF1/RMC1/TMED5/ZNF107/ATP8B1/GNL2/ABLIM1/USP16/ADD3/NOC3L/CETN3/PRMT3/SMARCA5/ZNF430/DCPH1/PSPH/KANK1/C2CD5/AIRIM/UBA6/ACTR6/CEBPZ/ATF1/RNF138/CCDC59/AMIGO2/MTIF2/ITPRID2/WDR43/PRELID3B/MRPL19/HSPA13/RRP15/LPGAT1/RPAP3/PAK1IP1/CHD1/CUL5/SSB/TM4SF1/CALB2/NAA15",NA
"VEGF_A_UP.V1_DN","VEGF_A_UP.V1_DN","162","-0.4824672054823114","-2.544230959469524","0.0000000001000000000000000","0.00000000378000000000000","0.000000001505637074763333","3178","tags=57%, list=25%, signal=43%","CCNB1/DBF4/MBD4/OSTF1/AIMP1/FABP4/MCM4/RRM2/SMC4/HIRA/THOC2/LMNB1/CDKN3/SPAG5/STIP1/KIF23/DNAJC13/ORC2/TMPO/CENPE/BUB1/HMMR/KIF11/XRCC4/CCNB2/BUB1B/MEST/MAD2L1/RASA2/PRPF40A/TTK/ARHGAP29/CDC45/TLE3/PLK4/FKBP5/RFC4/DHFR/STEAP1/NUDT21/VRK1/BIRC5/SEL1L/NUP155/DLGAP5/TFAM/ATIC/NDC80/CCDC86/NOC2L/CSE1L/CENPA/EXO1/RRP12/NRP1/RECQL/NUP50/CTNNAL1/EIF2S3/RNF6/IPO5/RIF1/TRAPPC8/UAP1/FLT1/CDC27/PAPOLA/PRMT3/PPIG/AMD1/PNO1/ARMC6/BCLAF1/MPHOSPH6/SCAF11/MAPK6/LRRFIP1/CEBPZ/RAP1A/PSD3/ATP13A3/UGP2/TRIM25/NBN/YES1/MRPL19/PUM3/NEK7/BAZ1A/SLC4A7/ZC3H15/DDX21",NA
"GCNP_SHH_UP_LATE.V1_UP","GCNP_SHH_UP_LATE.V1_UP","153","-0.4833978493138114","-2.521411693440145","0.0000000001000000000000000","0.00000000378000000000000","0.000000001505637074763333","3627","tags=63%, list=29%, signal=45%","RLIM/ASB3/CKS2/INCENP/PIK3CA/IVNS1ABP/FOXA1/NTMT1/COX7B/TK1/LIG1/CFDP1/UFD1/NOP56/PCNT/DDX39A/FANCC/SMIM11/SOCS2/PHTF2/DIDO1/TOP2A/AURKA/DDX3X/MCM4/RRM2/SMC4/TIMM8A/RRM1/KIFC1/PSMC3IP/DCAF1/GALNT3/SLC29A1/LBR/LARP7/SMC2/HNRNPU/CDC25A/CDK1/MBD2/POLA2/MIS18BP1/KIF2C/CDC25C/PRC1/E2F8/AFG2A/METAP1/SGO1/TARDBP/YWHAE/AURKB/SRSF1/COPB1/MCM6/MCM5/DLGAP5/XPO1/TRIP13/FBXO11/CLIC4/FRMD6/COIL/SLTM/CDCA7/MYB/CHEK1/SLC23A2/USP39/SSX2IP/SRSF10/MCM10/PBDC1/MRTO4/SMIM20/MAGOH/MATR3/FANCM/TMOD3/NAA30/C1orf174/ARL5A/MOB1A/MRPL18/NPM1/GNL3/SERPINB9/SINHCAF/GART/TOP2B/MIOS/EIF3A/EIF2A/NAA15/ABCE1",NA
"CSR_EARLY_UP.V1_DN","CSR_EARLY_UP.V1_DN","107","0.4526399618783108","2.311708533448791","0.0000000236788567505378259","0.00000044753039258516485","0.000000178258823058098865","3290","tags=55%, list=26%, signal=41%","CDKN1B/CIRBP/ZNF337/COL1A1/LDB1/CAVIN2/ABCC10/ACCS/APBB3/ZNF226/ING4/ARRDC3/HSPG2/TXNIP/ELMOD3/CKB/IP6K2/STAT2/POLL/ZFYVE1/ZNF585B/DDX17/ZNF467/ACBD4/GSDMB/CC2D1A/NR1H3/SNPH/NYNRIN/ADAMTSL4/TRIM56/DHRS3/STX16/ZNF302/PAN2/PEX6/NATD1/GRHL1/XAF1/PRRT2/ANKZF1/TENT5C/HBP1/MINDY1/PLCD1/IFIT2/FZD2/MSRB1/MPPE1/PDE5A/DCP1B/RAPGEF3/NPHP3/BBC3/SULF1/FBXO38/ZNF500/MRI1/DXO","0.7337619883564803"
"PGF_UP.V1_UP","PGF_UP.V1_UP","158","-0.4340442058261363","-2.286116009820789","0.0000000005497962023624391","0.00000001484449746378586","0.000000005912811041721231","1344","tags=26%, list=11%, signal=23%","NECAP1/RECQL/EIF2S3/RFK/RNF6/BPGM/RIF1/OPA1/TMED5/MAGOH/MICU2/LARP4/CDC27/ZNF354A/PAPOLA/PPIG/SP3/PHF3/ARMC6/PSPH/BCLAF1/SCAF11/MAPK6/UPF2/CEBPZ/RAP1A/ATP13A3/UGP2/PPID/TDRD3/HSPA13/NEK7/PDCD10/OSBPL8/POLR1F/CALB2/SLC4A7/KIAA0040/MTREX/PPAT/ABCE1","0.8012155746177786"
"KRAS.BREAST_UP.V1_DN","KRAS.BREAST_UP.V1_DN","64","0.4912836116059559","2.269537680210141","0.0000016869266276947021437","0.00001992682078964366825","0.000007937185228320703818","1666","tags=36%, list=13%, signal=31%","CLSTN3/DTX2/NFATC4/COL5A2/FGFR3/TRAPPC14/CDK18/FRAS1/EGFL7/ASPHD1/CCDC57/POLL/MEGF8/EPHX2/PGGHG/PAQR6/MTHFR/MAST3/MYOM2/DENND2D/SOBP/SERPING1/FGGY","0.6435518361507222"
"PGF_UP.V1_DN","PGF_UP.V1_DN","108","0.4392107607051645","2.253655889667685","0.0000000612377672771534658","0.00000105217618321654605","0.000000419099330855504963","3420","tags=52%, list=27%, signal=38%","ITGB4/SLC29A2/IGFBP6/LTK/EVPL/TAOK2/LY6E/S100A4/KCNC3/RELB/CFAP410/NR6A1/OBSCN/ZNF185/KLK10/PAX2/NFKB2/KCNAB2/PXN/LOXL1/KMT2D/BCAM/CACNA1H/NPR2/ZNF646/AK4/VGF/APOC1/KCNN4/CEACAM6/IQCK/RFNG/TTLL3/MAP1A/OGDH/COL18A1/HOMER2/CBFA2T3/NUCB1/MYO1F/ANGEL1/COL11A2/LRRC23/SDC4/MCF2L/MAST1/CYP1A1/DLEC1/MYL9/NPAS3/TNFAIP3/CREBZF/AURKC/TRIO/PAIP2B/DHX34","0.7049757151672383"
"E2F1_UP.V1_UP","E2F1_UP.V1_UP","172","-0.4211460059409328","-2.219452717076797","0.0000000003741280207793714","0.00000001178503265455020","0.000000004694175156610401","3503","tags=58%, list=28%, signal=42%","CDK5R1/ITSN1/IVNS1ABP/GPR19/TRNT1/VEGFA/PARP16/CAD/INO80C/EZH2/HMGB3/TK1/DBF4/BOLA3/NOP56/PRIM2/RHBDL3/SOCS2/ELAVL1/CNIH2/TOP2A/SRSF4/RBM15/STIL/MCM4/MSH3/HSPBP1/PBX3/MAP3K3/RRM1/LMNB1/KIFC1/MXI1/KPNA3/UBE2T/BUB1/DCAF1/NASP/PARP1/BRCA2/TYMS/SMC2/FEN1/NUP43/POLA2/PLK4/SLC20A1/CSTF2/PRC1/CHAF1B/E2F8/BCL2/AGO2/SGO1/UCK2/AURKB/SLC7A1/LARP4B/DNA2/NCAPH/PIM1/DLGAP5/TFAM/ERMP1/NBL1/WDHD1/SLBP/WBP11/RBM22/CHEK1/PSME3/USP39/RELL1/SSX2IP/PIGA/MCM10/HPF1/MTSS2/DCTPP1/TYRO3/GRWD1/ADIPOR2/FANCM/WRN/RRP1B/DNAJC21/DDX46/RB1/CNOT7/TPD52/DNAJC2/KIF2A/CDV3/SINHCAF/NDUFAF4/NAB1/USP10/NOLC1/GRSF1","0.8140358378479079"
