"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","198","-0.6631685105100200","-3.080893380171560","0.00000000010000000000000","0.000000001666666666666667","0.0000000006162030369651888","2030","tags=63%, list=16%, signal=54%","E2F4/HOXC10/E2F2/ORC6/POLA2/XPO1/TFDP1/RBM14/H2AZ1/FOXN3/DR1/TRA2B/CDK1/BRCA2/FBXO5/POLE/EXO1/PTTG1/CDC45/PRIM2/SYNCRIP/CHMP1A/EZH2/TOP2A/SAP30/SMC1A/CDC25B/MKI67/PRMT5/RAD54L/PDS5B/HIF1A/KPNB1/NSD2/RPS6KA5/MYBL2/CENPF/TOP1/H2AZ2/POLQ/AURKB/BIRC5/LMNB1/STAG1/NUSAP1/CDKN2C/MTF2/UBE2C/KIF23/CUL1/PBK/DTYMK/TTK/CDKN3/KIF4A/KIF15/ESPL1/SMC4/BUB1/NDC80/SMC2/CCNA2/CTCF/CENPA/KNL1/UPF1/STMN1/PLK4/KIF2C/TNPO2/CCNB2/KIF11/TROAP/NEK2/TPX2/MAD2L1/PLK1/ARID4A/SS18/CKS1B/DBF4/TACC3/H2AX/ATF5/STIL/CDC20/SUV39H1/BUB3/HMMR/TMPO/KPNA2/CBX1/CUL3/CENPE/DDX39A/RACGAP1/PRC1/NUP50/UBE2S/NUMA1/HMGB3/ILF3/EWSR1/SLC7A5/KIF20B/AURKA/KIF22/INCENP/CCNF/NOTCH2/JPT1/CKS2/TRAIP/TENT4A/BCL3/HSPA8/LBR/RAD21/KMT5A/NUP98/CDC27/KATNA1/SFPQ/KIF5B/ODF2",NA
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","199","-0.6335239489907696","-2.958932362296913","0.00000000010000000000000","0.000000001666666666666667","0.0000000006162030369651888","2721","tags=67%, list=21%, signal=54%","POLD2/BARD1/ATAD2/DNMT1/HELLS/TP53/EXOSC8/MCM7/RPA3/HNRNPD/NBN/BRCA1/GINS1/NUDT21/PPM1D/RBBP7/GSPT1/CDKN2A/USP1/SRSF2/DUT/RAD51C/ORC6/POLA2/XPO1/MLH1/RFC3/RRM2/H2AZ1/PHF5A/NUP153/DEK/RPA1/TIMELESS/TRA2B/POLD1/CDK1/SSRP1/BRCA2/ING3/POLE/PTTG1/PRIM2/TCF19/RANBP1/SYNCRIP/NUP205/GINS4/LYAR/E2F8/DCK/EZH2/TOP2A/CENPM/CSE1L/DSCC1/SMC1A/CDC25B/TK1/MKI67/SHMT1/PDS5B/UBE2T/ASF1B/RAN/MYBL2/RAD51AP1/MRE11/SNRPB/AURKB/BIRC5/PNN/LMNB1/STAG1/MELK/CDKN2C/SPC25/ASF1A/WDR90/CDCA3/ZW10/CDKN3/KIF4A/ESPL1/SMC4/TUBB/DLGAP5/CTCF/ANP32E/STMN1/PLK4/LIG1/KIF2C/CCNB2/DIAPH3/SPC24/MAD2L1/PLK1/HMGB2/CKS1B/DEPDC1/TACC3/H2AX/KIF18B/BUB1B/CDC20/SUV39H1/TRIP13/HMMR/TMPO/CDCA8/KPNA2/CENPE/PSIP1/CHEK2/DDX39A/RACGAP1/NUP107/MXD3/SPAG5/NCAPD2/POP7/UBE2S/TUBG1/HMGB3/ILF3/AURKA/KIF22/CIT/JPT1/CKS2/LBR/RAD21",NA
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","196","-0.5557508612081741","-2.577349557829024","0.00000000010000000000000","0.000000001666666666666667","0.0000000006162030369651888","1871","tags=43%, list=14%, signal=38%","SAC3D1/EPB41L2/PCGF5/SHROOM2/CDK1/BRCA2/FBXO5/TBCD/ACTN4/STAU1/TUBGCP3/TOP2A/SMC1A/MID1/CEP57/MYH9/MYO9B/ARHGDIA/RALBP1/CENPF/BIRC5/PXN/CEP192/VCL/LMNB1/SPTBN1/NUSAP1/PIF1/MAPRE1/ANLN/KIF23/FLNA/CCDC88A/TTK/MARK4/KIF4A/KIF15/SASS6/ESPL1/SMC4/BUB1/NDC80/MAP3K11/DLGAP5/BCAR1/KIF2C/TAOK2/CCNB2/KIF11/NEK2/TPX2/PLK1/PALLD/LLGL1/TUBA4A/KPTN/CENPE/RACGAP1/PRC1/CEP72/CEP250/CPAP/TUBD1/NUMA1/PCM1/LATS1/KIF20B/AURKA/KIF22/CEP131/INCENP/NOTCH2/ECT2/PLEKHG2/CKAP5/MYH10/PCNT/CDK5RAP2/CDC27/KATNA1/MAP1S/CNTRL/KIF5B/CNTROB/SUN2",NA
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","200","-0.4301177806036580","-2.003802385306078","0.00000005834221034952942","0.000000729277629369117693","0.0000002696298540048141774","4013","tags=55%, list=31%, signal=38%","ABCE1/SERBP1/LDHA/EIF4E/SF3B3/PCBP1/IARS1/IFRD1/SRPK1/RPS10/NOP56/EXOSC7/PCNA/UBE2L3/PSMA7/HSPD1/HPRT1/DDX21/PSMA2/YWHAQ/CDK4/SRSF1/PSMB3/NAP1L1/HNRNPA3/HNRNPU/SNRPG/SNRPD1/SRSF7/HNRNPA2B1/CCT2/HNRNPA1/EIF4H/POLE3/GOT2/CCT4/MRPS18B/PA2G4/ETF1/PSMD14/PSMD8/XPOT/RFC4/FAM120A/PHB2/ODC1/PPM1G/HDGF/POLD2/CANX/CAD/GLO1/EIF3J/RPS5/MCM7/SET/EIF3B/SNRPA1/HNRNPD/DHX15/CCT3/GSPT1/USP1/SRSF2/DUT/CBX3/VBP1/PSMD3/XPO1/TFDP1/PTGES3/HNRNPR/PSMD7/TYMS/FBL/H2AZ1/RRM1/DEK/TRA2B/TCP1/CYC1/PRPS2/CDC45/RANBP1/SYNCRIP/CCT5/KPNB1/RAN/HDAC2/RUVBL2/EIF2S2/VDAC3/UBA2/PSMC6/CUL1/EIF4A1/RNPS1/SF3A1/CCNA2/SRSF3/MAD2L1/PRPF31/CDC20/TARDBP/BUB3/KPNA2/EIF4G2/ILF2/TRIM28","0.7195128263389107"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","163","-0.4120248861613151","-1.862397772159661","0.00000526774962209587840","0.000052677496220958784016","0.0000194760198906462331020","1310","tags=23%, list=10%, signal=21%","NFE2L2/MAFF/NINJ1/CLCF1/EHD1/PHLDA1/GEM/LDLR/DUSP5/IER2/NFAT5/IER5/DUSP4/SPSB1/TGIF1/TUBB2A/DRAM1/TIPARP/ZFP36/GADD45A/ID2/KLF4/NR4A1/EGR2/GADD45B/HBEGF/EIF1/ZC3H12A/FOSL1/CCN1/BCL3/IER3/JUNB/MCL1/KLF10/PPP1R15A/EGR1","0.6105268783859310"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING","50","-0.4904474643207348","-1.856493159168181","0.00086261539185057494426","0.003920979053866249786076","0.0014496715205215653359677","2373","tags=36%, list=18%, signal=30%","SKI/MAP3K7/SMAD3/FURIN/ID3/TRIM33/SMURF2/UBE2D3/NCOR2/SPTBN1/ARID4B/TGIF1/THBS1/ID2/TGFBR1/JUNB/KLF10/PPP1R15A","0.4772708153628621"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION","83","0.4042734312054425","1.815654325866570","0.00024352280750109539932","0.001522017546881846306733","0.0005627231008217401702146","3276","tags=46%, list=25%, signal=34%","PDGFB/DPP4/GSN/ITGA2/CD9/CTSH/MMP15/PROC/MST1/ANG/LRP1/CTSE/GP1BA/RABIF/MEP1A/CSRP1/TIMP1/LGMN/APOA1/CTSB/CAPN5/GDA/PLAT/ARF4/FGA/F3/CLU/PROS1/SERPINE1/MMP1/BMP1/CAPN2/F10/LTA4H/GNG12/CFD/PREP/VWF","0.5188480777437918"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","72","0.4117391077246157","1.777589249372212","0.00060640107343303342735","0.003368894852405741359436","0.0012455539435612854662350","3031","tags=39%, list=23%, signal=30%","OAS1/IRF2/B2M/SAMD9L/PARP12/PSMB8/TRIM25/IFIH1/IFIT3/PARP9/IFI35/WARS1/HLA-C/EPSTI1/TXNIP/PROCR/ISG20/USP18/PARP14/PLSCR1/TRIM5/STAT2/TRIM14/LAP3/CASP8/OASL/GBP2/LPAR6","0.4772708153628621"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY","178","0.3455044982638728","1.771290309199206","0.00003449025821690378159","0.000287418818474198198027","0.0001062650092948483381353","2509","tags=33%, list=19%, signal=27%","MYC/DEPTOR/ABLIM1/SLC1A1/MUC1/DHRS3/NRIP1/ALDH3B1/ENDOD1/TFF3/CCND1/SLC27A2/KRT19/AR/TJP3/SLC22A5/CELSR1/TFF1/FDFT1/TTC39A/AKAP1/ABHD2/RAB17/MLPH/MINDY1/KRT15/RAPGEFL1/NADSYN1/ASB13/RASGRP1/KAZN/CANT1/SLC16A1/RETREG1/WFS1/MYOF/TBC1D30/BAG1/RPS6KA2/MAST4/TMPRSS3/SYBU/FHL2/MYB/SEMA3B/ADD3/TFAP2C/PEX11A/XBP1/IGF1R/LRIG1/ANXA9/TPD52L1/IL6ST/RRP12/ADCY9/TMEM164/SLC7A2/KLK10","0.5573322387586460"
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM","82","0.3943518268119672","1.748254702912952","0.00076494088630626230069","0.003824704431531311503434","0.0014140766917222860089842","1354","tags=28%, list=10%, signal=25%","ALDH1A1/OPTN/EFHC1/SLC67A1/SCP2/SLC27A2/PHYH/ACSL5/AR/NUDT12/ABCA5/ACSL1/BCAR3/IDH1/PEX13/GSTK1/SULT1B1/LONP2/APOA1/PFKM/ATXN1/PEX6/PEX11G","0.4772708153628621"
