"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION","GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION","198","-0.7695829738563714","-3.054780428402758","0.0000000001000000000000000","0.000000008139325842696630","0.000000008139325842696629","1214","tags=52%, list=10%, signal=48%","ZW10/H3-3B/MAD2L2/CENPC/BAZ1B/PSMG2/PHF13/NUDC/TUBG1/WAPL/KPNB1/MIS12/KAT5/SEH1L/ANAPC11/RAN/NUP62/SMC1A/CUL3/CCSAP/HNRNPU/CCDC61/CDK5RAP2/CHEK2/KIF18A/AAAS/ZWILCH/UHRF1/SKA2/MYBL2/SPDL1/DYNC1LI1/CEP192/CDT1/LSM14A/PPP1CC/NUSAP1/SMC2/NCAPH2/SMC3/CENPI/CENPK/DYNLL1/GEN1/SPC24/HASPIN/KNTC1/NCAPG2/FBXO5/BUB3/ESPL1/NCAPD3/MAD2L1/ZWINT/RCC1/CDCA8/TTK/SKA1/TENT4A/SKA3/KIF22/RAD21/NEK2/KIFC1/CENPF/KMT5A/NCAPH/KIF11/KIF4A/CDK1/KIF2C/KIF18B/UBE2C/BUB1/NDC80/CEP55/MZT1/NCAPG/KNL1/AURKB/KIF15/PRC1/CENPE/SPAG5/CENPA/KIF23/SMC4/DLGAP5/SPC25/PSRC1/BUB1B/TRIP13/NUF2/BIRC5/KIF14/CDC20/KNSTRN/PLK1/RACGAP1/NCAPD2/INCENP/TPX2/CCNB1",NA
"GOBP_SISTER_CHROMATID_SEGREGATION","GOBP_SISTER_CHROMATID_SEGREGATION","237","-0.7461509537787825","-3.032341511289315","0.0000000001000000000000000","0.000000008139325842696630","0.000000008139325842696629","1285","tags=48%, list=10%, signal=44%","MAD2L1BP/BCL7C/ZW10/H3-3B/MAD2L2/CENPC/BAZ1B/PSMG2/PHF13/NUDC/RMI2/ARID2/TUBG1/WAPL/KPNB1/MIS12/KAT5/ACTL6A/SEH1L/ANAPC11/RAN/NUP62/CDC6/SMC1A/CUL3/CCSAP/HNRNPU/CCDC61/CDK5RAP2/CHEK2/KIF18A/AAAS/ZWILCH/UHRF1/SKA2/MYBL2/SPDL1/DYNC1LI1/CEP192/CDT1/LSM14A/PPP1CC/BRD7/NUSAP1/SMC2/NCAPH2/SMC3/CENPI/CENPK/DYNLL1/GEN1/SMARCB1/SPC24/HASPIN/KNTC1/NCAPG2/ACTB/FBXO5/BUB3/ESPL1/NCAPD3/MAD2L1/ZWINT/RCC1/CDCA8/TTK/SKA1/TENT4A/SKA3/KIF22/RAD21/NEK2/KIFC1/CENPF/KMT5A/NCAPH/KIF11/KIF4A/CDK1/KIF2C/KIF18B/UBE2C/BUB1/NDC80/CEP55/MZT1/NCAPG/KNL1/TOP2A/AURKB/KIF15/PRC1/CENPE/SPAG5/CENPA/KIF23/SMC4/DLGAP5/SPC25/PSRC1/BUB1B/TACC3/TRIP13/NUF2/BIRC5/KIF14/CDC20/KNSTRN/PLK1/RACGAP1/NCAPD2/INCENP/TPX2/CCNB1",NA
"GOBP_NUCLEAR_CHROMOSOME_SEGREGATION","GOBP_NUCLEAR_CHROMOSOME_SEGREGATION","294","-0.7262335668862731","-2.984664952024862","0.0000000001000000000000000","0.000000008139325842696630","0.000000008139325842696629","1296","tags=45%, list=10%, signal=41%","DMC1/MAD2L1BP/CENPV/BCL7C/ZW10/H3-3B/MAD2L2/CENPC/BAZ1B/PSMG2/PHF13/BAG6/NUDC/RMI2/ARID2/TUBG1/CCNE2/WAPL/KPNB1/MIS12/KAT5/ACTL6A/SEH1L/ANAPC11/RAN/NUP62/CDC6/SMC1A/MAP1S/CUL3/CCSAP/HNRNPU/CCDC61/CDK5RAP2/CHEK2/KIF18A/AAAS/ZWILCH/UHRF1/SKA2/MYBL2/DSN1/SPDL1/DYNC1LI1/CEP192/CDT1/NDC1/BRIP1/LSM14A/SGO2/PPP1CC/BRD7/NUSAP1/SMC2/NCAPH2/SMC3/CENPI/CENPK/DYNLL1/CENPQ/GEN1/SMARCB1/SPC24/HASPIN/KNTC1/NCAPG2/ACTB/FBXO5/BUB3/ESPL1/NCAPD3/SGO1/MAD2L1/ZWINT/RCC1/CDCA8/TTK/SKA1/TENT4A/SKA3/KIF22/RAD21/NEK2/KIFC1/CENPF/ASPM/KMT5A/NCAPH/KIF11/KIF4A/ECT2/CDK1/KIF2C/KIF18B/UBE2C/BUB1/NDC80/CEP55/MZT1/NCAPG/FANCD2/KNL1/TOP2A/AURKB/KIF15/PRC1/CENPE/SPAG5/CCNB2/CENPA/KIF23/SMC4/PTTG1/DLGAP5/SPC25/PSRC1/BUB1B/TACC3/TRIP13/NUF2/BIRC5/KIF14/CDC20/KNSTRN/PLK1/SACK1D/RACGAP1/NCAPD2/INCENP/TPX2/CCNB1/AURKA",NA
"GOBP_CHROMOSOME_SEGREGATION","GOBP_CHROMOSOME_SEGREGATION","398","-0.7099931568527977","-2.979750132660733","0.0000000001000000000000000","0.000000008139325842696630","0.000000008139325842696629","1303","tags=43%, list=10%, signal=40%","TOP3A/DMC1/MAD2L1BP/CENPV/BCL7C/ZW10/H3-3B/RNF4/CIAO2B/MAD2L2/CENPC/BAZ1B/PSMG2/PHF13/BAG6/NUDC/HAUS2/RMI2/ARID2/TUBG1/CCNE2/CEP85/WAPL/KPNB1/MIS12/KAT5/ACTL6A/SEH1L/TUBGCP3/ANAPC11/RAN/HAUS1/NUP62/CDC6/TUBB/SMC1A/MAP1S/CUL3/CCSAP/NUP43/HNRNPU/CCDC61/CDK5RAP2/FIRRM/CHEK2/CENPX/SLC25A5/HAUS7/KIF18A/HAUS8/AAAS/BRCA1/ZWILCH/UHRF1/SASS6/SKA2/CPAP/MYBL2/DSN1/SPDL1/CENPU/DYNC1LI1/CEP192/CDT1/HAUS5/NDC1/HAUS4/BRIP1/STIL/LSM14A/CENPP/SGO2/CENPM/PPP1CC/CENPH/BRD7/NUSAP1/SMC2/NUP37/CENPO/NCAPH2/SMC3/CENPI/CENPK/TUBGCP4/DYNLL1/RAD18/NDE1/CENPQ/GEN1/ITGB3BP/SMARCB1/SPC24/GPSM2/CENPW/HASPIN/KNTC1/CENPL/CENPN/NCAPG2/ACTB/FBXO5/BUB3/ESPL1/NCAPD3/DIAPH3/SGO1/MAD2L1/ZWINT/RCC1/CDCA8/TTK/SKA1/TENT4A/SKA3/KIF22/RAD21/NEK2/KIFC1/CENPF/ASPM/KMT5A/NCAPH/KIF11/KIF4A/CTCF/ECT2/CDK1/KIF2C/KIF18B/UBE2C/BUB1/NDC80/CEP55/MZT1/NCAPG/ESCO2/FANCD2/KNL1/TOP2A/HJURP/AURKB/KIF15/PRC1/MIS18A/CENPE/SPAG5/CCNB2/CENPA/KIF23/MKI67/SMC4/PTTG1/DLGAP5/SPC25/PSRC1/BUB1B/TACC3/TRIP13/NUF2/BIRC5/KIF14/CDC20/KNSTRN/PLK1/SACK1D/CDCA2/RACGAP1/NCAPD2/INCENP/TPX2/CCNB1/AURKA",NA
"GOBP_MITOTIC_NUCLEAR_DIVISION","GOBP_MITOTIC_NUCLEAR_DIVISION","270","-0.7212233806786138","-2.964622441860656","0.0000000001000000000000000","0.000000008139325842696630","0.000000008139325842696629","1214","tags=44%, list=10%, signal=41%","ZW10/H3-3B/MAD2L2/CENPC/BAZ1B/PSMG2/PHF13/NUDC/TUBG1/CEP85/WAPL/KPNB1/MIS12/KAT5/FBXO43/PRMT5/SEH1L/ANAPC11/RAN/BANF1/NUP62/CHEK1/SMC1A/MTBP/CUL3/CCSAP/HNRNPU/CCDC61/CDK5RAP2/CHEK2/KIF18A/AAAS/REEP4/ZWILCH/UHRF1/SKA2/MYBL2/SPDL1/DYNC1LI1/PKMYT1/CEP192/CDT1/LSM14A/PPP1CC/NUSAP1/SMC2/NCAPH2/SMC3/CENPI/CENPK/CDC25C/DYNLL1/NDE1/GEN1/SPC24/HASPIN/ANLN/KNTC1/NCAPG2/FBXO5/BUB3/ESPL1/NCAPD3/MAD2L1/ZWINT/RCC1/CDCA8/TTK/SKA1/TENT4A/SKA3/KIF22/RAD21/NEK2/KIFC1/CENPF/BORA/KIF20B/KMT5A/NCAPH/KIF11/KIF4A/CDK1/KIF2C/KIF18B/UBE2C/BUB1/NDC80/CEP55/MZT1/NCAPG/KNL1/AURKB/KIF15/PRC1/CENPE/SPAG5/CENPA/KIF23/MKI67/SMC4/DLGAP5/SPC25/PSRC1/BUB1B/TRIP13/NUF2/BIRC5/KIF14/CDC20/KNSTRN/PLK1/CDCA2/UBE2S/RACGAP1/NCAPD2/INCENP/TPX2/CCNB1/AURKA",NA
"GOBP_CHROMOSOME_LOCALIZATION","GOBP_CHROMOSOME_LOCALIZATION","121","-0.7480930050286670","-2.833845167841885","0.0000000001000000000000000","0.000000008139325842696630","0.000000008139325842696629","1273","tags=49%, list=10%, signal=44%","LMNA/CENPV/ZW10/H3-3B/CENPC/NUDC/WAPL/KPNB1/XRCC4/MIS12/KAT5/SEH1L/NUP62/MAP1S/CUL3/HNRNPU/NUP98/KIF18A/ZWILCH/SKA2/DSN1/SPDL1/CDT1/NDE1/CENPQ/SPC24/KNTC1/BUB3/SGO1/ZWINT/CDCA8/TTK/SKA1/SKA3/KIF22/NEK2/KIFC1/CENPF/ECT2/CDK1/KIF2C/NDC80/CEP55/KNL1/AURKB/CENPE/SPAG5/CENPA/DLGAP5/SPC25/PSRC1/NUF2/BIRC5/KIF14/KNSTRN/SACK1D/RACGAP1/INCENP/CCNB1",NA
"GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS","GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS","157","-0.7248047845503824","-2.821889297282216","0.0000000001000000000000000","0.000000008139325842696630","0.000000008139325842696629","1087","tags=42%, list=9%, signal=39%","NUDC/AFG2B/TUBG1/KPNB1/KAT5/CKAP5/RAN/NUP62/SMC1A/MAP1S/CCSAP/HNRNPU/CCDC61/CDK5RAP2/CHEK2/AAAS/UHRF1/SASS6/CPAP/MYBL2/SPDL1/CEP192/STIL/LSM14A/STMN1/CENPH/NUSAP1/WDR62/SMC3/NDE1/GPSM2/PCNT/ESPL1/SUN2/RCC1/CDCA8/TTK/NEK2/KIFC1/BORA/KIF11/KIF4A/SAPCD2/CDK1/NDC80/MZT1/AURKB/KIF15/PRC1/CENPE/CENPA/POC1A/KIF23/DLGAP5/SPC25/PSRC1/TACC3/NUF2/BIRC5/CDC20/PLK1/RACGAP1/INCENP/TPX2/CCNB1/AURKA",NA
"GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_DIVISION","GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_DIVISION","67","-0.7936406587184636","-2.788470097820884","0.0000000001000000000000000","0.000000008139325842696630","0.000000008139325842696629","1285","tags=60%, list=10%, signal=54%","MAD2L1BP/ZW10/MAD2L2/PSMG2/FBXO43/RAD1/CHEK1/MTBP/CDK5RAP2/ZWILCH/SPDL1/DYNC1LI1/DYNLL1/GEN1/SPC24/HASPIN/KNTC1/FBXO5/BUB3/MAD2L1/ZWINT/CDCA8/TTK/SKA1/SKA3/RAD21/CENPF/BUB1/NDC80/KNL1/AURKB/SPC25/BUB1B/TRIP13/NUF2/BIRC5/CDC20/PLK1/INCENP/CCNB1",NA
"GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION","GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION","241","-0.6874452320251088","-2.787609582141950","0.0000000001000000000000000","0.000000008139325842696630","0.000000008139325842696629","1819","tags=49%, list=14%, signal=43%","SMC6/PBRM1/MAP3K20/ANAPC15/TENT4B/INO80/ZNF207/XRCC3/SMARCA4/USP7/ACTR5/CTPS1/SLF2/DKC1/YY1/UCHL5/MAD2L1BP/LMNA/CENPV/XRCC5/BCL7C/ZW10/RNF4/MAD2L2/BAZ1B/XRCC1/HSP90AA1/PSMG2/EXOSC10/SLX4/WRAP53/DCP2/RMI2/ARID2/WAPL/CCT4/CDK2/KAT5/PNKP/RUVBL1/MAP3K4/ACTL6A/MCRS1/ANAPC11/SLF1/CCT6A/NABP2/CDC6/CUL3/HNRNPU/PARP1/CDK5RAP2/CCT2/ZWILCH/NSMCE4A/CCT7/MAP2K7/HNRNPA1/HNRNPC/SPDL1/SFPQ/DYNC1LI1/CCT5/UPF1/BRD7/SMC2/NCAPH2/FEN1/DYNLL1/PTGES3/GEN1/SMARCB1/SPC24/HASPIN/KNTC1/NCAPG2/ACTB/FBXO5/BUB3/ESPL1/NCAPD3/MAD2L1/ZWINT/TCP1/CDCA8/TTK/SKA1/SKA3/RAD21/NEK2/CENPF/NCAPH/CTCF/CDK1/UBE2C/BUB1/NDC80/NCAPG/KNL1/AURKB/CENPE/SMC4/DLGAP5/SPC25/HNRNPD/BUB1B/TACC3/TRIP13/NUF2/BIRC5/HNRNPA2B1/CDC20/PLK1/NCAPD2/RUVBL2/INCENP/PIF1/CCNB1",NA
"GOBP_METAPHASE_CHROMOSOME_ALIGNMENT","GOBP_METAPHASE_CHROMOSOME_ALIGNMENT","108","-0.7498311974988615","-2.784824893713230","0.0000000001000000000000000","0.000000008139325842696630","0.000000008139325842696629","1268","tags=50%, list=10%, signal=45%","CENPV/ZW10/H3-3B/CENPC/NUDC/WAPL/KPNB1/MIS12/KAT5/SEH1L/NUP62/MAP1S/CUL3/HNRNPU/KIF18A/ZWILCH/SKA2/DSN1/SPDL1/CDT1/CENPQ/SPC24/KNTC1/BUB3/SGO1/ZWINT/CDCA8/TTK/SKA1/SKA3/KIF22/NEK2/KIFC1/CENPF/ECT2/CDK1/KIF2C/NDC80/CEP55/KNL1/AURKB/CENPE/SPAG5/CENPA/SPC25/PSRC1/NUF2/BIRC5/KIF14/KNSTRN/SACK1D/RACGAP1/INCENP/CCNB1",NA
