"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"WP_RETINOBLASTOMA_GENE_IN_CANCER","WP_RETINOBLASTOMA_GENE_IN_CANCER","87","-0.8443250664964467","-2.871036828207417","0.0000000001000000000000000","0.00000001844000000000000","0.00000001055301079287701","640","tags=61%, list=5%, signal=58%","CDC7/MDM2/CCDC6/BARD1/TYMS/CDK2/POLE2/CDC25B/SMC3/FAF1/RPA3/E2F2/DCK/PRKDC/SUV39H1/CDC25A/SKP2/ORC1/RFC5/RPA1/POLE/CDT1/RFC4/PRIM1/RBBP7/MCM4/CHEK1/DNMT1/DHFR/TFDP1/POLA1/MCM7/SMC1A/PCNA/PLK4/FANCG/CDC45/RFC3/STMN1/HMGB1/CCNA2/RRM1/CCNB2/H2AZ1/SMC2/KIF4A/TTK/ANLN/CDK1/HMGB2/TOP2A/RRM2/CCNB1",NA
"WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR","WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR","82","-0.7708214454946449","-2.662616436574878","0.0000000001000000000000000","0.00000001844000000000000","0.00000001055301079287701","1412","tags=54%, list=11%, signal=48%","NBN/MLH1/MCM2/TOP3A/UPF1/MRE11/RBBP8/XRCC5/RMI1/RAD1/MDM2/BARD1/CDK2/TOPBP1/PRKDC/CHEK2/MSH2/PARP1/RPA1/RFWD3/BRIP1/USP1/CHEK1/CLSPN/TRIM28/TDP1/FEN1/RAD51/SMC1A/BRCA1/MDC1/CDC25C/FANCA/PCNA/H2AX/BRCA2/CDC45/RECQL4/PLK1/EXO1/FANCD2/FANCI/CDK1/FOXM1",NA
"WP_CELL_CYCLE","WP_CELL_CYCLE","115","-0.7234999045410004","-2.590337229495356","0.0000000001000000000000000","0.00000001844000000000000","0.00000001055301079287701","1592","tags=49%, list=12%, signal=43%","RBL1/MCM3/ANAPC7/FZR1/MAD2L2/CDC23/MCM2/GADD45B/CCND3/ANAPC1/GADD45A/CDKN2D/CCNE2/YWHAH/STAG1/CDC7/MDM2/HDAC2/CDK2/CDKN2A/CUL1/CDC6/CDC25B/SMC3/CDC27/E2F2/PRKDC/ORC6/CDC25A/SKP2/ORC1/CHEK2/YWHAQ/MCM4/CHEK1/CDKN2C/TFDP1/PKMYT1/BUB3/MCM7/SMC1A/CDC25C/PCNA/CDC45/DBF4/PLK1/CCNA2/CCNB2/RAD21/TTK/ESPL1/PTTG1/CDK1/BUB1/CDC20/CCNB1",NA
"WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK","WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK","119","-0.7061741867065018","-2.563388339902809","0.0000000001000000000000000","0.00000001844000000000000","0.00000001055301079287701","1412","tags=43%, list=11%, signal=39%","NBN/MLH1/POLD2/RAD23A/DCLRE1C/MRE11/DDB2/XRCC6/XRCC5/RAD51C/POLD3/FAAP24/POLE3/PNKP/CENPX/XRCC4/RAD54B/POLE2/RPA3/RFC2/POLH/PRKDC/POLD1/FANCB/NEIL3/FANCM/RFC5/MSH2/PARP1/RPA1/POLE/XRCC1/RFC4/BRIP1/USP1/PARP2/CHEK1/FEN1/RAD51/BRCA1/FANCA/PCNA/H2AX/BRCA2/FANCG/LIG1/EXO1/RFC3/FANCD2/HMGB1/FANCI",NA
"WP_DNA_REPLICATION","WP_DNA_REPLICATION","41","-0.8134359797797877","-2.490687012389442","0.0000000010285169819690917","0.00000011853658217193782","0.00000006783719257110698","1363","tags=71%, list=10%, signal=64%","MCM2/POLD2/POLA2/POLD3/PRIM2/CDC7/CDK2/POLE2/CDC6/RPA3/RFC2/POLD1/GMNN/ORC6/ORC1/RFC5/RPA1/POLE/CDT1/RFC4/PRIM1/MCM4/POLA1/MCM7/MCM10/PCNA/CDC45/DBF4/RFC3","0.7881868108002371"
"WP_GASTRIC_CANCER_NETWORK_1","WP_GASTRIC_CANCER_NETWORK_1","25","-0.8859644178540028","-2.458286870233394","0.0000000001231397295907552","0.00000001892247178044605","0.00000001082912412835997","501","tags=60%, list=4%, signal=58%","ACTL6A/LIN9/CEP192/MCM4/E2F7/NUP107/KIF15/UBE2C/AURKA/ECT2/KIF20B/MYBL2/TOP2A/TPX2/CENPF","0.8266573011783021"
"WP_COHESIN_COMPLEX_CORNELIA_DE_LANGE_SYNDROME","WP_COHESIN_COMPLEX_CORNELIA_DE_LANGE_SYNDROME","33","-0.8055591079595830","-2.410286022548862","0.0000000153221502096316362","0.00000141270224932803685","0.00000080847408266162725","760","tags=52%, list=6%, signal=49%","WAPL/PPP2R5C/PPP2R5E/PDS5B/SMC3/PPP2R5D/SMC1A/ESCO2/SGO1/PLK1/CDCA5/SGO2/AURKB/RAD21/ESPL1/PTTG1/CDK1","0.7337619883564803"
"WP_DNA_IRDOUBLE_STRAND_BREAKS_AND_CELLULAR_RESPONSE_VIA_ATM","WP_DNA_IRDOUBLE_STRAND_BREAKS_AND_CELLULAR_RESPONSE_VIA_ATM","55","-0.7521794847790257","-2.406960351055149","0.0000000021067243682551669","0.00000021582220750347376","0.00000012351269442118769","1058","tags=49%, list=8%, signal=45%","UPF1/DCLRE1C/MRE11/NABP2/TP73/YAP1/RASSF1/MDM2/CDKN2A/SMC3/ACTL6A/PRKDC/CHEK2/PARP1/CHEK1/TRIM28/RAD51/SMC1A/BRCA1/MDC1/CDC25C/PCNA/H2AX/BRCA2/EXO1/BLM/FANCD2","0.7749390301364363"
"WP_MRNA_PROCESSING","WP_MRNA_PROCESSING","123","-0.6522840023120136","-2.396520529437432","0.0000000001000000000000000","0.00000001844000000000000","0.00000001055301079287701","2028","tags=50%, list=15%, signal=43%","SNRPB2/NCBP1/SRSF2/SRSF4/SRSF10/CSTF2/SF3B4/NONO/HNRNPC/SNRNP40/PRPF4/PHF5A/DHX8/SF3B3/DNAJC8/PRPF8/CLASRP/HNRNPK/SF3B2/SRPK1/RNPS1/SRSF7/PRPF6/SNRPA1/HNRNPAB/SF3A3/SF3A2/SRRM1/SF3A1/SNRPF/SNRPG/PRMT1/PCBP2/SNRPD1/POLR2A/SRSF1/CLK1/DHX15/SNRPA/HNRNPA1/SRSF3/CPSF3/U2AF2/PAPOLA/TRA2B/HNRNPU/HNRNPH1/RBM17/PPM1G/DHX9/HNRNPL/HNRNPM/NUDT21/PTBP1/FUS/RBMX/SNRPB/HNRNPD/HNRNPA2B1/HNRNPR/SMC1A/SFPQ",NA
"WP_PANCREATIC_CANCER_SUBTYPES","WP_PANCREATIC_CANCER_SUBTYPES","34","0.7167615561555853","2.323842970671523","0.0000002732181386497225277","0.00001756155656793293248","0.00001005028720179590158","1700","tags=71%, list=13%, signal=62%","ANXA10/TFF1/KRT20/ST6GALNAC1/CEACAM6/TFF2/SPINK4/LGALS4/TFF3/LYZ/REG4/MYO1A/KRT7/DHRS9/TSPAN8/CDH17/CTSE/PRR15L/FGFBP1/CLRN3/BTNL8/PLA2G10/SCEL/VSIG2","0.6749628600110250"
"WP_REGULATION_OF_SISTER_CHROMATID_SEPARATION_AT_THE_METAPHASEANAPHASE_TRANSITION","WP_REGULATION_OF_SISTER_CHROMATID_SEPARATION_AT_THE_METAPHASEANAPHASE_TRANSITION","14","-0.9448388203166734","-2.270202475451405","0.0000000006273749468215979","0.00000008263424299564476","0.00000004729067560706404","702","tags=86%, list=5%, signal=81%","STAG1/SMC3/BUB3/SMC1A/CENPE/MAD2L1/RAD21/ESPL1/BUB1B/PTTG1/BUB1/CDC20","0.8012155746177786"
"WP_GASTRIC_CANCER_NETWORK_2","WP_GASTRIC_CANCER_NETWORK_2","28","-0.8103774566522034","-2.252497578657461","0.0000001936295324179584987","0.00001373280222225828645","0.00000785913286702479156","913","tags=54%, list=7%, signal=50%","BRIX1/MTDH/AHCTF1/RFC4/CACYBP/DSCC1/UBE2T/ATAD2/CHTF18/RFC3/LBR/UBE2C/FANCI/LMNB2/TOP2A","0.6901324587967956"
"WP_DNA_MISMATCH_REPAIR","WP_DNA_MISMATCH_REPAIR","23","-0.8162934991726256","-2.238938521939002","0.0000013110774087784686268","0.00006362175636282884749","0.00003641003696088528557","1393","tags=74%, list=11%, signal=66%","MLH1/POLD2/POLD3/POLE3/POLE2/RPA3/RFC2/POLD1/RFC5/MSH2/RPA1/POLE/RFC4/PCNA/LIG1/EXO1/RFC3","0.6435518361507222"
"WP_FANCONI_ANEMIA","WP_FANCONI_ANEMIA","47","-0.7290086844956742","-2.232725449129513","0.0000002857086209533557047","0.00001756155656793293248","0.00001005028720179590158","1473","tags=49%, list=11%, signal=44%","MAD2L2/SMARCA4/NBN/MCM2/UHRF1/MRE11/RAD51C/FAAP24/CENPX/FANCB/FANCM/XRCC2/RFWD3/BRIP1/USP1/RAD51/BRCA1/FANCA/BRCA2/FANCG/UBE2T/FANCD2/FANCI","0.6749628600110250"
"WP_NUCLEOSOME_REMODELING_COMPLEX","WP_NUCLEOSOME_REMODELING_COMPLEX","24","-0.8294544855514506","-2.223926184262550","0.0000001881365894736545545","0.00001373280222225828645","0.00000785913286702479156","1497","tags=75%, list=11%, signal=67%","H4C5/ASF1A/DAXX/MCM2/H4C1/XRCC6/XRCC5/NAP1L1/PRKDC/CHAF1A/NASP/CHEK2/HAT1/SUPT16H/CHAF1B/PCNA/SSRP1/ASF1B","0.6901324587967956"
"WP_ATM_SIGNALING","WP_ATM_SIGNALING","37","-0.7507413821139705","-2.222006595421762","0.0000007253002151108202871","0.00003933687049012801604","0.00002251206175923678031","1051","tags=49%, list=8%, signal=45%","GADD45A/MRE11/MAPK9/PIDD1/TP73/MDM2/CDK2/CDC25A/CHEK2/CHEK1/RAD51/SMC1A/BRCA1/MDC1/CDC25C/H2AX/CDK1/CCNB1","0.6594443980379349"
"WP_MIRNA_REGULATION_OF_DNA_DAMAGE_RESPONSE","WP_MIRNA_REGULATION_OF_DNA_DAMAGE_RESPONSE","68","-0.6595858676384260","-2.189343955082226","0.0000003498728331010269980","0.00002016142200744667996","0.00001153816182452998632","1412","tags=40%, list=11%, signal=36%","NBN/GADD45B/CCND3/GADD45A/MRE11/DDB2/CCNE2/FAS/PIDD1/RAD1/MDM2/CDK2/PRKDC/CDC25A/CHEK2/CCNG1/CHEK1/RAD51/MCM7/SMC1A/BRCA1/CDC25C/H2AX/FANCD2/CCNB2/CDK1/CCNB1","0.6749628600110250"
