"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"KRCTCNNNNMANAGC_UNKNOWN","KRCTCNNNNMANAGC_UNKNOWN","38","-0.6489837917099323","-2.035158466222542","0.00001988786097938957","0.01137585648021083","0.01137585648021083","1778","tags=42%, list=14%, signal=36%","H2BC4/H3C8/H1-3/H2BC26/PCGF1/UBE2C/H3C2/H2AC15/H3C10/H2BC9/H2AC13/H3C1/H1-5/H2BC17/H3C11/H1-4","0.5756102610711286"
"WCTCNATGGY_UNKNOWN","WCTCNATGGY_UNKNOWN","73","-0.4790154810975178","-1.727380687924801","0.00100444490158562057","0.05223113488245227","0.05223113488245226","1871","tags=30%, list=15%, signal=26%","SMARCD1/ERCC1/GPN1/EIF2S1/ERF/RFFL/FIS1/BRIX1/COX8A/RAD1/GALNT2/PKP4/CCT7/ATP5MC1/DPH3/ODF2/AMMECR1L/TIMM21/ATG101/CHERP/MRPS10/OXNAD1","0.4550598673872295"
"TAXCREB_02","TAXCREB_02","21","-0.6151027401427935","-1.704814122563834","0.00857023660258960859","0.18244287716217122","0.18244287716217122","1958","tags=38%, list=16%, signal=32%","NOL10/EEF1A1/ADIPOR2/JAG1/LMTK2/NAB2/DIAPH1/SERTAD1","0.3807304007227924"
"ACTWSNACTNY_UNKNOWN","ACTWSNACTNY_UNKNOWN","89","-0.4516624777248016","-1.683669482052947","0.00050380293077507401","0.03797094720768773","0.03797094720768773","1880","tags=28%, list=15%, signal=24%","ANKS1A/HSCB/TRAF7/PHF13/FYCO1/APH1A/SF3B4/DNAJC17/LRWD1/COPG2/DNAJC14/JARID2/CARD9/BRD8/HIRIP3/ESPL1/STAU1/LIG1/ZSWIM9/ARMC5/TMEM115/TMOD3/CCNA2/DHX30/GRWD1","0.4772708153628621"
"MCAATNNNNNGCG_UNKNOWN","MCAATNNNNNGCG_UNKNOWN","69","-0.4690097968524132","-1.670583599816022","0.00221725535475166902","0.09059071877985390","0.09059071877985390","3638","tags=57%, list=29%, signal=40%","AMD1/ATP2A2/CCNJ/BAHD1/JUP/ACTN1/ATE1/STMN1/SH3BGRL3/ABI1/DCTN2/PIGA/TMED2/HNRNPL/CYCS/FICD/CHKA/FBXO11/LONRF3/DOLPP1/NOL6/TIAM1/MSX2/THAP11/CDCA3/ARL6IP1/CCT7/VASP/SPRING1/IFRD2/PPP2R5D/LIG1/ZSWIM9/USP5/RAB8A/CHD4/CDK2AP2/SUV39H1/RNFT2","0.4317076958033464"
"GCGNNANTTCC_UNKNOWN","GCGNNANTTCC_UNKNOWN","118","-0.4289647105151170","-1.666078386237369","0.00034714300597630122","0.03797094720768773","0.03797094720768773","2096","tags=31%, list=17%, signal=26%","SP3/SUMO1/NOP53/MCM7/ZBTB3/APPL1/ANKS1A/NEDD1/BZW1/TGIF2/TBC1D22A/SH3KBP1/QPCTL/DCLRE1B/SPTY2D1/NAA60/GALNT10/MOGS/RNF13/ZNF524/IFI27L1/NRAS/BAG6/FIZ1/E2F4/TMEM53/HCCS/SNRPD2/SUN2/PUF60/TMEM203/CRK/DHX30/CHERP/DNAJA1/ZBTB11","0.4984931087665903"
"NFY_Q6","NFY_Q6","192","-0.4004953232811015","-1.656679015198236","0.00016505513427730135","0.03147051226887213","0.03147051226887213","1920","tags=26%, list=16%, signal=22%","RNF40/NUBP2/SPAG9/HSCB/MAZ/H3-3B/FDXR/SLC4A7/ARL17A/ASB7/TOP2A/TIAM1/HMGB2/HMGA2/ELAC2/COA3/WASF2/HNRNPR/GNB2/SORT1/KBTBD8/DGKZ/SESN2/JARID2/ZDHHC5/H3C2/CKS2/CENPF/GART/TTK/HNRNPUL1/TMEM184C/SUV39H1/ABCF2/NUP37/CIT/PCNT/PRR11/BUB1/NEK2/PARPBP/ALDH4A1/IMP4/SLC39A4/SPAG7/RACGAP1/CDV3/SERTAD1/DDIAS","0.5188480777437918"
"CCAWNWWNNNGGC_UNKNOWN","CCAWNWWNNNGGC_UNKNOWN","74","-0.4477455470681382","-1.639622942785845","0.00402612112798804780","0.13450083838570859","0.13450083838570859","2409","tags=41%, list=19%, signal=33%","BCL2L13/RPL4/UBE3A/ZFX/CDC42BPB/PPP2R5E/DRAM2/EIF1B/H3C8/ARCN1/CDKN2C/ABL1/RAB22A/HEXIM2/PCGF1/STRN4/ZNF524/HNRNPA0/ZWILCH/MEPCE/RPL18A/FIZ1/ABRAXAS2/ZC3HC1/LSM14A/CAMSAP1/NUDT3/CNOT3/AZIN1/SMYD5","0.4070179189239539"
"ELK1_02","ELK1_02","242","-0.3851734239132092","-1.622406915937914","0.00004717863760694782","0.01349309035558708","0.01349309035558708","3241","tags=38%, list=26%, signal=29%","PSMC1/CCDC174/ZNF322/NKAPD1/MAPKAP1/POMP/PPIG/ZNF653/NAA20/SNRPB/STX12/DNAJC7/TRMT1/GDE1/PDE12/RPS18/NKIRAS2/GNL3L/RPL37/ACVR2A/CCDC71/COG3/FERMT3/MTPN/ADPRM/FBXW9/MTX2/MRPL13/ITGB3BP/LMAN2/MED15/RPL19/DNAJC24/NR1H2/EPN1/PSMC2/STOML2/SON/TUBGCP4/NEDD1/HAT1/EIF5A/PSMC6/CHID1/IMMT/FAF2/DNAJA2/TRAF7/ARCN1/AP2S1/REXO5/TIGD1/ARL5B/EEF1B2/LSM5/TUFM/UBE2L3/CDC45/RAB2A/COX8A/CGGBP1/MRPL3/ITGB1BP1/RBM22/MED8/ZNF408/GTF2A2/SCO1/ZDHHC5/NRAS/BAG6/GART/CKS1B/AP1B1/EIF4G1/UBAC1/FANCD2/TOMM40/TBCC/TMEM53/DCTN5/HMGA1/CRK/PDRG1/DHX30/LRRFIP1/CHERP/UBE2N/KMT5A/SUPT5H/DDIAS/ZBTB11","0.5573322387586460"
"KMCATNNWGGA_UNKNOWN","KMCATNNWGGA_UNKNOWN","81","-0.4406924824171516","-1.620419992375001","0.00331575238518968651","0.12644069095523339","0.12644069095523339","2682","tags=40%, list=22%, signal=31%","IST1/CCDC71/ARHGAP29/CWC27/BCL2L13/OSBPL6/DUSP7/EPHA2/SP3/MRPL24/CRAT/ABL1/TBC1D14/CSNK1A1/CDC45/CGGBP1/ZNF41/STRN4/SREK1IP1/RBM14/HIC2/SZRD1/BMAL1/WASL/C8orf82/ABRAXAS2/PPP4R2/DLG2/CNOT3/GEMIN4/FOXN3/ZBTB11","0.4317076958033464"
