"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_6H_DN","GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_6H_DN","172","-0.5829717935154458","-2.686362290886769","0.0000000001000000000000000","0.00000001740000000000000","0.000000006237038529556803","1786","tags=38%, list=14%, signal=33%","NUDT9/BLOC1S2/ALDH3A2/NETO2/FASTKD2/FASTKD1/PDHA1/C8orf33/ME1/TIMM21/AIRIM/ATP5MC3/NUDT15/SRPRB/PPARGC1B/NUDT19/CHCHD4/GCLC/MAIP1/NDC1/SDHB/FH/TMA16/LSM12/UTP18/ZZZ3/CD9/GAL/CCDC43/SLC25A13/LIPA/LRRC58/GLRX3/PRMT3/GUF1/EEF1E1/TMED10/MYOF/MTIF2/NDUFAF4/CA2/GGCT/TIMM17A/LHFPL2/PIGW/SLC25A5/FABP4/GFM1/GLUD1/UBE2V2/NCBP2/AGPS/CANX/HSPA9/EPS8/LARP4/ZNF146/SETD7/ATP5F1A/MRPS35/PRDX1/GRSF1/PGM2/CYCS/CD109",NA
"GSE369_PRE_VS_POST_IL6_INJECTION_SOCS3_KO_LIVER_DN","GSE369_PRE_VS_POST_IL6_INJECTION_SOCS3_KO_LIVER_DN","169","0.6078466604863720","2.598847967031062","0.0000000001000000000000000","0.00000001740000000000000","0.000000006237038529556803","2176","tags=47%, list=18%, signal=40%","FASN/AGRN/ARHGAP4/MVD/GRN/WBP2/GAA/PFKFB3/TSC2/PLD3/RANGAP1/TRIM28/ARSA/RAB11B/TMEM259/NISCH/TECR/POLE/SPG7/HDAC6/CST3/TSPAN4/KCNAB2/SORBS3/SLC4A2/MLF2/PPIL2/STXBP2/BTBD2/SLC25A1/MAN2C1/MAP2K2/PLCB3/BAG6/ZYX/MAPK3/LRP10/FCGRT/MEGF8/GDI1/DENND4B/ARFIP2/TBC1D9B/IDH2/SH3GL1/ARRB2/RHOG/RHBDD3/PCSK7/LTBR/ATXN7L3B/CPSF1/TPP1/ZBTB48/ZNF428/ENTPD6/FAM3A/TFE3/SGSH/PRKCSH/TIMP2/ALDH6A1/SUPT6H/PIP5K1C/ATP6V0A1/CMTR1/R3HCC1/VPS11/MAU2/ZNF710/HSD17B8/MAP3K11/NUCB1/SCD/PLD2/BSG/SART1/TRADD/B3GALT4/MYO9B",NA
"GSE22432_MULTIPOTENT_VS_COMMON_DC_PROGENITOR_UNTREATED_UP","GSE22432_MULTIPOTENT_VS_COMMON_DC_PROGENITOR_UNTREATED_UP","194","-0.5420469075382333","-2.518229725379680","0.0000000001000000000000000","0.00000001740000000000000","0.000000006237038529556803","2165","tags=43%, list=17%, signal=36%","NUP107/NAA20/IMMT/MRPL15/YARS1/SMYD5/C5orf15/GTF2H2/CHAC2/NLE1/PMPCB/NVL/ERH/PPP1R14B/CEBPG/AHCYL1/IMP4/PCNA/CLPX/UTP15/DARS1/LRRC59/TRIP13/SRSF3/SPCS1/PPIF/TRMT10C/PHB1/LONRF1/CHCHD4/NOB1/CHML/TARS1/NUP54/NARS2/SPCS3/GARS1/PDSS1/REXO2/MMGT1/RWDD4/UTP11/MRPL47/GEMIN5/TSR1/CUL2/TSNAX/IARS1/COQ3/ABCC4/GTF2F2/NOL11/MTHFD2/BMI1/NIP7/NDUFAF4/AP1G1/ADSS2/YBX1/PRDX3/GNPNAT1/FEM1B/EIF5B/ETF1/TMEM97/PRELID3B/HSPA4/DDX1/WDR36/SF3A3/NOP16/SLC7A5/AHR/EPRS1/WDR3/SET/C1QBP/AP1AR/NARS1/ZMPSTE24/ODC1/NPM1/NAA15",NA
"GSE7400_CTRL_VS_CSF3_IN_VIVO_TREATED_PBMC_UP","GSE7400_CTRL_VS_CSF3_IN_VIVO_TREATED_PBMC_UP","179","-0.5384069398442399","-2.504220377504315","0.0000000001000000000000000","0.00000001740000000000000","0.000000006237038529556803","1654","tags=34%, list=13%, signal=29%","MPHOSPH10/G3BP2/C8orf33/SLC39A10/TIMM21/SERINC5/FBXO21/SRPRB/FAM135A/SRSF3/NUP160/NSA2/IKZF5/SSX2IP/ZNHIT6/NARS2/SMURF2/RPF1/RPL7A/SMARCA5/EIF2B3/NIFK/MAML2/OSTC/TCERG1/RRN3/BMS1/UTP4/ZBTB41/PLA2G12A/BCLAF1/RBM27/TFB2M/GNL3/CLNS1A/PTGES3/EIF3E/TAF4B/MATR3/SSB/POLR1F/CSDE1/RPL5/MAT2B/ZFAND1/DKC1/CCT2/EEF1A1/EIF3J/TOMM70/LRPPRC/RSL1D1/MYC/MRPL3/IPO7/HSP90AB1/NOLC1/ODC1/ABCE1/HSPD1",NA
"GSE13485_DAY1_VS_DAY21_YF17D_VACCINE_PBMC_DN","GSE13485_DAY1_VS_DAY21_YF17D_VACCINE_PBMC_DN","175","-0.5411303488108031","-2.501341986548653","0.0000000001000000000000000","0.00000001740000000000000","0.000000006237038529556803","3043","tags=48%, list=25%, signal=37%","NDUFB6/RPS27L/COMMD8/ZNF616/SAMTOR/MRPS14/SNRPG/MRPL51/ARFIP1/OSTF1/ZNF189/ADH5/GRWD1/COPS5/SEC22B/C1GALT1C1/GTF2H5/THOC7/SUCLA2/RECQL/METTL5/ISOC1/TXNDC9/PSMA5/OSTM1/NDUFB5/SNAPC5/UMPS/EPC2/LIN9/LMBRD2/HPF1/CHCHD1/IMPA1/CENPQ/DIMT1/CISD1/BPNT1/IKBIP/PDHB/ETFRF1/HSPA8/VTA1/ZCCHC10/FAM3C/HAT1/LYSET/MESD/MAGOH/MRPL50/CHCHD4/YEATS4/CETN3/SDHD/STYX/PPID/SLC25A12/FH/VBP1/REXO2/SCOC/RPF2/KATNBL1/RPL22/EEF1E1/DCUN1D1/CCT4/CCDC126/TSNAX/HSPE1/NAA30/GNPNAT1/SUMO2/CLNS1A/EIF2S1/TMEM106B/UBE2V2/MAT2B/EIF3J/MRPS35/IPO7/CCT5/PPARG/CD24",NA
"GSE41867_DAY6_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_DN","GSE41867_DAY6_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_DN","188","-0.5359846283308380","-2.492937295467690","0.0000000001000000000000000","0.00000001740000000000000","0.000000006237038529556803","2788","tags=52%, list=23%, signal=41%","AFG2B/PUS3/TMEM177/NT5C3B/CDK2/ZNF330/DPY19L1/SRRD/TARDBP/PDE7A/PECR/SPAG9/AMMECR1/NAF1/WDR77/TMEM184C/DHX33/MGA/FRMD3/RSPRY1/PURB/PGRMC1/UTP25/FKBP4/LETM1/LANCL2/MANEA/SLC25A51/TBC1D12/GAN/SLC4A1AP/GMDS/ARMC6/SLC30A5/TIMM21/EEF2/SLAIN2/NPM3/PCGF6/SS18/TRMT10C/GCLC/R3HDM1/CNOT2/PRKAG2/AMIGO2/SLC30A4/SLC19A2/MMGT1/ZHX1/TCERG1/OTUD6B/ME2/USP16/MBNL3/RDH11/IARS1/WDR75/BCCIP/NSUN2/MAPK6/AASDHPPT/MTAP/CREG1/NDUFAF4/ADSS2/DENND4C/RMND5A/SLC16A1/CASK/RPAP3/SLC35F2/CDV3/SLC44A1/VKORC1L1/YES1/PALS2/ATP13A3/TMED2/KLF3/GSPT1/SYNCRIP/CUL5/PRKCI/LMAN1/IBTK/UCHL5/PANK3/NUS1/UBE2K/TNPO1/AHR/STRAP/FAR1/SETD7/UHMK1/JCAD/DDX21",NA
"GSE36888_UNTREATED_VS_IL2_TREATED_TCELL_6H_DN","GSE36888_UNTREATED_VS_IL2_TREATED_TCELL_6H_DN","174","-0.5406797074937140","-2.486659015955293","0.0000000001000000000000000","0.00000001740000000000000","0.000000006237038529556803","2081","tags=41%, list=17%, signal=34%","E2F6/HEATR3/MRPL15/LGMN/CDC23/OTUD4/GTF3C2/ELP1/AKAP11/GMFB/COG2/TTF2/TFAM/COMMD10/BLOC1S2/NETO2/BPNT1/RIOK2/FASTKD1/NUDT4/AIRIM/PCNA/NUDT15/SPTSSA/PPARGC1B/XPO1/PPT1/PRPS2/CHCHD4/GCLC/FKBP14/NDC1/CHML/C15orf61/ERLIN2/UTP18/ZZZ3/SLC25A13/ATP6V1G1/MBNL3/ADORA2B/BPNT2/MYOF/AASDHPPT/HTATSF1/ENC1/SLC16A1/RIOK1/SCO1/PIGW/ZNF664/FABP4/GFM1/GLUD1/NCBP2/AGPS/C2CD2/CNBP/CANX/SLC4A7/EPS8/LARP4/SETD7/ATP5F1A/HNRNPR/PRDX1/GRSF1/ELOVL6/NARS1/CCT5/MYO1E",NA
"GSE13485_CTRL_VS_DAY1_YF17D_VACCINE_PBMC_UP","GSE13485_CTRL_VS_DAY1_YF17D_VACCINE_PBMC_UP","189","-0.5256556226184775","-2.465912635644897","0.0000000001000000000000000","0.00000001740000000000000","0.000000006237038529556803","3745","tags=56%, list=30%, signal=40%","LTAP1/PCTP/MED23/DERL2/MTFR1/ODR4/FEN1/SENP2/KPNA1/ZFR/TMEM170A/EFR3A/STAU1/HARS2/MOSPD1/CRKL/LYSMD2/TOX4/METTL21A/DEGS1/NUP35/RAB21/PTPMT1/ALG2/GOSR2/MFAP3/MAP2K4/MTMR10/FCF1/RTF1/RFFL/DBR1/PRPF4/SPRTN/CCNYL1/COPS5/BTBD10/FEM1C/MRPS16/SELENOT/MFAP1/C15orf40/ZNF644/BAG4/DCAF10/SETMAR/RMC1/COX5A/TBC1D23/IMPA1/ZBTB26/DIMT1/SGPL1/LITAF/IKBIP/FAM217B/SLC30A5/TP53RK/TOR1AIP1/ATP5MC3/ZCCHC10/HAT1/ZWILCH/DLAT/RBBP5/ARF4/SMNDC1/NUDT19/TTC33/TM9SF2/MRPL50/FANCM/GMEB1/LYSMD3/SLC25A12/LAMTOR3/PHF3/C5orf22/SMIM15/TSN/BKGD/MRPL13/EEF1E1/DCUN1D1/PHF20L1/SEC23A/NAA30/ERLEC1/FAM98A/TMEM50B/RAB22A/SERINC1/ASCC3/DCUN1D5/DESI2/AP5M1/CLNS1A/CSE1L/TMEM33/WASL/ARCN1/CPD/SLC17A5/ABHD2/GRSF1/HSDL2",NA
"GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_DN","GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_DN","195","-0.5112371904594553","-2.405848989814583","0.0000000001000000000000000","0.00000001740000000000000","0.000000006237038529556803","2587","tags=49%, list=21%, signal=39%","PAFAH1B2/RPL23/COPS5/THOC7/MINDY3/USP39/TP53BP1/PRPF38A/ACTL6A/KDSR/KDM1B/NAA20/ZBTB14/MBTPS2/PRPS1/IDH3A/TEX10/SLC33A1/GSR/SAV1/CDC16/CRK/GTF2B/CSNK2A2/RBM7/CTPS1/LRBA/PAK2/AIFM1/ZWILCH/SLC25A3/HACD3/ATL2/GINS2/AASDH/TM9SF2/QRSL1/SLC7A1/NUP54/SPCS3/SMARCC1/NUDT5/GARS1/CYP20A1/LAMTOR3/TAF3/VMA21/SRSF10/VAPA/HMGCR/MLEC/MAPK9/RWDD4/SLBP/DR1/C1GALT1/SLC25A13/MCM10/SSBP1/CLCN3/GLRX3/CAND1/PDLIM5/MCM5/UBA2/RAD23B/GNA13/NAA30/OPA1/METAP2/HSD17B12/OBI1/CBX3/DCUN1D5/SQLE/SSR3/FEM1B/RAB14/VKORC1L1/AP3S1/AHCYL2/PRELID3B/SC5D/ACTR3/EAF1/IBTK/STRAP/SELENOI/EIF1AX/SLC39A6/GRSF1/SET/NARS1/IPO5/HMGCS1",NA
"GSE14000_TRANSLATED_RNA_VS_MRNA_4H_LPS_DC_UP","GSE14000_TRANSLATED_RNA_VS_MRNA_4H_LPS_DC_UP","187","-0.5148971424011876","-2.394615578522652","0.0000000001000000000000000","0.00000001740000000000000","0.000000006237038529556803","2896","tags=42%, list=23%, signal=32%","OXSM/ELP4/MTM1/INTS8/DBR1/TRAPPC11/PDHX/PSMD1/C1GALT1C1/RBM28/MRFAP1/QTRT2/VRK1/MCTS1/MPHOSPH8/TRNT1/DDX52/UPF3B/TRIM27/LANCL2/PEX3/PMPCB/FASTKD2/RIOK2/SLC4A1AP/FASTKD1/HNRNPD/ABHD17C/FBXO33/DCPH1/ATP6V0A2/DPP8/GFM2/PRRC1/HMGN5/MICU2/NDUFAF1/INTS13/PPM1D/CNOT2/LONP2/MPHOSPH6/SUPT16H/GTPBP4/MRPL45/YARS2/PPIG/NIFK/UTP11/NAA35/PRMT3/TCERG1/ETFDH/GCLM/AFG3L2/SEC62/UBA2/HECTD1/DCAF13/HTATSF1/RRP15/MFN1/POLR2B/TASOR2/ACAP2/RIOK1/HNRNPDL/SCO1/RPAP3/TMCO1/AGPS/SERPINB5/PTPN11/EIF3J/DDX46/CPSF2/SERBP1/NPM1",NA
