"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION","KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION","79","-0.7161727512008330","-2.647733326937125","0.00000000010000000000","0.000000065500000000","0.00000003853419985023402","2042","tags=71%, list=17%, signal=59%","RPS4X/RPL41/RPL10A/RPL35A/RPL32/RPL14/RPS15A/RPS18/RPL7A/RPL34/RPL28/RPS14/RPS8/RPS6/RPL5/RPL27/RPL29/RPL18A/RPL12/RPS26/RPS27/RPS9/RPS21/RPSA/RPL15/RPS12/RPL3/RPS11/RPS19/RPS15/RPL19/RPL36/RPL4/UBA52/RPL37/RPL10/RPL18/RPS5/RPS28/RPL13A/RPL31/RPS7/FAU/RPLP2/RPL23/RPL35/RPL38/RPL37A/RPL30/RPLP1/RPS29/RPS16/RPL8/RPL13/RPLP0/RPS2",NA
"KEGG_MEDICUS_REFERENCE_COHESIN_LOADING","KEGG_MEDICUS_REFERENCE_COHESIN_LOADING","9","0.9016189401156853","2.112182674408869","0.00002344087747381199","0.005117924915115618","0.00301091819080240080328","1147","tags=89%, list=9%, signal=81%","ATRX/SMC1A/STAG2/NIPBL/SMC3/RAD21/STAG1/DDX11","0.5756102610711286"
"KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_UBIQUITINATION_OF_RTK_BY_CBL","KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_UBIQUITINATION_OF_RTK_BY_CBL","15","-0.7753328737347478","-1.993615705526155","0.00022944406511209210","0.030057172529684064","0.01768288691895893161021","652","tags=33%, list=5%, signal=32%","ERBB2/NTRK2/EGFR/EPHA2/MET","0.5188480777437918"
"KEGG_MEDICUS_REFERENCE_EGF_EGFR_ACTIN_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_EGF_EGFR_ACTIN_SIGNALING_PATHWAY","19","-0.7141523092404345","-1.989979747868442","0.00047771975324326565","0.044700919767762713","0.02629792634840068948909","86","tags=16%, list=1%, signal=16%","EGFR/ACTB/ACTG1","0.4984931087665903"
"KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_EAE_TIR_TCCP_TO_ACTIN_SIGNALING_PATHWAY","KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_EAE_TIR_TCCP_TO_ACTIN_SIGNALING_PATHWAY","14","-0.7641414666779794","-1.975126852447855","0.00080627069175296046","0.054468293354903108","0.03204415422349633779664","1475","tags=43%, list=12%, signal=38%","ARPC5L/ARPC4/BAIAP2/BAIAP2L1/ACTB/ACTG1","0.4772708153628621"
"KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPE_TO_RAC_SIGNALING_PATHWAY","KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPE_TO_RAC_SIGNALING_PATHWAY","19","-0.7081970867433923","-1.973385567593692","0.00068143066883949671","0.054468293354903108","0.03204415422349633779664","1620","tags=32%, list=13%, signal=27%","WASF2/ARPC5L/CYFIP1/ARPC4/ACTB/ACTG1","0.4772708153628621"
"KEGG_MEDICUS_REFERENCE_ITGA_B_TALIN_VINCULIN_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_ITGA_B_TALIN_VINCULIN_SIGNALING_PATHWAY","23","-0.6927065502520474","-1.969312467709094","0.00021791060098248375","0.030057172529684064","0.01768288691895893161021","746","tags=35%, list=6%, signal=33%","ITGB5/ITGA3/TLN1/ACTN1/ACTN4/PXN/ACTB/ACTG1","0.5188480777437918"
"KEGG_MEDICUS_REFERENCE_ASSEMBLY_AND_TRAFFICKING_OF_TELOMERASE","KEGG_MEDICUS_REFERENCE_ASSEMBLY_AND_TRAFFICKING_OF_TELOMERASE","18","-0.7238021849766947","-1.956966479386540","0.00028662668743924578","0.031290080045451002","0.01840821676032409690005","2570","tags=72%, list=21%, signal=57%","DKC1/CCT8/NHP2/CCT6A/NOP10/CCT2/TCP1/RUVBL1/CCT7/CCT3/CCT4/CCT5/RUVBL2","0.4984931087665903"
"KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPAC_TO_ACTIN_SIGNALING_PATHWAY","KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPAC_TO_ACTIN_SIGNALING_PATHWAY","13","-0.7361245195476021","-1.921395225326197","0.00232131427031763210","0.064048416500328498","0.03768022109182724704857","1475","tags=31%, list=12%, signal=27%","ARPC5L/ARPC4/ACTB/ACTG1","0.4317076958033464"
"KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_ESPT_TO_RAC_SIGNALING_PATHWAY","KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_ESPT_TO_RAC_SIGNALING_PATHWAY","14","-0.7385920149521009","-1.909087499304926","0.00208112278534920269","0.064048416500328498","0.03768022109182724704857","1620","tags=36%, list=13%, signal=31%","WASF2/ARPC5L/ARPC4/ACTB/ACTG1","0.4317076958033464"
"KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV","KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV","16","0.6861470281616935","1.901391592385682","0.00246518137264694921","0.064048416500328498","0.03768022109182724704857","8","tags=19%, list=0%, signal=19%","MT-CO1/MT-CO2/MT-CO3","0.4317076958033464"
"KEGG_MEDICUS_REFERENCE_TIGHT_JUNCTION_ACTIN_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_TIGHT_JUNCTION_ACTIN_SIGNALING_PATHWAY","21","-0.6634266555384948","-1.897571612055013","0.00140466176077965778","0.057618937340207031","0.03389770452863587191228","1796","tags=38%, list=15%, signal=33%","CLDN23/CLDN4/ARPC5L/CLDN7/ARPC4/CLDN3/ACTB/ACTG1","0.4550598673872295"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV","16","0.6794486705871525","1.882829680357662","0.00300795974831122087","0.072970875375698130","0.04292937854921638485273","8","tags=19%, list=0%, signal=19%","MT-CO1/MT-CO2/MT-CO3","0.4317076958033464"
