"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","89","-0.7075485231371719","-2.655075384214121","0.0000000001000000000000000","0.00000001388461538461538","0.000000007236185022092124","2042","tags=67%, list=17%, signal=57%","RPS4X/RPL41/RPL10A/RPL35A/RPL32/RPL14/RPS15A/RPS18/RPL7A/EEF1B2/RPL34/RPL28/RPS14/RPS8/RPS6/RPL5/RPL36AL/RPL27/RPL29/RPL18A/RPL12/RPS26/RPS27/RPS9/RPS21/RPSA/RPL15/RPS12/RPL3/RPS11/RPS19/RPS15/RPL19/RPL36/RPL4/UBA52/RPL37/RPL10/RPL18/RPS5/RPS28/RPL13A/RPL31/RPS7/FAU/RPLP2/RPL23/RPL35/RPL38/RPL37A/RPL30/RPLP1/RPS29/EEF1A1/RPS16/RPL8/RPL13/RPLP0/EEF2/RPS2",NA
"REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY","97","-0.6847651637094810","-2.620064598767464","0.0000000001000000000000000","0.00000001388461538461538","0.000000007236185022092124","2042","tags=63%, list=17%, signal=53%","RPS4X/RPL41/RPL10A/RPL35A/RPL32/RPL14/RPS15A/CEBPB/RPS18/RPL7A/RPL34/RPL28/RPS14/RPS8/RPS6/RPL5/RPL36AL/RPL27/RPL29/RPL18A/RPL12/GCN1/RPS26/RPS27/RPS9/RPS21/RPSA/RPL15/RPS12/RPL3/RPS11/RPS19/RPS15/RPL19/RPL36/ATF4/RPL4/UBA52/RPL37/RPL10/RPL18/RPS5/RPS28/RPL13A/RPL31/RPS7/FAU/RPLP2/RPL23/RPL35/RPL38/RPL37A/RPL30/RPLP1/RPS29/RPS16/RPL8/TRIB3/RPL13/RPLP0/RPS2",NA
"REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","115","-0.6520878940495244","-2.590087222056212","0.0000000001000000000000000","0.00000001388461538461538","0.000000007236185022092124","2042","tags=58%, list=17%, signal=49%","RPS4X/RPL41/RPL10A/RPL35A/RPL32/RPL14/RPS15A/EIF3H/EIF2B4/RPS18/RPL7A/EIF2B2/EIF3F/RPL34/EIF3K/RPL28/RPS14/RPS8/RPS6/RPL5/RPL36AL/RPL27/EIF3I/RPL29/RPL18A/RPL12/RPS26/RPS27/EIF4EBP1/RPS9/RPS21/EIF3D/RPSA/RPL15/EIF3B/RPS12/EIF4G1/RPL3/RPS11/RPS19/RPS15/RPL19/RPL36/RPL4/UBA52/RPL37/RPL10/RPL18/RPS5/RPS28/RPL13A/RPL31/RPS7/FAU/RPLP2/RPL23/RPL35/RPL38/RPL37A/RPL30/RPLP1/RPS29/RPS16/RPL8/RPL13/RPLP0/RPS2",NA
"REACTOME_RRNA_PROCESSING","REACTOME_RRNA_PROCESSING","201","-0.6035406544955313","-2.563090781152205","0.0000000001000000000000000","0.00000001388461538461538","0.000000007236185022092124","2386","tags=50%, list=20%, signal=41%","HSD17B10/MRM3/FCF1/RPL6/NOP58/EXOSC5/NHP2/RPL7/EBNA1BP2/WDR43/RPS4X/MRM1/RPL41/RPL10A/NSUN4/RPUSD3/WDR18/RPL35A/RPL32/RPL14/NOP10/TEX10/RPS15A/WDR12/RPS18/RPL7A/ELAC2/LAS1L/RCL1/NGRN/PELP1/NOB1/NOL6/RPL34/RPL28/RPS14/RPS8/RPS6/NOC4L/BYSL/RPL5/RPL36AL/RPL27/RPL29/UTP4/RPL18A/RPL12/WDR3/RPS26/RPS27/DDX49/ISG20L2/RRP7A/RCC1L/RPS9/DHX37/RPS21/BOP1/RPSA/PDCD11/RPL15/FBL/RRP9/RPS12/RPL3/PES1/TSR3/RPS11/RPS19/RPP25/SNU13/RPS15/TBL3/RPL19/RPL36/RPL4/UBA52/BUD23/RPL37/RPL10/RPL18/RPS5/RPS28/RPL13A/RPL31/IMP4/RPS7/FAU/RPLP2/RPL23/RPL35/RPL38/RPL37A/RPL30/RPLP1/RPS29/RPS16/RPL8/RPL13/RPLP0/RPS2",NA
"REACTOME_CELLULAR_RESPONSE_TO_STARVATION","REACTOME_CELLULAR_RESPONSE_TO_STARVATION","147","-0.6247358224198217","-2.551763926615142","0.0000000001000000000000000","0.00000001388461538461538","0.000000007236185022092124","2042","tags=50%, list=17%, signal=42%","RPS4X/RPL41/RPL10A/RPL35A/MTOR/RPL32/ATP6V0D1/RPL14/RPS15A/ATP6V0E2/CEBPB/RPS18/RPL7A/RPTOR/NPRL3/RPL34/SH3BP4/LAMTOR1/RPL28/RPS14/ATP6V0B/RPS8/RPS6/RPL5/RPL36AL/MLST8/RPL27/SESN2/RPL29/RPL18A/RPL12/GCN1/RPS26/RPS27/RPS9/RPS21/RPSA/RPL15/RPS12/SEC13/RPL3/RPS11/RPS19/RPS15/RPL19/RPL36/ATP6V1F/ATF4/RPL4/UBA52/RPL37/RPL10/RPL18/RPS5/RPS28/RPL13A/RPL31/RPS7/FAU/RPLP2/RPL23/RPL35/RPL38/RPL37A/RPL30/RPLP1/RPS29/RPS16/RPL8/TRIB3/RPL13/RPLP0/RPS2",NA
"REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS","145","-0.6210968054904131","-2.521269311170199","0.0000000001000000000000000","0.00000001388461538461538","0.000000007236185022092124","2058","tags=52%, list=17%, signal=44%","PSMB1/RPS4X/RPL41/RPL10A/RPL35A/RPL32/RPL14/RPS15A/RPS18/RPL7A/PSMB5/GSPT1/PSMC4/UBB/PSMB2/RPL34/PSMB4/PSMB7/RPL28/RPS14/RPS8/RPS6/RNPS1/RPL5/RPL36AL/RPL27/RPL29/RPL18A/RPL12/RPS26/RPS27/PSMD3/PSMA7/RPS9/RPS21/ADRM1/RPSA/RPL15/PSMB3/RPS12/EIF4G1/RPL3/DAG1/PSMD2/RPS11/RPS19/PSMD8/RPS15/RPL19/RPL36/PSMB6/RPL4/UBA52/RPL37/RPL10/RPL18/ELOB/RPS5/RPS28/RPL13A/RPL31/RPS7/FAU/RPLP2/RPL23/RPL35/RPL38/RPL37A/RPL30/RPLP1/RPS29/RPS16/RPL8/RPL13/RPLP0/RPS2",NA
"REACTOME_SELENOAMINO_ACID_METABOLISM","REACTOME_SELENOAMINO_ACID_METABOLISM","111","-0.6388007237485120","-2.519868165954602","0.0000000001000000000000000","0.00000001388461538461538","0.000000007236185022092124","1183","tags=47%, list=10%, signal=43%","RPL28/RPS14/RPS8/RPS6/RPL5/RPL36AL/RPL27/RPL29/RPL18A/RPL12/RPS26/RPS27/SARS1/RPS9/RPS21/RPSA/TXNRD1/RPL15/AHCY/RPS12/RPL3/RPS11/KARS1/MARS1/RPS19/RPS15/RPL19/RPL36/RPL4/UBA52/RPL37/RPL10/RPL18/RPS5/RPS28/RPL13A/RPL31/RPS7/FAU/RPLP2/RPL23/RPL35/RPL38/RPL37A/RPL30/RPLP1/RPS29/RPS16/RPL8/RPL13/RPLP0/RPS2",NA
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","108","-0.6409183352329031","-2.511319541715880","0.0000000001000000000000000","0.00000001388461538461538","0.000000007236185022092124","2042","tags=58%, list=17%, signal=49%","RPS4X/RPL41/RPL10A/RPL35A/RPL32/RPL14/RPS15A/RPS18/RPL7A/SSR4/RPN2/SEC61B/RPL34/RPL28/RPS14/RPS8/RPS6/DDOST/RPN1/RPL5/RPL36AL/RPL27/SEC61A1/RPL29/RPL18A/RPL12/RPS26/RPS27/RPS9/RPS21/RPSA/RPL15/RPS12/RPL3/RPS11/RPS19/RPS15/RPL19/RPL36/RPL4/UBA52/RPL37/RPL10/RPL18/RPS5/RPS28/RPL13A/RPL31/RPS7/FAU/RPLP2/RPL23/RPL35/RPL38/RPL37A/RPL30/RPLP1/RPS29/RPS16/RPL8/RPL13/RPLP0/RPS2",NA
"REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL","REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL","140","-0.6174762288994763","-2.494928236382278","0.0000000001000000000000000","0.00000001388461538461538","0.000000007236185022092124","2058","tags=52%, list=17%, signal=44%","PSMB1/RPS4X/RPL41/RPL10A/RPL35A/RPL32/RPL14/RPS15A/RPS18/RPL7A/PSMB5/PSMC4/UBB/PSMB2/RPL34/PSMB4/PSMB7/RPL28/RPS14/RPS8/RPS6/RPL5/RPL36AL/RPL27/RPL29/RPL18A/RPL12/RPS26/RPS27/PSMD3/PSMA7/RPS9/RPS21/ADRM1/RPSA/RPL15/PSMB3/RPS12/ZNF598/RPL3/PSMD2/RPS11/RPS19/PSMD8/RPS15/RPL19/RPL36/PSMB6/RPL4/UBA52/RPL37/RPL10/RPL18/ELOB/RPS5/RPS28/RPL13A/RPL31/RPS7/FAU/RPLP2/RPL23/RPL35/RPL38/RPL37A/RPL30/RPLP1/RPS29/RPS16/RPL8/RPL13/RPLP0/RPS2",NA
"REACTOME_NONSENSE_MEDIATED_DECAY_NMD","REACTOME_NONSENSE_MEDIATED_DECAY_NMD","110","-0.6401402978892541","-2.493732570513239","0.0000000001000000000000000","0.00000001388461538461538","0.000000007236185022092124","2042","tags=56%, list=17%, signal=47%","RPS4X/RPL41/RPL10A/RPL35A/RPL32/RPL14/RPS15A/RPS18/RPL7A/GSPT1/RPL34/RPL28/RPS14/RPS8/RPS6/UPF1/RNPS1/RPL5/RPL36AL/RPL27/RPL29/RPL18A/RPL12/RPS26/RPS27/RPS9/RPS21/RPSA/RPL15/RPS12/EIF4G1/RPL3/RPS11/RPS19/RPS15/RPL19/RPL36/RPL4/UBA52/RPL37/RPL10/RPL18/RPS5/RPS28/RPL13A/RPL31/RPS7/FAU/RPLP2/RPL23/RPL35/RPL38/RPL37A/RPL30/PPP2R1A/RPLP1/RPS29/RPS16/RPL8/RPL13/RPLP0/RPS2",NA
